"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	0.6535607	0.5884414	0.1386502	0.3336132	0.2962843	0.8634318	0.7648125	0.0914978	0.6284772	0.0859233	0.7033728	0.5819550	0.6956878	0.0598137	0.1495340	0.7035432	0.1317196	0.2485566	0.6543986	0.6509583	0.7573605	0.5168401	0.0746792	0.6377410	0.0237053	0.4564821	0.4979236	0.7525891	0.8026579	0.6214114	0.0015073	0.1716556	0.2799802	0.4126562	0.3103157	0.3655561	0.7731985	0.4610451	0.7037759	0.5843055	0.1156918	0.5733796	0.6748095	0.5455327	0.6475087	0.5334561	0.5175090	0.6477099	0.8007253	0.0499221	0.7317693	0.0442851	0.4771816	0.6103339	0.7406513	0.2364518	0.0703886	0.0190648	0.7534437	0.0290389	0.0103102	0.6853043	0.2747367	0.6403858	0.3481866	0.7348413	0.6612627	0.0337524	0.3658458	0.5334963	0.5933104	0.6766703	0.6483649	0.6316241	0.6226908	0.6892020	0.4444131	0.2314639	0.6389622	0.8727331	0.8053939	0.0627973	0.0498399	0.7620463	0.6444987	0.5870461	0.4323461	0.7476907	0.3689913	0.1604885	0.5816278	0.1999992	0.3322975	0.1718939	0.3880697	0.4894943	0.6085038	0.2260395	0.6433657	0.9363802
100	0.5816790	0.5922960	0.1758331	0.4803132	0.2991488	0.3740836	0.6344785	0.0274487	0.6553734	0.0557390	0.7065013	0.5496142	0.5062733	0.3304716	0.0434803	0.7476726	0.1097223	0.1384371	0.7635892	0.5671315	0.4143545	0.6174727	0.0367144	0.5439313	0.0226028	0.5500628	0.5649108	0.6940357	0.6269827	0.6712101	0.0028176	0.1988065	0.2577553	0.4207921	0.4072478	0.2817804	0.5707877	0.3727143	0.6582047	0.6179690	0.1689901	0.6425921	0.7405231	0.2854202	0.7240691	0.6353993	0.5204164	0.5345441	0.4026208	0.1037366	0.6738417	0.0356107	0.5314669	0.4601537	0.7504098	0.1896000	0.0586681	0.1783059	0.5395656	0.0268630	0.0302424	0.7478091	0.2731587	0.5824077	0.5880487	0.7550792	0.8394135	0.0486431	0.4750534	0.4180341	0.6168294	0.4770274	0.6285447	0.7625814	0.6889775	0.5820593	0.4486778	0.2213882	0.6121726	0.6602538	0.8131657	0.1652860	0.1157868	0.8372591	0.5104311	0.4765449	0.2506581	0.7362247	0.4156650	0.2072889	0.6791857	0.1417309	0.6649508	0.2061822	0.4757955	0.4452107	0.7175075	0.2594726	0.5461768	0.5251922
200	0.5917971	0.5055748	0.1797215	0.4768284	0.3503334	0.2823253	0.7488187	0.0295095	0.6925574	0.0610088	0.6397804	0.4774205	0.5591954	0.4455733	0.0191471	0.6952277	0.1890607	0.0751618	0.8069973	0.4014609	0.4629918	0.6266374	0.0011074	0.6502246	0.0393787	0.6772769	0.4860579	0.7281007	0.6024836	0.7512691	0.0000209	0.2039023	0.2288014	0.4431953	0.4192531	0.2550091	0.6701304	0.4811076	0.6982159	0.5909755	0.1661808	0.7111354	0.6796075	0.3137236	0.6550974	0.6309325	0.4954643	0.2282520	0.1970377	0.0555531	0.7970478	0.0589979	0.5719707	0.6241053	0.5736350	0.2262179	0.1006586	0.2170222	0.4492202	0.0901917	0.0150047	0.6522194	0.3094519	0.5433207	0.5788728	0.6541791	0.7323412	0.0498611	0.4705154	0.4510015	0.6996364	0.4723236	0.4715888	0.8227056	0.6180754	0.6367634	0.3628710	0.2168020	0.6564690	0.6841350	0.6937499	0.1381548	0.1299524	0.5367360	0.5236654	0.5915342	0.2895024	0.6487502	0.3670169	0.2102871	0.6138059	0.1424851	0.5615957	0.2148747	0.6017223	0.4250029	0.7691967	0.2851566	0.6991688	0.7563143
300	0.6691740	0.6499885	0.0952144	0.6430965	0.2651299	0.4350761	0.7270141	0.1274901	0.6468948	0.0870001	0.7395304	0.5861713	0.5443349	0.4151495	0.0175469	0.8000083	0.1414377	0.0454811	0.8313379	0.4805594	0.3328041	0.5638990	0.0024984	0.5739446	0.0358353	0.4907279	0.6205412	0.7086979	0.6481390	0.7522793	0.0000599	0.2190097	0.3075553	0.3893319	0.3339698	0.2951093	0.5826419	0.3925542	0.6548444	0.5468821	0.2435521	0.5631326	0.6355502	0.2485382	0.7354939	0.5019302	0.4655610	0.1481748	0.1450469	0.1414962	0.7469781	0.0368526	0.5203317	0.5539383	0.6973831	0.3267012	0.0746108	0.2474874	0.4200120	0.1341684	0.0485730	0.7460533	0.2995697	0.6455531	0.5890883	0.6280163	0.6149331	0.0123164	0.3693996	0.5414379	0.6103282	0.4782758	0.6028479	0.6805820	0.7102359	0.5808709	0.4248801	0.2309979	0.9661837	0.6857312	0.6537840	0.1504420	0.1880222	0.5885648	0.5161428	0.6159123	0.3735881	0.6723501	0.4605794	0.2615250	0.5495632	0.2122365	0.7626818	0.1839772	0.7179352	0.3898349	0.6168004	0.2553326	0.7853160	0.6712082
400	0.5938475	0.7402760	0.0580062	0.5314777	0.3148918	0.2875992	0.6898027	0.1157268	0.6999320	0.0682346	0.7830299	0.6237114	0.5637960	0.3612344	0.0102512	0.6975820	0.1432019	0.0407584	0.6410237	0.2991859	0.3588447	0.5832390	0.0032273	0.6440760	0.0230140	0.5684497	0.5402216	0.7072222	0.7620807	0.5581414	0.0007090	0.1855639	0.1709626	0.2892260	0.3768703	0.2604472	0.6667926	0.4563298	0.7993752	0.5850944	0.1839655	0.6429625	0.5585019	0.2484401	0.6775467	0.6718445	0.4656637	0.1551385	0.1231759	0.0729694	0.7256030	0.0572591	0.4600051	0.4552919	0.6338614	0.2525127	0.0504911	0.2728970	0.4004309	0.0600876	0.1288258	0.6138091	0.2958008	0.6842278	0.6384844	0.5619941	0.7925948	0.0271674	0.4290708	0.4384113	0.6240677	0.3846384	0.5362034	0.8067496	0.8641630	0.7716508	0.4137366	0.1772804	0.6343326	0.7316311	0.5995715	0.1487774	0.1964135	0.6875386	0.4524219	0.6264555	0.4338829	0.5686589	0.4426278	0.2263884	0.4773687	0.2814683	0.6566549	0.1335525	0.5902935	0.4554077	0.6620244	0.3045793	0.6984586	0.7420807
500	0.7153962	0.5523488	0.0798257	0.4603412	0.2578964	0.3205068	0.7063824	0.2389289	0.7089394	0.0957303	0.6347136	0.5376767	0.4980884	0.4581592	0.0261627	0.7194577	0.1128708	0.0769647	0.6647944	0.2701775	0.3601095	0.5432351	0.0053269	0.7068194	0.0614700	0.5676123	0.7066364	0.6779053	0.6920175	0.6241842	0.0026256	0.2214030	0.3098765	0.3732537	0.4896418	0.2663290	0.7994347	0.3510025	0.6750787	0.6554301	0.2205779	0.7107823	0.6563233	0.3864643	0.7054869	0.6793352	0.4924207	0.2233579	0.1327755	0.0995485	0.7036355	0.0438279	0.6798505	0.4722835	0.7490472	0.2051737	0.0356467	0.2644181	0.4097729	0.1125135	0.0786178	0.6553467	0.2592661	0.5041696	0.7117386	0.7203813	0.8040720	0.0276015	0.4332058	0.4575983	0.5983248	0.4993075	0.4897289	0.7461130	0.7528389	0.5328712	0.3710525	0.2524120	0.8222647	0.7151395	0.7658511	0.1629022	0.1779869	0.5375434	0.6268034	0.7181215	0.3022877	0.6871288	0.4399386	0.2883752	0.5405573	0.1439873	0.7640536	0.1597541	0.6578995	0.3998319	0.8724512	0.2687202	0.6669100	0.6501565
600	0.6786884	0.6654358	0.1133291	0.4568237	0.3201501	0.5342648	0.6294405	0.2856474	0.7595679	0.0876601	0.6529309	0.5513194	0.6866325	0.1672618	0.2354439	0.7714585	0.1739930	0.2189092	0.7783793	0.5446878	0.5912832	0.4805600	0.0678648	0.6566322	0.0268598	0.6196451	0.4703686	0.6297956	0.6513289	0.6957365	0.0075406	0.1689096	0.2896482	0.4487144	0.3151271	0.3532520	0.7852160	0.4126799	0.6535498	0.5487728	0.2095948	0.5996199	0.7607759	0.7034534	0.6595814	0.4881989	0.6145653	0.2852476	0.4010548	0.1042333	0.6808086	0.0162236	0.5612656	0.6408725	0.7379364	0.1539284	0.0791599	0.0938854	0.5349382	0.0737223	0.0587875	0.6667976	0.2884541	0.6186972	0.4009834	0.7415668	0.5755449	0.0246925	0.4157281	0.5026675	0.7278190	0.4760514	0.6469137	0.7461019	0.7661429	0.5926207	0.4663959	0.3055218	0.6265755	0.6527232	0.7878881	0.0784498	0.0486447	0.5859595	0.6143444	0.4696875	0.2912615	0.8209798	0.4128901	0.1768050	0.4423327	0.1844589	0.3987865	0.2474675	0.4628410	0.3673579	0.5278804	0.2629534	0.5637960	0.7536418
700	0.5844566	0.5615577	0.1007080	0.4110089	0.2505085	0.6798169	0.6131551	0.0942373	0.6903340	0.1116423	0.6475098	0.5906077	0.7033383	0.1224976	0.1357797	0.7914687	0.1626596	0.2333008	0.5936431	0.5675247	0.7327239	0.4815750	0.0637260	0.6170819	0.0243534	0.4418345	0.5574901	0.7467005	0.7002902	0.6976998	0.0013548	0.1672688	0.3289076	0.3586027	0.3394966	0.4873963	0.8048196	0.4075119	0.6023610	0.6506542	0.1493980	0.4461927	0.7124070	0.7188525	0.7188446	0.7050201	0.5489443	0.5509410	0.5866781	0.0367302	0.8164778	0.0157482	0.3966119	0.5444787	0.7000737	0.2594729	0.0686838	0.0555154	0.5435505	0.0279180	0.0118981	0.7248839	0.2729241	0.6545460	0.2957942	0.7236699	0.7038151	0.0197926	0.3565279	0.5279833	0.6248463	0.4678768	0.6919416	0.6865017	0.7730710	0.5833505	0.3537995	0.1836072	0.7090464	0.7425317	0.6770567	0.0751137	0.0353275	0.7228044	0.5091281	0.6291331	0.3661009	0.6977956	0.3869808	0.2524602	0.5542905	0.1030244	0.3400988	0.1051711	0.4783676	0.4205315	0.8005137	0.1807606	0.7450903	0.7408200
800	0.6515135	0.5077257	0.1727834	0.4066478	0.2752864	0.6982524	0.7512123	0.0790842	0.7611293	0.1054305	0.7081383	0.5131948	0.7991461	0.0547089	0.1617897	0.5877021	0.1712724	0.1857125	0.7351597	0.7293856	0.6194748	0.5149949	0.1029092	0.6809058	0.0502189	0.6081026	0.5093539	0.7208592	0.6063795	0.7060256	0.0037137	0.2717454	0.2788474	0.4140675	0.3879400	0.5487830	0.8263858	0.3618380	0.6855996	0.5954640	0.1106973	0.4071208	0.6319812	0.7945914	0.7292678	0.5036090	0.5829025	0.7485708	0.8494462	0.0669988	0.6356291	0.0570761	0.5118995	0.5651929	0.6791696	0.2379196	0.0456582	0.0184621	0.7724578	0.0316516	0.0268787	0.6713172	0.1966612	0.5159412	0.2946400	0.5994250	0.7096028	0.0341790	0.4395577	0.5497704	0.7247641	0.5067430	0.6718796	0.5646367	0.6539362	0.5887064	0.3875261	0.2539294	0.7165132	0.6687152	0.8038193	0.0451347	0.0620737	0.8160097	0.4998899	0.5128466	0.2597553	0.6982331	0.4198423	0.1565256	0.5056413	0.0731600	0.4053170	0.1424499	0.4115384	0.4562024	0.6287224	0.3593106	0.7907732	0.7078113
