YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.7512749	0.6294569	0.1436892	0.3586170	0.4229081	0.6996687	0.6955870	0.0418877	0.8045304	0.0820724	0.6837865	0.6137103	0.7193854	0.0767581	0.2724796	0.8606167	0.1249092	0.2575193	0.6918752	0.4888035	0.5929417	0.4246806	0.0000000	0.8301052	0.0090054	0.5236421	0.5313794	0.6976314	0.6379434	0.6579146	0.0033632	0.1777047	0.2290902	0.3653955	0.4552950	0.3942907	0.7004099	0.0000000	0.7209975	0.6036785	0.0802241	0.4579262	0.6745972	0.7875849	0.7186065	0.5551914	0.5179708	0.5906796	0.7297211	0.0977466	0.7857792	0.0705373	0.5744786	0.4029614	0.7133153	0.3150486	0.1469616	0.0232928	0.7045471	0.0072642	0.0372654	0.7650905	0.2491327	0.6149894	0.3917019	0.6915766	0.8027896	0.0425147	0.4765574	0.5334092	0.8998073	0.4725255	0.5906564	0.8332874	0.7841256	0.5957681	0.4949405	0.2566322	0.8758743	0.8158541	0.7774044	0.2974500	0.0233908	0.6575016	0.6396620	0.3944753	0.3726630	0.6758649	0.3799197	0.1189270	0.6739615	0.1516033	0.4464372	0.1427437	0.2936031	0.3292250	0.6923971	0.2013794	0.9030519	0.7842290
0.8087899	0.9103669	0.1042207	0.3581874	0.2851191	0.6381222	0.6866676	0.0589029	0.7960838	0.0493015	0.6717961	0.2228900	0.7410548	0.6181712	0.1633430	0.7561889	0.1494154	0.1797623	0.6915953	0.7456970	0.6814074	0.5345254	0.3502668	0.6956316	0.0288024	0.6160214	0.5761071	0.7144540	0.7258019	0.8068882	0.0008192	0.2005523	0.0044046	0.0000000	0.0196430	0.4416079	0.8594831	0.0000000	0.8739501	0.6159483	0.1234644	0.5435390	0.7037613	0.7320599	0.7062476	0.5569954	0.5954191	0.6560553	0.8065776	0.1311549	0.7928788	0.0447958	0.4942274	0.6010559	0.7333479	0.2308138	0.0622831	0.0215991	0.7503717	0.0202171	0.0286937	0.6325115	0.2459533	0.5952388	0.2899207	0.6145779	0.6594452	0.0366112	0.4290516	0.4712128	0.8286824	0.4219877	0.5873778	0.6651163	0.7083582	0.6775375	0.2922436	0.2684303	0.7156327	0.8231186	0.5400577	0.5019549	0.3052033	0.6877138	0.7725172	0.8851517	0.3312062	0.7089005	0.3008138	0.0713732	0.6681486	0.4245473	0.4079213	0.0822549	0.4315843	0.3812831	0.6381859	0.0526801	0.5755775	0.5984363
0.7100829	0.6235525	0.1143375	0.4003297	0.4015464	0.7200014	0.6484324	0.0938867	0.7704956	0.0944330	0.7150742	0.3428380	0.8982064	0.9714768	0.0348796	0.7311896	0.4709720	0.2629283	0.7023475	0.7119793	0.6664848	0.5923270	0.2409661	0.6877054	0.1155819	0.2238396	0.4582106	0.7965467	0.6841997	0.5787043	0.1365108	0.1744374	0.0000000	0.3978884	0.0301711	0.4250523	0.7778704	0.3418712	0.7365459	0.6352524	0.1761454	0.5671821	0.7872206	0.7322007	0.8076650	0.4865295	0.6077916	0.6201932	0.7356451	0.1079508	0.6676306	0.0800217	0.5227700	0.6278661	0.7938222	0.2250490	0.0525629	0.0353881	0.6623053	0.0381744	0.0272496	0.7607577	0.1863332	0.7393205	0.3763048	0.7692362	0.6898033	0.0268134	0.4472324	0.4324731	0.7255534	0.5008722	0.6815743	0.6984695	0.9208108	0.6233846	0.4454635	0.2228143	0.0000000	0.5034295	0.6662851	0.0911292	0.2791793	0.7802148	0.6116109	0.6562273	0.3546698	0.6395971	0.4269329	0.1470491	0.5967683	0.3087780	0.4143929	0.3735258	0.3775164	0.4005561	0.5796645	0.1892090	0.5090652	0.6807077
0.6348900	0.5892749	0.1559225	0.3459120	0.2690004	0.8624720	0.6046116	0.1600900	0.6778700	0.1178382	0.9828853	0.5852990	0.8357094	0.7175993	0.2450953	0.7265532	0.2028632	0.2256866	0.9113177	0.4054265	0.7362002	0.4418197	0.0000000	0.7335226	0.0197274	0.4574570	0.6048406	0.6938228	0.6497960	0.5447233	0.0173683	0.1603506	0.0087483	0.0000000	0.0855533	0.4819567	0.7334179	0.4206775	0.7759042	0.4868268	0.1444578	0.5412817	0.6497378	0.6637139	0.7473309	0.5891273	0.4853554	0.6937185	0.7940497	0.0988375	0.7147106	0.0568233	0.5165734	0.5750423	0.7963809	0.1983417	0.0863367	0.0060374	0.6389385	0.0252500	0.0207672	0.6803757	0.2363152	0.6503066	0.3992636	0.7504794	0.6719005	0.0269584	0.5357832	0.5481482	0.6391932	0.4930658	0.6861045	0.7171035	0.6880104	0.5816997	0.4120361	0.3069848	0.8557259	0.7138717	0.6138257	0.2514260	0.2382486	0.7421763	0.5558169	0.6659778	0.3181747	0.7709630	0.3595548	0.3080110	0.6350560	0.2543604	0.3937793	0.1144163	0.4125915	0.4469414	0.7239539	0.1063372	0.4493935	0.6571444
0.5330057	0.6285882	0.1159490	0.3688390	0.3503389	0.6497755	0.7051057	0.7213224	0.7664118	0.1018060	0.6858029	0.4685677	0.7743132	0.0794254	0.2385562	0.7898183	0.1282548	0.2713367	0.7216370	0.3889123	0.6587046	0.5628676	0.0000000	0.7539581	0.0218427	0.3810913	0.5199911	0.6442409	0.6245752	0.6365405	0.0030529	0.1816652	0.2442191	0.4217725	0.4004968	0.5294018	0.7161900	0.3477811	0.7389466	0.5717137	0.1247447	0.5957334	0.7347985	0.7987166	0.7867722	0.4990825	0.5775465	0.7315979	0.6317720	0.1186830	0.7718675	0.0973024	0.4638263	0.6446533	0.8142107	0.1742672	0.0000000	0.0218232	0.6701883	0.0225926	0.0238957	0.7463231	0.1951233	0.6040291	0.3238809	0.5768675	0.6848026	0.0135142	0.4931443	0.6166832	0.6887415	0.5008571	0.5741189	0.6808309	0.7700559	0.6538681	0.3619607	0.2462906	0.7760628	0.5583957	0.5911984	0.0889822	0.0410740	0.6312529	0.4762588	0.5985609	0.2773068	0.7115286	0.3302633	0.3025454	0.7326975	0.1256003	0.3329638	0.1742662	0.3471979	0.4787687	0.7721631	0.1472765	0.6314460	0.8557125
0.6132096	0.6382630	0.1811461	0.3490005	0.3056678	0.6508144	0.8532648	0.0620676	0.6986667	0.1444446	0.6704987	0.5228356	0.6671176	0.0647976	0.3248401	0.7576091	0.2292435	0.2337403	0.7555470	0.0199625	0.6931676	0.3964426	0.0000000	0.7676699	0.0138696	0.6320345	0.0000000	0.6764918	0.7680479	0.7688583	0.0063213	0.2228948	0.2321479	0.3100112	0.4326637	0.4882464	0.8380550	0.4052669	0.6045545	0.5281497	0.1295419	0.5263176	0.7109794	0.6083938	0.6785515	0.4934066	0.4779898	0.8194471	0.6994380	0.0607034	0.7445653	0.0354404	0.5478421	0.4361308	0.7412100	0.1631514	0.0990057	0.0298756	0.8107179	0.0312859	0.0347020	0.7818883	0.1862741	0.6774725	0.3857274	0.7369642	0.6289194	0.0412649	0.3407077	0.4750873	0.5551946	0.5282008	0.6192867	0.6990513	0.8415917	0.6634649	0.3608220	0.2045439	0.8308405	0.5957298	0.6470342	0.0371233	0.0220347	0.5904761	0.5028384	0.5859121	0.2194225	0.8038051	0.2832662	0.2815388	0.6313343	0.1293818	0.3006116	0.1519206	0.4112973	0.6682408	0.6494909	0.4693012	0.8522531	0.5609813
0.7509460	0.5634818	0.1447927	0.4364720	0.3137048	0.6679239	0.6577809	0.0849953	0.6579023	0.0694795	0.6330884	0.5512279	0.6643047	0.0767365	0.2902263	0.6020874	0.2818064	0.1988877	0.7019911	0.0391715	0.0000000	0.0043732	0.0448013	0.7446176	0.0121720	0.4775120	0.0000000	0.7989813	0.7547477	0.8267153	0.0224053	0.2872983	0.2590697	0.4584328	0.4279175	0.4877676	0.8976893	0.4443181	0.7086193	0.5285734	0.1196736	0.6825091	0.7563731	0.7022206	0.5694818	0.6424955	0.4960715	0.5849508	0.7539331	0.1335623	0.7249507	0.0388685	0.5594774	0.4661226	0.8073183	0.2146273	0.0886767	0.0220543	0.6015904	0.0496359	0.0490329	0.6104104	0.2033044	0.5682608	0.3260134	0.6516192	0.7239691	0.0247127	0.5162346	0.4676591	0.8524665	0.3782504	0.5494923	0.6833372	0.7779169	0.7772693	0.3436207	0.2532156	0.7110661	0.5387937	0.7610861	0.0320826	0.0526051	0.6232895	0.5056360	0.6044841	0.2483942	0.6192153	0.3922088	0.1534793	0.6138829	0.3536100	0.4568345	0.1228761	0.4954289	0.3325086	0.6393433	0.5757802	0.6877596	0.5192628
0.7912108	0.6922200	0.1626595	0.3658487	0.2699512	0.7724281	0.5909936	0.0739036	0.6520770	0.1041418	0.7629691	0.5506617	0.6401622	0.0953211	0.2052686	0.6266088	0.0894744	0.2639061	0.7343546	0.3860567	0.0000000	0.0026320	0.0000000	0.7605691	0.0104052	0.4169200	0.4638829	0.7978044	0.6734298	0.8641115	0.0061619	0.2495153	0.1811698	0.3201337	0.2690146	0.5142916	0.8159244	0.3880816	0.6184122	0.6201381	0.1560826	0.5435882	0.7395744	0.6718835	0.6577931	0.4622950	0.4842865	0.6177463	0.6992894	0.0579653	0.7880042	0.0944110	0.4057631	0.4921965	0.6351304	0.1880765	0.1585051	0.0220500	0.4756174	0.0364404	0.0582561	0.7929960	0.3018235	0.7463376	0.3350839	0.6158648	0.8281143	0.0374143	0.3836926	0.4961752	0.7800755	0.5448172	0.5601393	0.7281403	0.6647440	0.6657405	0.3668730	0.3048427	0.8373818	0.7333477	0.7378884	0.1053039	0.0471504	0.5752348	0.5281866	0.6505513	0.2353651	0.6822484	0.4234824	0.2768437	0.6421830	0.3098969	0.2876660	0.1418345	0.4308332	0.4552294	0.5960153	0.3930149	0.6300265	0.7428055
0.6931119	0.6406842	0.1924215	0.3412544	0.3253903	0.6721469	0.8034157	0.1638482	0.6801825	0.1381514	0.7595344	0.2484127	0.5897361	0.7839468	0.0450744	0.7435873	0.1300159	0.2562475	0.6511468	0.7908957	0.7523071	0.5447038	0.2372990	0.7222935	0.0199249	0.5735378	0.6364884	0.6622398	0.7773049	0.8046955	0.1759995	0.2427786	0.0000000	0.4785173	0.0916674	0.4873969	0.5946822	0.4092387	0.6806653	0.5560561	0.1323858	0.5367151	0.7037462	0.7145928	0.5448651	0.5344248	0.5335221	0.6893357	0.6522907	0.0655762	0.6233277	0.1017380	0.3808037	0.4220379	0.7470367	0.2015627	0.0831106	0.0111861	0.6496066	0.0359275	0.0195522	0.7301803	0.2351059	0.6039669	0.0000000	0.6612756	0.7353349	0.0302835	0.4610415	0.6350407	0.7587472	0.4318193	0.6253153	0.7700481	0.6983179	0.6559535	0.4246513	0.2781760	0.7502900	0.6421838	0.8195585	0.0949536	0.2526971	0.8319640	0.5429909	0.8133548	0.2457111	0.6621878	0.3677885	0.1765124	0.7262925	0.4093113	0.4125044	0.1057681	0.3991142	0.5242702	0.8412328	0.1057153	0.5721460	0.6861408
0.6732269	0.5332385	0.1155512	0.3263275	0.2986640	0.6606260	0.6689173	0.0334787	0.7343120	0.0618138	0.7612224	0.7312337	0.0000000	0.0473119	0.1858895	0.6539055	0.1548766	0.2180828	0.6509413	0.3951435	0.6401037	0.4631421	0.0000000	0.6860720	0.0227369	0.5447338	0.3924647	0.7663392	0.6993711	0.8493249	0.0035038	0.1411479	0.2573114	0.3663078	0.4406761	0.5606132	0.5985450	0.5457895	0.7048209	0.5936650	0.1209826	0.4776921	0.6829132	0.8147881	0.6925157	0.6879612	0.5744607	0.5139909	0.5221959	0.0911203	0.6846174	0.0486096	0.6043099	0.3721755	0.8264250	0.1878175	0.1441216	0.0142876	0.7180351	0.0357698	0.0062950	0.7437117	0.2390028	0.6285573	0.3808108	0.6766647	0.6607760	0.0266073	0.3523386	0.4611572	0.7903858	0.4943998	0.6367056	0.6697645	0.6734888	0.7459156	0.3873644	0.3119393	0.7171420	0.7841825	0.7024204	0.0522916	0.0507457	0.5355189	0.3758089	0.5387275	0.3114796	0.6527413	0.4056995	0.2355892	0.6570747	0.1548972	0.3849802	0.2046662	0.3924756	0.5094432	0.6302232	0.2110272	0.8998853	0.7374711
