YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.3684120	0.5605801	0.2317373	0.2555914	0.4739903	0.7461424	0.7479360	0.0648498	0.6443797	0.3666514	0.7927094	0.5356034	0.6733554	0.1014962	0.2121785	0.5595540	0.1308562	0.2077989	0.7365102	0.7484246	0.6795482	0.4485114	0.0704392	0.5909344	0.0602866	0.4690855	0.6128675	0.6037143	0.7219556	0.8048918	0.0200900	0.0942782	0.2679632	0.3071037	0.3686959	0.4345200	0.6821368	0.3055041	0.5757135	0.5055513	0.1204483	0.3997993	0.7726417	0.7399669	0.7829485	0.7528740	0.4862204	0.6774651	0.5339311	0.1183978	0.6422490	0.0341833	0.5632975	0.4376205	0.6949863	0.1820624	0.0671579	0.0075824	0.7746198	0.0388546	0.0268607	0.7163943	0.1636760	0.6881103	0.4010744	0.7912839	0.7454232	0.0112349	0.4864157	0.6429913	0.7521046	0.5676566	0.5460152	0.7332577	0.6958630	0.6628722	0.3027977	0.3590713	0.7289452	0.7376372	0.6636897	0.0698160	0.0555737	0.6783624	0.7253703	0.5765039	0.2721882	0.6887456	0.4080769	0.1391186	0.6573666	0.1703331	0.3677011	0.0974783	0.5186589	0.3979392	0.9418995	0.2018559	0.8795408	0.9448007
0.6622624	0.2629816	0.1084820	0.4416531	0.3353903	0.6519879	0.6723649	0.0450476	0.9144211	0.1140441	0.7493960	0.5099091	0.6806693	0.0740293	0.1082732	0.7145500	0.1203311	0.2620291	0.5780450	0.7308356	0.7047043	0.4826125	0.0829075	0.7652479	0.0142102	0.5588860	0.5512523	0.6084801	0.7103732	0.7646188	0.0016055	0.1729882	0.2671747	0.4474252	0.3442300	0.4861215	0.7500582	0.4497912	0.6610297	0.6932480	0.1352580	0.5368570	0.6471181	0.6783221	0.6154089	0.5262024	0.4728890	0.6814554	0.7875991	0.1329598	0.8044544	0.0869702	0.5172650	0.6255390	0.7198028	0.1222079	0.0839079	0.0254803	0.7292349	0.0560561	0.0245820	0.6854364	0.2160155	0.6882721	0.3860209	0.7337836	0.5965347	0.0225877	0.4954320	0.5058221	0.7780482	0.4984915	0.6776757	0.7634039	0.7458164	0.7577393	0.3619859	0.1531599	0.7398615	0.8096714	0.6235623	0.0814084	0.0267799	0.7609743	0.3488557	0.6880528	0.2582282	0.6024875	0.3313409	0.1948110	0.5635916	0.1335296	0.3775683	0.1569900	0.5012673	0.4232338	0.7659135	0.1903680	0.6819695	0.8412881
0.7606615	0.7385729	0.0624449	0.3598250	0.2492261	0.7916086	0.7173775	0.1228902	0.6541193	0.0510413	0.6699072	0.5858276	0.7103020	0.0621218	0.0973168	0.7327569	0.1308693	0.2760525	0.6445786	0.6821095	0.8094852	0.4301795	0.1267228	0.8955749	0.0415792	0.4833687	0.5532961	0.6705692	0.6961449	0.7380073	0.0045791	0.1953849	0.2746941	0.2953880	0.2848326	0.6707721	0.6918046	0.4110808	0.6296093	0.5543620	0.1374844	0.3747161	0.6647149	0.8478515	0.7325000	0.3963191	0.4685331	0.8064549	0.6792846	0.1127875	0.8297139	0.0664189	0.4320030	0.4631488	0.6607637	0.1113554	0.0894978	0.0260336	0.6492846	0.0234772	0.0209886	0.6224661	0.2315120	0.5280236	0.3377800	0.6297013	0.8130762	0.0165761	0.4243903	0.4857466	0.6085455	0.4662055	0.6239382	0.7748306	0.7244138	0.6882802	0.4391345	0.1755857	0.7451131	0.7565233	0.6341434	0.0442229	0.0532438	0.5914656	0.4911585	0.6241729	0.3411163	0.6744870	0.4269401	0.1540625	0.5527432	0.1726088	0.3013793	0.1044302	0.4197471	0.4395640	0.6016897	0.1720526	0.6463486	0.7577460
0.6069639	0.5695073	0.2431738	0.1237831	0.2444972	0.6836058	0.6985015	0.0502928	0.8665166	0.0563094	0.7658558	0.5651862	0.5929171	0.0679129	0.0910509	0.7352743	0.1822289	0.2400876	0.7444776	0.6322095	0.5862807	0.4617126	0.0766353	0.6217267	0.0124704	0.4887640	0.6079086	0.7025531	0.6726301	0.7235350	0.0165379	0.2171232	0.1863367	0.4336796	0.3783317	0.3671409	0.7062514	0.4436354	0.7508293	0.6636237	0.1384355	0.5928427	0.7031972	0.5965973	0.7461972	0.5313929	0.5574277	0.6959340	0.6358301	0.1018010	0.6069466	0.0838250	0.4576150	0.5539819	0.6886423	0.1720138	0.0484714	0.0397982	0.6110597	0.0211631	0.0245347	0.6726372	0.1942662	0.6299232	0.3078009	0.7472151	0.7015138	0.0124566	0.4209316	0.5099525	0.8940791	0.4704575	0.5770969	0.6531025	0.7610143	0.5636966	0.3526706	0.3320043	0.6065706	0.7485068	0.6624632	0.0897027	0.0370417	0.6623783	0.6436476	0.7351100	0.3338656	0.6919738	0.3089980	0.1783937	0.6597362	0.1535759	0.3599306	0.1489218	0.5512664	0.4717109	0.6371521	0.1548785	0.6155958	0.5625741
0.6951165	0.8119567	0.1507760	0.4121558	0.1652221	0.8448180	0.7003997	0.0304413	0.8385091	0.0681057	0.6751785	0.4389994	0.5543185	0.0779839	0.1766581	0.6348180	0.1694664	0.2508138	0.7250577	0.6931561	0.7372930	0.5066782	0.0824826	0.7754139	0.0250458	0.4971500	0.4876322	0.5954372	0.6989993	0.6513241	0.0105602	0.2864805	0.2084975	0.3474923	0.3971356	0.4786033	0.7178518	0.4868870	0.6811911	0.6345323	0.0989628	0.5431550	0.7839958	0.8369080	0.6670163	0.5624203	0.4280980	0.5742132	0.7288411	0.0663513	0.7693528	0.0324711	0.5263227	0.3469599	0.7137417	0.2648087	0.1558047	0.0545215	0.6416829	0.0314330	0.0497023	0.7573425	0.1882254	0.5973549	0.3897649	0.6960918	0.7183578	0.0228097	0.4133963	0.4715400	0.7591878	0.5128848	0.5734591	0.7379158	0.7307518	0.6133558	0.3701334	0.2756536	0.9029542	0.6683222	0.5922185	0.0430358	0.0509286	0.7130845	0.4341079	0.7013082	0.3459798	0.6431972	0.3192685	0.1530999	0.5975340	0.2062140	0.3590043	0.2175891	0.3100922	0.5294280	0.6715476	0.1522248	0.6920260	0.8111619
0.7468070	0.5862217	0.1600227	0.2943440	0.3229290	0.3599849	0.5433913	0.0890006	0.8557360	0.0713543	0.7495901	0.6159628	0.7449805	0.0626971	0.1609901	0.6516502	0.1397765	0.3318480	0.6547468	0.6358480	0.6991713	0.4563472	0.0311570	0.6094167	0.0141119	0.4796811	0.6068412	0.8360786	0.6334577	0.7281921	0.0120320	0.2004990	0.3147505	0.4170715	0.3735987	0.4412763	0.8673448	0.3212973	0.7206453	0.5660043	0.1124877	0.6111551	0.6594660	0.7830374	0.7051594	0.5756867	0.4364531	0.7187088	0.7105411	0.1315612	0.6855180	0.0275395	0.4659383	0.5922747	0.8300794	0.1343120	0.0676049	0.0130120	0.6909832	0.0088791	0.0420812	0.8220440	0.3166877	0.5665250	0.4412629	0.6909097	0.6566970	0.0278889	0.5091068	0.5749178	0.7291879	0.4029230	0.6413850	0.7371242	0.7304864	0.6867089	0.3517466	0.1855725	0.6731248	0.6888404	0.5888820	0.0599617	0.0700583	0.6363244	0.5321177	0.7787436	0.3287474	0.5457812	0.3973785	0.2377270	0.6597757	0.1378884	0.3681790	0.1802941	0.4935205	0.4479045	0.7684271	0.2450142	0.6394752	0.9005870
0.7165180	0.6118949	0.1738444	0.4310833	0.2325224	0.7284588	0.3375389	0.1291785	0.7240403	0.0745273	0.8854350	0.6424686	0.7643826	0.0789842	0.1621728	0.7281643	0.1282013	0.3028037	0.8360297	0.6434335	0.6493253	0.4586156	0.0838623	0.6170217	0.0451057	0.5188008	0.5849617	0.6221039	0.6885665	0.8077079	0.0031364	0.1693427	0.2268340	0.3126240	0.4963992	0.4086751	0.7458745	0.4376138	0.7655143	0.6433008	0.1559723	0.5585321	0.7209734	0.7947238	0.6930718	0.5943922	0.5198725	0.7135760	0.7299524	0.0735019	0.7782597	0.0457535	0.5491493	0.5310883	0.7459288	0.2323236	0.1282965	0.0346706	0.6509699	0.0240049	0.0555408	0.6734661	0.2342871	0.5279627	0.3735387	0.5705471	0.7928030	0.0271564	0.4728467	0.5353887	0.6788384	0.5675418	0.6544758	0.7424440	0.7315076	0.7210031	0.5009943	0.2618292	0.7044426	0.7172321	0.6831593	0.0771674	0.0468834	0.9147447	0.6289851	0.8104162	0.2207650	0.7528024	0.3765214	0.1418648	0.6750972	0.2084141	0.2886014	0.1673990	0.4593879	0.5577779	0.5366543	0.2043563	0.6551293	0.6735939
0.5987301	0.6168132	0.1032419	0.3930868	0.2237720	0.6723073	0.6934850	0.0151402	0.6998055	0.0915970	0.6790829	0.5198730	0.7186019	0.0532874	0.0893694	0.5831904	0.0874011	0.2352272	0.6962911	0.6986280	0.6934455	0.5686764	0.1109444	0.6648966	0.0298773	0.5592456	0.5239444	0.6740785	0.6497836	0.7754385	0.0543208	0.2204914	0.2348513	0.3899560	0.3507403	0.5585100	0.7574380	0.3788435	0.6248891	0.5628942	0.1483162	0.5171972	0.7234799	0.6538162	0.6774588	0.4826468	0.5379021	0.6092529	0.6658240	0.0407325	0.6896050	0.0511156	0.4557930	0.4747152	0.7369388	0.2320939	0.1003568	0.0560908	0.7701710	0.0344193	0.0138085	0.7563015	0.1990612	0.5415832	0.4078906	0.5778958	0.6779198	0.0166876	0.4861892	0.5896079	0.7209044	0.4920057	0.6763175	0.7253569	0.7010337	0.6860575	0.4459005	0.2321859	0.6142913	0.6880055	0.6973748	0.0667089	0.0315387	0.8097893	0.5663708	0.5959141	0.3976261	0.6652709	0.3423191	0.1666877	0.6296885	0.2461562	0.3407537	0.2087994	0.4894211	0.3898143	0.7969298	0.2066062	0.6647307	0.6205424
0.6101717	0.6385882	0.1296443	0.2827595	0.3067406	0.6221484	0.6106169	0.0561102	0.3765537	0.0935815	0.5807887	0.5418595	0.8313480	0.1166449	0.1413424	0.7207978	0.1308497	0.1924705	0.7263400	0.6870209	0.6753503	0.4469419	0.1160011	0.7165026	0.0218900	0.5854711	0.4967358	0.7536464	0.6217469	0.6460588	0.0025189	0.1647559	0.2239461	0.4381969	0.2883421	0.4927922	0.6679624	0.3374850	0.7280346	0.6717305	0.1220100	0.4682702	0.6277858	0.6908493	0.6408453	0.5303440	0.5464382	0.7256045	0.7826167	0.0970569	0.6331767	0.0438906	0.3976071	0.4488879	0.7728485	0.2260216	0.0892001	0.0174119	0.7700175	0.0533941	0.0069609	0.7195644	0.2290838	0.5815289	0.2841210	0.6467870	0.6940659	0.0196244	0.3599156	0.5382818	0.6059302	0.5455691	0.6486240	0.6981190	0.6943686	0.4799190	0.3055786	0.2276744	0.8842454	0.7330493	0.6346922	0.0655599	0.0705530	0.6720644	0.5202563	0.6471586	0.2892600	0.6871174	0.4117481	0.1503876	0.4670011	0.1501210	0.3549773	0.0995566	0.4523961	0.4530279	0.8196074	0.2624487	0.6233692	0.6396899
0.8228689	0.7173720	0.1028638	0.4066883	0.2910942	0.7530948	0.7524846	0.0853263	0.6257443	0.0509342	0.7809808	0.6660713	0.7343685	0.0377752	0.1850241	0.7172515	0.1079565	0.2432713	0.6461505	0.7522076	0.8592687	0.4956989	0.0672390	0.7930516	0.0181174	0.5174350	0.6204706	0.7883329	0.6079200	0.7554259	0.0079833	0.1868253	0.3270448	0.3840971	0.5157698	0.4260266	0.5600600	0.3814430	0.7747854	0.4990807	0.0487768	0.4598033	0.6213377	0.6759252	0.6996007	0.5687924	0.6008595	0.5355813	0.7766209	0.1288033	0.7964334	0.0457832	0.5825731	0.4847276	0.6023099	0.2410410	0.0586725	0.0261021	0.6979026	0.0522199	0.0183291	0.6921965	0.2384764	0.5764413	0.2454984	0.7760538	0.6349965	0.0185862	0.4083614	0.5189186	0.7314451	0.5359431	0.7093855	0.6126939	0.6281075	0.6935018	0.4481301	0.1853159	0.6847391	0.6949343	0.6498638	0.0386120	0.0396816	0.6541860	0.4697810	0.6368947	0.2564464	0.6998929	0.3763090	0.2529888	0.5832041	0.1680586	0.4724280	0.1857436	0.4909263	0.4379158	0.6885545	0.1449369	0.7659549	0.6131592
