YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.0000000	0.0093248	0.3493357	0.0998077	0.6767115	0.7664368	0.6790104	0.0849165	0.7646173	0.6146809	0.7382419	0.5983164	0.7944684	0.0625853	0.1370828	0.9069885	0.1147078	0.0734932	0.6076698	0.5975996	0.5754861	0.5620384	0.0992590	0.8104196	0.0217307	0.4385084	0.4717180	0.6670563	0.6352318	0.6900713	0.0074236	0.0557375	0.2760152	0.3803172	0.3959030	0.6022163	0.6492127	0.3399072	0.7212095	0.6025651	0.1468121	0.5987895	0.6994492	0.6960436	0.6738952	0.6223165	0.5537215	0.6678145	0.7162852	0.0574322	0.7697834	0.0206933	0.5398817	0.5303947	0.7800168	0.1503623	0.0632642	0.0216088	0.7499885	0.0137727	0.0365210	0.7262184	0.2889870	0.5787274	0.3785196	0.8739163	0.7221807	0.0070225	0.4533494	0.5228726	0.7125964	0.4679773	0.6047789	0.6480151	0.7328559	0.6430721	0.3438464	0.6514830	0.6776020	0.7314753	0.6081105	0.0347955	0.0357604	0.5769532	0.3527441	0.5988567	0.2037126	0.7608194	0.2915654	0.1807959	0.9182727	0.1233859	0.3354083	0.1267288	0.5366721	0.4277208	0.6887127	0.2509596	0.8355141	0.6942927
0.7580129	0.0000000	0.1255854	0.4349799	0.3117058	0.7321906	0.6538162	0.0440366	0.5966444	0.1105093	0.7516286	0.7540641	0.7166978	0.1205726	0.2145737	0.6322989	0.1378130	0.1873625	0.6320000	0.6782835	0.7065685	0.4468440	0.1070042	0.6417999	0.0400008	0.5531995	0.4492213	0.8945519	0.6618139	0.7047914	0.0034622	0.2015785	0.2304361	0.4103601	0.3596152	0.3626218	0.6344166	0.3317665	0.6064496	0.6055555	0.1118203	0.5562055	0.5760775	0.6884593	0.5768353	0.6645782	0.5243356	0.7406379	0.5996580	0.1542984	0.7045923	0.0247923	0.5632896	0.4042385	0.7897152	0.2172931	0.1071159	0.0030641	0.7410652	0.0247395	0.0249823	0.5964969	0.1757017	0.6253098	0.2312827	0.6807400	0.6771034	0.0123369	0.4082383	0.5532267	0.7188076	0.4315245	0.7075653	0.7505745	0.6985829	0.5876144	0.4899224	0.1808742	0.6395815	0.8045877	0.6930823	0.0754341	0.0297960	0.5586027	0.5061265	0.6215536	0.2940096	0.7335189	0.4476788	0.2761974	0.5986931	0.2550715	0.4204518	0.0810341	0.3466579	0.4966155	0.6742021	0.1991405	0.6442166	0.7324739
0.5979057	0.6262120	0.0000000	0.4308842	0.2549474	0.7230139	0.8742917	0.1104120	0.7611907	0.1266996	0.6681644	0.6063967	0.7485180	0.0610967	0.1059269	0.6796508	0.1130517	0.3012269	0.6525231	0.6118118	0.7858021	0.4404456	0.1002286	0.7310086	0.0095950	0.5003472	0.5437769	0.6231112	0.7273503	0.6773766	0.0307785	0.2500014	0.3360811	0.3150695	0.4436380	0.4924271	0.6403743	0.3426675	0.7271429	0.5263346	0.1334130	0.3755905	0.6075830	0.7404104	0.6327559	0.5746358	0.4415307	0.6681922	0.6282160	0.0908825	0.8144288	0.0530089	0.4058342	0.4664902	0.6896019	0.2548941	0.0583804	0.0197983	0.7696702	0.0418153	0.0116622	0.6618109	0.2568702	0.5458731	0.3072156	0.8886127	0.7616728	0.0180988	0.3958771	0.6417542	0.7667623	0.5116625	0.8063656	0.6868027	0.6817726	0.6543442	0.3627803	0.1614549	0.5935845	0.7422219	0.7313557	0.0485304	0.0548230	0.6247633	0.5421629	0.5902143	0.2735782	0.7558031	0.4885263	0.2822877	0.5542547	0.2295541	0.3436684	0.2081995	0.3888449	0.4307251	0.6592764	0.1355783	0.5957551	0.8061404
0.7845552	0.5832857	0.1995274	0.0000000	0.3206382	0.6945115	0.6001859	0.0441542	0.6010268	0.0713524	0.7137144	0.5937245	0.7072891	0.0551710	0.1888167	0.7639148	0.1727923	0.2015284	0.6742226	0.4765932	0.7240244	0.4775465	0.0590270	0.7207093	0.0116540	0.4800811	0.5807218	0.8002806	0.7613767	0.8585948	0.0055414	0.2226232	0.3352693	0.3741187	0.3046207	0.5821204	0.7533983	0.4371490	0.6092345	0.6225744	0.1001554	0.4991079	0.7749665	0.6814022	0.7390316	0.5442645	0.4484045	0.6138022	0.6128583	0.0734958	0.7258832	0.0418355	0.4404104	0.4680320	0.6091567	0.2718218	0.0968738	0.0637003	0.7070146	0.0386761	0.0383647	0.7814132	0.2274332	0.5468704	0.3780972	0.6698418	0.6811353	0.0149736	0.3716064	0.5117420	0.6035472	0.5143131	0.7191412	0.7269237	0.6540275	0.6185114	0.3961029	0.2457880	0.8210096	0.7170499	0.7083759	0.0450915	0.0393452	0.6178728	0.4819991	0.6364425	0.2977570	0.6924811	0.3786939	0.2316679	0.6381117	0.1155559	0.4170093	0.1247310	0.4350193	0.4723867	0.6725998	0.2093516	0.6280098	0.5928129
0.6854723	0.6191172	0.1239987	0.4090037	0.0000000	0.6158912	0.6370027	0.1202336	0.7133898	0.0674220	0.6804871	0.5052280	0.7407538	0.0744122	0.1903144	0.7942896	0.1412227	0.3000875	0.6755566	0.7142107	0.6938760	0.4233966	0.0701035	0.8246802	0.0403493	0.5218222	0.5477308	0.5298292	0.6203681	0.7212626	0.0039209	0.1593869	0.2336045	0.3316928	0.3088138	0.5081514	0.6872352	0.4128443	0.7967633	0.4827400	0.0976524	0.5002932	0.7497947	0.8597436	0.6862247	0.5556903	0.4578589	0.7693213	0.7882376	0.0501858	0.7116682	0.0843694	0.3748119	0.5102192	0.7768187	0.2170832	0.0861962	0.0197084	0.6933059	0.0152982	0.0277979	0.6468128	0.1552769	0.6248589	0.3111397	0.7275749	0.7818450	0.0126127	0.4159921	0.5608854	0.7579533	0.4911002	0.6643499	0.6993458	0.7186706	0.7056269	0.3396447	0.2547344	0.7015687	0.7406259	0.8150320	0.0512942	0.0567313	0.7429153	0.5600725	0.7377789	0.2527512	0.6329014	0.3917175	0.2106416	0.6238387	0.1135725	0.4910394	0.1113881	0.5932040	0.4672726	0.7118552	0.1595137	0.6289671	0.7620671
0.7070183	0.6912763	0.2203635	0.3712365	0.2932388	0.0000000	0.7281520	0.1118322	0.6651413	0.1042543	0.7796463	0.5330031	0.6661345	0.0587469	0.1356415	0.7639179	0.1745349	0.2424808	0.7974796	0.6653282	0.8268645	0.4574722	0.0733072	0.7256780	0.0391516	0.4200398	0.5181587	0.7983229	0.8386758	0.7762419	0.0085082	0.1841532	0.2542286	0.4816730	0.4483867	0.4420597	0.7301824	0.5340136	0.7697701	0.5057466	0.0987259	0.4929176	0.6494179	0.8795558	0.7259035	0.5767581	0.4530647	0.7015310	0.6380640	0.0344434	0.6630732	0.0831773	0.4808049	0.4861774	0.6792486	0.2822690	0.0893314	0.0262110	0.6983553	0.0189498	0.0390154	0.8273480	0.2731947	0.6073003	0.4380323	0.7773980	0.8075319	0.0099073	0.4191841	0.5570335	0.7592102	0.4968848	0.6155571	0.6804073	0.6355736	0.6608808	0.3947553	0.2582438	0.6995527	0.7965572	0.7389118	0.0368075	0.0709996	0.6954885	0.5934297	0.5992514	0.3803591	0.7270175	0.3334764	0.1897950	0.6272245	0.1224178	0.3836335	0.1247522	0.3671664	0.5216614	0.8031859	0.2251564	0.7936011	0.9577226
0.7041659	0.5048545	0.1243656	0.4415755	0.2772986	0.7244691	0.0000000	0.7498871	0.7038940	0.0752901	0.7646335	0.5187785	0.7575493	0.0601875	0.1473353	0.8325327	0.1193507	0.2206884	0.6313139	0.8002382	0.7674596	0.5635660	0.0548494	0.8540761	0.0740847	0.5020296	0.5115961	0.6840375	0.7817284	0.7485222	0.0062977	0.2390525	0.1900898	0.3202922	0.3512670	0.4823388	0.6210100	0.4212825	0.8455628	0.6412108	0.0758466	0.5360395	0.6021488	0.7229854	0.7443193	0.5407894	0.4618303	0.6380736	0.7551594	0.1241913	0.7562251	0.0272909	0.6355501	0.4545344	0.7030240	0.1700710	0.0818703	0.0120036	0.7518124	0.0261653	0.0492347	0.6331065	0.3051613	0.5268705	0.3341674	0.6743308	0.7946487	0.0182514	0.4340984	0.5430517	0.7111115	0.5569049	0.6021257	0.7624158	0.6202262	0.5407572	0.3338280	0.2231387	0.6834485	0.8660372	0.7077499	0.0827089	0.0449261	0.8314699	0.5780351	0.6363111	0.3514660	0.6653869	0.3277248	0.2125220	0.6827546	0.0789546	0.3249551	0.1291212	0.3868621	0.4901243	0.5927500	0.2230028	0.6344029	0.6337056
0.6231557	0.6276821	0.1671580	0.4290735	0.3440721	0.8201907	0.7098820	0.0000000	0.5867157	0.0860959	0.7395530	0.5691500	0.6657547	0.0810630	0.1127992	0.6554963	0.1035177	0.2042861	0.7740674	0.7824311	0.7215378	0.3876264	0.1050201	0.5972568	0.0102718	0.4917589	0.5112037	0.6722034	0.6753676	0.7242251	0.0018479	0.1882501	0.1886701	0.4272922	0.2560848	0.4671988	0.6667480	0.4147441	0.6722496	0.5481056	0.1363481	0.3995027	0.7122329	0.8526657	0.6397978	0.4830050	0.5474519	0.5850453	0.7119698	0.0518516	0.6962238	0.0934695	0.4744395	0.5505443	0.6917840	0.2227508	0.1125691	0.0176790	0.7988015	0.0343630	0.0392375	0.6538974	0.2818696	0.6716839	0.4254801	0.6456607	0.7652875	0.0143778	0.4376422	0.5968979	0.7857677	0.3749742	0.5272001	0.6975714	0.7458591	0.7374337	0.3683498	0.1806671	0.6695088	0.7448912	0.8345337	0.0518247	0.0290296	0.5789185	0.5664292	0.7982547	0.3984096	0.6356876	0.4059754	0.1919844	0.6075646	0.0859326	0.4430463	0.1822827	0.4416022	0.4566202	0.6906785	0.2219832	0.6143712	0.7469398
0.5586078	0.6699771	0.0640002	0.3823285	0.3060674	0.7377534	0.5681568	0.0332689	0.0000000	0.0912786	0.6970388	0.6317697	0.6893405	0.0665304	0.2229307	0.6692792	0.1623106	0.2048815	0.7404752	0.6862567	0.7058305	0.4492568	0.1061526	0.6490362	0.0357138	0.4044336	0.6425054	0.6902463	0.7335456	0.8110101	0.0012410	0.2094198	0.3149307	0.3714283	0.3517120	0.4107197	0.6426660	0.3781189	0.6063201	0.6433471	0.1312353	0.5130629	0.5784884	0.5940334	0.6210575	0.5901599	0.4988281	0.6349123	0.6387222	0.0802198	0.8811994	0.0480726	0.3421734	0.5590011	0.6910183	0.1343412	0.0934239	0.0275357	0.7442201	0.0129249	0.0252954	0.7161198	0.2142702	0.5611087	0.3359805	0.7390305	0.8050627	0.0077948	0.5160314	0.5614950	0.6833238	0.5257436	0.6074176	0.6337267	0.7153511	0.7255448	0.4974285	0.1675321	0.7922491	0.7282982	0.6765946	0.0534780	0.0390099	0.6752258	0.6050252	0.6929566	0.2824855	0.7468662	0.3418606	0.2444474	0.3360317	0.0926540	0.2619554	0.1021556	0.4074220	0.5849790	0.6110959	0.2362982	0.6564770	0.6026505
0.5853646	0.6453396	0.1407650	0.3995020	0.3006190	0.7314556	0.6575170	0.1186122	0.6423116	0.0000000	0.8122780	0.5049969	0.6097354	0.0654747	0.1599105	0.6264909	0.1990887	0.2007222	0.6473103	0.6957335	0.6890828	0.5149394	0.0778481	0.6256318	0.0406420	0.5862609	0.5439909	0.6571968	0.8155299	0.6775730	0.0262491	0.1791002	0.2088097	0.3539074	0.3330317	0.4756291	0.6631494	0.4059042	0.6876070	0.6010081	0.1110576	0.5563020	0.7766595	0.7366288	0.7588073	0.4242135	0.4423000	0.6821860	0.5596292	0.0854585	0.6450474	0.0376411	0.4126012	0.5373712	0.7453437	0.2350593	0.1594274	0.0165244	0.6215494	0.0450343	0.0431752	0.9005149	0.2981938	0.5519950	0.4176584	0.7093694	0.7307794	0.0123496	0.5169136	0.6337650	0.8024916	0.5071986	0.6224368	0.5904471	0.6082320	0.6187812	0.3643001	0.2244763	0.7343769	0.7774980	0.6388869	0.0590077	0.0456524	0.6885346	0.6184784	0.6273008	0.2780985	0.8798685	0.4056570	0.2054142	0.5395918	0.0764257	0.3811586	0.1979763	0.5517891	0.3991181	0.6537638	0.2393886	0.7544308	0.5542473
