YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.7176545	0.6422215	0.1107158	0.3358220	0.3159930	0.6303073	0.7165592	0.5866167	0.6109222	0.0768159	0.6671250	0.5034790	0.7184561	0.5490262	0.2443604	0.9294783	0.0217069	0.2299364	0.5004748	0.6526597	0.6532668	0.5235931	0.2327158	0.6013745	0.0092425	0.6487573	0.2869898	0.6294280	0.5690907	0.7630740	0.0011839	0.3009317	0.0639332	0.3737958	0.0053262	0.3746872	0.7566479	0.6858790	0.5619058	0.6330245	0.3844639	0.4559291	0.8116007	0.6312363	0.6810030	0.4959228	0.7216164	0.5949915	0.6317726	0.1172433	0.6558294	0.0007881	0.4811186	0.5014556	0.7383151	0.2603392	0.0663766	0.0173156	0.3265346	0.2290087	0.3686280	0.8452974	0.2537441	0.6076858	0.4855694	0.4743691	0.6841137	0.0024911	0.3996358	0.3375379	0.7797605	0.4084343	0.4993021	0.7347513	0.6123275	0.5595224	0.3786047	0.1815716	0.8077245	0.9017068	0.5536875	0.0128311	0.0352833	0.4499007	0.4752714	0.5833798	0.2596140	0.7220193	0.0965537	0.1138099	0.3026737	0.2366523	0.5322217	0.0621880	0.4479613	0.4200528	0.4859335	0.5482965	0.4714457	0.6993039
0.6805727	0.7062139	0.2178349	0.4506617	0.2431169	0.7357486	0.6434113	0.1092178	0.6608544	0.0410400	0.6293902	0.4337197	0.7521503	0.4712695	0.0189435	0.6442965	0.1379510	0.2472334	0.6938412	0.7533323	0.5961046	0.7448329	0.1693496	0.7521132	0.0792264	0.2684355	0.5817173	0.7030327	0.6051431	0.6017310	0.2280986	0.1004221	0.1241027	0.3579509	0.3178854	0.6880741	0.7324593	0.3416764	0.7332154	0.5272536	0.3898689	0.4712159	0.6319517	0.6008686	0.7169591	0.5249287	0.4783153	0.6525695	0.6922975	0.0549480	0.2921200	0.0055529	0.6395491	0.4243466	0.8237385	0.1498550	0.0587684	0.0033674	0.7281229	0.0101230	0.0028165	0.7343432	0.1888787	0.4903923	0.5858856	0.5475494	0.6351321	0.0060816	0.5840971	0.6121208	0.7011382	0.5396119	0.5443109	0.6726310	0.8579225	0.5382274	0.5761639	0.1996333	0.6832836	0.4977817	0.7833680	0.1820691	0.2898994	0.7808727	0.7061877	0.2386913	0.1335160	0.5295833	0.1330356	0.1470766	0.6469496	0.2496460	0.3469794	0.2922771	0.7894569	0.3074824	0.6020946	0.1499679	0.8113449	0.6759578
0.8492063	0.6495811	0.2389503	0.4182457	0.3775022	0.8140491	0.8127152	0.1001955	0.5291390	0.0741707	0.7624378	0.5446080	0.7359775	0.1109248	0.2727819	0.5949743	0.1730842	0.2225759	0.6207468	0.5927902	0.7497162	0.6103033	0.0652524	0.3240346	0.2326091	0.0742159	0.5104429	0.7192375	0.6534319	0.5086940	0.3544836	0.1692434	0.1879669	0.5834237	0.4213015	0.5522193	0.4983308	0.3402360	0.5055935	0.2746006	0.0250540	0.5784068	0.8057519	0.6995790	0.6555744	0.3727664	0.4659787	0.6371612	0.6370831	0.0628093	0.6494070	0.0658810	0.2590760	0.8108795	0.7623451	0.1344859	0.0164313	0.0697259	0.4444112	0.0730832	0.0170056	0.6627828	0.5294626	0.4004996	0.2642005	0.8799314	0.6696151	0.0034177	0.3659117	0.3870035	0.7116410	0.5140728	0.7694403	0.7535289	0.6705503	0.6649852	0.5310838	0.1833854	0.8452054	0.7879676	0.6986798	0.0038473	0.3635358	0.7216889	0.2333411	0.7188140	0.0531039	0.7049896	0.2740036	0.2640828	0.3028549	0.3103700	0.4185346	0.2343446	0.3412029	0.6049695	0.5557368	0.1278196	0.7122510	0.7851356
0.5473784	0.6200559	0.0860170	0.5068322	0.4144118	0.5046847	0.6315537	0.0092134	0.6198783	0.1086116	0.6648285	0.3258814	0.5982011	0.2623280	0.0702593	0.6682854	0.0006547	0.2236252	0.7543386	0.7141692	0.7649071	0.1462086	0.0572345	0.7237959	0.0207424	0.4061013	0.4290661	0.4639346	0.6469308	0.6351190	0.2388483	0.2211781	0.1070536	0.5322939	0.0128077	0.4761522	0.7180914	0.3226980	0.8189604	0.7198094	0.4530525	0.2313347	0.3695615	0.6495880	0.5307199	0.5784848	0.7779398	0.7090987	0.7744829	0.0072142	0.4607520	0.0438695	0.6398260	0.3974143	0.3154453	0.4038687	0.4790593	0.4478442	0.8223042	0.0227250	0.0016504	0.7042891	0.2626441	0.5228632	0.2123222	0.7882211	0.7118775	0.0160792	0.3849555	0.4749681	0.7938913	0.4151020	0.3213354	0.6051850	0.5914211	0.4848470	0.3951313	0.2872397	0.7747595	0.6645070	0.7151752	0.0075343	0.2689046	0.5601987	0.6000412	0.6248256	0.2236945	0.5495971	0.3520904	0.2862548	0.6161830	0.4053807	0.6520750	0.2834520	0.2545379	0.3690033	0.5560225	0.1951136	0.9202762	0.6070911
0.6519402	0.5763492	0.2311983	0.3437691	0.2766969	0.7152214	0.5132777	0.0004821	0.7183527	0.0816172	0.6401205	0.5546225	0.7307182	0.0192455	0.2670425	0.7252662	0.1512282	0.1910950	0.7028595	0.7571403	0.6153236	0.3069800	0.0543979	0.6190601	0.3801765	0.1905457	0.3452583	0.6743519	0.9203037	0.5288999	0.0016130	0.3326223	0.2595667	0.4485333	0.3754213	0.5214545	0.6592518	0.4076876	0.7767382	0.5234009	0.1384116	0.4992737	0.6625259	0.7557140	0.7218839	0.4486324	0.8856879	0.4888987	0.7162563	0.1039508	0.5204429	0.0589627	0.5539040	0.2478387	0.3668918	0.4558347	0.3677730	0.1616104	0.2864449	0.1839481	0.0906105	0.7812422	0.1895468	0.2918321	0.5828374	0.6717834	0.6452102	0.0334466	0.2979157	0.4844053	0.6080143	0.3151054	0.5431649	0.8000159	0.6912234	0.6683414	0.4658564	0.1732740	0.7369896	0.6890518	0.8015414	0.0794453	0.1643187	0.6077788	0.5253119	0.6837927	0.7308012	0.6610834	0.0098469	0.3155010	0.5073615	0.2789283	0.4718740	0.4224122	0.3965917	0.5853580	0.6893573	0.2185421	0.5074161	0.6346371
0.4728467	0.7072455	0.3515722	0.3896331	0.3092802	0.6664574	0.7577734	0.1952166	0.6491273	0.0942743	0.1725185	0.6897971	0.5909906	0.1974706	0.5618178	0.6900889	0.1069959	0.1297868	0.7249339	0.8030164	0.5182436	0.4055734	0.0995148	0.6458499	0.0088775	0.5513992	0.5114567	0.6184957	0.7756939	0.7235266	0.1985696	0.0858965	0.1022216	0.2768816	0.2207338	0.1395253	0.6811047	0.3829487	0.8401375	0.5848305	0.2638033	0.5148432	0.7796119	0.6621183	0.6757246	0.4944082	0.4616243	0.5524052	0.7049756	0.1148827	0.7665560	0.0123628	0.6439912	0.2302667	0.7018207	0.1598036	0.1068541	0.0185374	0.6449172	0.0204313	0.0562201	0.7898678	0.1048903	0.6535878	0.2510235	0.7821245	0.6709220	0.0009609	0.4512691	0.4944907	0.6730888	0.3830549	0.4128285	0.7366910	0.2547400	0.2392494	0.2039868	0.2772680	0.5522205	0.6963112	0.5293032	0.0593583	0.3313358	0.7734243	0.7049808	0.5752977	0.4566988	0.7532478	0.0452173	0.0934204	0.3581179	0.1721004	0.4274839	0.0543673	0.1106882	0.3284391	0.5797055	0.3274495	0.6368909	0.7080709
0.4963788	0.5408446	0.2534426	0.3930220	0.2472129	0.8127525	0.6682943	0.3241693	0.7193980	0.1746887	0.7098790	0.4828172	0.6834996	0.1407825	0.1330935	0.6995781	0.1455872	0.1633129	0.6040388	0.7802018	0.6400962	0.4509426	0.0320195	0.5816303	0.0216335	0.4784316	0.5229684	0.6368674	0.7312291	0.7792189	0.2790065	0.1207398	0.3295553	0.4665875	0.5334322	0.6853619	0.7442291	0.4254705	0.7407098	0.5132574	0.2363179	0.5510622	0.4682310	0.7303430	0.6537091	0.6861845	0.5073903	0.5544142	0.7127895	0.0962186	0.5083715	0.0342316	0.4816763	0.5710846	0.8087290	0.0909809	0.0677692	0.0539719	0.8441763	0.0023004	0.0767968	0.5812438	0.2630057	0.6629050	0.4289889	0.5618221	0.4729823	0.0417466	0.2275641	0.5920033	0.6827537	0.5543618	0.4983382	0.7206974	0.7730892	0.5001257	0.4446339	0.2922396	0.3979297	0.6789142	0.5323669	0.3182035	0.0092864	0.4880857	0.4779458	0.5580853	0.4230534	0.6406306	0.1482425	0.1857437	0.6268035	0.1017091	0.4453500	0.0699726	0.5596085	0.4096700	0.7536592	0.4816025	0.6645130	0.4328252
0.7128296	0.7430415	0.0673144	0.3532769	0.2844551	0.6334052	0.5707669	0.0072200	0.7123684	0.0708807	0.7643443	0.5496516	0.7931491	0.0204313	0.5745283	0.6607280	0.1191597	0.0763614	0.6506815	0.5436165	0.5769670	0.2460507	0.0883743	0.6192189	0.1130672	0.7887096	0.0110481	0.7766342	0.8262577	0.7032458	0.1347129	0.5833487	0.2922643	0.3416769	0.3707634	0.6745777	0.4269962	0.3101868	0.7853056	0.6817078	0.0737944	0.5704486	0.6294529	0.6365152	0.7546898	0.7202228	0.6133491	0.6385841	0.5677572	0.0674093	0.7984483	0.0018653	0.6393840	0.3419509	0.5230794	0.4278509	0.2260721	0.2203216	0.7172310	0.0164532	0.0035945	0.7421322	0.2299202	0.5707380	0.3473485	0.6405205	0.4239891	0.0072700	0.2394133	0.1414752	0.4291662	0.5773251	0.4377706	0.6448877	0.6511882	0.8193229	0.3137394	0.2654659	0.7171444	0.6275918	0.6855224	0.0138722	0.0059482	0.5631276	0.7126995	0.7732332	0.5771701	0.6060254	0.4657819	0.0265366	0.5827068	0.0481123	0.4308150	0.0822070	0.0483085	0.6336601	0.6249420	0.6247187	0.4270848	0.6615612
0.7894227	0.5518605	0.4184735	0.3002994	0.3177804	0.4841701	0.5869342	0.3537094	0.6944282	0.0401383	0.6042967	0.4999999	0.6679835	0.0342276	0.0049037	0.8900685	0.1086211	0.3002137	0.7428598	0.5811190	0.1724710	0.1464817	0.1315966	0.7746270	0.0058067	0.7188534	0.3386380	0.6542877	0.4513648	0.8206478	0.6330432	0.0817832	0.2308909	0.3679070	0.5994208	0.5735826	0.5028379	0.3904809	0.7657513	0.6061611	0.2390389	0.3012954	0.8601667	0.4853032	0.8055160	0.5690165	0.3768570	0.5118162	0.7009679	0.0134409	0.6251223	0.0028658	0.5650137	0.4377515	0.7201764	0.1584649	0.0474264	0.3241742	0.5136300	0.0418808	0.0111482	0.6215689	0.1847724	0.5427628	0.1976736	0.7220806	0.8495659	0.0208004	0.4937649	0.1689580	0.5942691	0.2800272	0.6351910	0.5651921	0.5295620	0.7436954	0.4317966	0.2438399	0.7119689	0.7366301	0.5695319	0.0036532	0.0407028	0.6115926	0.3229332	0.6526581	0.5165876	0.5536367	0.4334217	0.1191201	0.5044585	0.0455530	0.3065318	0.1183505	0.2811294	0.5071351	0.5095064	0.3055413	0.6784509	0.4545587
0.3436988	0.5062724	0.5521488	0.3698776	0.4442689	0.6869995	0.6963000	0.0008755	0.7000969	0.1970925	0.5958233	0.4276567	0.5746962	0.0902685	0.0500716	0.6455801	0.0913739	0.3392513	0.6321254	0.6667604	0.8334804	0.4905320	0.0758376	0.7743667	0.1630298	0.3541300	0.5901004	0.6358342	0.6928204	0.6793227	0.1124278	0.0630941	0.1518095	0.4215591	0.1547761	0.6044250	0.7444635	0.5532845	0.7198012	0.6619955	0.0714547	0.4445084	0.6289655	0.5066578	0.6731268	0.5308519	0.5779911	0.7336033	0.8166671	0.0186641	0.8347621	0.0074975	0.6584146	0.5571172	0.8230057	0.1930285	0.1096896	0.0719847	0.7353323	0.0083327	0.2410980	0.6285899	0.2744961	0.5297207	0.3286584	0.7202628	0.6820627	0.0178434	0.4093411	0.5850649	0.6664527	0.4852911	0.6326027	0.6555692	0.6769093	0.6153016	0.2944593	0.3650440	0.4706267	0.6598820	0.7359210	0.2756463	0.2134733	0.4184527	0.8254437	0.6499137	0.3840220	0.5488744	0.2703418	0.1649637	0.5094808	0.2194863	0.3856872	0.0649634	0.7063805	0.4839750	0.7398615	0.5235980	0.5733050	0.6647014
