"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	0.6753244	0.6081272	0.1602951	0.4001525	0.3141927	0.7154462	0.7395481	0.0855359	0.7430738	0.0927240	0.5564541	0.5131829	0.6624845	0.0605957	0.1189683	0.6882172	0.1464397	0.2704361	0.7654354	0.6967091	0.8108098	0.4398095	0.0544966	0.7123240	0.0146369	0.5393695	0.5391334	0.6591856	0.6673755	0.6854733	0.0111238	0.1888570	0.1799163	0.3597158	0.2920046	0.5628381	0.6565905	0.4377287	0.7420212	0.5228473	0.0880379	0.5769822	0.7553671	0.6803079	0.7208911	0.5600873	0.5221924	0.6912382	0.6537102	0.0853953	0.5783027	0.0621814	0.5075210	0.4161383	0.6846955	0.1823965	0.0548484	0.0127123	0.6942819	0.0293430	0.0206621	0.6148268	0.2205125	0.5688103	0.4124334	0.6964656	0.6830434	0.0176653	0.4197920	0.5485117	0.5510884	0.4967139	0.7039600	0.7058456	0.6923656	0.7266222	0.3152047	0.3009260	0.6482163	0.7196566	0.5426918	0.0547055	0.0250005	0.6485025	0.4769319	0.5831913	0.3145244	0.6754316	0.4092545	0.2006152	0.5398044	0.1296724	0.4373994	0.1701808	0.4110465	0.5294560	0.6117521	0.1783005	0.6044071	0.7025407
50	0.5810115	0.5558706	0.3128263	0.3350067	0.2627204	0.7275865	0.5896922	0.0390361	0.2359109	0.0770821	0.6406893	0.5494193	0.7384802	0.0937031	0.0423075	0.5328684	0.0535090	0.2220848	0.6775571	0.6374494	0.6586698	0.3873929	0.0950944	0.5986096	0.2241260	0.4982328	0.5535035	0.2619234	0.6141114	0.5992661	0.0029787	0.1509087	0.0839581	0.5820234	0.5091855	0.3801592	0.7634167	0.3406551	0.2501689	0.5266535	0.1588748	0.3999316	0.3038183	0.4133369	0.3331964	0.6073843	0.4940410	0.5793259	0.6916277	0.1132059	0.1672374	0.0130385	0.5387018	0.4283967	0.5047051	0.1595930	0.0985539	0.0700811	0.7744586	0.0276058	0.3632757	0.8554752	0.3485982	0.5958918	0.3867116	0.7077230	0.7555826	0.0041489	0.5219293	0.5032522	0.5769717	0.5216962	0.6407805	0.6539915	0.6925466	0.7105540	0.3557757	0.1275178	0.7222135	0.3390557	0.6528468	0.0409180	0.0236710	0.7161636	0.6254723	0.5719412	0.2505414	0.7285395	0.3482682	0.4691447	0.5872820	0.1164061	0.3486352	0.0695219	0.3745313	0.6492593	0.6415857	0.2378488	0.7671390	0.6862849
100	0.7007469	0.5319786	0.2334893	0.3885062	0.2675553	0.7359687	0.6206869	0.0255372	0.0779850	0.0748306	0.8531206	0.5078227	0.7295911	0.1829584	0.0294152	0.5192057	0.0463841	0.2397883	0.6253149	0.6127059	0.8341110	0.4285656	0.0736427	0.5710172	0.2017685	0.3274486	0.5172397	0.2110806	0.6224029	0.6133160	0.0002058	0.2067038	0.0208493	0.7612930	0.5008215	0.3726516	0.6488565	0.4138050	0.2078579	0.2528946	0.1774903	0.5614881	0.3694235	0.3690266	0.2572924	0.5192763	0.4547086	0.5032684	0.8079814	0.0744381	0.0494672	0.0002494	0.5330319	0.5440227	0.3938572	0.3448804	0.1192148	0.0998297	0.7039515	0.0405900	0.4898323	0.7140832	0.3031999	0.5681486	0.4256334	0.6050051	0.6095459	0.0200079	0.5394391	0.5576804	0.7043367	0.4675756	0.5498362	0.5992007	0.7713207	0.6404118	0.4074278	0.1543539	0.6074207	0.3497554	0.6113002	0.0373454	0.0277288	0.6001641	0.5669582	0.5980533	0.3091548	0.5791345	0.4031957	0.4666480	0.5623397	0.0970250	0.2552049	0.0235110	0.4684672	0.4471021	0.6967609	0.1671711	0.7719462	0.6554122
150	0.6737802	0.6804107	0.2714991	0.4135704	0.3036552	0.7895999	0.5352362	0.0336407	0.1011284	0.1053536	0.6464208	0.5395728	0.6955895	0.4154713	0.0456115	0.5445105	0.0198328	0.1897622	0.7073383	0.5883469	0.5326537	0.3796202	0.0847336	0.6834328	0.2527170	0.2339247	0.6829203	0.1780129	0.7795550	0.5790432	0.0045015	0.1819513	0.0283725	0.6970209	0.5630264	0.3730767	0.6309531	0.2358262	0.1226611	0.1266498	0.1729569	0.4389773	0.2200676	0.4123769	0.2862356	0.4874347	0.5505464	0.5263943	0.5986635	0.0765503	0.0580410	0.0000000	0.5432067	0.3941328	0.3314654	0.3118817	0.1539617	0.0794295	0.6339047	0.0170203	0.5151054	0.7962372	0.2902422	0.6451386	0.4802228	0.7025430	0.6606024	0.0569749	0.4634787	0.4932072	0.5869653	0.5813114	0.4968221	0.6400085	0.6260226	0.6286029	0.3816720	0.1106535	0.7157517	0.2275023	0.7444869	0.0568853	0.0949257	0.6856479	0.6029251	0.6360933	0.2841888	0.6418614	0.3269335	0.2893242	0.3641421	0.0721464	0.4213128	0.0217717	0.4338149	0.5785650	0.7031899	0.1131120	0.7763521	0.6675371
200	0.6175147	0.6045805	0.4529551	0.4150673	0.3569854	0.7106069	0.4489296	0.0296835	0.0964627	0.0795305	0.7052203	0.4562641	0.6667778	0.4433093	0.0297867	0.7342929	0.0224277	0.2122746	0.7225102	0.6547910	0.6820159	0.3855186	0.1503072	0.6634912	0.3296606	0.2204576	0.6455579	0.1849051	0.7413434	0.6159180	0.0020070	0.1624615	0.0016629	0.6661092	0.4088852	0.4801574	0.5872608	0.1861543	0.0597794	0.0731369	0.2432830	0.5220378	0.2178308	0.3977439	0.2542280	0.4575034	0.5098913	0.4942219	0.6311670	0.1389872	0.0330852	0.0073003	0.5482191	0.4091134	0.5186491	0.3202257	0.1902682	0.0916601	0.5528318	0.0233237	0.4473265	0.5815695	0.2355361	0.6363685	0.4572393	0.6527697	0.5681332	0.0374780	0.4443056	0.6077655	0.6657103	0.3804374	0.4639301	0.6282527	0.7179762	0.5537238	0.3110824	0.0708789	0.6493904	0.1632377	0.5947351	0.1004486	0.1754925	0.7244729	0.5886741	0.7937484	0.2733149	0.5902645	0.3601525	0.3710450	0.3531757	0.1164909	0.3224364	0.0304447	0.4404404	0.5933574	0.7579502	0.0747768	0.6099335	0.6938725
250	0.5759355	0.6618649	0.2897799	0.3945308	0.3213013	0.7184939	0.3802055	0.0276984	0.1140282	0.0709312	0.6787249	0.5548853	0.6714752	0.6669373	0.0174100	0.4544843	0.0060983	0.2521837	0.8008354	0.6631262	0.7405503	0.3703959	0.1402156	0.5630339	0.3476047	0.1721937	0.5537332	0.1837532	0.6712318	0.5793970	0.0007940	0.1887597	0.0024529	0.6869658	0.3706074	0.4712840	0.6110126	0.1924576	0.0661060	0.0193167	0.2156809	0.4023278	0.2184135	0.4708886	0.2608463	0.4176065	0.4736713	0.5950171	0.6973290	0.0750556	0.0180674	0.0013465	0.7262533	0.2953845	0.3939062	0.4359316	0.2529222	0.1249116	0.5640650	0.0182690	0.5213208	0.6850706	0.2548464	0.5672509	0.4771802	0.7833130	0.6527639	0.0116516	0.4154602	0.4912387	0.7478893	0.4255831	0.4048344	0.6509025	0.6546338	0.6981067	0.4676247	0.0726416	0.7551551	0.2301096	0.6276263	0.0318987	0.1420736	0.7116214	0.4938723	0.5620958	0.3233256	0.6587154	0.3422399	0.3423273	0.3106177	0.1645167	0.2772201	0.0464325	0.4636057	0.5681416	0.7021613	0.1180977	0.6036025	0.6715729
300	0.6617949	0.7144763	0.3923460	0.3531466	0.3201568	0.6539809	0.3519646	0.0205512	0.0915312	0.0958933	0.8440576	0.4422684	0.6192699	0.6867976	0.0127334	0.4963013	0.0045583	0.2428094	0.7026705	0.6719350	0.6574475	0.3316388	0.1542796	0.5420205	0.2358193	0.1728314	0.5700731	0.1258821	0.5758159	0.6290303	0.0030025	0.1467385	0.0009232	0.7315224	0.5411830	0.4513837	0.7109441	0.1703239	0.0580397	0.0167792	0.2043962	0.4726568	0.2243800	0.5394344	0.2631173	0.5264111	0.5313649	0.5300358	0.6565124	0.0579526	0.0367306	0.0006198	0.6522050	0.3081096	0.4213430	0.4537695	0.3340933	0.1781300	0.6464912	0.0202813	0.5017666	0.6360095	0.2664756	0.5073986	0.3997938	0.7688282	0.6831394	0.0184181	0.3656611	0.4067883	0.7002813	0.3925880	0.3924417	0.5764311	0.7300689	0.6654270	0.3578980	0.0816075	0.6501593	0.2121007	0.6737668	0.0592123	0.2066461	0.5822368	0.6382168	0.5879733	0.3313221	0.5942098	0.3920384	0.3579448	0.2478555	0.2436952	0.3298544	0.0257391	0.3671103	0.4861978	0.5980914	0.0781511	0.5920649	0.6995587
350	0.7181311	0.6352415	0.2881126	0.4609504	0.3324432	0.7964037	0.3335528	0.0224244	0.0818865	0.0523374	0.7386040	0.4154897	0.6924154	0.6413439	0.0089515	0.4801568	0.0060189	0.2905799	0.6626682	0.7277838	0.7185865	0.3618232	0.1276922	0.6146207	0.2397435	0.1410727	0.5805934	0.1101198	0.5843244	0.6203119	0.0085987	0.2256812	0.0001557	0.6639315	0.4848316	0.4760999	0.7582707	0.2265483	0.1136419	0.0287240	0.2324863	0.4093904	0.2062751	0.5498060	0.2539973	0.4429596	0.4012028	0.6201772	0.7696538	0.1044743	0.0285958	0.0002494	0.5704304	0.3367532	0.4575607	0.4428033	0.3016748	0.1816811	0.5952452	0.0317207	0.5011342	0.6623459	0.2399172	0.5916803	0.4878743	0.6230506	0.5734142	0.0046123	0.4799226	0.4414656	0.7344564	0.4823767	0.4471063	0.6035096	0.7398644	0.6161916	0.3665976	0.1563833	0.7305841	0.2915097	0.6969156	0.0573970	0.2003716	0.5988024	0.5466776	0.5279162	0.2978550	0.6415213	0.3207866	0.4266029	0.2289197	0.2229546	0.4285501	0.0333076	0.3510693	0.5850095	0.6743039	0.1224012	0.6863764	0.6005134
400	0.6864909	0.7553589	0.2542428	0.4085251	0.3553972	0.7119393	0.3836256	0.0333334	0.0992801	0.0779229	0.8502417	0.4393229	0.8364315	0.6895725	0.0082562	0.4922243	0.0000000	0.2579932	0.6456211	0.8162904	0.5879003	0.2593775	0.1411762	0.5756818	0.2351383	0.1270998	0.5929120	0.1620937	0.7551762	0.6288375	0.0056606	0.2224758	0.0000545	0.7022381	0.5393798	0.5177008	0.7429407	0.1561420	0.0541193	0.0313705	0.1678200	0.5225769	0.2539269	0.4070508	0.2367823	0.4050549	0.4615958	0.6339357	0.6423793	0.1376703	0.0421589	0.0002045	0.5677737	0.3095552	0.3758752	0.4674691	0.3893662	0.2206740	0.6127020	0.0364608	0.4231072	0.7186528	0.3173590	0.5751731	0.5633699	0.7421118	0.7489162	0.0110072	0.5107191	0.4495107	0.7477453	0.4616920	0.5883926	0.6383298	0.7233068	0.7029278	0.2458547	0.1900602	0.7021313	0.2285116	0.7213395	0.0415468	0.1927844	0.8799887	0.6415296	0.6610354	0.3108567	0.7177783	0.3190041	0.3326994	0.1807183	0.2721464	0.5133281	0.0339992	0.3822475	0.5192461	0.6920208	0.0712334	0.6860926	0.8791005
