YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.7306772	0.7562892	0.2193624	0.3876025	0.3982898	0.7894881	0.7013994	0.0253423	0.6397260	0.0982444	0.5925096	0.5863673	0.7947197	0.1112962	0.1620654	0.7401953	0.1796605	0.2021270	0.6499285	0.4172907	0.5824412	0.4073196	0.0000000	0.8467507	0.0153490	0.4051500	0.5258978	0.7365342	0.6711280	0.6448711	0.0068010	0.1944860	0.3308076	0.3857396	0.3892197	0.4354417	0.7237995	0.0000000	0.8146304	0.6594986	0.1267786	0.5223531	0.7097689	0.7261064	0.7645159	0.5911837	0.4129553	0.6617980	0.6489714	0.1172128	0.6741588	0.0286762	0.6100382	0.4529970	0.6939207	0.2114624	0.1635491	0.0512468	0.8287561	0.0579973	0.0210892	0.7762171	0.1972342	0.5910609	0.3688079	0.7613303	0.6508416	0.0224827	0.4198359	0.5001666	0.6006815	0.4855586	0.7726335	0.7286304	0.6604136	0.6304405	0.4374468	0.2469974	0.6744607	0.6663733	0.6811347	0.2827655	0.0156555	0.5253590	0.6498862	0.6632163	0.3175201	0.6524756	0.3459405	0.1562789	0.6517867	0.1231358	0.3881640	0.1863471	0.4069338	0.3270556	0.7159262	0.1228556	0.8160923	0.6742208
0.6906013	0.5838209	0.1030919	0.3781398	0.3033008	0.7278755	0.6112984	0.0460059	0.7093214	0.0519483	0.7603027	0.3000833	0.7782374	0.6546013	0.2386310	0.7026772	0.0975597	0.1778203	0.7840813	0.6823274	0.6403456	0.4824180	0.4246832	0.6108155	0.0184717	0.6523647	0.6084454	0.8329820	0.8039157	0.6510109	0.0008777	0.2560617	0.0004516	0.0000000	0.0426021	0.4335824	0.7250688	0.0000000	0.6576321	0.6044524	0.1259663	0.4270339	0.6062583	0.6743186	0.5876677	0.5532582	0.5080712	0.7503041	0.6430155	0.1110514	0.7005748	0.0416600	0.7681514	0.3695679	0.6757025	0.1664162	0.0888077	0.0302216	0.6705555	0.0202438	0.0263565	0.6875721	0.1771861	0.6427131	0.3883924	0.7007456	0.5736053	0.0273093	0.2984913	0.5264601	0.7207059	0.5752234	0.5778091	0.6987249	0.7310547	0.6385217	0.3177477	0.2264665	0.7728751	0.6818003	0.6661318	0.5526687	0.2327372	0.7670805	0.6627873	0.6972299	0.4095895	0.7569505	0.3445816	0.0584646	0.6411827	0.3984902	0.3125479	0.0969496	0.4296802	0.2724556	0.6367108	0.0183448	0.4291657	0.6023543
0.8139443	0.7433826	0.1100768	0.3556191	0.3084367	0.7564070	0.8067549	0.0233690	0.6729897	0.1302150	0.6744379	0.4696851	0.7006723	0.6112298	0.0598771	0.7476592	0.5619722	0.2145676	0.5954247	0.6972937	0.6589195	0.4352751	0.2645364	0.7260607	0.1471659	0.3894105	0.4270693	0.8013417	0.6624843	0.6668534	0.1773539	0.1970829	0.0000000	0.3533836	0.0512079	0.4387122	0.7044061	0.3524419	0.6663474	0.6134195	0.1259601	0.4524879	0.6348989	0.7375193	0.5861708	0.5869379	0.6462383	0.7538607	0.7424798	0.1089770	0.7774143	0.0682858	0.5209367	0.5968723	0.7996477	0.1322736	0.0685391	0.0386118	0.6269338	0.0245331	0.0231610	0.7107074	0.2285371	0.5484000	0.3498736	0.6818562	0.5505377	0.0183224	0.4384805	0.5704750	0.7124126	0.4677794	0.7354083	0.6928365	0.6026136	0.6216042	0.3860984	0.2549387	0.0000000	0.7410998	0.6632951	0.1371778	0.2743476	0.7463763	0.6342299	0.6589117	0.3345761	0.6498455	0.3667925	0.1933724	0.6967250	0.2771568	0.3378043	0.4638005	0.3250225	0.4030292	0.7426757	0.1249479	0.4929189	0.7030910
0.7287700	0.6929214	0.1588350	0.4576450	0.2077508	0.6228523	0.7324401	0.0440219	0.6540764	0.0575203	0.6057344	0.6621783	0.6810564	0.5927989	0.2607918	0.7615724	0.1651603	0.1876359	0.6431016	0.3001221	0.6071339	0.3290605	0.0000000	0.6498701	0.0123878	0.6171730	0.4803337	0.6802176	0.8055756	0.7032053	0.0011186	0.2010725	0.0020711	0.0000000	0.0248152	0.3811881	0.6520380	0.4259278	0.7385548	0.6667913	0.1273898	0.5833177	0.7345954	0.7788312	0.7452279	0.6043546	0.4627413	0.6716632	0.7407242	0.0726946	0.6493166	0.0510528	0.4284994	0.5870589	0.7013323	0.2818564	0.1194764	0.0265102	0.7395455	0.0207079	0.0621549	0.6626087	0.1403685	0.6401247	0.3485825	0.6407726	0.7714310	0.0389334	0.3814167	0.5800389	0.6264134	0.3958503	0.6645315	0.6740860	0.7398586	0.6719114	0.4832800	0.3446904	0.7127389	0.8025303	0.5354108	0.2119799	0.2624496	0.5501629	0.5806880	0.5766525	0.3570453	0.6493621	0.3458854	0.2546221	0.5616504	0.3473084	0.3003856	0.0373546	0.3517960	0.4553530	0.7147459	0.1135309	0.6246459	0.6146852
0.6652507	0.7447209	0.2559058	0.3920135	0.3026798	0.7230471	0.7627027	0.6525363	0.6694171	0.0805193	0.6313891	0.4018588	0.6153673	0.0650742	0.2231380	0.6934655	0.1259067	0.2672928	0.7488875	0.3638287	0.6778944	0.4381711	0.0000000	0.7895016	0.0246125	0.6593788	0.5670390	0.6338798	0.8352530	0.7472872	0.0029148	0.2450801	0.2315829	0.4166937	0.3916300	0.6070486	0.8047023	0.3333380	0.7228126	0.5847936	0.0724153	0.5353391	0.6130009	0.6741523	0.6509522	0.5082108	0.4986638	0.7574292	0.6400777	0.0957732	0.7548865	0.0132793	0.5729500	0.3899042	0.6482977	0.2073797	0.0000000	0.0090329	0.6410534	0.0240828	0.0196520	0.6194029	0.2115640	0.6027101	0.3798373	0.7156639	0.8346171	0.0162678	0.4378134	0.4821969	0.7017617	0.5605429	0.6496574	0.7003072	0.6570380	0.5089245	0.4400445	0.2361681	0.7108040	0.7577960	0.7071327	0.0813768	0.0196677	0.6493890	0.4936290	0.5275477	0.2367296	0.5058246	0.4293078	0.2709603	0.6714548	0.1213360	0.3556106	0.1497666	0.4150958	0.3794175	0.6071473	0.3680155	0.5473477	0.6291137
0.7028379	0.6908384	0.1729705	0.3650837	0.3076699	0.6645524	0.7792185	0.0340797	0.6403444	0.0975583	0.6394661	0.5460878	0.7285747	0.0981456	0.3264398	0.6274844	0.1037482	0.2276724	0.7587806	0.0209466	0.7231256	0.4492240	0.0000000	0.6335690	0.0130811	0.5535674	0.0000000	0.7616828	0.6148998	0.6732461	0.0141542	0.1234183	0.2014493	0.3066104	0.3425711	0.4812784	0.6231423	0.3604829	0.6137678	0.6000897	0.0896092	0.4724046	0.7050288	0.5887684	0.6972328	0.6749840	0.4778853	0.7335444	0.6482583	0.0938070	0.6302528	0.0530560	0.5686413	0.6009887	0.6870607	0.2137022	0.1117336	0.0254154	0.6699199	0.0446076	0.0200399	0.5936212	0.2478267	0.4748666	0.3070577	0.6392713	0.7405427	0.0169666	0.5183287	0.4999988	0.6428352	0.4043588	0.6984936	0.6269254	0.7557576	0.6306215	0.4051410	0.2941423	0.6417091	0.6091819	0.6103632	0.0360337	0.0333906	0.5773360	0.5540535	0.4849179	0.1597714	0.7049788	0.3594737	0.3452717	0.6925098	0.1462326	0.4667447	0.1748920	0.4071326	0.5750485	0.7041423	0.3756242	0.7365076	0.7368026
0.7674638	0.5767464	0.2079243	0.3036420	0.2859026	0.6498508	0.7797214	0.0572343	0.6754998	0.1038721	0.6202027	0.6252522	0.8085337	0.0664475	0.3427605	0.6386048	0.1681307	0.2884581	0.6722590	0.0029935	0.0000000	0.0035352	0.0572247	0.6304878	0.0127876	0.5433981	0.0000000	0.6951956	0.7325465	0.7006952	0.0117181	0.1769758	0.2359330	0.3930757	0.3437403	0.4766361	0.5984934	0.4049222	0.6644689	0.5390507	0.1381934	0.5165618	0.7521105	0.6485712	0.7995148	0.5888583	0.5202130	0.6660589	0.6550469	0.0774165	0.6790407	0.0264101	0.5732565	0.6035614	0.5927827	0.1961057	0.0898620	0.0267497	0.6956342	0.0297886	0.0189092	0.7328550	0.2134840	0.7268043	0.3853033	0.5854372	0.6040899	0.0260421	0.3629716	0.4984297	0.7194747	0.3893046	0.5624314	0.6953103	0.7990501	0.6255277	0.3227157	0.2250414	0.7014006	0.6392737	0.6657874	0.0503738	0.0212318	0.6474481	0.4821649	0.6390981	0.2382342	0.7396855	0.3279833	0.1273639	0.6249063	0.3754398	0.2913168	0.1685929	0.3225400	0.4248290	0.7877673	0.5720413	0.5550803	0.6401925
0.6539048	0.6639872	0.1973028	0.3455787	0.2457688	0.6440189	0.6868755	0.1859895	0.6653633	0.0733391	0.7143186	0.5465653	0.6226100	0.0814902	0.1336963	0.6731404	0.1322166	0.2090718	0.5740507	0.4062949	0.0000000	0.0039389	0.0000000	0.7356005	0.0136356	0.4446983	0.5711150	0.6476832	0.6480634	0.6938503	0.0019560	0.2013141	0.2271600	0.3552793	0.3792829	0.4926594	0.7869004	0.2890372	0.6873204	0.6382901	0.1297903	0.4851235	0.5489978	0.7019479	0.7449234	0.5684981	0.3945742	0.6009521	0.7355254	0.1091391	0.7815200	0.0938212	0.4499040	0.5561156	0.7693256	0.2039949	0.1298913	0.0256096	0.8667870	0.0191955	0.0262233	0.6008572	0.2370096	0.7473032	0.3294868	0.7495207	0.5593931	0.0161250	0.4455718	0.5221004	0.7356111	0.4351854	0.4988884	0.7126009	0.7816759	0.6048509	0.3405566	0.2162782	0.7625787	0.6624913	0.7791161	0.0942930	0.0138542	0.4249359	0.4959003	0.5992705	0.1881339	0.7253113	0.3801231	0.2494175	0.5943442	0.3996802	0.2474422	0.1339468	0.3452220	0.3663972	0.6399875	0.4325402	0.7721911	0.6691747
0.6963315	0.6638776	0.1500716	0.3112269	0.3475072	0.6693987	0.6820453	0.0186710	0.6683566	0.0802530	0.8338592	0.3269071	0.7250629	0.5978452	0.0687998	0.6529320	0.1332469	0.3041557	0.6318394	0.6431714	0.6263227	0.5244001	0.1825658	0.6826953	0.0145324	0.5408162	0.5617294	0.7559651	0.7685999	0.8567532	0.1219685	0.2075418	0.0000000	0.4469943	0.0868544	0.5167628	0.6578420	0.4705284	0.5869331	0.5377546	0.1556623	0.4741403	0.6473048	0.7606242	0.6104991	0.5559246	0.4958809	0.5486028	0.7743188	0.0808957	0.7389207	0.0588516	0.5185343	0.5180603	0.5925534	0.1792313	0.0779329	0.0189220	0.6258323	0.0370786	0.0509553	0.6468672	0.2620911	0.6390391	0.0000000	0.6082473	0.7251444	0.0529468	0.5423302	0.5576957	0.7781568	0.4203499	0.6592557	0.6651706	0.7730795	0.6226929	0.3836620	0.2107710	0.8361157	0.6861647	0.6821127	0.0916615	0.2705211	0.6974818	0.4656146	0.7050483	0.3235675	0.6914702	0.3977758	0.1783850	0.6054202	0.3129668	0.3086259	0.0864731	0.3214977	0.4186670	0.6142312	0.1420188	0.5850460	0.7615731
0.6398306	0.6404531	0.1550130	0.3345568	0.3250965	0.7001116	0.6424885	0.0521231	0.6487794	0.1384376	0.7492547	0.6328040	0.0000000	0.0388522	0.1859824	0.7290781	0.1063818	0.2307045	0.6581053	0.3179536	0.7134548	0.4872078	0.0000000	0.6476527	0.0420813	0.4869393	0.5596522	0.6990908	0.6999719	0.7008223	0.0036126	0.2184993	0.2129091	0.4651752	0.3563168	0.4575234	0.6773001	0.3631010	0.7074140	0.6869245	0.0815103	0.5327126	0.6294294	0.6750312	0.5858830	0.6058864	0.5153585	0.6753947	0.7027068	0.1136425	0.8379532	0.0351970	0.6220458	0.7025845	0.6685314	0.2432775	0.1425968	0.0357311	0.5251946	0.0261317	0.0272157	0.7224793	0.4000392	0.7390806	0.3625963	0.7442685	0.6166289	0.0130538	0.4743801	0.4471212	0.7283749	0.4815955	0.7194503	0.6996438	0.7817194	0.6032956	0.3381935	0.2293502	0.6645771	0.6224469	0.6293524	0.0647325	0.0184460	0.5978388	0.5464206	0.5470021	0.2908238	0.6910347	0.4075594	0.2703210	0.5952003	0.1579624	0.4142410	0.1459313	0.3442183	0.5099458	0.6531236	0.2267653	0.7225677	0.6429490
