YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.3021177	0.5520189	0.2944358	0.2236708	0.3731072	0.6600873	0.7792956	0.1139458	0.6586541	0.3837586	0.6031932	0.5487497	0.7259203	0.0423268	0.2396048	0.7188229	0.1476925	0.2868090	0.7445843	0.7370216	0.7408177	0.4764247	0.0944780	0.7285101	0.0327839	0.5255006	0.4536900	0.7253728	0.7400159	0.6186968	0.0417813	0.0963686	0.2522178	0.3365381	0.4344438	0.4877345	0.6059154	0.3759731	0.8163335	0.6991493	0.1103406	0.4808532	0.6503918	0.6427604	0.5979535	0.4456816	0.5285259	0.7212894	0.7339277	0.1029633	0.7853832	0.0305448	0.4734355	0.6709111	0.7397727	0.1571299	0.0892755	0.0288436	0.6994385	0.0155018	0.0109141	0.5573263	0.3082316	0.5994286	0.4083516	0.6884174	0.5830342	0.0319763	0.4868943	0.5295773	0.7041614	0.4705570	0.6310857	0.7102625	0.6929616	0.5238047	0.2769306	0.3784562	0.5439167	0.7250241	0.6380391	0.0416648	0.0622293	0.7104606	0.4606872	0.6030962	0.2574992	0.7056626	0.3637809	0.1370773	0.5434005	0.1781348	0.3675938	0.1177734	0.4460913	0.5015410	0.5628660	0.2099378	0.7602914	0.6845448
0.5945621	0.3392687	0.1649562	0.4277288	0.3161728	0.8278241	0.6943084	0.0184427	0.5505832	0.1128536	0.7264581	0.5980454	0.6171184	0.0834747	0.1991405	0.7074646	0.1361585	0.2537470	0.7318698	0.7550170	0.6438536	0.3736477	0.0728941	0.7921866	0.0198446	0.5285886	0.4999587	0.7524485	0.7119788	0.7671597	0.0074436	0.1791821	0.2386474	0.3392653	0.3092864	0.4525002	0.6316247	0.3399830	0.6976528	0.5852230	0.0905410	0.5724243	0.6635314	0.7253568	0.6937441	0.4936227	0.4477701	0.7342189	0.5281446	0.0924398	0.7529642	0.0560722	0.5202762	0.5192343	0.6617141	0.1884168	0.0941110	0.0477091	0.6503163	0.0196033	0.0217292	0.5512066	0.2090620	0.5628938	0.3102386	0.6803474	0.6801115	0.0290162	0.5115963	0.5488561	0.7126698	0.3760160	0.6750225	0.8260546	0.7498390	0.6961892	0.4299001	0.2915104	0.7718101	0.6996110	0.5505914	0.0625184	0.0409854	0.7469458	0.4835361	0.6536850	0.2016814	0.6456527	0.3743428	0.1692651	0.6842113	0.0885463	0.3069397	0.1807044	0.3274509	0.4483127	0.7276086	0.1966874	0.8306594	0.6098808
0.8013166	0.5635290	0.0567481	0.4443303	0.2424989	0.6697895	0.5478290	0.0146916	0.7824216	0.0729943	0.7596058	0.5478856	0.7790692	0.0579867	0.1382529	0.7518460	0.1070196	0.3522136	0.6930097	0.6796140	0.6124649	0.3915738	0.0721434	0.6724689	0.0101884	0.4840263	0.4142661	0.6226791	0.7754955	0.7201695	0.0146351	0.1964986	0.2818876	0.3575647	0.4409003	0.4802165	0.7996608	0.3929000	0.6993158	0.6313882	0.1306981	0.4792570	0.7319717	0.8075531	0.7229553	0.5624740	0.5302291	0.6558161	0.5013195	0.1065473	0.7488126	0.0291019	0.4548891	0.5088947	0.7688898	0.2317654	0.0627044	0.0389287	0.5953898	0.0414459	0.0322287	0.7214818	0.2427158	0.5324561	0.3038189	0.6354334	0.8208591	0.0246564	0.4593825	0.5527991	0.6589077	0.4833648	0.8217229	0.7471367	0.5832524	0.5969693	0.2991513	0.2314534	0.6188022	0.5866151	0.7003974	0.0315156	0.0395529	0.6489534	0.6540635	0.7428518	0.1909289	0.6782587	0.3952837	0.1701302	0.6856749	0.1564520	0.4001739	0.1109790	0.3872664	0.4563425	0.7119149	0.1970399	0.6965072	0.6749273
0.6689681	0.6412163	0.2099242	0.1627246	0.2768236	0.7093891	0.6633210	0.0782332	0.6896378	0.0732521	0.7150408	0.4925452	0.6791876	0.0751713	0.0755692	0.8434816	0.1179161	0.1622021	0.7267813	0.5647801	0.6691318	0.4829194	0.0822700	0.7622762	0.0235688	0.5302088	0.5783050	0.6759610	0.8075589	0.7127568	0.0031931	0.2154675	0.2330695	0.3449807	0.3365697	0.4832732	0.6324192	0.3757077	0.7805878	0.6356707	0.1020614	0.4932458	0.6988373	0.6561811	0.7838652	0.5277315	0.5870287	0.6164558	0.6798542	0.1143611	0.6504987	0.0695258	0.6585808	0.5869386	0.7357780	0.2063778	0.0585625	0.0157206	0.7954169	0.0296618	0.0245576	0.6601628	0.2216584	0.5648427	0.4028202	0.7016325	0.5818960	0.0316293	0.4488822	0.4920995	0.6478718	0.5876182	0.6490589	0.6288215	0.7260871	0.6559878	0.4069784	0.2709661	0.6437734	0.5936885	0.7333350	0.0571410	0.0434885	0.5829359	0.5200939	0.7078750	0.3292996	0.5946137	0.4736504	0.1650525	0.6083835	0.1681353	0.3626422	0.1312102	0.4266222	0.4500621	0.6146711	0.1361116	0.6749106	0.6542072
0.6859207	0.6164030	0.1700087	0.3572922	0.1441566	0.7319489	0.6998309	0.0355079	0.7425337	0.0759335	0.6171095	0.6149891	0.5289844	0.0577888	0.1470000	0.6601503	0.1331915	0.1896111	0.7814336	0.7237907	0.5504178	0.5175280	0.0729026	0.7831766	0.0177690	0.3456864	0.4678217	0.7349440	0.6890868	0.6940920	0.0016422	0.2070617	0.2148635	0.3652232	0.3618240	0.4661867	0.6410095	0.2749408	0.6906028	0.5807440	0.0884858	0.3988330	0.6359331	0.7313880	0.5275755	0.4605685	0.5578143	0.6336824	0.6588077	0.1144525	0.7096044	0.0466761	0.6568420	0.5964063	0.6022588	0.2228241	0.0970957	0.0515433	0.6218149	0.0166919	0.0690234	0.8020171	0.2396243	0.5933782	0.3251389	0.6795764	0.6518382	0.0416386	0.3810804	0.4611616	0.7525607	0.5119676	0.6361259	0.5538144	0.6842497	0.6060386	0.3730079	0.2844616	0.6847112	0.7829880	0.6648462	0.0473095	0.0352077	0.6478133	0.5320090	0.5727958	0.3743228	0.6846280	0.3263672	0.1784707	0.6112944	0.1311735	0.3644584	0.1570255	0.4425896	0.4829666	0.7372459	0.1579421	0.5515291	0.6583263
0.6190532	0.6990965	0.1912209	0.4691757	0.3063041	0.3538939	0.7376768	0.0577689	0.7527863	0.0502573	0.7375411	0.5097166	0.7379390	0.1039717	0.1314509	0.5829565	0.1237893	0.2430911	0.6717857	0.6600985	0.7250636	0.5322065	0.0856930	0.6277623	0.0133568	0.5441648	0.4715449	0.6802497	0.6344667	0.7664324	0.0084678	0.2554476	0.2399487	0.3584416	0.4535587	0.6228844	0.6156132	0.3708787	0.6770679	0.6881941	0.0905452	0.4695001	0.7024347	0.6315647	0.6952960	0.5990002	0.5586548	0.8524001	0.7803821	0.0366512	0.7132355	0.0418594	0.4843129	0.5928725	0.7407458	0.1722842	0.0530111	0.0140166	0.6829070	0.0278992	0.0666971	0.6955502	0.1980522	0.6677020	0.3861650	0.6839752	0.6098860	0.0253793	0.5415424	0.5796962	0.6041202	0.5559241	0.7602588	0.6273591	0.7091951	0.6648446	0.3291997	0.2173964	0.7052194	0.5999130	0.7099295	0.0467547	0.0266394	0.6894221	0.5703141	0.7130129	0.2768017	0.7129581	0.3738001	0.2246993	0.6072436	0.1810662	0.4014793	0.1948009	0.3080682	0.5318586	0.7424996	0.2127840	0.6546439	0.5887178
0.6284562	0.6426762	0.1318977	0.3550921	0.2941127	0.7015766	0.3333159	0.3191850	0.5869817	0.0586862	0.6333426	0.5949884	0.7170481	0.0990338	0.2066610	0.8843037	0.1265600	0.2512861	0.6814372	0.6243904	0.5646537	0.3418945	0.0521577	0.5574957	0.0412098	0.4146446	0.5335293	0.6272667	0.7076407	0.5890394	0.0197544	0.2054132	0.2269647	0.3911060	0.7005439	0.4980194	0.7058259	0.3432585	0.6043404	0.5520792	0.2067180	0.5993462	0.4985757	0.5726763	0.6254492	0.5125965	0.5272998	0.6577970	0.5691807	0.0733563	0.7615382	0.0407287	0.4138451	0.5888365	0.6440406	0.2178402	0.0829638	0.0037027	0.7326588	0.0457776	0.0305623	0.7350544	0.2683000	0.6396776	0.3585150	0.6579624	0.6519679	0.0339927	0.3937710	0.4966898	0.8119378	0.5296192	0.6920399	0.7656701	0.6583417	0.6437176	0.3933601	0.2948807	0.7161757	0.6611051	0.5856165	0.0820184	0.0256233	0.7729440	0.5125562	0.6491255	0.2680402	0.7169132	0.4006603	0.1512700	0.6563921	0.1172418	0.4292644	0.1988628	0.3617018	0.5113709	0.6354157	0.1576082	0.7294815	0.5733041
0.6638058	0.6226986	0.1226055	0.5190339	0.3462993	0.6496940	0.6873788	0.0331283	0.7128050	0.0705115	0.7818112	0.5883047	0.6033065	0.0828440	0.1960803	0.6541596	0.1423769	0.2413656	0.7812867	0.5585601	0.7417592	0.4287147	0.0372938	0.5878856	0.0373100	0.4695679	0.6156169	0.7264414	0.7590710	0.7139989	0.0126997	0.2213126	0.2406032	0.4575625	0.4338613	0.4452880	0.6249690	0.3453178	0.6797406	0.5413080	0.0630888	0.5071142	0.7048788	0.7435769	0.6715085	0.4833792	0.5852870	0.5951026	0.5632073	0.0553549	0.6767275	0.0269680	0.5482874	0.4594892	0.5577688	0.2074376	0.0646187	0.0483715	0.8258495	0.0238870	0.0567362	0.7357885	0.2041044	0.5364763	0.3448628	0.5480174	0.6931948	0.0075594	0.4058139	0.4202729	0.6529254	0.4837055	0.7092528	0.5694914	0.7166896	0.6460096	0.4037870	0.2299860	0.6953481	0.7120889	0.7409762	0.0793116	0.0769238	0.7745583	0.5728521	0.6308324	0.2447548	0.5783054	0.3402784	0.1214592	0.7792133	0.1314194	0.4766849	0.1803193	0.5459354	0.4521048	0.7181042	0.1645274	0.7046108	0.6066064
0.6634823	0.5489320	0.0984928	0.3454536	0.3300470	0.6413708	0.5273460	0.0593925	0.3580117	0.1033269	0.7135514	0.4951673	0.6771497	0.0658480	0.0499585	0.6209039	0.0882566	0.2707355	0.7136405	0.6565290	0.6038012	0.4286202	0.0756985	0.6346698	0.0119816	0.6043728	0.4545251	0.6599740	0.6308720	0.7569724	0.0004025	0.2032138	0.1611955	0.3539500	0.2200538	0.4633946	0.7107358	0.3300949	0.6938737	0.7007090	0.0883320	0.5169897	0.7080121	0.8011938	0.8082557	0.7024641	0.4814797	0.6172022	0.5898580	0.0892553	0.6068666	0.0426079	0.4389372	0.5688592	0.6233641	0.1762929	0.1066569	0.0467788	0.6995010	0.0450847	0.0414594	0.7639535	0.2330645	0.7310307	0.3594074	0.7801436	0.6902286	0.0165602	0.3747951	0.5454788	0.6251867	0.5064457	0.7275370	0.6861033	0.6781407	0.6178794	0.4430244	0.2520090	0.6958736	0.6537693	0.6519533	0.0358160	0.0586288	0.7911086	0.6407355	0.6184363	0.2522141	0.5820783	0.3038541	0.1491082	0.6076021	0.2344481	0.3884331	0.2185884	0.4673565	0.5775878	0.6064317	0.2011685	0.6259591	0.7965720
0.6449623	0.6512775	0.1386424	0.3628741	0.2968236	0.6575924	0.5890297	0.2188437	0.7984245	0.0309246	0.7201210	0.4509231	0.8337255	0.0776723	0.1004138	0.6232479	0.1095525	0.2376433	0.6873055	0.6065742	0.6993642	0.3803749	0.0727153	0.6216604	0.0305337	0.5410981	0.5249906	0.8950973	0.5944017	0.7325437	0.0012945	0.2372130	0.3145696	0.2578347	0.4286355	0.5283571	0.7842480	0.3588817	0.6682303	0.5851381	0.1081337	0.5581152	0.7038996	0.6877090	0.8625305	0.5790738	0.5368488	0.6551187	0.6461104	0.0814835	0.7403995	0.0819179	0.5042725	0.6345964	0.6472696	0.1728903	0.0857263	0.0310388	0.6541218	0.0316104	0.0199562	0.7152060	0.2857998	0.5398384	0.3204126	0.7323073	0.7623135	0.0129843	0.3669361	0.5798178	0.5262385	0.4546831	0.6893347	0.5868404	0.7538263	0.6598164	0.2656601	0.2836230	0.6939031	0.6318563	0.6853937	0.1001362	0.0122826	0.6983453	0.5299427	0.5946707	0.2634224	0.7385980	0.3759169	0.1951280	0.5215561	0.1556347	0.2960097	0.1586888	0.4129564	0.3920568	0.6245223	0.1246388	0.7155802	0.5793688
