YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.0000000	0.0015274	0.4001652	0.1153300	0.6638545	0.7073592	0.6657224	0.0654225	0.6900785	0.7021184	0.7248047	0.5422161	0.6909494	0.0874724	0.2166650	0.8092293	0.0925063	0.1631744	0.7565144	0.6234834	0.7452770	0.4293301	0.0912513	0.7223690	0.0212487	0.4310291	0.5861403	0.6479833	0.7002195	0.7082769	0.0158786	0.0680785	0.2131943	0.3227445	0.3865586	0.4347617	0.6759709	0.3779710	0.6483699	0.6631940	0.1573392	0.4613206	0.7956296	0.6834190	0.7571559	0.5903205	0.5275437	0.8089734	0.7279328	0.1075482	0.6146865	0.0363130	0.5691278	0.4074225	0.6130797	0.1685471	0.0519852	0.0192683	0.6124627	0.0478440	0.0268317	0.7431487	0.2314747	0.5630767	0.2990550	0.6794278	0.6675587	0.0091421	0.4777946	0.5614225	0.6903482	0.4727187	0.6969499	0.7995352	0.8569302	0.7673625	0.4287368	0.7633290	0.5664604	0.6420803	0.4759758	0.0552837	0.0238186	0.5683479	0.4005912	0.7374949	0.2864750	0.5601836	0.3086955	0.1408991	0.5435541	0.1787712	0.3739936	0.1176586	0.4758778	0.4165855	0.6705503	0.2141282	0.7244218	0.6871048
0.7542967	0.0000000	0.1369772	0.2937684	0.3108489	0.6156041	0.6844209	0.0303670	0.6731563	0.0804649	0.6901461	0.4715827	0.7040707	0.0923261	0.1864205	0.6581189	0.1611679	0.1787718	0.7086311	0.6337484	0.6390508	0.5005213	0.0846072	0.6320418	0.0830899	0.5212106	0.5714977	0.6410935	0.5827008	0.8085397	0.0156930	0.1533705	0.1879903	0.3415409	0.3216674	0.4765225	0.6606422	0.3956005	0.7166261	0.5676857	0.0678902	0.4654273	0.7854889	0.6553360	0.7332808	0.5250529	0.5406443	0.6805552	0.6839097	0.0643006	0.6731099	0.0718530	0.5680909	0.3982061	0.6310699	0.2060660	0.1212149	0.0448330	0.9482681	0.0225450	0.0328547	0.7927881	0.1976318	0.5564886	0.4185553	0.8014909	0.8424391	0.0178268	0.5093259	0.5767604	0.6884866	0.4974518	0.6209110	0.7363799	0.6449395	0.6216934	0.3849198	0.2561011	0.6591372	0.7451953	0.6114558	0.0738198	0.0448449	0.5734433	0.4248327	0.6446092	0.2696126	0.6774224	0.3231007	0.2086795	0.5863133	0.1996771	0.3103890	0.1072543	0.4902867	0.5019943	0.6625324	0.2202198	0.7452605	0.6733291
0.7154393	0.5923144	0.0000000	0.3575486	0.3123826	0.6584680	0.6426340	0.0264683	0.7176939	0.0893010	0.6971625	0.4830031	0.7816399	0.0549329	0.1504780	0.6608578	0.1502169	0.2413120	0.6849070	0.6339637	0.6350799	0.5414204	0.0493148	0.6894732	0.0246943	0.4866945	0.5280485	0.6811511	0.6645030	0.7024154	0.0018390	0.2492400	0.2499769	0.3101380	0.3702942	0.4926486	0.6789614	0.3645571	0.7457920	0.6348348	0.1109373	0.4830768	0.8966357	0.6400579	0.8114726	0.5100122	0.5094122	0.6863766	0.6784680	0.0807394	0.6933429	0.0234077	0.6754468	0.4598582	0.7574677	0.2366191	0.1245194	0.0283621	0.6439555	0.0308210	0.0262201	0.6871629	0.1939422	0.5334474	0.2401547	0.6471623	0.7067260	0.0215797	0.4044864	0.5270906	0.7625314	0.4730940	0.6077711	0.5550938	0.7337569	0.6649663	0.4107406	0.2687493	0.7597313	0.6657011	0.7377972	0.0876617	0.0435774	0.6441322	0.5580094	0.6684061	0.3039318	0.6480341	0.3079760	0.2109574	0.5114985	0.1313882	0.3852796	0.1460078	0.3303272	0.4370459	0.7274847	0.2140915	0.7720719	0.8137791
0.7073862	0.6059420	0.2112141	0.0000000	0.2645345	0.7330263	0.7210726	0.0556195	0.6087519	0.1004533	0.7351169	0.5872598	0.6929886	0.0810487	0.1565033	0.6709115	0.1081189	0.1701736	0.8574911	0.6670219	0.7119706	0.4962649	0.0344514	0.6301131	0.0603716	0.4662048	0.4131605	0.6356026	0.7361535	0.6099793	0.0053995	0.2116305	0.2443263	0.3427061	0.3806296	0.4987194	0.7182010	0.3508626	0.6362243	0.6230886	0.1362053	0.5950843	0.6489823	0.5818181	0.6255569	0.5294844	0.4404745	0.6649348	0.6422716	0.0716580	0.6680271	0.0306562	0.5765865	0.5248772	0.5836323	0.2083240	0.0752093	0.0441747	0.7395085	0.0274289	0.0388387	0.7740819	0.2406042	0.5812923	0.3882617	0.6431304	0.6665896	0.0272516	0.4281795	0.5495877	0.7063142	0.4964907	0.6139270	0.5892050	0.6060432	0.5942505	0.3532372	0.1924685	0.6481651	0.6263798	0.7694817	0.1162369	0.0214900	0.6485976	0.4724110	0.7510396	0.2441044	0.6678507	0.3588162	0.2252236	0.6344294	0.1340003	0.4628840	0.1855803	0.4266803	0.5015173	0.5980975	0.1698255	0.5931252	0.7659903
0.6478734	0.5874126	0.1626929	0.3232683	0.0000000	0.7310561	0.7592269	0.0352631	0.6339561	0.0445646	0.6078811	0.5760592	0.6606658	0.0852322	0.1511815	0.7976416	0.0898935	0.2366220	0.5525928	0.8268789	0.7162456	0.4383732	0.0582153	0.6210386	0.0199783	0.4831669	0.5509254	0.8379166	0.6867372	0.7282884	0.0052691	0.3003281	0.2253549	0.3518115	0.1775287	0.4478152	0.6577375	0.3465990	0.6059835	0.5816892	0.0938059	0.4920298	0.7751292	0.5446713	0.6161719	0.5503205	0.4430875	0.7586806	0.6733601	0.0776009	0.6139907	0.0501721	0.3733084	0.6429432	0.7181615	0.1169143	0.0544938	0.0157386	0.5601739	0.0351076	0.0483102	0.6512738	0.2173027	0.6138152	0.3778608	0.8679569	0.6101399	0.0423818	0.4092601	0.5134928	0.6814187	0.4739708	0.6462436	0.7799339	0.7399734	0.6138730	0.3108686	0.2751191	0.6740143	0.6640586	0.7541336	0.0681492	0.0254551	0.7425583	0.5373695	0.5916924	0.2619174	0.8655718	0.3543038	0.1946569	0.7121989	0.0855836	0.4089828	0.1236394	0.4091453	0.4926847	0.5567739	0.1308460	0.6806482	0.6353449
0.6139783	0.6463931	0.1958014	0.3693640	0.2223008	0.0000000	0.8401982	0.0401244	0.7332896	0.0974565	0.7397380	0.5500541	0.8290446	0.0549746	0.1685245	0.6884034	0.1564717	0.1463885	0.6708973	0.6128196	0.6763719	0.5442307	0.0263515	0.6304690	0.0218498	0.4257329	0.5247051	0.7071029	0.7900769	0.8216510	0.0038730	0.2330188	0.2016884	0.3525152	0.4878886	0.4956835	0.7958800	0.4764141	0.6514361	0.4963362	0.1125938	0.5582364	0.6357926	0.7078956	0.7705680	0.5186539	0.5037473	0.6344500	0.7396322	0.0884768	0.7417272	0.0434243	0.4691313	0.5468946	0.6947380	0.2180951	0.1084058	0.0069022	0.8611109	0.0230856	0.0243416	0.6528629	0.2395955	0.6078610	0.4235370	0.8032706	0.5766988	0.0054390	0.5025496	0.4251300	0.6344534	0.4759756	0.6301614	0.5470618	0.8012037	0.6354117	0.3859570	0.2520567	0.6459536	0.6125355	0.6651483	0.0460505	0.0385431	0.5712032	0.5509859	0.6533434	0.2265317	0.6364131	0.3966669	0.2588727	0.6864742	0.1285542	0.2975672	0.1364819	0.4042396	0.4362890	0.5941354	0.2186467	0.5811438	0.6891867
0.7383024	0.6063788	0.1692493	0.2545733	0.2855969	0.5869050	0.0000000	0.6061577	0.8161701	0.0507069	0.6514516	0.5125041	0.6399302	0.1035200	0.1681211	0.7371992	0.0939418	0.2309625	0.7449945	0.7881672	0.7031815	0.4501152	0.0894113	0.7765602	0.0203094	0.5455203	0.5076577	0.8054699	0.6179557	0.6069071	0.0019003	0.2155297	0.2292322	0.2923298	0.2964273	0.6392263	0.7023156	0.3877408	0.6594674	0.6346855	0.1067538	0.5383342	0.7447842	0.7784848	0.7769941	0.5807700	0.3800215	0.6005764	0.8419346	0.0832774	0.7433055	0.0604941	0.3228146	0.5982611	0.7547311	0.2181637	0.0601757	0.0154473	0.7294193	0.0144850	0.0091688	0.5979346	0.1903273	0.6337679	0.3591373	0.6278087	0.6763017	0.0127040	0.4043520	0.5610120	0.6323437	0.5477236	0.5113043	0.6323871	0.8350500	0.6382717	0.4763272	0.2153250	0.8512075	0.6553285	0.7016366	0.0600753	0.0337915	0.7608310	0.4985106	0.7378892	0.3050373	0.7475985	0.3207322	0.1695051	0.6360066	0.2319568	0.3849916	0.1102890	0.4256434	0.5452136	0.6550242	0.2894711	0.6907010	0.7003351
0.5771035	0.6232994	0.1690895	0.3454302	0.2772652	0.7903140	0.6105775	0.0000000	0.7411788	0.1000742	0.6376037	0.5450755	0.7872643	0.0601951	0.2049712	0.6134548	0.0935490	0.2289522	0.6553754	0.5856863	0.8244961	0.3639882	0.0402008	0.7306730	0.0130189	0.4387832	0.6241612	0.6957059	0.7378120	0.6878612	0.0114862	0.2686194	0.2626047	0.4460099	0.4867617	0.5868892	0.7115658	0.3679477	0.7072160	0.6782638	0.1472021	0.4628563	0.6405769	0.8102656	0.7018595	0.5992195	0.5471491	0.7220908	0.7028890	0.0553775	0.6850530	0.0235784	0.5923040	0.3417624	0.6468255	0.2088116	0.1481971	0.0302691	0.6475735	0.0294143	0.0149972	0.5610876	0.2334128	0.5625614	0.3555373	0.7390894	0.8214429	0.0253195	0.5016658	0.3864583	0.7287111	0.3863348	0.6290356	0.6704215	0.6723645	0.6330529	0.3115738	0.1741943	0.6497372	0.7575123	0.6865446	0.0629935	0.0391910	0.5983492	0.4548452	0.6202079	0.2535171	0.6702085	0.3529615	0.1493724	0.4915887	0.1078642	0.3536912	0.1476848	0.4291829	0.4585286	0.7821284	0.1915598	0.7144666	0.7477067
0.6184963	0.6207352	0.0586179	0.3735234	0.2743787	0.7316318	0.5139028	0.0373669	0.0000000	0.0708195	0.7185041	0.7729958	0.8651094	0.0926154	0.0824899	0.6658222	0.1496494	0.1988685	0.6089951	0.6865657	0.6468392	0.4404020	0.0888126	0.6451315	0.0285933	0.5743882	0.3836166	0.6850295	0.6889617	0.5646909	0.0052281	0.1613058	0.1814529	0.3509705	0.2870846	0.4344399	0.7275418	0.4248056	0.6597723	0.5727174	0.0883140	0.4896683	0.6048950	0.7522575	0.6743974	0.5961051	0.5485064	0.7092608	0.5920520	0.0724228	0.7016297	0.0400676	0.5797472	0.5300067	0.6460967	0.1831377	0.1119557	0.0126041	0.6971756	0.0362080	0.0203973	0.6866639	0.3067624	0.5616888	0.3255405	0.7488456	0.6402901	0.0271278	0.4713360	0.5160371	0.7585546	0.4592239	0.7647141	0.7333837	0.6712170	0.5214774	0.3735162	0.2284802	0.7030795	0.7106477	0.6856627	0.0509673	0.0714562	0.6496868	0.5629685	0.6286468	0.3288962	0.6817604	0.3508703	0.1248646	0.3661364	0.0768271	0.3618166	0.1722772	0.3922482	0.4006433	0.6560725	0.1641956	0.7057195	0.6304454
0.6640362	0.5211245	0.2037906	0.3632783	0.2573172	0.7181702	0.7344036	0.0442436	0.6789653	0.0000000	0.6647279	0.5794184	0.7987666	0.0632001	0.1530521	0.7571653	0.1034556	0.2425395	0.6570061	0.5880551	0.6307179	0.4467032	0.1068508	0.5736514	0.0523898	0.5818830	0.5483284	0.7028299	0.7440111	0.7069543	0.0110117	0.2117839	0.1903376	0.3459288	0.3605646	0.3706829	0.6275673	0.3990152	0.7041303	0.4562795	0.1212967	0.5835081	0.6688569	0.5667485	0.7227803	0.5708092	0.4664866	0.6022263	0.7275854	0.0731584	0.8026898	0.0527506	0.5745847	0.5975975	0.6267674	0.1608111	0.0934219	0.0083450	0.6609820	0.0160930	0.0299120	0.7276304	0.2137432	0.7618150	0.3224919	0.7701593	0.7138741	0.0193369	0.3981423	0.7006871	0.7388526	0.5987644	0.6742792	0.7492285	0.7314145	0.6460640	0.4061767	0.3020355	0.7557341	0.6746501	0.6819688	0.0603331	0.0524844	0.6973075	0.5307484	0.6526343	0.3238112	0.7028317	0.2809395	0.2210322	0.6099284	0.1737505	0.4123654	0.1795082	0.4261860	0.4985301	0.6845951	0.1879126	0.7228502	0.5800506
