YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.5408042	0.6568609	0.0960036	0.5560766	0.2073683	0.6533239	0.6020851	0.7298166	0.5022203	0.0998926	0.7509261	0.4183027	0.6858080	0.2974497	0.1358702	0.6892742	0.0826141	0.3008908	0.6153111	0.7401336	0.6139984	0.7248357	0.0477749	0.3666758	0.0025747	0.5200026	0.5192838	0.6017252	0.6398214	0.5241842	0.2992643	0.0488803	0.2461712	0.3762870	0.3204186	0.2980981	0.3962808	0.3102644	0.5792008	0.4862400	0.2473629	0.3633312	0.5511237	0.5399615	0.7407279	0.6203662	0.4546650	0.4505397	0.3720493	0.0210572	0.7917253	0.0637279	0.3831464	0.7378071	0.5965382	0.1857137	0.0454188	0.0306690	0.6018770	0.0458145	0.0024614	0.7574205	0.5671240	0.4056481	0.3318455	0.6517147	0.4078295	0.0124392	0.4839246	0.2720056	0.2283440	0.5235488	0.2921894	0.6484174	0.6108948	0.4732787	0.5170920	0.1461625	0.4532601	0.4799774	0.5093662	0.3412172	0.2825901	0.7339942	0.4129295	0.2901387	0.3020395	0.6401120	0.3840027	0.1322596	0.4961114	0.3309679	0.2745862	0.1016001	0.4546487	0.5730039	0.7176654	0.3162205	0.7881125	0.7508679
0.5555491	0.7002690	0.2162027	0.2125773	0.3586240	0.6471669	0.4253639	0.1667832	0.6818228	0.1035150	0.4022147	0.5622929	0.2976707	0.0877897	0.0802221	0.7822894	0.0153626	0.4124869	0.4739014	0.6095310	0.3949768	0.2277941	0.0924502	0.6250830	0.3523471	0.0869270	0.4224191	0.4878557	0.6686694	0.5354360	0.5295780	0.2326643	0.1624036	0.3697751	0.1857198	0.3567881	0.6525569	0.3823688	0.7204845	0.5286062	0.4678330	0.2091862	0.6674463	0.6307113	0.3587757	0.4964955	0.5304708	0.6183363	0.6728191	0.0201450	0.6511098	0.5128346	0.1310710	0.2616888	0.6109211	0.2220691	0.0284701	0.0021006	0.7085207	0.0292079	0.0029326	0.6885465	0.1421058	0.5094498	0.2286767	0.7037579	0.7139401	0.0093265	0.4415645	0.3879224	0.7036337	0.6171542	0.4667923	0.6393451	0.6950108	0.6844004	0.4686379	0.1637865	0.6459736	0.6884826	0.6646799	0.0626811	0.0241936	0.6095412	0.2107065	0.3728476	0.2201742	0.6690702	0.3443413	0.3685015	0.3346439	0.5319873	0.1137979	0.1103855	0.4861673	0.3691791	0.6295879	0.3793292	0.6422503	0.6664611
0.6613151	0.6129056	0.0258350	0.3293010	0.1577653	0.7567231	0.5174692	0.0530909	0.8117523	0.0608005	0.4527692	0.4318652	0.6216663	0.6806027	0.0376296	0.4428801	0.1722268	0.2614897	0.6211391	0.6382232	0.4983178	0.4003887	0.1171745	0.6254592	0.1086508	0.5028304	0.6953753	0.7725614	0.6292745	0.6358975	0.0178049	0.3656663	0.0008351	0.5466008	0.3036283	0.4714963	0.6166848	0.5897152	0.6656489	0.5813874	0.1642592	0.4205577	0.6618153	0.5951317	0.7846649	0.5707758	0.5912864	0.5474382	0.6922784	0.0498819	0.6637731	0.0428979	0.7108815	0.4272458	0.7403287	0.2095249	0.0980108	0.0823960	0.7004964	0.0207717	0.0003118	0.6605377	0.2332813	0.6189813	0.2252237	0.6228829	0.6159546	0.0304130	0.4674091	0.7468697	0.5792970	0.4665651	0.5812865	0.7137075	0.7268383	0.5465688	0.4450070	0.2613791	0.6572335	0.7292115	0.6457472	0.0462998	0.3125211	0.6271360	0.5991902	0.6922688	0.6544716	0.6120075	0.4914590	0.4912658	0.3588639	0.4709661	0.3054660	0.1202890	0.4249674	0.5411501	0.6045209	0.1951642	0.5466258	0.4868610
0.7764168	0.6167900	0.4549677	0.2081458	0.3104129	0.6666085	0.6017657	0.0313148	0.7821225	0.0999661	0.5584148	0.5607052	0.6478118	0.0139789	0.1755110	0.4834218	0.1076226	0.3403738	0.7154059	0.5579740	0.5889332	0.2514018	0.1115900	0.5723102	0.3107574	0.0979238	0.0643360	0.7142619	0.6529536	0.5931479	0.2529100	0.2178917	0.2194243	0.3212807	0.2986573	0.5589448	0.6112258	0.3815903	0.6340298	0.5395151	0.3471699	0.5674060	0.4074223	0.6418930	0.6845352	0.5605431	0.6064759	0.6548216	0.6442801	0.0812630	0.7024057	0.0043348	0.7500399	0.2821100	0.4771943	0.3817097	0.2316532	0.1706377	0.6783806	0.0272574	0.0006179	0.5833307	0.2178383	0.6428617	0.2795607	0.6164230	0.5837861	0.0039935	0.4431416	0.1883847	0.7148594	0.3086926	0.5062128	0.5276517	0.6199991	0.6856814	0.3841355	0.2943102	0.6124839	0.6727001	0.6554935	0.0088305	0.0830106	0.7360092	0.6330942	0.6658110	0.3146134	0.5732884	0.2053896	0.2328472	0.3350989	0.0390132	0.3120542	0.0614480	0.0049525	0.5518762	0.6078321	0.4425821	0.3887225	0.4999812
0.2876543	0.4665748	0.3332411	0.2001170	0.3763607	0.2810274	0.5936958	0.2229037	0.7051297	0.4457561	0.7140209	0.5037080	0.5547463	0.0571251	0.5651294	0.6397535	0.1468341	0.1183033	0.6628650	0.5687878	0.5317494	0.5639117	0.0407148	0.5735551	0.0027129	0.5983462	0.3150629	0.6687721	0.7322592	0.4921704	0.3783946	0.0073368	0.1938126	0.3952825	0.4089546	0.5214776	0.7004452	0.3916563	0.4392560	0.4077550	0.3516600	0.4455249	0.6143084	0.7168941	0.3933874	0.4109669	0.5112829	0.6320326	0.6266411	0.0138218	0.5200911	0.0337116	0.5289460	0.4222496	0.6220829	0.2160335	0.1940958	0.2758454	0.6780838	0.0203663	0.3203274	0.4987566	0.2707988	0.2756103	0.2041194	0.4125408	0.6260137	0.0075913	0.3408241	0.4564456	0.6724754	0.5674013	0.5047299	0.5166893	0.7296444	0.6360630	0.5098379	0.4269322	0.7412288	0.6560763	0.6230994	0.0291848	0.2109512	0.6022138	0.5204594	0.5944445	0.2957218	0.4810080	0.1685420	0.3170511	0.5929362	0.0926712	0.4949914	0.0632068	0.3330854	0.1816091	0.7240845	0.0879379	0.7838325	0.5681101
0.6403707	0.6014789	0.0422288	0.6095750	0.2869525	0.6384125	0.7823242	0.0219369	0.6935985	0.1114065	0.5802719	0.3101069	0.6891336	0.2197065	0.1879910	0.4305942	0.1395812	0.3820080	0.5494740	0.7101824	0.5219889	0.4109932	0.0574666	0.5741005	0.2942687	0.0716240	0.5684744	0.6329389	0.6700851	0.7356624	0.1864617	0.4409811	0.1829225	0.4674255	0.4609819	0.3321864	0.6437147	0.4786154	0.6435843	0.5173775	0.0753975	0.4190909	0.8301325	0.5228945	0.7018661	0.6520567	0.4844768	0.7164516	0.6263498	0.1194624	0.5422677	0.0270690	0.5591641	0.3714320	0.6954895	0.2337897	0.1624268	0.0277743	0.2816717	0.0498543	0.0046298	0.7486557	0.2094024	0.6886590	0.2365749	0.5474175	0.6871949	0.0017739	0.3531148	0.5867752	0.5680034	0.4110926	0.4329791	0.8069395	0.3206718	0.2846066	0.1922314	0.1802274	0.7832956	0.5810248	0.6238438	0.1524786	0.0092694	0.5597598	0.3855650	0.4497412	0.2610812	0.7175700	0.6187476	0.0901479	0.4898892	0.1045654	0.5546094	0.0571258	0.3576636	0.5613351	0.7029665	0.4206160	0.6957832	0.6914602
0.4904432	0.5882538	0.3566272	0.5784161	0.2913929	0.7140390	0.5835337	0.0029891	0.4021093	0.2091303	0.4366224	0.3506057	0.4634483	0.2237178	0.1101052	0.7586248	0.0033368	0.1519165	0.5904451	0.6057078	0.5403636	0.4234267	0.0611883	0.3844879	0.0014164	0.4669288	0.4053511	0.4778975	0.4966350	0.7542935	0.1469205	0.2854182	0.2472638	0.3481472	0.4236071	0.7058492	0.5767175	0.3571554	0.6023501	0.3714703	0.0933349	0.4699200	0.5130694	0.4304466	0.4700345	0.6215680	0.6189463	0.5060142	0.6888856	0.0062688	0.6290989	0.0014441	0.6698832	0.3274485	0.4883867	0.2447449	0.1621709	0.1437740	0.7167435	0.0343838	0.2760239	0.6441904	0.4618437	0.4550549	0.5015186	0.7710979	0.8108938	0.0118404	0.4854893	0.4994564	0.6995575	0.5002758	0.6292720	0.5847293	0.7426071	0.7121591	0.4111822	0.3179253	0.6775166	0.6441114	0.6292644	0.0191238	0.0114049	0.6841146	0.4117714	0.6970363	0.4900692	0.6785829	0.2156878	0.0312494	0.4459166	0.2014121	0.3969626	0.3666674	0.4420816	0.1864910	0.6110555	0.2648451	0.6245642	0.6841349
0.7588849	0.6271468	0.0875133	0.2627333	0.2233545	0.7844557	0.5945293	0.0376007	0.4907794	0.0495235	0.5693459	0.1333954	0.5873309	0.0248192	0.2278249	0.6726795	0.1364778	0.0627792	0.5990959	0.7055007	0.6141708	0.1511073	0.0767120	0.7346089	0.0620812	0.5355260	0.1237675	0.6336666	0.5929631	0.6279241	0.0114998	0.1971390	0.2034277	0.3085500	0.2473700	0.4475702	0.6937528	0.3613384	0.8380141	0.5882999	0.1038018	0.4140501	0.6200684	0.7091581	0.7471290	0.4762867	0.7170492	0.5963685	0.5557494	0.0876437	0.4785539	0.0510994	0.6378719	0.2939464	0.5877805	0.3689034	0.4226872	0.1550291	0.5799037	0.0366711	0.0040470	0.7323867	0.1285449	0.5166890	0.4368346	0.6677225	0.6810738	0.0019256	0.4093923	0.4335191	0.6855412	0.2979370	0.5015654	0.4008683	0.6580037	0.4271271	0.3151980	0.2913153	0.5176471	0.5171921	0.5738211	0.0550658	0.1356011	0.8429001	0.5010406	0.7174438	0.4788582	0.6768235	0.5594149	0.1668876	0.6361921	0.1610865	0.4078176	0.0785070	0.5130858	0.2578457	0.4445023	0.3676901	0.6698255	0.5831544
0.7087114	0.7174287	0.0085771	0.4453674	0.3938208	0.7068227	0.7109263	0.0000047	0.6630618	0.0759493	0.7416560	0.2085539	0.5436179	0.7310832	0.2848911	0.6998997	0.1831252	0.1877321	0.7909376	0.7047604	0.6424697	0.4442221	0.1420275	0.5283676	0.2503871	0.1856012	0.2690155	0.8224724	0.6153012	0.4902424	0.1709858	0.2918915	0.0039363	0.3678481	0.1003545	0.5722540	0.5546895	0.3642212	0.8942701	0.7050210	0.1226814	0.4282451	0.7015232	0.6990616	0.5348364	0.5055933	0.6726538	0.3930173	0.4932717	0.0805621	0.6114416	0.0515985	0.6828120	0.2852234	0.6252127	0.2750845	0.1844357	0.0640368	0.7384469	0.0073374	0.0224497	0.7701392	0.2851339	0.5296982	0.5930894	0.5901048	0.6430526	0.0210613	0.4882419	0.4042752	0.6383852	0.4286146	0.7245480	0.6528212	0.5377307	0.4829537	0.3012467	0.2692312	0.4953498	0.7268469	0.7272951	0.2521554	0.2623464	0.8473864	0.6635017	0.4773696	0.2783427	0.6425559	0.5182902	0.5443346	0.5870815	0.0859426	0.3848699	0.2233732	0.5858329	0.2031945	0.7164985	0.2008889	0.4151460	0.5182862
0.7459916	0.5561952	0.0307341	0.6404622	0.2390193	0.4535029	0.7182520	0.1914914	0.6128825	0.0590605	0.6755729	0.3984152	0.4137822	0.0213791	0.4264258	0.6251346	0.1399831	0.0288795	0.5786676	0.6427210	0.4593812	0.7023691	0.0968310	0.5538471	0.0032312	0.4846324	0.5251919	0.6823868	0.5989045	0.7621040	0.0096730	0.2496238	0.2104272	0.4625359	0.3205238	0.4398540	0.6137102	0.2110213	0.7405215	0.6426708	0.0950181	0.4387687	0.7305099	0.7682236	0.6997941	0.4950289	0.4024347	0.4792485	0.6241909	0.0236001	0.6690099	0.0130102	0.3439222	0.5561395	0.6556202	0.1405880	0.0391595	0.0034741	0.4927038	0.0429307	0.0929418	0.5104145	0.2976133	0.4285805	0.5705420	0.7173406	0.4205794	0.0025594	0.3760318	0.5755599	0.6695425	0.3450594	0.5767966	0.7431785	0.5331127	0.5403579	0.3597018	0.1186679	0.6590522	0.4800404	0.5903448	0.0396248	0.0510781	0.7132315	0.4774946	0.6547285	0.1526480	0.6350571	0.6077733	0.4711901	0.3968731	0.6048871	0.3472969	0.0860999	0.4876289	0.5585237	0.7001466	0.1145104	0.7018386	0.3974462
