"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	0.9422987	0.8988455	0.1864819	0.5236898	0.4344234	1.0319119	1.0084619	0.1299505	0.9937507	0.1143025	0.9773861	0.8387139	1.0120911	0.1223107	0.1914101	0.9989135	0.1845502	0.3427564	1.1066786	0.9827372	0.9872456	0.6865618	0.1054068	1.0211103	0.0304701	0.7394921	0.7987591	0.9145329	1.0698582	1.0944425	0.0130767	0.2540348	0.3714778	0.5658656	0.4978509	0.7206792	0.9764212	0.6248323	1.0174509	0.8405501	0.1350859	0.7358592	1.0325132	0.9659393	1.0584354	0.8684041	0.7516501	0.9675814	0.9776562	0.1377334	0.9729099	0.0608330	0.7825607	0.7240625	0.9805369	0.2806509	0.1044589	0.0217859	0.9576052	0.0426749	0.0273082	0.9645916	0.2935856	0.9212211	0.4911274	1.0200434	1.0548866	0.0329664	0.6649753	0.7649624	0.9025619	0.6916245	0.9358935	0.9911624	1.0135466	0.9676533	0.5512811	0.3822930	1.0467967	1.0406579	0.9547442	0.0981205	0.0618470	1.0305618	0.6991494	1.0010005	0.4436836	0.9947533	0.5534619	0.3159082	0.8017571	0.1758560	0.5668350	0.2208523	0.5938789	0.7241683	1.0276752	0.2679818	0.8955666	1.0304750
50	0.9699905	0.8540701	0.4020237	0.5316032	0.4688380	1.0360443	0.8883020	0.0814830	0.2600477	0.1371600	0.9819303	0.8283881	0.9549996	0.1303239	0.0670473	0.9133688	0.1006337	0.2720971	0.9763426	0.9898302	0.9466767	0.6351631	0.1027267	0.8383582	0.2497680	0.7416784	0.8301948	0.2594310	1.0013655	0.8820260	0.0051080	0.3009072	0.1144075	0.8142946	0.7322539	0.5069412	0.9459470	0.5455152	0.4033702	0.7421556	0.2440848	0.6941514	0.5235523	0.6513720	0.5237115	0.8196919	0.7086791	0.8185731	0.9181555	0.1637779	0.2860122	0.0093022	0.6755263	0.6676219	0.7645087	0.2855317	0.1211127	0.1199192	1.1029343	0.0444445	0.5828970	0.9814974	0.3933359	0.8550180	0.6206294	1.0103561	1.0283269	0.0139847	0.7097813	0.7607927	0.9662566	0.7123905	0.8173961	1.0340477	1.0215144	0.9991290	0.5257951	0.2121343	1.0030035	0.5750533	0.9675784	0.0807176	0.0535273	1.0030212	0.7984634	0.8798848	0.3969660	0.9824738	0.5112705	0.6377646	0.8699753	0.1387653	0.5111636	0.0959382	0.6105746	0.7898242	0.9500830	0.4318545	1.0489310	0.9668463
100	1.0381175	0.8421858	0.4490608	0.5426156	0.4620462	0.9872499	0.7614624	0.0388845	0.1373401	0.1256952	1.0057125	0.7955532	1.1115751	0.2475679	0.0309191	0.8634580	0.0437186	0.3357595	0.9472903	0.9569562	1.0826045	0.6000857	0.1121514	0.8403649	0.3202114	0.5440804	0.8139532	0.2725353	0.9370436	0.7961756	0.0003401	0.2650223	0.0272134	1.0348757	0.7233561	0.4998394	0.9273564	0.5080633	0.2005012	0.4168866	0.3255326	0.7251148	0.3962741	0.6664082	0.3837923	0.8435311	0.6907890	0.8281960	0.9631017	0.1124100	0.0967417	0.0003288	0.7907414	0.6651904	0.6435847	0.3754226	0.1597635	0.1336792	0.9933035	0.0466934	0.7125604	0.9900249	0.3528620	0.8327725	0.6607194	0.9956119	0.9538066	0.0330571	0.6996371	0.7347541	0.9389921	0.6974068	0.6886572	0.9851358	1.0502531	0.9465394	0.5275332	0.1899260	0.9709322	0.4394982	0.9756084	0.0791771	0.0498690	1.0060190	0.7685928	0.9715597	0.4155003	0.9520386	0.5522100	0.6525190	0.7621173	0.1469704	0.5074897	0.0478676	0.7122525	0.6921611	0.9728843	0.2310297	1.0199648	0.9151321
150	1.0391483	0.9304743	0.4313855	0.5766023	0.4461557	1.0985601	0.7072752	0.0354036	0.1349403	0.1199209	1.0777255	0.7822364	1.0008231	0.5971726	0.0411031	0.7544114	0.0319695	0.3146600	1.0603673	0.8392825	0.9665550	0.6224209	0.1234086	0.8594419	0.3712243	0.3758520	1.0089001	0.2323218	1.0472115	0.7641023	0.0059960	0.2372262	0.0062992	1.0773193	0.7490017	0.5989928	0.9816801	0.3920680	0.1621033	0.2012706	0.2998019	0.6876849	0.3616557	0.7006192	0.3875120	0.7372217	0.7763597	0.8430998	0.9219553	0.1143315	0.0662673	0.0000000	0.7698375	0.6189622	0.6833756	0.5053322	0.2418350	0.1141784	0.9526248	0.0398198	0.7600157	0.9587250	0.3830805	0.8232951	0.6569244	0.9922396	0.9834284	0.0419241	0.6900134	0.7964782	0.8679356	0.7300774	0.6818604	0.9582849	0.9962587	0.9775078	0.5088671	0.1703106	0.9996701	0.3847572	0.9759466	0.0930392	0.1304924	1.0171997	0.8353264	0.9160039	0.4154122	0.9738651	0.5066076	0.5178263	0.5467572	0.1265237	0.5528640	0.0315689	0.6398959	0.7455054	0.9315890	0.2093887	1.0606532	0.9881561
200	0.9804405	0.9136617	0.4816266	0.5666879	0.4542500	1.0851458	0.6202635	0.0473363	0.1277560	0.1145467	1.0749113	0.7863033	0.9944660	0.8343506	0.0331651	0.8620671	0.0142844	0.2993515	1.0508125	0.9301365	1.0089741	0.5824984	0.1381787	0.8947149	0.3996956	0.2730299	0.9035892	0.2379017	0.9817549	0.8160000	0.0043350	0.3198940	0.0026482	0.9749386	0.6196741	0.6504873	0.9844928	0.3140115	0.0947503	0.1021787	0.3166769	0.6923437	0.3642304	0.6204958	0.3719937	0.7002954	0.7725326	0.7807724	1.0000753	0.1330693	0.0517051	0.0054597	0.7830726	0.5890090	0.6539709	0.5097948	0.3262071	0.1754343	0.8618294	0.0485568	0.7244710	0.9243800	0.3845949	0.9609596	0.6228573	0.9774677	0.9126888	0.0378051	0.6370398	0.7714946	0.9762424	0.7406345	0.6384347	0.9295563	1.0440280	0.9326055	0.5212986	0.1572579	0.9640625	0.2755305	0.9374076	0.0918717	0.2447682	1.0495851	0.8327214	0.9579771	0.4656375	0.9578241	0.4653630	0.6192155	0.5120917	0.1421096	0.5097253	0.0336711	0.5897526	0.7803563	0.9743449	0.1353319	0.9339357	0.9793367
250	0.9253637	0.8641902	0.4383530	0.5614108	0.4571460	1.0093284	0.5492304	0.0374685	0.1425180	0.0955367	0.9255963	0.8455448	1.0282018	0.9339736	0.0237903	0.7290029	0.0078418	0.3759800	0.9692759	1.0461751	0.9519758	0.4810947	0.1836023	0.9486720	0.4300908	0.2475069	0.9152681	0.2360290	1.0348247	0.7950493	0.0056196	0.2950961	0.0022613	0.9841415	0.6489070	0.6737744	0.9548731	0.2889439	0.0783940	0.0277615	0.3180852	0.6304526	0.3561710	0.7380200	0.4228050	0.6742828	0.7134208	0.8464639	1.0129797	0.1109000	0.0456866	0.0009082	0.9715992	0.4354993	0.6737573	0.5606919	0.3985488	0.1797970	0.8894097	0.0291131	0.8032052	0.9488391	0.4859630	0.8307478	0.6036839	1.1427107	0.9384825	0.0205977	0.6076892	0.7559382	1.0229973	0.7243230	0.6777864	0.9683976	1.0374921	1.0011066	0.5156484	0.1127960	1.0002912	0.3082138	0.9132580	0.0425368	0.2529797	0.9446121	0.8170926	1.0029468	0.4805160	1.0152780	0.5235140	0.5636352	0.4809824	0.2267321	0.4652593	0.0548413	0.6119349	0.7805780	1.0475229	0.1451246	0.8071729	0.9793626
300	0.9797842	0.9151934	0.4524300	0.6005578	0.4540738	1.0052185	0.5673480	0.0265925	0.1318342	0.1184025	1.0132013	0.7175057	0.9581295	0.9691261	0.0105301	0.8033441	0.0073340	0.3056851	1.0636157	1.0199239	0.9331411	0.4190799	0.2336906	0.8585425	0.3635016	0.2039579	0.8638562	0.2235285	0.9698606	0.7730636	0.0037255	0.2704336	0.0018169	1.0155322	0.6399559	0.7654881	0.9395381	0.2549892	0.0934455	0.0270092	0.2868621	0.6592894	0.3469648	0.6771763	0.4058349	0.7043708	0.7284044	0.8232045	0.9986179	0.1128976	0.0449592	0.0002974	0.9291561	0.5265172	0.6243717	0.5825063	0.4517130	0.2274901	0.9349810	0.0363858	0.7391761	0.9334705	0.4091424	0.8182565	0.6074571	1.0223598	1.0549335	0.0263357	0.6194245	0.6983010	1.1246116	0.6826645	0.6494012	0.8886048	1.0690894	0.9514638	0.5231284	0.1364028	0.9960055	0.2955136	0.9473293	0.0736441	0.2694211	0.9507025	0.9197987	0.9421014	0.4950249	0.9631588	0.5738830	0.5152838	0.4262733	0.3110158	0.5340945	0.0363804	0.5650889	0.7366596	1.0103026	0.1367125	0.8648101	0.9903893
350	1.0367834	0.8924883	0.4511034	0.5927381	0.4411143	0.9981130	0.6013418	0.0329128	0.1451610	0.1088440	1.1001748	0.5948981	0.9627962	0.9861717	0.0199595	0.7813237	0.0043765	0.3310540	0.9446786	1.0261542	1.0337224	0.3877598	0.2145862	0.8576144	0.3783366	0.2388047	0.8290675	0.1780797	0.8794330	0.7098667	0.0089511	0.2793138	0.0003380	0.9467986	0.6930358	0.6881493	1.0847082	0.2388509	0.1069755	0.0355053	0.2929994	0.6507600	0.3274981	0.7139510	0.3945130	0.7003511	0.6706763	0.8745953	1.1069851	0.1305834	0.0457284	0.0003344	0.9034716	0.4290785	0.5911688	0.6043089	0.4900038	0.2861282	0.9818542	0.0499845	0.7859904	1.0345388	0.4088440	0.8186529	0.5823139	1.0034163	0.9995382	0.0228030	0.6286870	0.7193194	1.1291270	0.6623396	0.6432625	0.9029869	1.0453900	0.9593305	0.5533861	0.1727644	1.0123691	0.3697797	1.0490141	0.0544208	0.2825277	0.9906590	0.9172758	0.9064511	0.5016035	1.0391550	0.4962163	0.5599894	0.3664181	0.3712189	0.6088972	0.0450303	0.5620453	0.7434586	0.9788932	0.1157978	0.9052284	1.0267277
400	1.0581099	0.8951411	0.4188806	0.5858455	0.4209512	0.9687192	0.5977658	0.0509250	0.1299855	0.1087076	1.0859775	0.6025278	1.0540241	1.0865127	0.0156768	0.8174823	0.0000000	0.3966069	1.0227500	0.9462430	0.9734360	0.3973642	0.2266158	0.7885411	0.3635697	0.2222611	0.8790630	0.3008711	1.0565260	0.7988364	0.0054689	0.3033685	0.0001427	0.9386196	0.7688212	0.7571054	1.0321089	0.2134044	0.0902796	0.0306614	0.2603217	0.6516260	0.3171890	0.6180428	0.3611579	0.6422879	0.6697300	0.8491018	1.0315929	0.1353129	0.0554542	0.0005389	0.9958329	0.3762141	0.5721979	0.7390627	0.5752794	0.3197504	0.9426654	0.0522573	0.6616344	0.8828959	0.4303468	0.7813825	0.7165911	1.0768989	1.0172654	0.0162542	0.6877461	0.6174681	1.0452582	0.7171454	0.6507064	0.9530101	1.0596533	0.9544457	0.4560139	0.1788477	0.9590519	0.3293181	1.0306852	0.0724385	0.2753581	1.0399620	0.8945282	0.9624851	0.5034457	1.0716698	0.4859985	0.4912818	0.3196875	0.4013133	0.5897142	0.0409028	0.5931682	0.7336251	1.0260630	0.1071878	0.8994705	1.0407759
