YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0017407	0.8597492	0.2440948	0.5243205	0.4966525	1.0975358	0.9722237	0.0666415	0.9762306	0.1680102	0.9823268	0.8858586	0.9657848	0.0896829	0.2970857	0.9712091	0.1918805	0.3372951	0.9863613	0.5464936	0.9995082	0.5321473	0.0000000	0.9894732	0.0330333	0.6877792	0.7181834	1.0279414	0.9761201	1.0202052	0.0068099	0.2916210	0.4218213	0.5057359	0.5538116	0.5943877	1.0061012	0.0000000	1.0636859	0.8322100	0.1564948	0.6956809	0.9976783	0.9735798	0.9639492	0.8068128	0.6469759	1.0275446	0.9948082	0.1356998	0.9302686	0.0514865	0.8279692	0.5833477	1.0168225	0.3183060	0.2310358	0.0524213	1.1178273	0.0508182	0.0342777	1.0849823	0.3330337	0.8513998	0.5372224	1.0071492	0.9859703	0.0204280	0.6008831	0.6337782	0.9587598	0.6799471	1.0128301	1.0581784	1.0566551	0.9503830	0.5150029	0.3735262	1.0046504	1.0479754	0.9353571	0.3337355	0.0286688	0.8330516	0.9728283	0.8741751	0.4380865	1.0214528	0.5332950	0.2469600	0.9300953	0.2329767	0.5547016	0.2312203	0.6190795	0.4731421	1.0119477	0.2456040	0.9854730	0.9351297
0.9348097	0.9439243	0.1573142	0.5708564	0.3990589	1.1558340	0.9682862	0.0608340	0.9845315	0.0926947	0.9390873	0.3991542	0.9847792	1.0259106	0.3095813	0.9818992	0.1712972	0.3442192	1.0468994	1.0797241	1.0113992	0.6387259	0.5600718	0.9470647	0.0296073	0.7859782	0.8298444	1.0296725	1.0977134	1.0031364	0.0021320	0.3328508	0.0006663	0.0000000	0.0903881	0.7253123	1.0883464	0.0000000	1.0234941	0.7648343	0.1863340	0.6579429	0.8945022	0.9493839	0.9475205	0.8849130	0.7291034	0.9951356	1.0573939	0.1012096	0.9845356	0.0773530	0.9279448	0.5879105	0.9811376	0.2310361	0.1066597	0.0361819	1.0126818	0.0470875	0.0421869	0.9441849	0.3338067	0.8616571	0.5461385	0.9795855	0.9703761	0.0359606	0.5035068	0.7690611	1.0355856	0.7100522	0.8645661	0.9869635	0.9537768	0.9663846	0.5197709	0.3294303	1.0744591	1.0156051	0.9820564	0.8011111	0.4255778	0.9938583	1.0372888	0.9503807	0.5139092	1.0539032	0.5162177	0.0866582	0.9366079	0.5886077	0.5730720	0.1316045	0.6591625	0.5255924	0.9128485	0.0365086	0.7263997	0.9276221
1.0153887	0.9566718	0.1781532	0.4587255	0.4243290	0.9992880	0.9555532	0.0406421	1.0022556	0.1266971	0.9647355	0.5821342	1.0031203	0.9420432	0.0804585	1.0090824	0.6568481	0.3407309	0.9625528	0.9870929	0.9705975	0.6107990	0.3530540	1.0425371	0.2421306	0.4606229	0.6965010	1.0653383	0.9788208	0.9669123	0.2167752	0.2794733	0.0000000	0.6153493	0.0586476	0.5528812	0.9958537	0.5354747	0.8836099	0.8925817	0.1861291	0.8218670	0.9901258	1.0011315	0.9509998	0.8294989	0.7291042	1.0616581	1.0204998	0.1290408	1.0013853	0.0808367	0.8316461	0.8182587	1.0209643	0.2150688	0.1353600	0.0493054	1.0737558	0.0277856	0.0402736	0.9704958	0.3390267	0.8358763	0.4617157	1.0515651	0.9493353	0.0226450	0.7353102	0.7918504	0.9335290	0.7300250	0.9582000	1.0019768	0.9690037	0.9805883	0.5285556	0.3346199	0.0000000	1.0435354	0.9389024	0.1549676	0.4199714	1.0055115	0.8353909	0.9823491	0.4650079	1.0368280	0.5277400	0.2825976	0.8775504	0.4365501	0.5298737	0.5949023	0.5499918	0.6886227	1.0954449	0.1466977	0.7900556	1.0536626
1.0449392	0.9752831	0.1976352	0.5914890	0.4445076	0.9364732	1.0346832	0.0566722	0.9249840	0.1160592	0.9803950	0.8780993	1.0323322	0.9314702	0.3523073	1.0102973	0.2099219	0.3359076	0.9973906	0.4847349	0.9755195	0.5761337	0.0000000	1.0538328	0.0206612	0.8075324	0.7212818	1.0110135	1.0889629	1.0753767	0.0030547	0.3053011	0.0037709	0.0000000	0.0619449	0.6412365	0.9955457	0.6266609	1.0117843	0.9615651	0.1784460	0.6937531	0.9922620	1.0004151	0.9604797	0.8119491	0.7186576	0.9761499	1.0107388	0.1167916	1.0090340	0.0932668	0.6015326	0.8588697	0.9962437	0.3316616	0.1481801	0.0322837	1.0691232	0.0288722	0.0311653	0.9766903	0.2405078	0.9690736	0.5556072	0.9791282	0.9841917	0.0292278	0.5945029	0.7812781	1.0817491	0.6653198	1.0249429	0.9803947	1.0221548	0.9567963	0.5992075	0.3984156	1.0414997	1.0078722	0.9921512	0.2776926	0.4272888	0.9218067	0.8523108	0.8201690	0.4756237	0.9141716	0.5377814	0.3908156	0.9364860	0.4425455	0.5491544	0.0984029	0.5685853	0.7695713	0.9828760	0.1735146	0.8820582	1.0251633
0.9750072	0.9608745	0.3028830	0.5685758	0.4651774	1.0071460	1.0221101	1.0703961	0.9721138	0.0986805	1.0176476	0.7882757	0.9945268	0.0785607	0.2906979	1.0010324	0.1956894	0.3627571	1.1126928	0.5315147	1.0233491	0.7143367	0.0000000	0.9959234	0.0284628	0.7380317	0.7878338	1.0322647	1.0374822	1.0273335	0.0077851	0.3305932	0.3680932	0.5380807	0.6063149	0.7474807	1.0239622	0.5797423	1.0713581	0.8854697	0.1504123	0.6910194	1.0608063	1.1068098	1.0737237	0.7399609	0.7479955	0.9877659	1.0661574	0.1300633	1.0647155	0.0359401	0.8851952	0.6364069	0.9878138	0.2576519	0.0000000	0.0077360	0.9713587	0.0441753	0.0237789	0.9789579	0.3537900	0.8384803	0.5689107	1.1205991	1.0891940	0.0294531	0.6521286	0.7294561	1.0718999	0.8111377	0.9904808	1.0139988	1.0132747	0.9058652	0.5837061	0.3326538	1.0914007	0.9894787	0.9908885	0.1486772	0.0332275	0.9310154	0.7560802	0.7699959	0.4357741	0.8753980	0.5551429	0.4777722	0.9277794	0.2007399	0.4952881	0.2166085	0.5848784	0.5805065	0.9301049	0.3586567	0.8977725	0.9952996
0.9979641	0.9177259	0.2172024	0.5943977	0.4815909	1.0063147	1.0533219	0.0667282	0.9487601	0.1422776	1.0066592	0.8337162	1.0628958	0.0888010	0.4641846	0.8829106	0.1854281	0.3480339	0.9950493	0.0295417	0.9300007	0.6485355	0.0000000	0.9950697	0.0264514	0.7799275	0.0000000	1.0664929	0.9775209	1.0232827	0.0224018	0.2613958	0.2953902	0.4940282	0.5973346	0.7132595	0.9520316	0.5203197	0.9901113	0.8056986	0.1139999	0.7115785	0.9990251	0.9249776	1.0758486	0.8588785	0.7218126	1.1208091	1.0407123	0.1199472	1.0692178	0.0625165	0.9129770	0.8662211	1.0670195	0.2636814	0.1014705	0.0271397	0.9750653	0.0625286	0.0527691	1.0065102	0.3341065	0.8647601	0.4651899	0.9790014	1.0200745	0.0261417	0.7072537	0.7114280	1.0505441	0.6316451	1.0773768	1.1173392	1.0662601	0.9242431	0.5912313	0.3407980	0.9530278	0.9521928	0.9659024	0.0602076	0.0439877	0.8169080	0.8139682	0.8081099	0.3325818	1.0532686	0.5127440	0.4890236	0.8690080	0.2312155	0.5699283	0.1836079	0.5872042	0.7467465	1.0318330	0.6213844	1.0498869	0.9717095
1.0433730	0.9314797	0.2725320	0.5024358	0.3995438	1.0149759	0.9947544	0.0788848	0.9633724	0.1403764	1.0237602	0.9016336	1.0404263	0.0923803	0.4580123	1.0433574	0.2169109	0.3859456	1.0485963	0.0122667	0.0000000	0.0080577	0.0918460	0.9603093	0.0315762	0.7082103	0.0000000	0.9652099	1.0229725	1.0212234	0.0040532	0.3101352	0.4135926	0.6051307	0.5704314	0.6713162	1.0682442	0.6042843	0.9321535	0.8574508	0.1663657	0.7481900	1.1217179	0.9598802	0.9710922	0.7714096	0.7389191	0.9177041	0.9705237	0.1379475	0.9444115	0.0486983	0.7498494	0.6884621	0.9543474	0.3197066	0.1457476	0.0293435	1.0237150	0.0357096	0.0457185	0.9504759	0.2750670	0.9090044	0.5454434	0.9301744	0.9210117	0.0398909	0.5263840	0.6856640	1.0418743	0.6387891	0.8865594	1.0347969	1.0079724	0.9210046	0.5573415	0.3507847	1.0186364	0.9330710	0.9262922	0.0824628	0.0395773	1.0306697	0.7514119	0.8405572	0.4736909	1.0610534	0.4991783	0.2277183	0.8675935	0.5723979	0.4863526	0.1892031	0.5886932	0.5515449	1.0411477	0.9089677	0.9897236	0.9332213
1.0509881	0.9951482	0.2672936	0.4996507	0.3616546	1.0150301	0.9625544	0.2804211	0.9990693	0.0986597	1.0444640	0.8072982	0.9873349	0.1093282	0.2646240	1.0142507	0.2087912	0.2962683	0.9982217	0.4823802	0.0000000	0.0182022	0.0000000	0.9730954	0.0244083	0.6620589	0.8408733	0.9843099	0.9695258	1.0028602	0.0105618	0.3091951	0.3811508	0.5103058	0.5460892	0.6777481	1.0307868	0.4664832	1.0170873	0.8570601	0.1716267	0.7773632	0.9880090	1.0867446	1.0835200	0.7899699	0.7245775	0.8961472	1.0378411	0.1206707	1.0043853	0.0957895	0.6820097	0.7669539	1.0219080	0.2419317	0.1320382	0.0336000	1.0516246	0.0355479	0.0437996	0.9614045	0.3616815	0.9910452	0.4837292	0.9538295	1.0108008	0.0273401	0.5888135	0.8599443	0.9981194	0.6298458	0.8790541	0.9792734	1.0434564	0.9528209	0.5413995	0.3775389	1.0292160	1.0720046	1.0169663	0.0837506	0.0240878	0.8352037	0.7524304	0.8224208	0.3791629	1.0282338	0.5178328	0.4383874	0.8355614	0.5824808	0.4609446	0.2236160	0.6048452	0.5333941	0.9823559	0.5963670	1.0064873	1.0658251
1.0353523	0.9278651	0.2431814	0.5872485	0.4780924	1.0416355	0.9234313	0.0200177	1.0921136	0.1163221	1.0216681	0.5111163	1.0364957	0.9028173	0.0624831	1.0603016	0.2023500	0.3856036	0.9679600	0.9371218	0.9455190	0.7109004	0.2928540	1.0033776	0.0369812	0.7525711	0.8164515	1.0156779	0.9796036	1.0563448	0.1786136	0.2864423	0.0000000	0.5286559	0.0564334	0.6424513	1.0329644	0.5773978	0.9364640	0.8300946	0.1676382	0.6564105	1.0605562	0.9826061	1.0384817	0.7969151	0.7527510	0.9143003	1.0311329	0.1346504	1.0400739	0.0814232	0.8498869	0.7098671	0.9868051	0.2887910	0.1368203	0.0270334	1.0132818	0.0323057	0.0582495	0.9564133	0.3307329	0.9514020	0.0000000	1.0108123	0.9968499	0.0416640	0.6720178	0.7818563	1.0367765	0.7030445	1.0125320	1.0296452	1.0481210	0.9180339	0.5114942	0.3451507	1.0827365	0.9498999	1.0058347	0.1112792	0.3998447	1.0315156	0.7468836	1.0057950	0.4873270	0.9331928	0.5785230	0.2494717	0.9757032	0.4662423	0.5280502	0.1215356	0.5363280	0.6744485	1.0321702	0.2369120	0.7765061	0.9529953
1.0054491	0.9955722	0.1744070	0.4896166	0.4590573	0.9756108	0.9738209	0.0486436	1.0009314	0.1295946	1.0510167	0.7763172	0.0000000	0.0705010	0.2958379	0.9699489	0.1662109	0.3442148	1.0645747	0.4633796	1.0794197	0.5975863	0.0000000	0.9191706	0.0370037	0.7114581	0.7766854	0.9424554	0.9933693	1.0120318	0.0084232	0.2942360	0.3762916	0.6113169	0.5376685	0.6601316	1.0117375	0.5406765	0.9938207	0.8507971	0.1796480	0.7879686	1.0216194	1.0709057	0.9252988	0.7748733	0.7484813	0.9950923	0.9801745	0.1237916	1.0869287	0.0577970	0.9143569	0.7337561	1.0021727	0.2489388	0.1623159	0.0422592	0.9970433	0.0501473	0.0411123	1.0058456	0.4369399	0.9024362	0.5634816	1.0045346	0.9448329	0.0344575	0.5742923	0.7064129	1.0695822	0.7037816	0.9640350	1.0141671	1.0892488	0.8592524	0.4987612	0.3269654	1.0593767	0.9353594	0.8713365	0.0892828	0.0273602	0.8717906	0.8101548	0.8682891	0.3853064	1.0091182	0.4713537	0.4221280	0.9135003	0.1605405	0.5905121	0.2151192	0.5115911	0.6895423	0.9681247	0.3196547	0.9808541	0.9737454
