YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.5234387	0.7401493	0.3907041	0.3993961	0.6681333	1.0262524	1.0403203	0.1090427	1.0470937	0.4718092	1.0073956	0.7958061	0.9786616	0.0832035	0.2703533	1.0951037	0.2086087	0.2964579	1.0506319	1.0165452	0.9865173	0.7010421	0.1339179	0.9900320	0.0433117	0.8570670	0.7136672	0.9943469	1.0359288	0.8719270	0.0503713	0.1548953	0.3213091	0.5272880	0.5610923	0.7441685	0.9527756	0.5659297	1.0774656	0.8795428	0.1817726	0.7754613	1.0707178	1.0058977	0.9295033	0.7036951	0.7749308	0.9798165	0.9811770	0.1285134	0.9688434	0.0674968	0.7504316	0.7864306	1.0460888	0.2482400	0.1211030	0.0266630	1.0164382	0.0253777	0.0246702	0.9689170	0.3906103	0.8259194	0.5538559	1.0498110	0.9873366	0.0377236	0.6032224	0.6863500	0.9556869	0.7110495	0.9349429	1.0583243	1.0388605	0.9258299	0.4851573	0.5987503	0.9443490	0.9474688	0.9862381	0.0626957	0.0580431	1.0610918	0.7034951	0.8936372	0.4647225	0.9472070	0.5261437	0.2038201	0.8678269	0.2658911	0.5056527	0.1983575	0.6689598	0.7314618	0.9476054	0.2844973	1.1050510	1.0746797
0.9626343	0.4252950	0.2390621	0.6561232	0.4637842	1.0686657	1.0420506	0.0399712	1.0229279	0.1589669	0.9968297	0.8773780	0.9811687	0.0969833	0.2588035	1.0900910	0.2188453	0.3362032	0.9752001	0.9208828	1.0024143	0.6017423	0.1012810	0.9555202	0.0417086	0.7985684	0.6893573	1.0007426	1.0327755	1.0001915	0.0061978	0.3034250	0.3449499	0.5382484	0.4401056	0.7275079	1.0139230	0.5128508	0.9940595	0.8057838	0.1392643	0.7213545	0.8923415	1.0523965	0.9885483	0.7854115	0.6490668	1.0008203	0.9257632	0.1062064	1.0236902	0.0646492	0.8395586	0.8028956	1.0432060	0.2690713	0.1584003	0.0663832	0.9262137	0.0377410	0.0358913	0.9582819	0.3501739	0.9743305	0.4894316	1.0254003	0.9721732	0.0296849	0.7368976	0.8041793	1.0437812	0.6400827	0.9390102	1.0322333	0.9873675	0.9296332	0.5436386	0.4380670	0.9772555	1.0108994	0.8878857	0.0660257	0.0393378	0.9878997	0.6258978	0.9906922	0.3289474	0.9060258	0.4811226	0.2632129	0.9366045	0.1630762	0.4837565	0.2154624	0.5868404	0.6684480	0.9759694	0.3222610	1.0338892	0.9249402
1.0940605	0.9340485	0.0761276	0.6033034	0.3912665	1.0274668	0.9359203	0.0268486	0.9926196	0.0872747	1.0159707	0.8367262	1.1271595	0.0916961	0.2491663	1.0239320	0.1965437	0.4087052	1.0610813	0.9580319	0.9697044	0.5643344	0.1173114	1.0856162	0.0275162	0.8247838	0.6722211	1.0054672	1.0568296	0.9632126	0.0149864	0.2738180	0.4131594	0.5378390	0.6149749	0.6783996	1.0877155	0.5326893	1.0693174	0.8495880	0.1450062	0.7587685	1.1000321	0.9952271	1.0925182	0.8548255	0.7527002	0.9733522	0.8340760	0.1371029	1.0486994	0.0599164	0.7510002	0.6593289	0.9396645	0.3234844	0.1327552	0.0436592	0.9623222	0.0449829	0.0383640	0.9703653	0.3278187	0.9049022	0.5158628	1.0101153	1.0399623	0.0383955	0.7366972	0.7815437	1.0424290	0.7003290	1.0088738	1.0653802	1.0102060	0.9295950	0.5378251	0.3638475	0.9831569	0.9490942	1.0400977	0.0596959	0.0594719	0.9840975	0.7815071	0.9641903	0.3591964	0.9696536	0.5462873	0.2695833	0.9305729	0.2140932	0.5924060	0.1831745	0.5597391	0.6126213	1.0360056	0.2598364	1.0541121	0.9674800
1.0599395	0.9597945	0.3135442	0.2744473	0.4631928	1.0080316	0.9748009	0.1037875	1.0892909	0.1085872	1.0344562	0.7216549	0.9514744	0.1132512	0.1450065	1.0440853	0.1775548	0.3488417	1.0355440	0.9146304	0.9662652	0.7266599	0.1062399	0.9621039	0.0440445	0.7234899	0.8092813	1.1105581	1.0507964	1.0297059	0.0116497	0.3405800	0.3406872	0.5501586	0.4357365	0.6758496	1.0073854	0.6240045	1.0745284	0.8624133	0.1418217	0.7703101	1.0068105	1.0158682	1.0528333	0.7742957	0.8846614	0.9449545	1.0672636	0.1288351	0.9873627	0.0625333	0.8192019	0.8066171	1.0174370	0.2868352	0.0986863	0.0278840	1.1196587	0.0344332	0.0329444	0.9508697	0.3360642	0.8625717	0.5378569	1.0318498	1.0131116	0.0372150	0.6398015	0.7670448	0.9794716	0.6958596	0.9900032	1.0551305	1.0036891	0.9570148	0.6037644	0.3872095	0.9934313	0.9473246	1.1162229	0.0788350	0.0680149	1.0061215	0.7935252	0.9109256	0.4051747	0.9915257	0.5342370	0.2780348	0.9225708	0.2367500	0.5893406	0.1935431	0.6409950	0.6320691	1.0438894	0.2401321	0.9731043	0.9428000
0.9969311	0.9485640	0.2228509	0.5293398	0.2120077	1.0403734	0.9476408	0.0828285	1.0137491	0.1305702	0.9462576	0.8144274	0.8892682	0.0911620	0.2572076	0.9695679	0.2084316	0.3226391	1.0585638	0.9372162	0.9827836	0.6839399	0.1209200	1.0838473	0.0406011	0.6815841	0.6708035	0.9383061	1.0523711	1.0179868	0.0016684	0.2872303	0.3085069	0.4951410	0.5213153	0.6909044	0.9603917	0.5254814	0.9997638	0.8110009	0.1325338	0.6552630	0.9694908	1.0818254	0.9574597	0.7148767	0.7641932	0.9225876	0.9362511	0.1450537	1.0026150	0.0796849	0.7906980	0.7845960	0.9315850	0.3527288	0.1032304	0.0359443	0.9414691	0.0348358	0.0410145	1.0832715	0.3456548	0.9075969	0.5069390	0.9974512	0.9539993	0.0295639	0.5551677	0.7443838	1.0783101	0.7012920	0.9256781	0.9663026	0.9227655	0.8944447	0.5802323	0.3537638	0.9953733	1.1193052	0.9680385	0.0829512	0.0506741	0.8990665	0.7945502	0.9553915	0.4585644	0.9121264	0.5198697	0.2444200	0.9298847	0.1957485	0.5200099	0.2536544	0.5914645	0.6299493	1.1080154	0.2537619	0.8979422	0.9660867
1.0436333	1.0445728	0.2639575	0.5548014	0.5023146	0.5521739	1.0326776	0.0956527	1.0626436	0.0778749	1.0144070	0.8483619	1.0819523	0.0908155	0.2758769	1.0294952	0.2009190	0.3405194	1.0704929	0.9732808	0.9974885	0.6685062	0.1032008	1.0008684	0.0393708	0.7524201	0.6716062	1.0406562	0.9914790	1.0266119	0.0058404	0.3344018	0.3701447	0.5149933	0.5282896	0.7875139	1.0159403	0.5661305	0.9420010	0.9172109	0.1534259	0.7608851	0.9756380	0.9431827	1.0378760	0.8387329	0.7608077	1.0016050	1.0637515	0.0977187	1.0702037	0.0569266	0.6652923	0.8113647	1.1589193	0.2524559	0.0822462	0.0285166	0.9985321	0.0526564	0.0363004	1.0273496	0.3674271	0.8749425	0.5756357	0.9902273	1.0000641	0.0375858	0.6744502	0.8287979	1.0234869	0.7657253	0.9992206	0.9773845	1.0212420	0.9753830	0.5008710	0.3195295	1.0299490	0.9142583	0.9856445	0.0943294	0.0369542	0.9802371	0.7506383	1.0293409	0.3897330	1.0641600	0.5719483	0.3056883	0.8774796	0.2194209	0.5543055	0.2470756	0.5154977	0.6939079	1.0226455	0.2953535	1.0147851	0.9820801
1.0936244	0.9488019	0.1990577	0.4474315	0.4477201	0.9917766	0.4887379	0.5032622	1.0084455	0.1077950	0.9546487	0.8678944	1.0418717	0.0968432	0.2534315	1.0897585	0.1656831	0.3511319	0.9696890	0.9932773	1.0259800	0.6414286	0.0783934	0.8977405	0.0585883	0.8009039	0.7411807	0.9850125	1.0854543	0.9941113	0.0191884	0.2834055	0.3745698	0.5798033	0.8373222	0.6640147	1.0835941	0.5343520	1.0021112	0.8439360	0.2158191	0.8053735	0.9935860	0.9873846	0.9685442	0.7760975	0.6902987	0.9429199	0.9746553	0.0779663	1.0516095	0.0500981	0.6275614	0.8854136	0.9983179	0.3546962	0.1075692	0.0187233	1.0449028	0.0478091	0.0403021	1.0586430	0.3791629	0.9936220	0.4783200	0.9679752	0.9157888	0.0363071	0.5875715	0.7984144	0.9707605	0.7195030	0.9299147	1.1146421	0.9449798	0.8843269	0.5452033	0.3259563	1.0420915	1.0220965	0.9565909	0.0674080	0.0520773	0.9838475	0.7907717	0.8962669	0.4138916	1.0460487	0.4995768	0.2537671	0.8055905	0.1858040	0.5278558	0.2431998	0.5457502	0.6245648	1.0437326	0.2775568	0.9869544	0.8731953
1.0218218	0.9094360	0.1938951	0.6249297	0.4905462	0.9841243	0.9597617	0.0672727	1.0150412	0.1020586	1.0499833	0.8355979	1.0092422	0.0991157	0.3006307	1.0245149	0.1894526	0.3369387	1.1231134	0.9019046	1.0688367	0.6968795	0.0794180	1.0771883	0.0406653	0.7633456	0.7359716	1.0042312	1.0814152	1.0201521	0.0207217	0.2975240	0.3127299	0.6059347	0.5876566	0.6948656	0.9413010	0.5311604	1.0701850	0.7343958	0.1130218	0.7378538	1.0769165	1.0615667	1.0336907	0.7187904	0.7764853	0.9544043	0.9220260	0.1264897	0.9322778	0.0449734	0.7628572	0.6220052	0.9971786	0.3409935	0.0962420	0.0353109	1.0536203	0.0422081	0.0542833	1.0342432	0.3129009	0.8080045	0.5651992	0.9495281	1.0676317	0.0186173	0.6677570	0.6800404	0.9353637	0.6598243	0.9641091	0.9069103	1.0073251	0.9876701	0.5242702	0.3099075	0.9946266	0.9476794	1.0448725	0.0617234	0.0533636	1.0338945	0.8074056	0.8947925	0.4053484	0.9942604	0.4803156	0.2270740	1.0637404	0.1541587	0.6097768	0.2501694	0.6401304	0.6692250	1.0685342	0.2288396	0.9652014	0.9851470
1.0051798	0.9085849	0.1481770	0.5101926	0.4667225	1.0038786	0.8989021	0.0811364	0.4931724	0.1465034	1.0351737	0.7923701	1.0107790	0.1466572	0.1221528	0.9967164	0.1761943	0.3787724	1.0110826	0.9231607	1.0001762	0.6560607	0.1410649	0.9663614	0.0224296	0.8129822	0.6993092	1.0091045	0.9333895	1.0270369	0.0009182	0.3298891	0.3285942	0.5201962	0.3432547	0.7561607	1.0112839	0.6058310	1.0583744	0.7811276	0.1511096	0.7676342	1.0641477	1.0626011	0.9802327	0.8231631	0.7210514	0.9583823	0.9962810	0.1369347	1.0266504	0.0972819	0.5702771	0.7191361	0.9363096	0.2967594	0.1164883	0.0409013	0.9408857	0.0454738	0.0577267	1.0125392	0.3445774	0.9348813	0.5927353	1.0271068	0.9992284	0.0299781	0.6995306	0.7345345	0.9390988	0.7124834	0.9830889	0.9761221	1.0218153	1.0337479	0.6110162	0.3769835	1.0238028	1.0332860	0.9763334	0.0779300	0.0634109	1.0040267	0.8091986	0.8681399	0.3699695	0.9666696	0.4926434	0.2697902	0.7653025	0.2563208	0.4848124	0.1943935	0.5720602	0.7639854	0.8963276	0.2621276	0.9620846	1.0563233
0.9895250	0.9127776	0.2258937	0.5160430	0.4444189	1.0375112	0.9146829	0.3148985	1.0509765	0.0550138	1.0251706	0.8184510	1.0558151	0.1091503	0.2064931	1.0145041	0.1834484	0.3440566	1.0685711	0.8401134	1.0475887	0.6338080	0.0786658	0.9754276	0.0265322	0.7778418	0.7225688	1.0904854	0.9901216	1.0591451	0.0062628	0.3603839	0.3736724	0.4808742	0.5704343	0.7269349	1.0396918	0.5540063	0.9350743	0.7976377	0.1374277	0.7664133	1.0198778	0.9633670	1.0723388	0.7196404	0.7725434	0.9291151	1.0030495	0.1328346	1.0593500	0.0658413	0.6950797	0.7339068	0.9614982	0.2944377	0.0947734	0.0328488	1.0048534	0.0354031	0.0309204	0.9866501	0.3328588	0.8400603	0.5080015	0.9755156	1.0510653	0.0223527	0.5984733	0.7443146	0.9478584	0.7211011	0.9899275	0.9946241	1.0443876	0.9435842	0.5235271	0.3704671	1.0039745	1.0545810	1.0577481	0.0862665	0.0371784	1.0223665	0.7652623	0.9583597	0.3823807	0.9161478	0.5454158	0.2952301	0.8963691	0.1904658	0.4627026	0.2196772	0.5983693	0.6655801	0.8993584	0.2427487	1.0048652	0.9977355
