YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.0000000	0.0019805	0.6003250	0.1931295	1.0292015	0.9668513	0.9641682	0.0835966	1.0557269	1.0307806	1.0108670	0.8084871	1.0162241	0.1150822	0.2797101	0.9999539	0.1783945	0.1994184	1.0158445	0.9939804	1.0395790	0.6546226	0.1210757	1.0804761	0.0287924	0.6619340	0.8074979	0.9885488	1.0102652	1.0840210	0.0177543	0.0872386	0.3588489	0.5242971	0.5067293	0.6994011	1.0081354	0.5821651	1.0345101	0.8510812	0.1809568	0.6955454	1.0597699	1.0498515	1.0846814	0.8135734	0.7549252	1.0444767	1.0339103	0.1311935	0.9624296	0.0501384	0.9159904	0.7323080	0.9321135	0.2735219	0.1019700	0.0389591	0.9663878	0.0435362	0.0468622	1.0000304	0.3429280	0.7967577	0.4633382	0.9568223	0.9799692	0.0210849	0.6422389	0.8367299	1.0210104	0.7642734	0.9701790	1.0448590	1.1349717	0.9156716	0.5437276	1.0358703	0.9275016	0.9915335	0.8410013	0.0523987	0.0553080	0.8214249	0.6294535	0.9351315	0.4047907	0.8585251	0.5228792	0.2121149	0.8849532	0.3115033	0.5112493	0.2111040	0.7783763	0.5868892	0.9855912	0.2527389	1.0939200	1.0627833
0.9974575	0.0000000	0.1931790	0.4845402	0.4114902	0.9958853	0.9691841	0.0709214	0.9568701	0.0903126	1.0101423	0.7712675	1.0090276	0.0922846	0.2452507	0.9633929	0.2020836	0.3029997	1.0423963	0.9216785	0.9913323	0.7511089	0.1097558	0.9741462	0.0490946	0.7445574	0.7607895	1.0515205	0.9476058	1.0854298	0.0129235	0.3049410	0.3687140	0.5194593	0.5953260	0.7234963	0.9782418	0.5339728	1.0538934	0.8591951	0.1216542	0.6849907	0.9715784	1.0489394	1.0139046	0.7309427	0.7564483	0.9526692	1.0107537	0.1415226	1.1147331	0.0692355	0.8150478	0.7189230	0.9448983	0.2706589	0.1218821	0.0265999	1.0559714	0.0251390	0.0308357	1.0153830	0.3574765	0.8717957	0.4708617	1.0398399	0.9825392	0.0202447	0.6624439	0.7812714	1.0115132	0.7497491	0.9453105	1.0624726	1.0083731	0.9874810	0.5858160	0.3379042	0.9451087	1.1218029	0.9155899	0.0883722	0.0481109	0.8469647	0.6742913	0.9534362	0.4200976	1.0269575	0.4624906	0.2826571	0.9494918	0.2727419	0.4927361	0.1645713	0.6300843	0.7052340	0.9994147	0.2808913	1.0739581	0.9877213
0.9951457	0.8682621	0.0000000	0.5520719	0.4237757	1.0695470	1.0108653	0.0414277	0.9791823	0.1194580	1.0301234	0.7640258	1.1150968	0.0964202	0.2052791	0.9731418	0.1724051	0.3303386	1.0248786	0.9481993	0.9329494	0.6744182	0.1025289	1.0277582	0.0449374	0.7221492	0.7816340	1.0472752	1.0148507	1.0029183	0.0031200	0.3623875	0.3721994	0.5513071	0.5720677	0.6960928	0.9597054	0.5371360	0.9666629	0.7908634	0.1667050	0.7186299	1.1025686	1.0264039	0.9472990	0.8079473	0.6790720	1.0232750	0.9843733	0.1122765	0.9872777	0.0353253	0.9360540	0.7144889	1.0913994	0.2247176	0.1714823	0.0537158	0.9504122	0.0405516	0.0440542	1.0657828	0.3084638	0.8425724	0.4327402	0.9965499	1.0395476	0.0349471	0.6249709	0.7470386	1.0155066	0.7783534	0.9700909	0.9718161	1.0403965	0.9695075	0.5987925	0.3632916	1.0879427	0.9821058	0.9506547	0.0752061	0.0654790	0.9494370	0.7061875	0.9195225	0.4236985	0.9255923	0.5105975	0.2857490	0.8389979	0.1802379	0.5385822	0.2200091	0.5478822	0.6699618	1.0553517	0.2834396	0.9990003	1.0151864
1.0100287	0.8924289	0.3263727	0.0000000	0.4033676	1.0524682	1.0877840	0.0781287	0.9810052	0.1106014	1.0335310	0.8872207	0.9405445	0.0898878	0.2627395	0.9608651	0.1541834	0.2814130	1.1100019	0.9973766	1.0991333	0.6743976	0.0655381	1.0178089	0.0377812	0.7802213	0.6803970	0.9602468	0.9826223	1.0000444	0.0102517	0.2952413	0.3143034	0.5421953	0.6055109	0.6948554	1.0216997	0.5263376	1.0476055	0.8208020	0.1752786	0.7717147	0.9807307	1.0030773	0.9921715	0.7616945	0.7139909	0.9192765	1.0235409	0.1358806	1.0068324	0.0629093	0.8674167	0.7194175	0.9616227	0.3138161	0.1395261	0.0256622	0.9972257	0.0553526	0.0339363	1.0203595	0.3635121	0.8705302	0.5200125	1.0420504	1.0219504	0.0297144	0.6708639	0.7194564	1.1183013	0.7225558	0.8762543	1.0754064	1.0615622	0.8974939	0.5418719	0.3202727	0.9973485	0.9933083	0.9744333	0.0675983	0.0377626	0.9904526	0.8089994	0.9523623	0.4116871	0.9594934	0.5363775	0.2723361	0.9907412	0.1922694	0.6470761	0.2296125	0.5913012	0.6585570	1.0261558	0.2709680	0.9665969	1.0373347
1.0263387	0.8994046	0.2478656	0.4821933	0.0000000	0.9954498	1.0670234	0.0670658	1.0396735	0.0920957	0.9745380	0.6961341	1.0672763	0.1147784	0.2420938	1.0570652	0.1556228	0.3452079	0.9763324	1.0548991	1.0510951	0.7471325	0.0969571	1.0229996	0.0424075	0.7958557	0.7239042	1.0194737	1.0399766	1.0595555	0.0099421	0.3553140	0.3357094	0.5213853	0.3660260	0.7429137	0.9784877	0.5630902	0.9726005	0.8491580	0.1355692	0.7669337	1.0197328	0.9868596	0.9483073	0.8649316	0.7024110	0.9361421	0.9553105	0.1230298	1.0432545	0.0598075	0.6036144	0.8500498	1.0495709	0.2469995	0.0761473	0.0415532	0.9337027	0.0437443	0.0607512	1.0125456	0.3307038	0.8797011	0.5613844	1.0144565	0.9497379	0.0396527	0.5192149	0.7773003	0.9975047	0.7170511	0.9733319	0.9738620	1.0071744	0.8872024	0.5293482	0.3561857	1.0119195	1.0069566	1.0029931	0.0801334	0.0394146	0.9770902	0.7221834	0.8278753	0.3311425	1.0044086	0.5063390	0.2770462	0.9394054	0.1657711	0.5547590	0.2064144	0.5915167	0.7134996	0.9272492	0.2522629	1.0177859	1.0561620
0.9865189	0.8146495	0.3120616	0.5257367	0.4281598	0.0000000	1.0530783	0.0642808	1.0259393	0.1089281	1.0291743	0.8055838	1.1200661	0.0880448	0.2815918	1.0170427	0.2002046	0.2955899	1.0354365	0.9394474	1.0255551	0.6771224	0.0672492	0.9870832	0.0382654	0.7102334	0.6638085	1.0809642	1.0033924	1.1112052	0.0068535	0.3199953	0.3589207	0.5329190	0.6440705	0.7385951	1.0832854	0.5413371	0.9863898	0.7174552	0.1456793	0.7891080	0.9893710	0.9529444	1.0811304	0.7753687	0.7243643	0.9185725	0.9958419	0.1581414	1.0132017	0.0720575	0.6173069	0.7929549	1.0376395	0.2746291	0.1383796	0.0274726	1.0467772	0.0403208	0.0348255	0.9647648	0.3675312	0.9305933	0.5925611	1.0090299	0.9707053	0.0197757	0.6933024	0.7444117	0.9836342	0.7236992	0.9352882	0.9708651	1.0855648	0.9939968	0.6077121	0.3502015	0.9372325	0.9814450	1.0313079	0.0894692	0.0717238	1.0075724	0.7493963	0.8948601	0.3966299	1.0701282	0.5231417	0.2842985	0.9618542	0.1725641	0.5188667	0.1840476	0.5977266	0.6567660	0.9293200	0.2695602	0.9899652	1.0399042
1.0135446	0.8989095	0.2238556	0.4739791	0.4623849	1.0665247	0.0000000	0.9632817	1.1001236	0.0972304	1.0458613	0.7725130	1.0336325	0.1247870	0.2340877	0.9530406	0.1956719	0.3577697	1.0053689	1.0269717	1.0372786	0.6966636	0.1133953	1.0626952	0.0415418	0.6707935	0.7887816	1.0975736	0.9917850	1.0107650	0.0067247	0.3423903	0.3479562	0.4894373	0.4455932	0.7265848	1.0579153	0.5662714	1.0103187	0.9100615	0.1529873	0.7474404	1.0361795	1.0173751	1.0463213	0.7991471	0.7856331	0.9595917	0.9208121	0.1437179	0.9460200	0.0824622	0.4751308	0.9707024	0.9887106	0.2809010	0.0857658	0.0261930	1.0003791	0.0302283	0.0331013	0.9611869	0.2885826	0.9386069	0.5660044	1.0544241	1.0125121	0.0182891	0.6443559	0.8296121	0.9080298	0.7740600	0.8356946	0.9624712	1.0088199	0.9570517	0.6267099	0.3514488	1.0865224	1.0129850	0.9820722	0.0954073	0.0444841	1.0342936	0.7208998	0.8680711	0.4026362	1.0436342	0.4666703	0.2767839	0.8693172	0.2386011	0.5162543	0.2130315	0.5734709	0.6961377	0.9893001	0.4150896	1.1137894	0.9962589
0.9905205	0.8351108	0.2095623	0.4905124	0.4304924	1.0761379	1.0525123	0.0000000	1.1065857	0.1193685	1.0064039	0.7932856	1.0619138	0.0988117	0.2799248	0.9794299	0.1885605	0.2972279	0.9875781	0.9800927	0.9108632	0.6408042	0.0882336	1.1150983	0.0300308	0.6940896	0.8581818	0.9816048	0.9319399	0.9359231	0.0230156	0.2808077	0.3497771	0.5642131	0.7939493	0.6984055	1.0435919	0.5924663	1.0686697	0.8620913	0.2420518	0.6477798	1.0105079	1.0549238	1.0142517	0.7760465	0.7596761	0.9319690	1.0036795	0.1065193	0.9641447	0.0408114	0.9390254	0.4501147	1.0109782	0.3080566	0.1895417	0.0475263	1.0294081	0.0309091	0.0344317	1.0172091	0.3177215	0.9597197	0.4952336	1.0431432	1.1557977	0.0300187	0.6459830	0.6445723	0.9706452	0.7028539	0.9314339	1.0724811	1.0678425	0.8833590	0.5235458	0.3440266	1.1190101	1.0744058	0.9891476	0.0760772	0.0615980	1.0419823	0.7209176	0.9151086	0.3373170	0.9760861	0.5284332	0.2409231	0.8777227	0.1728177	0.5521257	0.2290643	0.5555238	0.6435442	0.9579407	0.2734905	0.9240561	1.0338107
1.0922301	0.8949037	0.0626882	0.5297349	0.4304929	1.1056148	0.8638779	0.0577654	0.0000000	0.1011761	1.0144172	0.8687112	1.0336258	0.1148527	0.1397781	0.9370171	0.2119535	0.3273936	1.0125303	1.0209017	0.9806509	0.6972758	0.1348042	1.0093957	0.0339492	0.8064024	0.6230648	0.9434290	0.9745001	0.9878010	0.0042004	0.2758195	0.3137974	0.5425150	0.3905409	0.6488275	1.0668556	0.5761287	0.9922965	0.8568978	0.1254940	0.7157146	0.9843911	0.9930909	0.9933243	0.8173762	0.7592467	0.9970380	0.9562956	0.1416190	1.0273565	0.0542517	0.7933604	0.7258332	0.9543713	0.2697704	0.1069204	0.0282716	1.0683453	0.0559398	0.0375252	0.9804178	0.3812336	0.8407281	0.5026545	0.9441809	0.9488206	0.0255268	0.6564444	0.7458625	1.0414291	0.6628943	1.0286394	1.0122505	1.0024220	0.9413702	0.5316810	0.3180987	1.0639884	1.0517910	0.9555432	0.0772568	0.0600212	0.9954177	0.8206017	0.9316948	0.4194371	0.9526107	0.5189781	0.1813976	0.6204532	0.1673369	0.5524352	0.2016752	0.5735393	0.6241544	0.9424688	0.2672108	1.0106086	1.0597791
0.9359368	0.8168335	0.2290374	0.5062924	0.4258857	0.9657114	1.0372282	0.0770179	0.9595656	0.0000000	1.0654645	0.9247623	1.1082069	0.0952263	0.2500793	1.1267709	0.1571859	0.3220679	1.0327500	0.9251536	1.0251270	0.6648107	0.1166023	0.9724725	0.0637816	0.8107365	0.7731681	0.9898917	1.0079059	1.0027850	0.0050629	0.3290106	0.3404322	0.5115384	0.5592853	0.6430753	0.9260324	0.6058904	1.0506273	0.7308209	0.1651972	0.7915665	0.9529973	0.9736499	1.0397532	0.8074729	0.7640558	0.8655859	1.0397454	0.1171788	1.0096021	0.0810233	0.7970829	0.8538762	0.9580971	0.2708880	0.1053273	0.0179337	1.0254507	0.0325145	0.0352718	0.9803222	0.3384440	0.9388749	0.5049060	1.0128611	1.0536253	0.0298800	0.6940865	0.8772732	1.0193709	0.7100072	0.9455787	1.0512392	1.0413032	0.9511290	0.6164500	0.3754557	1.0229705	0.9999629	0.9981684	0.1099269	0.0786151	0.9749959	0.7469524	0.9126963	0.4263678	1.0091944	0.4898351	0.2983569	0.8721744	0.2478153	0.5565915	0.1909621	0.5982714	0.6326208	0.9486421	0.2686795	1.0466012	0.9396246
