YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.9846448	0.8991570	0.1919270	0.9163155	0.3202221	0.9997188	0.8662008	0.9788176	0.6802592	0.1434033	1.0246782	0.6334175	0.9822045	0.4794055	0.1695930	0.9818424	0.1294681	0.4272920	0.9567397	1.0490199	1.0584861	0.9966343	0.0760464	0.4215024	0.0061311	0.6858528	0.7550163	0.8784207	0.9504063	0.8154950	0.4908058	0.0369585	0.3620254	0.5577401	0.4828572	0.5130369	0.6776693	0.5422094	0.9139528	0.6996862	0.3590931	0.5198316	0.7321052	0.8048232	1.0422957	0.9178348	0.7351720	0.7150777	0.5772351	0.0426088	1.0169396	0.1363403	0.4842624	0.9338383	0.9032553	0.2158199	0.0662217	0.0494925	0.8234479	0.0643890	0.0087495	0.9737452	0.7887577	0.5512800	0.5585540	1.0800691	0.5878441	0.0369163	0.6568918	0.4591859	0.3995117	0.7600868	0.5360733	0.9837690	1.0477316	0.7445252	0.5895609	0.2679892	0.6681288	0.8233141	0.7471126	0.4838914	0.4426867	1.0784108	0.7321606	0.3566470	0.4330879	1.0127543	0.6071662	0.1896159	0.6692730	0.4798087	0.4500223	0.1230016	0.7575984	0.8924847	0.9486564	0.4481507	1.0531036	1.0821145
0.9491707	0.9785773	0.3310707	0.2868680	0.4618592	0.9066106	0.6394046	0.2206072	0.9224407	0.1071383	0.4846797	0.8373380	0.4919998	0.1174299	0.0959530	1.0744946	0.0280422	0.6414263	0.5967426	0.9057963	0.5381750	0.3866144	0.1553864	0.9947856	0.4976423	0.1360458	0.6905419	0.7568021	1.0349291	0.7134729	0.7764338	0.3358148	0.2223919	0.5697242	0.2927358	0.5224777	0.9573982	0.5504682	0.9676988	0.7279663	0.6878335	0.3620678	0.9782107	0.9040100	0.4975412	0.5464948	0.9767591	0.8673498	0.9602526	0.0227142	1.0101791	0.7291278	0.1752085	0.4163840	0.8998684	0.3223121	0.0682640	0.0021169	0.9426797	0.0512409	0.0059357	1.0375788	0.2136384	0.6621554	0.3284330	1.0400239	0.9878118	0.0075702	0.7052378	0.6891732	0.9906288	0.9210831	0.6507621	1.0138294	1.0148413	0.9086392	0.5696974	0.2463684	0.9525510	0.9697208	1.0374999	0.0564467	0.0134501	1.0074480	0.3302976	0.5609598	0.3614647	0.7897671	0.5900143	0.6020176	0.4195057	0.7929621	0.1116002	0.1712640	0.7902789	0.5874236	0.9932835	0.4464237	1.0256216	0.9185476
1.0614910	0.9316424	0.0442218	0.6071863	0.2620142	0.9812357	0.7931982	0.0572917	1.0272060	0.0901271	0.6896296	0.6199721	0.9858574	1.0374837	0.0632040	0.6200777	0.2223920	0.2862821	0.9126155	0.9353610	0.7448431	0.5900435	0.1535974	0.9684668	0.1566888	0.5575854	0.9130692	1.0251506	1.0422073	0.9151998	0.0262398	0.4925991	0.0009117	0.7567900	0.4303020	0.6890319	1.0378741	0.7577438	0.9907126	0.8863666	0.2162190	0.6546403	0.8829943	0.8857538	1.0557852	0.8268071	0.8237345	0.9782534	1.0639899	0.0729472	1.0351676	0.0573321	0.9970679	0.5403326	1.0292275	0.2510867	0.0968373	0.0850325	1.0319851	0.0306810	0.0005519	0.9146342	0.3803187	0.8705907	0.3797501	0.9453751	0.9338719	0.0445774	0.5971464	0.9734324	0.8260150	0.6713223	0.8550668	1.0273543	1.0248587	0.8487590	0.6041324	0.3452448	0.9018903	0.9605527	0.9884981	0.0773042	0.4628981	0.9277535	0.9319963	1.0630477	1.0752035	0.9253077	0.7055804	0.8087436	0.4591111	0.6710323	0.4814549	0.1649817	0.5293652	0.9026674	0.9374467	0.3338060	0.8531499	0.7099753
1.0155631	0.8992944	0.5820501	0.2638728	0.4569565	0.9995210	0.9425126	0.0471585	1.0733596	0.1272511	0.9249694	0.7325132	0.9075411	0.0229704	0.2965682	0.7702753	0.1990748	0.3580545	1.0164869	0.8732588	0.8959744	0.3674973	0.1182459	0.9957476	0.4848828	0.1833533	0.0790598	1.0119621	0.9057888	0.9755384	0.3823098	0.2526917	0.3174198	0.5601116	0.4335096	0.8276753	1.1124336	0.6567422	0.9683841	0.7820330	0.4508893	0.7657052	0.6241601	0.9229369	0.9271350	0.8417475	0.8330544	0.8976062	0.9028520	0.1314639	1.0544957	0.0036338	0.9718286	0.3874086	0.7324164	0.5261250	0.4194120	0.3153058	0.9928454	0.0263054	0.0017116	0.8938019	0.3182251	0.8953479	0.3887269	1.0005837	0.9419231	0.0042530	0.6177565	0.3008928	1.0098941	0.5125932	0.7390167	0.7678913	0.9175174	0.8590692	0.5722365	0.4018568	0.9385788	0.9008866	1.0010602	0.0048504	0.1631140	1.0897666	0.8909929	1.0300317	0.4670712	0.8703259	0.3384060	0.3572632	0.4454598	0.0758525	0.5351760	0.0565706	0.0142618	0.6888487	0.8727496	0.6520942	0.5837936	0.8098576
0.4104264	0.7220868	0.4787449	0.2270128	0.6079678	0.4779501	0.9099076	0.2988425	1.0590553	0.7022344	1.0498617	0.7670016	0.7242611	0.0510382	0.8980525	1.0520968	0.2154362	0.1532079	0.9591303	0.8352966	0.7305474	0.7932013	0.0756737	0.9817489	0.0037736	0.8951168	0.4993904	0.9210759	0.9702960	0.7968714	0.4370880	0.0079611	0.2644504	0.5163277	0.6048980	0.7555592	0.9897693	0.5493686	0.6774347	0.5046907	0.4658576	0.7589798	0.8181049	0.9903846	0.6128628	0.6338209	0.8489527	0.9595322	0.9981207	0.0236750	0.9353468	0.0556401	0.8443072	0.5545121	0.9375088	0.3281738	0.2414658	0.4340010	0.9369479	0.0455965	0.4320156	0.8837366	0.3562683	0.5146395	0.2900625	0.5239334	0.8800520	0.0117749	0.5089432	0.5833614	1.0429729	0.8010225	0.7406020	0.9223650	1.0621925	0.8955859	0.8262672	0.5902496	0.9925985	1.0664357	0.9570794	0.0489190	0.3129041	0.8173646	0.7175253	0.8285082	0.4772435	0.8137198	0.2587057	0.3849425	0.8876283	0.1317213	0.7429629	0.0813530	0.5756183	0.2404564	0.9711301	0.1456505	1.0641833	0.8625928
0.9933350	0.9659903	0.0362325	0.9043927	0.4869307	0.8827392	1.0079829	0.0366435	0.8253672	0.1131169	0.8610683	0.4293087	1.0118572	0.2642458	0.2328339	0.7458317	0.2398917	0.5818035	0.7708260	1.0689412	0.8600467	0.7044014	0.0793034	0.9473983	0.3562417	0.1212227	0.8101250	0.9802699	0.9477425	1.0639615	0.2723100	0.5418822	0.3447502	0.6890806	0.7018994	0.4954061	0.9144154	0.6285969	0.9820664	0.8455675	0.1164985	0.6934265	1.0953107	0.7461958	0.9428453	0.8008413	0.6757736	0.8578186	0.8809980	0.1851127	0.8861991	0.0429436	0.7594748	0.5409433	0.9564814	0.3070049	0.2030616	0.0319585	0.5040531	0.0800003	0.0101857	1.0516245	0.3012790	1.0021919	0.3432999	0.9108080	1.0484379	0.0011400	0.6060060	0.7554570	0.8145450	0.6344413	0.6512764	1.0792729	0.4504461	0.3750441	0.3187476	0.2712208	1.0672901	0.9034466	0.8956665	0.1629950	0.0160666	0.8761724	0.5575209	0.7688691	0.3912273	1.1108218	0.8196877	0.1201809	0.6621775	0.1578544	0.9508763	0.0854522	0.5572103	0.8134566	0.9997690	0.4916367	0.8956002	1.0677376
0.6937279	0.8021012	0.4455627	0.7475377	0.3987210	0.9941221	0.9204964	0.0081109	0.5149624	0.2697472	0.6589045	0.5112968	0.6267999	0.3790039	0.1972683	0.9573250	0.0055923	0.3319532	1.0122967	0.8993050	0.7520753	0.6714292	0.0701478	0.5953791	0.0018223	0.5938401	0.5551552	0.6748976	0.8033591	1.0708038	0.1652246	0.3699473	0.3786108	0.5054962	0.5371851	0.9410465	0.7023860	0.4940047	0.6947080	0.4991125	0.1487792	0.8148294	0.9066424	0.5112088	0.7089273	0.8117688	0.9675476	0.6569665	1.0179150	0.0172031	0.8528193	0.0004663	1.0299100	0.3872649	0.7157610	0.4138656	0.2847144	0.2091647	0.9688789	0.0462790	0.4155727	0.9120943	0.6124514	0.7206503	0.7473995	1.0505994	1.1144076	0.0318500	0.6507645	0.7203854	1.0332296	0.6715835	0.9421064	0.8153409	0.9984364	1.0059614	0.5734135	0.4323672	0.9593176	0.9977148	1.0650023	0.0208641	0.0168096	1.0053655	0.6548307	0.8886362	0.6013623	1.0329549	0.3206244	0.0665409	0.6863401	0.2654624	0.5541951	0.6026445	0.7308855	0.3284986	0.9956919	0.4216877	0.9393786	0.9625351
1.0004689	0.9373373	0.1188559	0.3373883	0.4077083	1.0655250	0.9757109	0.0382364	0.8622456	0.1021346	0.8916021	0.2179591	0.9040492	0.0303530	0.3072575	0.9466114	0.1953664	0.0902858	1.0525838	0.9758708	0.9167752	0.2840183	0.1193882	0.9722994	0.0880284	0.8931081	0.2484538	1.0088185	0.9056935	0.9289669	0.0189627	0.3040874	0.3457583	0.3990148	0.3890025	0.6020776	1.0363980	0.5289325	0.9564449	0.8785296	0.1728112	0.6348495	0.9558739	0.9369816	1.0266450	0.7820416	0.9177568	0.8213821	0.8287930	0.1378407	0.8261591	0.0601440	1.1194438	0.3639764	0.6990569	0.5188924	0.6023609	0.2206031	0.8562477	0.0368351	0.0031965	1.0214027	0.1701841	0.8473422	0.5135998	0.9301328	0.9943967	0.0031176	0.5998405	0.5238355	0.9859579	0.4461571	0.7135270	0.5698122	0.8537977	0.6562506	0.4357578	0.4240883	0.7737860	0.6422769	0.9994635	0.0392922	0.1528773	1.0056358	0.6337557	1.0426839	0.6038386	0.9391894	0.8221364	0.1998856	0.9699484	0.2871213	0.6053118	0.0960613	0.7313384	0.4146898	0.6022429	0.5950171	1.0108085	0.9355635
0.9703963	0.9024148	0.0129815	0.6395308	0.4635755	0.9807267	0.9729796	0.0000442	0.9701232	0.1138637	0.9983734	0.2749170	0.8594180	1.0440394	0.4199836	1.0379425	0.2616298	0.2998191	1.0928089	1.0848208	0.9274852	0.6578866	0.1757645	0.7250524	0.3505493	0.2927893	0.5377279	1.0942846	0.9925261	0.6690237	0.2282195	0.4447896	0.0029522	0.5217315	0.1323907	0.9306063	0.8503722	0.5861804	1.0843583	0.9198601	0.1174477	0.6082682	0.9615573	1.0391140	0.8381135	0.8404169	1.0134286	0.5304686	0.6152023	0.1060664	0.9982107	0.0690664	1.0268781	0.3794477	0.8432045	0.4657492	0.3025289	0.0815993	1.0195264	0.0164896	0.0405447	1.0570968	0.3761618	0.7970103	0.7334544	0.8870385	0.9402402	0.0326839	0.7453945	0.5429687	1.0650440	0.6111045	0.9526672	1.0232092	0.9187070	0.8439973	0.4468718	0.4104341	0.7782190	0.9675075	1.0801959	0.3704670	0.3501713	1.0582132	0.9078977	0.6851377	0.4579428	0.9959048	0.7983426	0.7848253	0.8241942	0.1799375	0.5057727	0.3252128	0.8055003	0.3151370	0.9671511	0.3450310	0.6035173	0.7974013
1.0565793	0.9008500	0.0484755	0.8654214	0.3528245	0.6700386	0.9950700	0.3392099	1.0222511	0.1135302	1.0104529	0.4983260	0.6421439	0.0470706	0.5263351	0.9673675	0.1814228	0.0862522	0.9023582	0.9039975	0.7938682	0.7994343	0.1377546	0.9039575	0.0136207	0.6939446	0.8573783	1.0508665	1.0077501	0.9200151	0.0179780	0.3304962	0.3050187	0.5563111	0.4167390	0.6269132	0.9367071	0.3781731	1.0994759	0.9219400	0.1328854	0.6625686	1.0174588	1.0076149	0.9468346	0.7965524	0.6732273	0.6983101	0.9001096	0.0496528	1.0019935	0.0186636	0.5554499	0.7984102	0.8674969	0.2305194	0.0669006	0.0044887	0.8256420	0.0391424	0.1333371	0.8103233	0.3810547	0.7297408	0.8829065	1.0202234	0.6724232	0.0027942	0.5152057	0.7939679	1.0066874	0.4461342	0.9420674	1.0291733	0.7175415	0.7615341	0.5372726	0.1952395	1.0072813	0.6391332	0.8995447	0.0887905	0.0893547	1.0744205	0.6434791	0.9861065	0.1815454	1.0289101	0.8933576	0.6906539	0.5838596	0.8985720	0.5398541	0.0937684	0.7413515	0.6443989	1.0989606	0.2111354	1.0198182	0.6305388
