"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	0.9527407	0.8281555	0.1934568	0.5658971	0.3647087	1.0009460	0.9937205	0.1045375	0.9408352	0.1071899	0.9496639	0.8089331	0.9446234	0.1327954	0.1687578	1.0509472	0.1750832	0.3889927	1.0258895	0.9775460	1.0555281	0.6884104	0.1178035	0.9459140	0.0409593	0.7836280	0.8152592	1.0184418	1.0852045	1.0540407	0.0132978	0.3126182	0.3824487	0.5455313	0.4722678	0.6284981	1.1402240	0.5961071	0.9907872	0.8658935	0.1144738	0.7782343	1.0021430	0.9136855	0.9881982	0.7382652	0.7037849	0.9851345	0.9839851	0.1499139	1.0285284	0.0600172	0.7789980	0.6937687	0.9558999	0.2815300	0.0885528	0.0326256	0.9438240	0.0428023	0.0221073	0.9627021	0.2722268	0.9539031	0.4573446	1.0043270	1.0564325	0.0459240	0.6447822	0.7363816	0.9230654	0.7565440	0.9782255	0.9945088	1.0752019	1.0042077	0.5688979	0.4137451	1.0782010	1.1207130	0.9958207	0.0750956	0.0527622	1.0219076	0.7766911	1.0448938	0.5430465	0.9772434	0.5919784	0.3107031	0.9022298	0.1602312	0.5875619	0.2447073	0.5973418	0.7322556	0.9483761	0.2758579	0.8611104	1.1150345
50	0.9328947	0.8818386	0.3223487	0.5043747	0.4519622	1.0547986	0.9636952	0.1075711	0.5609942	0.1172694	1.1108740	0.8912098	0.9596374	0.0812917	0.1408018	1.0107902	0.1251065	0.3054444	1.0564739	0.9912492	0.9612710	0.5967000	0.0788784	0.9241551	0.1677454	0.7345876	0.8204907	0.3662585	1.0506526	0.9492071	0.0027203	0.3390799	0.2318960	0.7427338	0.7038096	0.5967328	1.0743607	0.6548918	0.7280400	0.7678251	0.2247557	0.6669758	0.6532045	0.7392670	0.8858788	0.8179989	0.6816758	0.7954506	0.9295392	0.2180932	0.6855001	0.0154385	0.7481654	0.7341293	0.9250823	0.3195089	0.1075990	0.0874632	1.0480365	0.0669558	0.2773495	0.9116416	0.3783859	0.8098514	0.6473486	1.0235369	1.0655791	0.0290145	0.6923073	0.8508090	1.0245099	0.6485243	0.9308375	0.9922716	1.0665802	0.9673057	0.5557339	0.2528651	0.9789908	0.8449936	1.0518621	0.1458958	0.0405106	1.1024502	0.8204855	0.8755135	0.4572799	0.9016172	0.5072877	0.5710062	0.8633057	0.1580149	0.4748196	0.1375625	0.6181531	0.7544851	0.9834680	0.3962843	0.8888953	1.1171633
100	1.0009105	0.8763625	0.4394180	0.6124948	0.4661312	0.9752460	0.8505538	0.0704907	0.2200517	0.1120094	1.0839257	0.8943566	0.9993968	0.1661207	0.0607095	0.9469091	0.0726869	0.2827323	0.9462482	1.0793261	1.0347945	0.6273051	0.1140817	0.9167278	0.2589247	0.6696921	0.8274416	0.2626879	0.9630239	0.8556572	0.0002488	0.3202204	0.1458590	0.9768681	0.6280185	0.5338883	1.0055440	0.5510916	0.4220767	0.6637769	0.3088207	0.6893584	0.4442283	0.6914595	0.5609442	0.8354570	0.6151790	0.8398596	0.9696850	0.1440739	0.3643799	0.0037877	0.7365980	0.6868356	0.7972473	0.3202063	0.1807227	0.1276664	1.0604138	0.0666159	0.5944779	0.9819187	0.3442469	0.9208260	0.6185308	1.0035135	1.0507469	0.0299991	0.7107925	0.8071728	0.9495670	0.6584150	0.8650142	1.0951341	1.0629703	1.0220932	0.4990645	0.1881561	0.9485981	0.6251607	0.9997336	0.1130876	0.0396856	1.0401496	0.8943704	0.8752155	0.4464668	0.8336706	0.6273000	0.6255823	0.7855953	0.1275980	0.5072273	0.0824569	0.7227433	0.7785354	1.0171490	0.2872895	0.9983486	0.9502608
150	1.0130642	0.8370946	0.4510007	0.5751370	0.5132996	1.0297598	0.7242793	0.0508324	0.1310876	0.1536603	1.0055303	0.7711204	0.9531021	0.3951587	0.0502722	0.8109138	0.0378297	0.3036653	1.0565087	0.8716877	0.9910234	0.5707473	0.1016207	0.7883311	0.3560209	0.5629601	0.8851077	0.2885503	0.9807372	0.8080194	0.0042417	0.2799419	0.0575115	1.0277788	0.7472616	0.5542485	1.0752330	0.4372087	0.2678846	0.4130491	0.2980211	0.6995351	0.4224258	0.6198898	0.4626202	0.7160097	0.7376709	0.8828380	0.9990906	0.1191189	0.1912249	0.0018180	0.7594034	0.7077486	0.6795790	0.4106217	0.2153799	0.1523243	0.9455093	0.0569701	0.6543861	1.0330558	0.3751548	0.9612902	0.6026245	1.0693925	0.9704253	0.0123568	0.7498204	0.8263720	0.9230457	0.7099182	0.7642688	1.0331576	1.0871023	0.9585019	0.4766148	0.1904267	0.9710518	0.4294536	1.0316088	0.1210556	0.0802391	1.0379056	0.8550993	0.8202548	0.4183943	0.9613115	0.4664779	0.5989920	0.7082652	0.1144613	0.4616915	0.0434540	0.6384282	0.7457009	1.0354699	0.2581272	0.9701234	0.9686756
200	0.9917967	1.0084411	0.4572041	0.5545634	0.4013769	1.0016647	0.6304216	0.0331359	0.1303711	0.1402485	0.9951134	0.8567460	0.9982777	0.6427138	0.0433940	0.8372740	0.0288720	0.2633787	1.0406359	0.9259579	1.0006464	0.5951166	0.1222173	0.8465319	0.4396984	0.3709590	0.9471375	0.1763571	1.0380768	0.7855147	0.0056411	0.2545509	0.0228002	1.0758869	0.7046948	0.5672570	1.0335952	0.3911750	0.1502931	0.2235970	0.3154163	0.7250518	0.3741596	0.6163175	0.3920004	0.6576897	0.8144105	0.7888075	0.8885514	0.1452753	0.0884066	0.0021801	0.7200967	0.5510240	0.7745422	0.4499663	0.3241209	0.1772928	0.9075851	0.0335270	0.7065256	0.9957962	0.3968479	0.9259714	0.6884992	0.9151631	0.9958680	0.0310949	0.7183192	0.8268075	0.9527750	0.7353826	0.7032154	1.0454023	1.1147127	0.9106654	0.4978634	0.1545237	0.8872955	0.3864793	0.9546556	0.0839314	0.1421812	1.0739241	0.7934814	0.9531491	0.4649472	1.0389542	0.4232232	0.6376315	0.6026444	0.1393395	0.5498473	0.0539910	0.6104896	0.7147695	1.0193980	0.1972616	1.0625164	0.9930045
250	1.0234652	0.9047285	0.4354772	0.5858676	0.4143392	1.0582101	0.5959207	0.0414178	0.1242071	0.1145504	0.8923116	0.7879372	1.0694184	0.8729473	0.0443179	0.8021395	0.0113583	0.2991773	0.9308450	0.9490531	0.9884576	0.5578889	0.1560495	0.8982425	0.3731347	0.2699556	0.9385530	0.2251073	0.9835400	0.8054820	0.0011053	0.2529794	0.0067254	0.9334739	0.6550616	0.6150748	1.0123518	0.3329520	0.0906558	0.0861043	0.3049775	0.7421207	0.2666301	0.7001221	0.3868068	0.6620721	0.7297622	0.8907078	0.9511245	0.1081530	0.0651296	0.0000000	0.8855198	0.4774873	0.6628680	0.5038679	0.3863770	0.1843690	0.9352269	0.0519510	0.7484408	0.9594498	0.4209197	0.9355952	0.6338497	1.0387458	0.9147503	0.0327591	0.6885488	0.7564855	1.0014393	0.7010472	0.6750201	0.9879790	1.0301648	0.9966895	0.4654038	0.1291890	0.9605781	0.3482166	0.9644007	0.0435685	0.2682570	1.0935550	0.8640951	1.0305000	0.4793021	1.0798060	0.4843988	0.5403139	0.5491820	0.1849732	0.5098514	0.0389352	0.5408748	0.7366310	1.0497824	0.1541025	0.9039722	1.0977538
300	1.0057404	0.8854942	0.4339240	0.5597892	0.4339170	0.9696432	0.5605199	0.0400457	0.1083032	0.1070495	0.9852875	0.7833106	1.0797359	1.0060841	0.0209915	0.7808387	0.0072827	0.2976516	1.0335344	0.9655868	0.9322082	0.4535945	0.2339528	0.9899590	0.3792987	0.2356026	0.8428329	0.2076598	1.0157480	0.7735536	0.0113763	0.2552957	0.0081000	1.0631598	0.7005318	0.6941316	1.0299852	0.2600599	0.0940867	0.0413058	0.3243177	0.7442615	0.3598964	0.7589241	0.4341367	0.6521475	0.6425051	0.8742194	0.9824424	0.1209813	0.0724905	0.0008768	0.8699740	0.4865266	0.6280863	0.4552302	0.4117714	0.2135396	0.9091338	0.0404409	0.8331146	0.9640762	0.4349308	0.8443789	0.6198860	1.0500810	0.9902484	0.0399910	0.7003573	0.7559628	1.0578890	0.7281008	0.6244312	0.9290273	1.0322737	1.0350126	0.4213728	0.1309369	0.9487841	0.2937231	0.9311524	0.0540108	0.2384113	0.9858020	0.8948123	0.9797957	0.4912916	1.0321201	0.5555898	0.5180415	0.5137396	0.2560407	0.5017672	0.0582945	0.5184729	0.8277613	1.0894491	0.1254391	0.7572517	1.0214544
350	1.0099469	0.8794360	0.4342285	0.5781776	0.4623106	1.0683556	0.5618220	0.0442109	0.1194184	0.1046288	0.9782908	0.6783912	1.0818478	1.0388009	0.0280908	0.8053936	0.0055498	0.3105085	0.9870838	1.0731000	0.9808198	0.3914617	0.2019102	0.8229836	0.3502034	0.2163072	0.8216561	0.2216117	0.9405221	0.7282685	0.0064912	0.2853189	0.0034971	0.9846961	0.6673036	0.6418636	0.9898440	0.2519883	0.0821684	0.0451385	0.3060043	0.6919481	0.3390209	0.7647444	0.3485616	0.6686606	0.7183326	0.8568559	0.9675233	0.1312651	0.0508285	0.0004957	0.9551072	0.4873581	0.6457735	0.5619142	0.4528393	0.2581878	0.9167199	0.0411864	0.7956866	0.9669841	0.4041000	0.8968795	0.6396417	1.0092755	0.9263561	0.0207520	0.5800175	0.7110727	1.0726705	0.6983528	0.6225878	0.9810837	0.9712405	1.0467450	0.4855095	0.1522328	1.0573028	0.3423328	0.9601933	0.0485818	0.2584157	0.9893585	0.9241479	1.0024388	0.5064067	1.0499526	0.5141543	0.5819548	0.4465348	0.3286140	0.4855654	0.0553044	0.5601549	0.7422900	1.0764737	0.1165530	0.9637531	1.0118613
400	1.0769987	0.8649969	0.4430966	0.5812588	0.3704527	0.9408092	0.6657904	0.0523418	0.1062671	0.1026550	0.9717181	0.6117149	1.0620757	1.0132521	0.0273617	0.8409806	0.0069579	0.3162168	0.9363813	0.9888553	0.9628767	0.3790397	0.2368903	0.7568281	0.3535778	0.2385734	0.8281277	0.2266515	0.9954275	0.7255849	0.0087993	0.2513585	0.0005770	0.9842036	0.7246614	0.6729083	1.0125616	0.2083506	0.0982706	0.0528412	0.2285551	0.6951512	0.3269128	0.6410863	0.3308084	0.6948888	0.7538435	0.9304131	1.0412767	0.1114060	0.0398551	0.0017756	0.9122169	0.3549412	0.5373300	0.6008925	0.5395904	0.2811918	0.9038045	0.0614688	0.6870932	0.9649798	0.3749682	0.9378385	0.6576797	1.0407925	0.9956270	0.0370358	0.6531831	0.7470622	1.0195329	0.7397650	0.6215039	0.9504959	1.0358046	1.0094600	0.5466335	0.1392440	0.9884164	0.3047805	0.9781047	0.0599118	0.2782110	0.9595940	0.9770460	0.9730647	0.5225310	0.9855632	0.4520563	0.5182489	0.3798515	0.3813044	0.6246303	0.0473928	0.5905730	0.7877501	1.1449131	0.1294961	0.9390582	1.0280907
