YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.9205364	0.8606939	0.2290403	0.4996337	0.4662675	0.9966420	1.0345620	0.0897832	0.9603542	0.1451073	0.9234055	0.8690299	0.9134333	0.0789279	0.3130416	0.9945888	0.2195403	0.3986452	1.0562377	0.5159191	0.8992235	0.6221816	0.0000000	1.0132914	0.0379255	0.6207689	0.7534954	1.0328266	1.0613003	0.9729430	0.0071574	0.3045777	0.4231219	0.5969719	0.5705553	0.6797066	1.0797820	0.0000000	1.0347399	0.8741407	0.1642559	0.7165362	1.0150134	0.9143818	0.9639421	0.8929989	0.6825471	1.0467244	1.0400486	0.1452915	1.1062916	0.0639538	0.7837980	0.6416884	0.9639222	0.3353400	0.1902164	0.0476617	1.0195905	0.0507333	0.0412206	1.1230335	0.3791666	0.8372863	0.5821658	0.9126508	1.0069724	0.0288076	0.6336445	0.6898110	0.9955212	0.6526490	0.9908346	1.0087578	1.0183645	0.9241916	0.5319251	0.3486644	1.0145640	1.0128433	1.0334019	0.2776915	0.0393466	0.8058561	1.0126105	0.7110647	0.4392448	1.0456713	0.5246238	0.2779655	0.9708151	0.2431311	0.5563811	0.1990360	0.6090051	0.5096693	0.9893228	0.2867403	0.9587524	1.1039042
1.0468944	0.9195447	0.2156683	0.5593060	0.4318967	1.1064001	1.1109024	0.1015415	0.9354270	0.1184658	0.9896971	0.4384784	0.9399608	1.0241653	0.3063156	1.0056208	0.1674676	0.3359855	0.9968339	1.1514845	1.0318827	0.6578962	0.5287350	0.9211159	0.0323482	0.8202491	0.8868933	0.9713930	1.0586594	1.0914112	0.0018611	0.3877487	0.0002885	0.0000000	0.0902325	0.7313045	1.0112971	0.0000000	1.0115721	0.8339524	0.1609625	0.6781981	0.9798916	0.9399587	0.8863498	0.8265313	0.8221034	1.0227614	1.0334855	0.0884167	0.8997562	0.0724882	0.8268299	0.5582704	1.0491058	0.3006149	0.1348615	0.0306819	0.9548661	0.0428691	0.0417179	0.9937381	0.2956017	0.9710982	0.6027507	1.0877485	0.9618035	0.0236398	0.6415917	0.7426771	1.0308048	0.6648131	0.9103902	0.9633925	1.0051780	0.9073011	0.5756006	0.3576557	1.0302328	1.0656571	0.9892984	0.7980012	0.4311213	1.0289883	1.0142521	0.9111449	0.5245071	1.1200392	0.5365577	0.0656452	0.9181786	0.5752606	0.4816806	0.1311074	0.5363446	0.4991078	0.8939766	0.0437139	0.7685560	0.9416172
1.1011856	0.8654738	0.2002103	0.5705162	0.4010384	1.0581804	1.0295822	0.0386798	0.9782735	0.1081631	0.9588358	0.4600774	0.9070967	0.9494737	0.0788839	0.9382906	0.6078549	0.3695269	1.0106088	0.9439075	1.0967276	0.6255887	0.3131262	1.0052261	0.2180886	0.4054148	0.7594913	0.9884229	0.9497893	0.9460571	0.2425804	0.3029755	0.0000000	0.6070885	0.0538108	0.6285697	0.9246876	0.5492603	0.9092764	0.8160473	0.1629458	0.8591107	1.0493339	1.0357153	0.9727936	0.8579310	0.7206373	1.0405818	1.0538263	0.1453743	1.0702255	0.0678743	0.8814296	0.7498016	1.0487450	0.2446334	0.1414967	0.0476611	0.9876690	0.0206161	0.0426133	0.9680565	0.3310783	0.9133524	0.4370615	1.0391339	1.1190170	0.0319779	0.7235440	0.7283840	0.9680755	0.7022582	0.8930897	0.9634834	1.0541475	1.0433245	0.4906505	0.3349218	0.0000000	1.0639774	1.0098171	0.1811639	0.4088303	0.9712619	0.9044419	1.0226435	0.4929032	1.0135846	0.5537382	0.2525398	0.8887444	0.4319904	0.4747638	0.5865004	0.5722610	0.5974057	1.0612850	0.1739799	0.7322766	1.0934495
1.0328298	0.9702876	0.2079656	0.5382881	0.4438684	0.9447421	1.1008128	0.0702358	0.9604847	0.0846605	1.0482161	0.8461846	0.9509605	0.9828644	0.3197871	1.0143578	0.1625924	0.3407985	0.9549888	0.4937460	0.9573187	0.5900406	0.0000000	1.0592903	0.0412252	0.8878776	0.6634244	0.9786982	1.0814685	1.0353545	0.0092460	0.2992778	0.0037348	0.0000000	0.0600473	0.5968500	1.0038361	0.6201626	0.9808958	0.8665675	0.1526273	0.6810256	0.9924327	1.0358933	0.9484727	0.7619984	0.6849746	0.9451448	1.0016476	0.1223761	1.0020717	0.0801089	0.6956449	0.7644512	1.0250382	0.2760749	0.1176754	0.0593832	0.9603742	0.0393360	0.0274212	0.9691448	0.2630948	0.9133379	0.5537274	0.9529615	0.9341334	0.0346520	0.6235666	0.7722995	1.0396886	0.7557284	0.9370115	1.0946050	1.0707548	1.0302235	0.5987228	0.3850221	1.0028937	1.0473772	1.0293258	0.2636441	0.3905354	0.8291940	0.8848505	0.8070041	0.5097393	0.9937394	0.5221992	0.3681712	0.8978887	0.4603711	0.5048781	0.0929977	0.5423292	0.7932877	0.9698181	0.1802305	0.8323894	0.9621316
1.0235298	0.9055698	0.2571646	0.4590025	0.4040886	0.9415436	0.9706275	0.9316810	1.0168287	0.1016897	0.9662771	0.7288728	1.1401439	0.0783417	0.3471221	0.9828523	0.2206170	0.3403008	0.9706796	0.4876330	0.9843864	0.7151370	0.0000000	1.0007564	0.0339406	0.7065669	0.6745872	1.0196919	1.0374334	1.0189456	0.0108249	0.2751396	0.4468787	0.6227600	0.6745427	0.7630942	1.0062707	0.5220666	1.0227471	0.8337433	0.1560075	0.7653096	1.0842759	0.9592925	1.0769422	0.7330293	0.6652969	0.9640143	1.1447024	0.0989725	1.0561248	0.0416682	0.7529279	0.6731529	1.0600587	0.2923583	0.0000000	0.0144848	0.9240833	0.0478936	0.0286832	0.9918642	0.3548179	0.8555765	0.5107813	1.1278805	1.0734151	0.0361701	0.6148533	0.7488310	1.0013725	0.6742149	0.8744962	1.0678191	1.0604700	0.9188149	0.5772378	0.3395738	1.0628616	1.0343875	1.0258464	0.1182807	0.0402943	0.9034152	0.6768485	0.7414611	0.3900146	0.8171887	0.5691236	0.4808087	0.8650579	0.2604039	0.5208448	0.2479922	0.6072093	0.6040089	1.0429211	0.3059439	0.9758207	0.9758953
0.8914120	0.8725198	0.1954720	0.5927990	0.5209239	1.0653793	1.0346298	0.0431133	1.0027426	0.1315904	0.9805930	0.7976542	1.0541656	0.1037793	0.4586424	1.0469673	0.2014548	0.3400517	1.0003119	0.0331461	0.8656998	0.5982822	0.0000000	0.9692454	0.0289648	0.7000058	0.0000000	0.9776864	0.9980926	0.9170857	0.0198417	0.2901934	0.3222546	0.5241763	0.6521385	0.7916569	0.9843171	0.5026670	1.0027447	0.8044990	0.1029295	0.8056979	1.0048611	0.9665435	1.0944957	0.9253204	0.7797528	1.1181583	1.0476620	0.0953463	0.9647929	0.0587638	0.8952548	0.7467188	1.1138915	0.2617570	0.1104842	0.0456195	0.8774081	0.0432097	0.0397689	1.0416305	0.3513603	0.8767219	0.4620990	0.9581556	1.0350773	0.0230858	0.6527346	0.6480771	0.9901116	0.6806903	0.9471689	1.0986022	1.0914289	1.0291220	0.5491928	0.2997222	0.8670286	0.9638333	0.9111594	0.0699975	0.0395211	0.8742929	0.7554273	0.8034343	0.3342813	1.0876086	0.4816207	0.4674979	0.7930020	0.2842724	0.6198393	0.2001250	0.5836450	0.7565807	1.0211086	0.6084838	1.0457492	1.0488743
0.9739253	0.9012367	0.2575560	0.4572657	0.3805933	0.9695695	0.9454685	0.1190982	0.9356430	0.1621111	1.0871194	0.8615098	1.0458427	0.1009265	0.4220533	1.0548857	0.2228115	0.3591754	0.9738654	0.0239668	0.0000000	0.0109317	0.0806647	0.9944970	0.0442107	0.6890685	0.0000000	1.0598879	1.0636515	1.0372054	0.0119036	0.2875297	0.3742927	0.5794715	0.6349250	0.6702327	1.0530618	0.5593698	1.0024038	0.8786454	0.1942837	0.7929408	1.1089278	0.9428699	1.0107443	0.8314917	0.6806384	0.9862750	1.0055315	0.1251265	0.9578235	0.0290199	0.7355149	0.6879626	1.0202903	0.3329579	0.1345925	0.0192019	1.0215060	0.0441963	0.0299439	0.9764117	0.2832498	0.8684082	0.5612566	0.9969735	0.8612467	0.0229268	0.5673894	0.6785829	1.0241901	0.6183860	0.9293816	0.9730045	0.9867716	0.9582279	0.5941328	0.3687633	0.9445027	0.9273896	0.9625358	0.0791010	0.0333097	1.1279712	0.8052954	0.9226311	0.4653447	0.9377186	0.5964360	0.1905679	0.9308238	0.6378537	0.4878950	0.1602616	0.5817582	0.5740265	1.0173481	0.8715550	0.9699391	0.9566959
1.0342455	1.0019582	0.2647375	0.5034787	0.4343682	1.0884427	1.0404854	0.5282287	1.0206707	0.1292452	1.1219327	0.8876411	1.0527647	0.1057387	0.3230300	1.0256285	0.2021337	0.3448891	1.0793705	0.5219893	0.0000000	0.0201554	0.0000000	0.9801968	0.0233643	0.7134293	0.7397672	1.0484454	1.0133752	1.0176580	0.0089429	0.2967111	0.3525716	0.4931108	0.4479830	0.6051960	0.9508742	0.5039888	1.1015331	0.7943250	0.1925694	0.6894871	1.0560770	1.1169115	0.9893081	0.7842988	0.6834827	1.0239945	0.9947655	0.1448109	1.0635272	0.0742953	0.6000903	0.7704364	1.0692630	0.2558618	0.1195418	0.0150025	1.0275928	0.0286601	0.0511267	1.0777650	0.3441875	0.9870185	0.4733976	0.9525409	0.9922450	0.0333799	0.5822149	0.8548416	1.0933410	0.7019029	0.8860296	1.0209337	1.0429116	0.9223522	0.6208503	0.3972470	1.0497028	0.9323683	1.0776309	0.0801219	0.0369134	0.8775066	0.6812261	0.7723410	0.4516531	0.9805302	0.5194318	0.4626591	0.8198335	0.5446108	0.4817771	0.1907008	0.5784289	0.6094644	0.8477714	0.6091073	1.0294157	1.0471682
1.0125364	0.9200027	0.2374822	0.5686520	0.5009914	1.0293298	1.0278008	0.0394919	1.0955766	0.1164446	0.9903975	0.5416823	0.9722106	0.9854904	0.0674490	1.0199138	0.2031465	0.3635767	0.9785944	0.9647228	0.9438208	0.6788616	0.3209117	1.0277230	0.0365839	0.8110397	0.7490480	1.0276585	1.0077457	1.0319391	0.1641463	0.3067732	0.0000000	0.6126790	0.0483433	0.7271636	1.0005199	0.5885644	0.9714964	0.8369361	0.2331613	0.6009598	1.0304769	0.9150190	1.1186301	0.7526572	0.7042114	0.9309447	0.9851187	0.1082317	1.0589102	0.0711308	0.8052709	0.6660268	1.0145322	0.2872271	0.1569435	0.0366282	1.0027164	0.0377825	0.0335223	0.9010529	0.3268507	0.9552370	0.0000000	0.9969894	0.9915172	0.0231145	0.7062944	0.7731926	0.9797273	0.6938442	0.8817375	0.9564343	1.1152700	0.8439684	0.5980031	0.2966140	1.1035177	1.0165058	0.9532136	0.0953744	0.4341809	0.9896572	0.7523332	1.0056013	0.4674359	0.9788358	0.5595360	0.2093065	0.8657099	0.4965848	0.5294256	0.1144197	0.5213002	0.7388962	0.9932267	0.2228526	0.7574380	1.0093411
0.9081698	1.0007423	0.1953052	0.5674777	0.4468215	1.0776987	1.0068143	0.0681692	0.9849231	0.1568976	1.0298696	0.7259942	0.0000000	0.0696202	0.3375739	1.0491066	0.1866191	0.3240142	1.0629663	0.5024125	1.0103236	0.6146694	0.0000000	0.9502249	0.0374538	0.6729788	0.7861727	0.9837676	0.9996442	1.0981145	0.0129824	0.2891322	0.3461167	0.5484744	0.5919156	0.6950175	1.0877255	0.5482903	0.9268374	0.8782885	0.2015581	0.7929103	0.9662177	1.0784376	0.9111753	0.7732495	0.7388253	1.0507246	0.9760274	0.1335428	1.1073897	0.0538053	0.8430086	0.6102453	0.9846673	0.2642084	0.1914257	0.0476533	0.9521358	0.0476316	0.0374954	1.0002810	0.3933196	0.9069143	0.5379963	1.0021779	1.0561574	0.0341366	0.7211847	0.7107615	1.0323967	0.7264616	0.9775132	0.9981170	1.0300328	0.8922483	0.4777686	0.3378859	1.0456622	1.0600608	0.8969404	0.1033786	0.0502185	0.9319067	0.7744956	0.8358401	0.3997147	0.9567585	0.4743000	0.4105610	0.9910758	0.1314933	0.5655919	0.2365335	0.5893836	0.7212481	0.9968573	0.3165564	1.0287420	1.0594404
