YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.5061117	0.6855734	0.4160421	0.3312805	0.7315417	0.9926981	0.9535072	0.1548937	1.0181762	0.5275694	1.0435763	0.7943486	1.0328499	0.0889730	0.2327278	1.0240202	0.2041069	0.3184202	0.9389714	0.9944519	0.9649626	0.7946174	0.1145760	0.9368040	0.0415826	0.7999301	0.6221266	0.9690858	1.0067756	0.9045709	0.0213456	0.1417234	0.3228145	0.5280971	0.5119859	0.7469198	0.9156482	0.5300405	0.9484407	0.9786531	0.2220472	0.7587286	1.0791884	1.0640524	0.9430038	0.8000071	0.8150565	0.9743029	0.9067356	0.1091861	0.9792517	0.0622476	0.7968535	0.7522357	1.0345668	0.2379512	0.1095828	0.0093991	1.0146763	0.0367710	0.0463829	1.0199790	0.3888247	0.8677826	0.4797242	0.9966687	0.9286273	0.0474241	0.5895209	0.6677237	0.8719224	0.6614847	0.9607282	1.1890218	1.0151590	0.9787514	0.5524978	0.5299263	0.9843444	0.9427696	0.9593146	0.0550869	0.0595261	1.1010559	0.6391648	0.8432695	0.5045956	0.9158783	0.5046713	0.2278143	0.9178547	0.2535595	0.4816128	0.2298199	0.6780377	0.7620372	1.0343256	0.2568158	1.0019192	0.9670310
0.9756977	0.3867024	0.2314377	0.5396611	0.4104962	0.9994969	1.0483442	0.0628176	1.0598395	0.1410553	1.0786176	0.8831289	1.0444633	0.1157638	0.2197178	1.0226686	0.1949490	0.3266444	0.9547704	0.8819683	1.0107459	0.5915436	0.0897093	0.9192618	0.0196315	0.7691816	0.6563376	1.0333724	1.1180803	0.9758694	0.0098542	0.3291627	0.2838216	0.5404302	0.4995702	0.6768474	0.9659298	0.5383024	0.9448319	0.7091040	0.1669342	0.6817925	0.9891758	1.0472227	0.9013241	0.7539304	0.6636669	0.9970975	0.9531051	0.1541114	1.0042172	0.0566230	0.9399963	0.7286533	1.0098487	0.2899865	0.2061650	0.0826374	0.8786803	0.0318055	0.0428246	1.1086290	0.2953147	0.9245963	0.4693625	0.9400532	0.9725723	0.0255837	0.6735465	0.6930774	1.0290701	0.7581338	0.9391602	1.1574458	0.9460965	0.9352005	0.5252939	0.3096605	0.9632973	1.0583864	0.9199693	0.0869894	0.0575290	1.0237355	0.6854924	0.9639080	0.3887659	0.9682339	0.5121190	0.2502044	0.8257370	0.1965893	0.5236962	0.2094200	0.5697840	0.6361070	1.0575928	0.2385860	1.0948540	1.0003797
1.0761083	0.8501586	0.0901265	0.6196122	0.3993679	0.9987416	0.9064812	0.0429101	1.0810350	0.1061976	1.0283523	0.8170509	0.9652573	0.0764611	0.2195108	1.0563396	0.1461809	0.3858390	0.9034166	1.0338218	0.9299151	0.6364569	0.0871774	1.0176656	0.0329285	0.8197106	0.6757586	1.0263210	1.0695241	1.0579681	0.0163483	0.3439123	0.4054264	0.5178014	0.4968637	0.7076253	1.0169408	0.5554791	1.0206408	0.8692305	0.1127903	0.6853283	1.0632882	1.0429872	1.0042858	0.9222961	0.7081185	0.9746158	0.8727248	0.1368604	1.0445277	0.0629510	0.8449089	0.7145156	0.9501052	0.3179256	0.1593303	0.0373016	0.8627647	0.0510929	0.0452078	0.9383957	0.4034548	0.9081646	0.5195429	1.0945784	1.0668283	0.0448046	0.6482934	0.7170439	1.0666474	0.7354663	0.9979855	1.0594229	0.9075693	0.9378103	0.5121417	0.3331449	0.9939228	0.9852397	1.1093775	0.0676481	0.0687934	0.9374938	0.8177133	0.9646623	0.3438244	0.9196468	0.5015274	0.2774708	0.9461942	0.1567122	0.5279662	0.1935468	0.5914833	0.6331699	0.9990655	0.2615452	1.0102476	1.0142184
1.0247877	0.9838155	0.2673348	0.2720044	0.4735665	1.0048313	0.9480923	0.0707556	1.0793720	0.0952919	1.0525308	0.7675178	0.9459991	0.0989053	0.1840092	1.1401240	0.1638576	0.3543424	1.1114785	0.9962255	1.0863100	0.7302775	0.1337161	0.9596490	0.0367104	0.6709899	0.7994814	1.0579983	1.1127870	1.0241019	0.0233089	0.3353962	0.3200765	0.5670354	0.4426967	0.6676277	0.9779859	0.5665261	1.0754521	0.8209896	0.1683439	0.8052414	1.0492019	0.9498641	0.9856495	0.7241349	0.7887788	1.0326584	1.0818362	0.1132275	0.9913871	0.0486793	0.8931159	0.7899133	1.0903388	0.2576791	0.0847156	0.0357379	1.1097994	0.0371434	0.0208398	0.9755750	0.3444449	1.0172518	0.5243513	1.0811229	1.0163754	0.0265865	0.7251557	0.8584064	0.9174544	0.6807923	0.9175849	0.9657331	0.9973512	0.9242714	0.5850430	0.3840526	1.0127415	1.0482345	1.0851667	0.0831177	0.0689805	1.0185862	0.8724907	0.9714853	0.3993256	0.9417640	0.5360429	0.2379449	0.9695883	0.2704284	0.5757665	0.2057837	0.6213705	0.6616945	1.0198367	0.2699571	0.9483140	0.9579646
1.0271179	0.9998531	0.2075045	0.4448759	0.2198479	1.0363341	1.0805261	0.0486114	0.9245377	0.1250328	1.0568051	0.7898139	1.0329613	0.1300134	0.2841404	0.9233373	0.1916007	0.3391120	1.0760988	0.9911027	1.0181429	0.7080614	0.1071910	1.0240021	0.0303757	0.6451826	0.7155050	0.9679720	1.0143734	0.9562355	0.0082135	0.2968883	0.3332495	0.4978685	0.5059266	0.6835920	1.0238786	0.5650756	0.9713214	0.8042866	0.2178607	0.6324584	0.9986943	1.0293734	0.9843337	0.7860003	0.7059321	1.0012771	0.9716440	0.1277641	0.9854029	0.0903247	0.7274659	0.7622753	0.9323020	0.2614271	0.1023296	0.0437999	0.9635810	0.0266031	0.0489600	0.9829913	0.3018274	0.9612266	0.5641989	1.0516725	0.8898791	0.0398155	0.6602636	0.6610551	0.9472835	0.7072780	0.8944087	0.9917654	0.9770156	0.9132638	0.5550635	0.3793969	1.0592156	1.0208568	1.1090047	0.0807792	0.0244890	0.8994685	0.8361450	1.0151200	0.4858677	0.8751863	0.5251743	0.2300292	0.9062526	0.1874104	0.5548340	0.2192435	0.5908425	0.6970493	1.1142582	0.2595260	0.8415974	1.0147879
1.0689541	0.9588302	0.2790316	0.4659057	0.4357465	0.5115057	1.0786667	0.1659166	1.0260226	0.0867108	0.9585389	0.7967951	1.0688453	0.0882202	0.2377434	1.0053070	0.2241615	0.3139046	1.1085352	1.0536013	1.0632619	0.6479635	0.0647224	1.0334320	0.0325199	0.8053104	0.6874177	1.0868218	0.9964088	0.9979419	0.0109963	0.3758535	0.3454529	0.5442616	0.5374347	0.7591689	0.9386545	0.5435143	0.9809660	0.7901543	0.1445084	0.7410015	1.1078729	0.9991427	1.1275164	0.7558741	0.6370346	1.0188228	1.0951394	0.0922715	0.9482080	0.0866616	0.6666918	0.8500065	1.1071397	0.2396154	0.0963693	0.0297765	0.9151540	0.0503509	0.0312141	1.0291111	0.3846253	0.7981820	0.5537979	1.0651669	1.0440065	0.0343802	0.7008452	0.7569084	1.0279417	0.7827264	1.0598026	1.0613063	0.9694655	0.9565421	0.5750529	0.2696270	1.0671781	1.0265243	1.0595502	0.0803313	0.0212285	0.9391748	0.7074627	1.0873464	0.3777407	1.0358748	0.5933787	0.2496697	0.9250245	0.2308508	0.5338948	0.2202001	0.5396326	0.5935777	0.9715009	0.2563393	1.0125484	1.0129099
1.0358210	0.9241891	0.2254125	0.4395411	0.4783173	0.9691303	0.4519268	0.5791557	0.9087177	0.1040079	1.0509615	0.8175033	1.0949456	0.0838331	0.2529868	1.0828060	0.1889116	0.3438826	1.0062256	0.8322991	0.9860382	0.6653532	0.0803711	0.9011964	0.0779069	0.7811955	0.7488450	1.0580067	1.0472165	0.9860403	0.0132394	0.2721106	0.4533429	0.5854758	0.7233701	0.6627220	1.0795603	0.5459694	1.0404998	0.8150289	0.1747822	0.7849301	0.9515074	0.9738539	0.9370073	0.8186313	0.6637000	0.9634481	0.8554343	0.1035041	0.9740140	0.0536139	0.7945444	0.8676377	0.8836912	0.2800021	0.0858884	0.0265321	1.0058897	0.0148978	0.0385146	0.9790913	0.4315718	0.9778326	0.5602256	0.9712156	0.9845356	0.0271428	0.6337148	0.7269893	1.0150691	0.8461728	0.9325508	1.0689480	0.9962005	0.9358494	0.6142261	0.3229064	0.9962193	1.1704415	0.9444452	0.0751978	0.0552337	0.9716676	0.7201536	0.8912633	0.4754502	1.0204408	0.4902794	0.2681470	0.8513676	0.1801357	0.5313451	0.2327797	0.6498500	0.6841401	0.9679977	0.3336172	0.9720399	1.0154588
0.9953336	0.9795152	0.1986953	0.6014544	0.4866964	0.8751804	0.9775116	0.0422837	1.0538952	0.0779705	1.0978888	0.8040566	0.9931873	0.0990069	0.3180690	0.9867045	0.1895879	0.2969477	1.0655054	0.8767946	1.0989593	0.6542121	0.0791195	1.0769698	0.0429181	0.7673005	0.7270317	1.0966611	1.0187885	0.9477051	0.0356178	0.2900359	0.3365884	0.6356818	0.6798545	0.6829291	0.9535919	0.5188680	0.9075246	0.6333638	0.1446869	0.7121804	1.0810346	1.0815852	0.9718770	0.7723091	0.7411423	0.9873939	0.9671041	0.1358771	0.9684621	0.0370215	0.8117535	0.6763041	1.0183403	0.3431739	0.0790589	0.0313228	1.0273865	0.0411400	0.0403804	1.0325865	0.3671447	0.8594373	0.4785619	1.0886554	1.0711485	0.0323950	0.7008233	0.7040878	0.9326860	0.7077898	0.8469603	0.9226753	1.0593976	0.9588774	0.4993376	0.2924438	0.9868580	1.0013758	1.0252243	0.0859209	0.0617708	1.0749354	0.7917824	0.9673460	0.3668699	0.9982859	0.4530068	0.2084506	0.9898571	0.1786085	0.6503605	0.2473781	0.6275387	0.6068331	1.0615627	0.2293114	1.0476615	0.9756818
0.9444790	0.9248717	0.1638597	0.4443075	0.4495830	0.8544705	0.9515655	0.0915164	0.4421825	0.1607110	1.0523738	0.7697290	1.1053075	0.1422605	0.1459055	1.0996290	0.1805883	0.3470943	0.9913613	1.0716619	1.0627279	0.6652261	0.1550302	0.9892982	0.0226770	0.7032117	0.7891562	1.0468923	0.9922966	0.9850451	0.0117152	0.3188054	0.3027968	0.5478567	0.3613267	0.7327823	0.9523752	0.6000293	1.0329961	0.8410281	0.1761272	0.7363012	1.0204621	1.0359867	0.8893396	0.8478605	0.7544490	0.9124153	0.9628893	0.1430397	0.9389443	0.0936808	0.5607555	0.7899174	0.9940528	0.2638956	0.1525279	0.0339013	0.9886000	0.0427950	0.0295492	1.0210697	0.2932906	0.9297275	0.6250329	1.0544929	1.0572733	0.0178563	0.6628794	0.7371530	0.9279517	0.7507200	1.0264964	1.0003537	1.1236724	0.8813239	0.5706517	0.3663239	1.1511545	1.0398487	1.0184743	0.0691084	0.0694471	0.9344752	0.7736977	0.8511642	0.3912392	0.9640442	0.4334938	0.2650620	0.7951990	0.2922796	0.4423606	0.1935846	0.5917052	0.7234739	1.0233580	0.1454764	1.0049961	1.0012209
0.9915154	0.9013461	0.2414789	0.5485096	0.4429395	0.9740549	0.8979297	0.1450336	0.9646631	0.0606060	0.8937600	0.8190157	1.0422225	0.1011303	0.1782789	0.9765166	0.1754821	0.3496402	1.0158572	0.9371262	1.0424924	0.6559002	0.0987426	0.9686742	0.0264194	0.7515201	0.7245764	0.9929594	1.0275365	1.1210733	0.0121122	0.3449075	0.3920258	0.5265061	0.5835458	0.6660080	0.9799191	0.5911888	0.9101871	0.8242050	0.1650871	0.6973616	1.0463952	0.9995592	1.0107472	0.7743376	0.7438715	0.9762973	1.0971901	0.1478798	1.0287907	0.0642702	0.7640159	0.7600727	0.9716579	0.2719649	0.0826387	0.0378726	0.9347956	0.0355791	0.0421117	0.9793731	0.3700413	0.8876630	0.4862507	0.9146712	0.9829676	0.0335130	0.7027290	0.7483059	0.9250363	0.7211274	1.0142934	0.9455472	1.0236259	0.9217554	0.5174404	0.3842770	1.0114511	1.0315183	0.9736319	0.0946328	0.0538584	0.9725523	0.7241769	0.9033594	0.3637812	0.9291572	0.6184134	0.2844699	0.9169028	0.2194433	0.5646771	0.1984676	0.6021021	0.6804713	0.9297305	0.2478816	0.8865779	1.0713947
