YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.0000000	0.0145553	0.5032562	0.1437734	1.0180091	1.0347236	1.0057447	0.0844180	1.1260163	1.0618979	1.0364976	0.8867557	1.0114227	0.1276898	0.2890435	1.0443689	0.1765850	0.1877498	1.0311721	1.0151206	0.9957516	0.6039787	0.1124569	1.0890654	0.0278833	0.6587303	0.8475843	1.0293374	1.0137658	1.1276375	0.0178082	0.1258619	0.3795211	0.4619789	0.4601089	0.6537182	0.9607814	0.5561243	1.0235544	0.8672798	0.1688010	0.6720460	1.0555047	0.9659778	1.1095777	0.8409996	0.6737032	1.0605577	1.0088288	0.1544526	1.0653470	0.0795049	0.7921587	0.6775051	0.9830492	0.2426428	0.1179545	0.0302030	1.0312181	0.0260702	0.0327639	1.0071958	0.3366172	0.8570431	0.5650732	0.9552399	1.0547145	0.0111046	0.5919486	0.9065250	0.9798906	0.8603761	1.0262593	0.9866797	1.0489599	0.9396588	0.5348660	0.9993722	0.9668701	0.8903697	1.0134481	0.0683957	0.0509025	0.7409090	0.6074434	0.8668723	0.4315766	0.8323595	0.5284429	0.2085422	0.8313699	0.3128957	0.5381229	0.2191055	0.9035944	0.7155992	0.9337782	0.3393278	1.0464814	0.9988999
1.0317070	0.0000000	0.1233973	0.5933127	0.4175834	0.9583005	1.0370857	0.1012678	0.9656231	0.1208915	1.0436556	0.8543671	1.1090547	0.0883604	0.1793200	1.0141289	0.2309339	0.3239360	0.9850907	0.9649546	0.9398825	0.7060377	0.0992841	1.0048891	0.0289901	0.7277559	0.7412069	1.0355883	0.9295289	1.0230305	0.0117689	0.3111104	0.3763985	0.4869580	0.5571271	0.6996680	1.0284971	0.5100909	1.0206392	0.7433876	0.1667164	0.6666824	1.0546155	1.1372540	1.0744686	0.6853740	0.6908379	1.0104857	1.0243667	0.1284713	1.2622245	0.0989350	0.7502478	0.5891090	0.9079718	0.2985688	0.1127593	0.0204928	1.0375140	0.0253342	0.0392759	0.9516192	0.3372924	0.9268640	0.4700938	0.9470828	1.0635548	0.0199670	0.6031194	0.7723781	0.9506462	0.8442322	0.9186588	1.0688278	1.1930427	0.9046214	0.5887786	0.3239433	0.9236126	1.0209726	0.9350359	0.0868238	0.0578317	0.9224863	0.6712133	0.8795355	0.4192339	1.0066077	0.4326485	0.2075200	0.9109935	0.2677337	0.4678499	0.1359729	0.5677708	0.6441223	0.9596163	0.3235169	1.0230557	0.9685526
1.0088864	0.8343332	0.0030165	0.5822219	0.4292830	1.0543935	1.0873383	0.0436985	0.8944773	0.1099777	1.0278608	0.7144137	1.1096333	0.0971397	0.2207884	0.9370446	0.1813138	0.3036526	0.9960006	0.9566433	0.9083330	0.7788133	0.1016679	1.1211858	0.0309109	0.6699612	0.8330208	1.0932194	0.9771378	1.0293449	0.0029726	0.3259654	0.3758717	0.5381154	0.5896821	0.6668126	1.0085933	0.5192657	1.0116964	0.8188883	0.1887078	0.6910525	1.0084496	1.0683777	0.9315859	0.7902673	0.7593243	1.0337999	1.0637031	0.1178682	1.0106166	0.0644986	0.7709971	0.6554336	1.1193277	0.2706829	0.1932322	0.0420764	0.9228126	0.0358129	0.0383770	0.9642107	0.3415040	0.8496888	0.5337598	0.9854889	1.0215779	0.0306882	0.6354030	0.7837896	0.9425676	0.7524005	0.9961100	0.9208144	1.0838537	1.0122171	0.6097005	0.3619605	1.0503720	0.9420010	0.9206390	0.0749508	0.0584795	1.0133060	0.6961261	0.8874919	0.4463376	0.9836992	0.5071713	0.3072001	0.8961045	0.1536556	0.4860364	0.2183276	0.5385246	0.6235989	1.0525885	0.3063156	0.9281206	0.9995798
1.0130339	0.9830045	0.3226291	0.0000000	0.3869542	0.9758503	1.1449742	0.0847206	1.0542782	0.0966556	1.1431828	0.8978591	0.9254715	0.1045284	0.2073304	1.0811761	0.1661456	0.3364959	1.1263168	1.0225699	0.9936050	0.6415915	0.0641740	0.9090336	0.0395107	0.7708274	0.6672006	1.1519239	0.9511861	0.9585629	0.0058576	0.2740054	0.3488037	0.5559493	0.5648057	0.7982755	1.0533992	0.5529418	1.0382084	0.7659388	0.2007823	0.7550973	0.9516474	0.9957650	0.9483005	0.7163658	0.7181817	0.9911481	0.8403808	0.1455494	1.0993142	0.0624313	0.7656000	0.6697296	0.9610601	0.2968503	0.1149398	0.0243555	0.9256537	0.0460590	0.0367587	0.9510394	0.3475016	0.8414844	0.4844503	1.1145114	1.0311992	0.0246459	0.7249467	0.6967378	1.1148525	0.6851391	0.8734510	1.0699559	1.0288653	0.9789770	0.4784671	0.3357777	1.0143765	1.0038265	0.9807508	0.0671472	0.0493470	1.0155036	0.6730947	0.9104142	0.4502304	1.0433021	0.5655291	0.2106286	0.9381752	0.1999526	0.5848476	0.2764515	0.6533759	0.6002842	0.9039039	0.2461145	0.9672144	0.9904245
1.0863748	0.8694995	0.2217456	0.4916578	0.0004751	0.9855034	0.9513366	0.0759280	0.9940974	0.1190733	0.9425014	0.7426658	0.9444934	0.1168412	0.2426939	1.0164794	0.2034106	0.3705455	0.9591175	0.9675479	1.0065485	0.6869883	0.0890988	1.0578096	0.0502510	0.7570968	0.7825409	0.9657064	1.0166954	0.9990256	0.0141379	0.2919482	0.3060459	0.5309256	0.3422934	0.6478435	0.9820370	0.5690667	0.9538113	0.7760833	0.1682862	0.7150098	1.1259199	0.9614195	0.9285719	0.9330697	0.7042904	0.9719178	1.0134769	0.1301435	1.0197540	0.0605176	0.7085937	0.8377914	1.1496538	0.2086031	0.1151295	0.0299582	1.0449056	0.0294762	0.0462327	1.0682879	0.3070674	0.8296003	0.5040788	1.0571378	0.9879890	0.0422479	0.5702151	0.8218135	1.0081831	0.7345214	0.9716365	0.9339501	0.9886740	0.8634938	0.5344838	0.3883463	1.0886293	0.9270495	1.0339459	0.1008789	0.0527829	0.9931599	0.7584709	0.8892551	0.4408376	0.9679913	0.4923605	0.2698359	0.9491442	0.1733511	0.5827891	0.1908985	0.6300391	0.7384705	0.9557188	0.2518148	1.0279643	1.1467396
0.9570533	0.8448704	0.3142243	0.6122743	0.4079710	0.0000000	1.0697456	0.1290576	0.9418582	0.1330239	0.9361605	0.8284771	1.0957131	0.0933920	0.2421009	1.0978710	0.1969620	0.3365266	1.0754701	0.9477900	1.0818316	0.7096275	0.0857437	1.0387782	0.0347567	0.6724076	0.7242773	1.1282299	1.0716745	1.0438893	0.0124663	0.2871461	0.3825326	0.4905396	0.6904793	0.7593033	1.0514527	0.5620167	0.8948152	0.7464717	0.1459272	0.7377684	0.9657132	0.9853615	1.0794322	0.7841493	0.7647161	0.9543902	0.9239963	0.1309220	1.0891402	0.0712839	0.6103961	0.8116402	1.0020253	0.2720758	0.1184859	0.0274477	1.0561046	0.0422948	0.0359885	0.9149229	0.3364801	0.9051297	0.5752276	0.9914366	1.0183759	0.0433272	0.6413236	0.7160759	0.9872006	0.7719635	0.9021335	1.0065924	1.0149924	0.9946085	0.6022359	0.3725778	0.9752293	1.0251871	1.0594275	0.0893312	0.0546034	0.9725866	0.7910436	0.8652856	0.4180629	1.0015867	0.5302361	0.2439407	0.9603306	0.1855988	0.5834505	0.2297534	0.6069038	0.6285203	0.9974075	0.3218447	1.0115417	1.0483778
1.0871758	0.8444317	0.2082593	0.5218088	0.4372852	1.0687087	0.0000000	0.9973043	1.0498441	0.1382165	1.0110083	0.7310155	0.9993850	0.1354649	0.2305955	1.0128213	0.2204708	0.3808240	1.0353205	1.0392486	0.9595572	0.6975823	0.0945610	1.0437455	0.0406434	0.6700072	0.7831179	1.0612778	1.0653405	0.9579443	0.0149002	0.3605819	0.3264921	0.5735701	0.5226286	0.7059425	0.9994707	0.6025466	1.0525704	0.8414827	0.1460640	0.7576754	0.9704411	1.0596389	0.9271181	0.7900257	0.7225633	0.9694943	0.9215036	0.1274875	1.0108501	0.0919979	0.5722487	0.9926359	0.9826627	0.2179832	0.0647307	0.0131450	1.0920008	0.0409185	0.0447594	0.9371866	0.3652022	0.8598290	0.5888716	1.0324520	1.0287841	0.0368863	0.5746944	0.8009982	0.9251117	0.7435150	0.8329759	1.0289685	1.0446864	0.9639276	0.6456855	0.3730677	1.0389811	0.9807221	1.0084869	0.0990819	0.0646180	0.9510966	0.7674812	0.9201973	0.4329753	0.9729878	0.5274894	0.3220079	0.8741347	0.1990942	0.6088524	0.2226146	0.5925764	0.7299482	1.0274935	0.4631992	1.0844222	1.0762599
1.0045951	0.8427079	0.1907744	0.5384988	0.4576532	1.0617817	1.0160202	0.0000000	1.0900218	0.1096398	1.1586380	0.8613786	1.0525943	0.1099445	0.2730553	0.9666816	0.1962976	0.2517740	0.9595418	0.8962641	0.9173348	0.5657128	0.0884740	1.0914033	0.0298988	0.7581562	0.7816799	0.9909709	1.0338626	1.0066651	0.0435364	0.2918254	0.3971229	0.6086488	0.7854723	0.6604316	1.1052741	0.5983316	1.0740843	0.8558051	0.2342973	0.6692634	1.0314948	1.0153117	1.0152570	0.8275653	0.7726843	0.9027514	0.9187527	0.1000896	0.9970898	0.0468899	0.8770953	0.5206895	0.9894854	0.4362939	0.1969815	0.0633020	1.0204750	0.0408342	0.0369503	1.0466677	0.2980616	0.8974428	0.5326389	1.0569269	1.0361547	0.0410608	0.6848001	0.7708600	1.0643666	0.6960595	0.8877533	0.9736028	0.9801714	0.8981777	0.5337479	0.3548236	1.0597614	1.0830008	0.9704883	0.0734698	0.0439864	0.9909214	0.7429748	0.9622863	0.3382082	1.0166207	0.5463659	0.2741598	0.8198995	0.1760052	0.5650340	0.2495228	0.5553849	0.6176658	1.0846195	0.3479141	0.9265287	1.0989178
1.0740230	0.9408674	0.0690565	0.5271717	0.4090697	1.1134944	0.8439027	0.0426585	0.0000000	0.0948162	1.0326103	0.8473561	1.0602194	0.1468961	0.1945521	0.9079742	0.2396174	0.2787726	1.0094622	1.0146436	0.9827403	0.6892755	0.1500427	0.9174577	0.0593822	0.8360804	0.6664839	0.9694632	1.0245625	1.0682642	0.0072712	0.2751043	0.2604740	0.5232426	0.4257517	0.7048299	1.0599253	0.5841722	1.1044314	0.7453127	0.1637689	0.7248570	1.0356241	0.9055235	1.0023822	0.8722802	0.8185813	1.0077800	0.9886239	0.1450735	1.0203213	0.0441622	0.8926563	0.6984304	0.9670355	0.2732209	0.1040216	0.0191559	0.9631941	0.0480281	0.0413064	0.9992877	0.4063477	0.8825367	0.4805187	0.9789697	1.0362875	0.0383674	0.6345005	0.7212463	1.0126249	0.6217604	0.9668565	1.0416552	1.0141599	1.0034772	0.6056620	0.3629622	1.0219342	0.9472559	1.0235789	0.0740401	0.0476148	1.0356497	0.8231492	0.9711496	0.4715997	1.0756516	0.4733240	0.2290357	0.6970675	0.1449759	0.5522264	0.2144199	0.5854931	0.6889816	0.9883919	0.3398627	0.9993842	1.0593641
0.9934892	0.8727649	0.2437374	0.4779011	0.4943430	0.9269602	1.0442888	0.0836304	0.9680335	0.0000000	0.9966761	0.7776614	0.9887752	0.1211842	0.2340825	1.0014834	0.1860957	0.2944965	1.0628764	0.9846665	1.0198546	0.6619482	0.1192617	0.9958477	0.0489255	0.7934449	0.7050750	1.1045454	1.0765662	1.0831242	0.0019844	0.3178225	0.3844985	0.5567573	0.5262211	0.7331683	0.8679268	0.6003714	1.0045028	0.8120882	0.1879589	0.7479896	0.9874156	0.9815663	1.0617067	0.7572667	0.7125465	0.8050171	0.9729849	0.1185518	1.0787200	0.0874134	0.7097230	0.8055335	0.9448773	0.2522567	0.0973503	0.0199380	0.9825832	0.0344211	0.0384632	0.9604465	0.2926535	0.8390269	0.5724511	1.0022005	1.0710589	0.0228545	0.6489123	0.8001196	0.9692638	0.7889908	1.0264285	0.9692525	0.9891258	0.9285027	0.5995504	0.3294432	1.0999538	0.9921106	1.1005552	0.0913109	0.0446772	0.9702983	0.7387565	0.9519724	0.4065628	0.8983036	0.4421686	0.2559219	0.8981207	0.2247199	0.5408701	0.1661943	0.6675333	0.6955867	1.0367821	0.2862804	1.0413180	1.0152682
