YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.9863398	0.9416858	0.1940177	0.9806130	0.2633204	1.0568946	0.8610155	1.0253577	0.7304801	0.1097558	1.0291899	0.6280275	0.8958941	0.5172758	0.2663176	1.0391553	0.1216617	0.4083885	0.8877934	1.0037855	1.0923621	0.9743463	0.1375800	0.4028763	0.0069252	0.7368948	0.6531291	0.9835627	1.0494715	0.8862174	0.4445773	0.0321844	0.3626559	0.7514137	0.4578777	0.5040874	0.8041316	0.5707235	0.8238518	0.7468034	0.4397479	0.5293537	0.6044103	0.8023935	1.0082545	0.9528657	0.6849844	0.7526396	0.6215514	0.0344507	0.9704766	0.1108220	0.4920584	0.9258365	0.9365748	0.2089067	0.0804356	0.0603137	0.7940359	0.0806238	0.0214223	0.9537296	0.6055157	0.5685846	0.5768933	1.0682234	0.6357705	0.0451900	0.6320450	0.5360850	0.4163752	0.7517372	0.4801929	0.9688820	1.0234583	0.7338334	0.5320800	0.2630487	0.6867452	0.7788697	0.7944379	0.4736952	0.4603247	1.0321124	0.7033158	0.3264712	0.4172000	1.0334684	0.6427408	0.2075305	0.6991492	0.4240986	0.4676406	0.1130892	0.7588882	0.8649863	1.0234945	0.4443564	0.9649170	1.0978028
0.9561404	0.9569738	0.2888099	0.2424331	0.4306802	0.9001914	0.5788898	0.0850178	0.8938672	0.1001488	0.5143839	0.8423778	0.4918751	0.1315722	0.1352993	0.9743702	0.0255546	0.6866850	0.6802419	0.8160385	0.5392586	0.3361335	0.1569178	0.9307193	0.5069095	0.1436735	0.5590957	0.7068982	0.9904463	0.6747127	0.7883302	0.3587502	0.2104258	0.5501282	0.2953420	0.5243596	1.0196541	0.5782726	1.0395978	0.8434305	0.6957508	0.4386153	0.9633453	0.9805032	0.4616000	0.5212222	1.0097626	0.8924219	0.9589099	0.0240900	0.9763343	0.8478244	0.1857577	0.4867090	0.8984501	0.3357482	0.0545605	0.0033962	0.9623075	0.0343215	0.0119609	1.0889342	0.2018711	0.7002128	0.3488106	1.1689929	0.9550879	0.0068215	0.7423888	0.7842428	0.9359214	0.9133193	0.5938518	0.9700795	1.0429655	0.8952285	0.4718569	0.2113182	0.9522160	0.9725816	0.9803356	0.0429816	0.0096511	0.9850472	0.3953592	0.5776548	0.3324880	0.7470094	0.6516294	0.6658176	0.4334631	0.7568054	0.1024592	0.1924499	0.8127812	0.6570426	1.0801691	0.4403977	0.9960847	0.9581969
1.0728096	0.8771549	0.0512952	0.6121465	0.3250145	0.9727499	0.7098080	0.0420296	1.1268148	0.1145726	0.6793979	0.6708992	1.1763725	1.0120575	0.0716608	0.6856860	0.2204548	0.2565226	0.8824621	0.9118374	0.7344160	0.5933594	0.1389199	0.9845057	0.1446567	0.5372814	0.8841335	0.9698545	0.9588790	0.9185985	0.0150267	0.5562927	0.0051223	0.8673694	0.4252206	0.6922718	1.1005397	0.8094277	1.0572156	0.8949166	0.2037294	0.6650471	0.8689591	0.9694247	1.0592283	0.8232719	0.7808157	0.9064841	1.0964325	0.0822864	1.0599049	0.0907987	1.0238144	0.5210477	0.9662227	0.2301582	0.1010593	0.0869824	1.0297921	0.0075781	0.0005192	0.9318462	0.3631555	0.8894021	0.4051310	1.0182869	0.9819957	0.0202308	0.6115299	0.9465415	0.7919539	0.6450902	0.8890929	1.1044345	1.1248921	0.8422861	0.5406507	0.3373329	0.8077803	0.9385736	1.0419785	0.0807997	0.4572692	0.9268420	0.9138420	0.9707294	1.0562220	0.9157481	0.7386869	0.8072966	0.4176660	0.7148105	0.4780378	0.2026485	0.5383323	0.8696861	0.9241200	0.3095586	0.9049307	0.7127730
1.0297153	0.9151437	0.7002398	0.2971845	0.4924132	1.0459770	0.9304928	0.0226331	1.0530660	0.0954803	1.0290263	0.6881731	0.8769319	0.0403075	0.3674496	0.7109055	0.1996731	0.3437924	1.0452098	0.9734382	0.8304897	0.3252460	0.1068244	0.9297001	0.5173868	0.1975181	0.0831042	1.0678853	0.9284401	0.9848195	0.3772181	0.2448327	0.3172830	0.5813056	0.4690356	0.8682910	1.0129258	0.6197814	1.0331870	0.8348112	0.4329524	0.7829344	0.6653856	0.8779422	1.0207966	0.8255064	0.7334030	0.8444389	0.9706331	0.1100030	1.0815339	0.0055574	0.9897446	0.3700862	0.6957823	0.5159076	0.4079414	0.3059661	0.9228303	0.0141587	0.0014307	0.8775325	0.3125810	0.8734136	0.4119959	1.0332552	0.8950923	0.0108828	0.5794773	0.2981154	0.9568699	0.4959359	0.8704395	0.7290485	0.9248684	0.9352543	0.5690737	0.3409314	0.9631741	0.9580210	1.0431568	0.0051167	0.1318774	0.9931962	0.9522603	1.0284451	0.4728295	0.9065841	0.3593924	0.3644451	0.5137553	0.0806163	0.5754783	0.0614573	0.0257192	0.7936285	0.8260646	0.6238236	0.6350734	0.7527199
0.3554169	0.7610698	0.4491530	0.2611941	0.5905245	0.5327926	0.9311244	0.3540797	1.0763730	0.6276980	1.0944570	0.7351432	0.7292608	0.0550385	0.8231809	1.0107775	0.1506018	0.1235601	0.9080537	0.7683281	0.7504182	0.8353650	0.0712005	1.0313639	0.0030285	0.8806242	0.5470273	1.0116268	0.9637351	0.8122260	0.3691612	0.0073461	0.3029847	0.5340147	0.5031291	0.7455850	1.0202326	0.4802589	0.6684619	0.5545754	0.4403511	0.7555893	0.8282542	0.9274096	0.6626978	0.6494737	0.9039353	1.0620173	1.0209862	0.0228906	1.0468101	0.0537400	0.8646609	0.6394360	0.9225880	0.3490501	0.2339859	0.3730303	0.9661417	0.0715089	0.4503821	0.9393349	0.3501127	0.4668354	0.2865390	0.5096119	0.8664440	0.0092521	0.4556746	0.5819515	1.1017147	0.8456150	0.7243724	0.9665690	1.0968592	0.8769871	0.9045002	0.5820396	0.9652815	1.0547021	0.9818960	0.0629724	0.3681584	0.8155387	0.7378568	0.7855561	0.4868101	0.8113785	0.2842461	0.3620308	0.9062547	0.1621193	0.7473646	0.0885316	0.6117394	0.2127527	0.9744127	0.1731197	0.9823530	0.9107933
0.9730094	0.9906918	0.0450722	0.9570865	0.4924706	0.8604068	0.9078771	0.0370096	0.9459041	0.1255496	0.8244059	0.4661258	0.9639153	0.2141316	0.2304677	0.6564584	0.2809128	0.5078435	0.7048276	0.9000650	0.7819440	0.7487790	0.0882198	0.9119002	0.3676072	0.1192432	0.8039595	0.9112656	0.9851833	1.0971377	0.2487447	0.5451105	0.3629682	0.7052838	0.7363857	0.4898777	0.9160831	0.6599061	0.9296451	0.8239141	0.1309909	0.6748391	1.0554834	0.8200825	0.9754633	0.8352463	0.7171045	0.8672987	0.9426561	0.1466593	0.9492632	0.0525989	0.7190412	0.6818812	0.9494248	0.3861891	0.2086657	0.0282115	0.4711747	0.0895439	0.0207310	1.0008655	0.2719957	0.9334304	0.2755072	0.8926948	0.9188793	0.0057433	0.6022551	0.7503095	0.7840029	0.6334301	0.6892015	0.9834822	0.4684551	0.4305457	0.3591805	0.2210378	1.0585883	0.9297531	0.9281783	0.1684124	0.0448107	0.8905774	0.5533695	0.7323862	0.3680590	1.1022757	0.8282994	0.0941208	0.6364070	0.1470442	0.9830669	0.0835939	0.5712711	0.8318938	1.0203928	0.4551915	0.9491460	1.0884282
0.7607091	0.7880866	0.4939239	0.7871672	0.4167347	1.0297190	1.0662298	0.0607082	0.5182889	0.2168828	0.6375481	0.4919033	0.5979634	0.3925675	0.1934093	0.8593644	0.0041325	0.4151932	0.9763296	0.9411936	0.7416683	0.7054837	0.0836597	0.6348215	0.0032340	0.5954202	0.6279971	0.6413742	0.8370264	1.1169888	0.2080037	0.3907011	0.3961572	0.5998047	0.5625819	0.9054915	0.6921098	0.5084393	0.7484928	0.4923735	0.1703468	0.7967065	0.9438536	0.4943185	0.7154639	0.7770681	1.0213666	0.6008312	1.0278378	0.0073066	0.8991390	0.0021991	1.1610883	0.4156495	0.6934676	0.3896475	0.3068775	0.1863751	1.0209992	0.0619492	0.4371662	0.9729400	0.5558652	0.7372422	0.6369974	1.0039018	0.9333972	0.0525811	0.7121352	0.6539128	1.0280334	0.7398704	0.9690395	0.8182467	1.0803818	0.9416670	0.5898031	0.4176806	1.0359523	0.9257165	1.0359894	0.0110750	0.0278541	0.9680268	0.5750559	0.8646528	0.7090477	1.0683485	0.3610912	0.0648057	0.7087926	0.2871300	0.5687906	0.5905951	0.6591693	0.3489230	0.9379931	0.3642283	0.8929960	0.9143416
0.9912657	0.8828972	0.1192245	0.3114778	0.4329022	1.0378531	0.9492658	0.0410770	0.8193849	0.1107186	0.9271972	0.2193002	0.9394665	0.0536786	0.2957306	0.9091109	0.2122667	0.1233966	1.0900898	0.8770234	0.8789356	0.2831090	0.0938926	0.9572533	0.0762494	0.8702130	0.2973157	0.9624859	0.8583368	0.9714026	0.0117171	0.2806031	0.3455902	0.3980746	0.4136441	0.6099095	1.0694431	0.5827529	1.0072878	0.8306122	0.1884387	0.7506118	1.0096669	0.9190323	1.0667141	0.8631006	0.8562972	0.8245838	0.9244965	0.1613855	0.8896571	0.0796414	0.9825552	0.3557862	0.7277619	0.5241568	0.5740915	0.2349342	0.9158598	0.0354291	0.0076838	0.9961205	0.1853561	0.8398886	0.5261410	0.9604598	1.0272630	0.0049681	0.6659935	0.4775056	1.0504187	0.4890960	0.7496527	0.6892209	0.8048533	0.6888886	0.5149290	0.4225585	0.8796557	0.6041937	0.9561593	0.0678081	0.1421224	1.0584188	0.5822668	1.0225265	0.6003587	0.9145657	0.8423070	0.2171807	0.9845681	0.2716100	0.6346149	0.0698229	0.7855084	0.3681191	0.5735330	0.5280243	1.0101905	1.0083788
0.8639065	0.9526317	0.0305834	0.7138448	0.4768558	1.0489050	1.0016296	0.0001246	0.8928531	0.1316554	0.9497039	0.2532577	0.9185494	1.0893107	0.3825138	1.0268153	0.2646740	0.3308084	1.0164444	0.9426944	0.9272311	0.5689931	0.1976379	0.8504858	0.3336806	0.2857575	0.5553432	1.0126983	1.0096128	0.7162604	0.2464655	0.4568871	0.0011633	0.5826060	0.1383465	0.9244110	0.8141367	0.5864375	1.0673143	0.8558552	0.1527377	0.6199039	0.9375474	1.0063337	0.7355564	0.8251553	0.9618291	0.6118388	0.6330526	0.0952128	1.0636102	0.0880976	1.0000888	0.3508683	0.8026990	0.4327938	0.3095006	0.0907575	1.0451412	0.0140666	0.0446224	1.0762011	0.3792489	0.8132950	0.8301253	0.9099059	1.0828793	0.0290169	0.7477174	0.5409086	0.9061088	0.5377318	0.8941360	0.9774820	0.8544386	0.7762820	0.4919869	0.3861993	0.7583424	0.9944029	0.8678838	0.3876543	0.3548793	1.1131936	0.8667535	0.7504548	0.4232876	1.0162100	0.8034075	0.8456101	0.7754131	0.1921541	0.4809790	0.2719147	0.8332925	0.3692987	0.8888126	0.3020173	0.5945636	0.8163176
1.0085757	0.9024568	0.0492682	0.7903790	0.3781337	0.5945267	0.9544146	0.3361313	1.1095436	0.1447850	1.0593746	0.4490667	0.6391659	0.0561128	0.4890741	1.0703297	0.2048945	0.1122928	0.9064819	0.9077032	0.8328325	0.8057817	0.1520012	0.9336724	0.0205230	0.7352629	0.8608940	1.0324234	0.9874935	0.9192902	0.0123866	0.3250410	0.2801929	0.5506077	0.4812813	0.6347566	0.8549130	0.3692501	1.0908733	0.9469827	0.1462726	0.6864137	1.1449746	0.9267429	0.8897127	0.8399784	0.6874217	0.6610888	0.9730453	0.0448537	1.0829664	0.0156421	0.6475442	0.8784038	0.9586321	0.2385114	0.0600882	0.0033713	0.8648382	0.0412610	0.1091194	0.8056378	0.4066217	0.6932683	0.8583274	1.0910735	0.8623261	0.0100569	0.4835714	0.7972444	0.9830893	0.3992102	1.0509827	0.9208145	0.7590886	0.7352164	0.5453019	0.2225117	1.0526715	0.6217783	0.7848917	0.0711075	0.0980916	1.0744938	0.6333855	1.0229388	0.1621695	0.9460763	0.8225251	0.6768578	0.5641712	0.9265999	0.5554133	0.0824168	0.7884357	0.6395790	1.0680321	0.1815349	1.0630965	0.6118487
