"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	1.0000000	0.9046667	0.2076135	0.5173732	0.4362915	1.0000000	0.9837832	0.0625940	1.0000000	0.1110870	1.0000000	0.7852697	1.0000000	0.0944442	0.2181472	1.0000000	0.1938461	0.3382152	1.0000000	0.9578076	1.0000000	0.6614999	0.1009151	1.0000000	0.0286157	0.7313743	0.7363891	1.0000000	1.0000000	1.0000000	0.0060988	0.3002695	0.3402445	0.5313410	0.5381954	0.6877055	1.0000000	0.5533524	1.0000000	0.8398801	0.1579627	0.7274973	1.0000000	1.0000000	1.0000000	0.7949669	0.7264472	0.9552446	0.9858621	0.1192481	1.0000000	0.0558419	0.7213481	0.7286112	1.0000000	0.2769190	0.1152336	0.0285973	1.0000000	0.0367435	0.0328452	0.9948652	0.3281116	0.8715587	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562050	1.0000000	0.7004209	0.9229815	1.0000000	1.0000000	0.9206735	0.5501273	0.3394896	1.0000000	1.0000000	0.9995574	0.0702778	0.0512753	0.9980384	0.7743031	0.9255795	0.4087139	0.9752561	0.5107245	0.2570878	0.8980355	0.1921387	0.5322217	0.2008280	0.5746171	0.6632356	0.9946755	0.2755335	0.9989784	0.9960030
50	1.0000000	0.9046667	0.4482324	0.5585176	0.4362911	1.0000000	0.9575807	0.0490181	0.2341781	0.1110869	1.0000000	0.7844337	1.0000000	0.1125737	0.0907975	0.8793171	0.0715543	0.3384103	1.0000000	0.9564218	1.0000000	0.6527616	0.0959430	0.8964350	0.2461467	0.7109504	0.8110256	0.3058372	1.0000000	0.8531293	0.0047959	0.2998588	0.1245457	0.8524696	0.7468860	0.5418684	1.0000000	0.5318816	0.4381055	0.7692780	0.1880546	0.7269499	0.4858797	0.7115548	0.5553061	0.8178553	0.7237263	0.8613738	0.9858647	0.1192481	0.2688945	0.0096447	0.7156873	0.7567023	0.7537906	0.3137533	0.1217795	0.1058759	1.0000000	0.0367435	0.5422905	0.9937677	0.3366192	0.8711175	0.6031438	1.0000000	1.0000000	0.0281550	0.6389136	0.7681353	1.0000000	0.7007824	0.7667655	1.0000000	1.0000000	0.9422126	0.5501273	0.2403037	1.0000000	0.5648846	0.9995390	0.0698098	0.0500292	0.9982030	0.7899479	0.9227588	0.4093042	0.9748033	0.5107170	0.5936907	0.8268798	0.1586217	0.5319344	0.0891571	0.5742471	0.7599485	0.9975918	0.2744991	0.9986332	0.9961596
100	1.0000000	0.9046667	0.4626843	0.5717555	0.4362909	1.0000000	0.8397513	0.0427623	0.1340317	0.1110869	1.0000000	0.7820853	1.0000000	0.2727135	0.0619439	0.8378111	0.0273510	0.3387596	1.0000000	0.9519190	1.0000000	0.6335991	0.1043339	0.8600862	0.3300310	0.5646056	0.8362255	0.2397305	1.0000000	0.8109919	0.0033926	0.2949014	0.0457742	0.9534099	0.7097845	0.5648110	1.0000000	0.4571671	0.2258994	0.4618457	0.2694575	0.7194073	0.3709038	0.6588234	0.4238247	0.7897940	0.7161280	0.8532600	0.9858657	0.1192480	0.1016866	0.0027351	0.6919886	0.7427018	0.6727848	0.4194892	0.1676359	0.1309817	1.0000000	0.0367435	0.6852351	0.9890902	0.3608477	0.8662130	0.6178269	1.0000000	1.0000000	0.0281550	0.6389136	0.7939525	1.0000000	0.7048609	0.7035166	1.0000000	1.0000000	0.9476441	0.5501273	0.1980836	1.0000000	0.4125183	0.9995120	0.0694122	0.0525674	0.9984696	0.8074064	0.9153998	0.4135788	0.9745105	0.5114565	0.6020697	0.6525706	0.1308322	0.5297474	0.0503292	0.5727585	0.7721099	0.9995041	0.2654991	0.9958342	0.9964919
150	1.0000000	0.9046667	0.4522369	0.5760147	0.4362908	1.0000000	0.7174719	0.0411459	0.1209355	0.1110869	1.0000000	0.7741744	1.0000000	0.6570811	0.0492911	0.8235361	0.0113927	0.3389489	1.0000000	0.9538231	1.0000000	0.5964061	0.1341906	0.8473287	0.3628252	0.4048755	0.8477599	0.2334351	1.0000000	0.7989026	0.0030384	0.2843166	0.0170025	0.9851034	0.6858080	0.6409624	1.0000000	0.3676228	0.1457571	0.1926027	0.3130858	0.7002256	0.3451910	0.6491834	0.3849499	0.7418141	0.7162537	0.8605040	0.9858661	0.1192480	0.0634453	0.0018220	0.7309268	0.6163553	0.6461330	0.5164931	0.2699354	0.1472686	1.0000000	0.0367435	0.7253438	0.9814136	0.3841668	0.8552772	0.6203647	1.0000000	1.0000000	0.0281550	0.6389136	0.7594958	1.0000000	0.7093777	0.6599146	1.0000000	1.0000000	0.9490138	0.5501273	0.1801120	1.0000000	0.3591635	0.9996452	0.0691320	0.1739591	0.9988865	0.8176333	0.9203288	0.4284200	0.9749035	0.5129183	0.5926474	0.5374377	0.1429163	0.5272818	0.0382019	0.5687585	0.7629385	0.9998898	0.2289216	0.9815149	0.9966682
200	1.0000000	0.9046667	0.4465076	0.5773851	0.4362908	1.0000000	0.6516193	0.0407687	0.1192229	0.1110869	1.0000000	0.7533882	1.0000000	0.8933861	0.0342128	0.8186266	0.0056341	0.3390246	1.0000000	0.9631870	1.0000000	0.5271743	0.1642899	0.8428511	0.3758303	0.3066608	0.8395434	0.2328355	1.0000000	0.7954342	0.0030854	0.2757218	0.0065130	0.9950336	0.6802135	0.6960402	1.0000000	0.2960655	0.1154905	0.0819811	0.3214069	0.6805218	0.3394406	0.6474211	0.3734559	0.6999114	0.7204083	0.8648464	0.9858663	0.1192480	0.0546992	0.0013393	0.8479238	0.4680182	0.6373642	0.5735959	0.3929509	0.1757074	1.0000000	0.0367435	0.7365978	0.9729777	0.3995488	0.8425178	0.6208034	1.0000000	1.0000000	0.0281550	0.6389136	0.7113140	1.0000000	0.7041671	0.6306407	1.0000000	1.0000000	0.9493591	0.5501273	0.1724620	1.0000000	0.3404800	0.9998152	0.0679247	0.2652678	0.9993432	0.8353888	0.9413351	0.4539165	0.9754757	0.5138745	0.5680443	0.4650148	0.1893671	0.5291803	0.0388944	0.5634759	0.7490250	0.9999287	0.1861879	0.9408409	0.9966820
250	1.0000000	0.9046667	0.4442649	0.5778260	0.4362908	1.0000000	0.6245647	0.0406934	0.1189990	0.1110869	1.0000000	0.7198013	1.0000000	0.9659756	0.0231623	0.8169381	0.0035561	0.3390526	1.0000000	0.9724029	1.0000000	0.4453678	0.1852961	0.8412796	0.3810471	0.2574263	0.8172196	0.2327784	1.0000000	0.7944391	0.0032165	0.2717418	0.0027140	0.9981354	0.6791608	0.7235772	1.0000000	0.2498730	0.1040599	0.0454860	0.3234606	0.6682908	0.3381547	0.6470990	0.3700575	0.6724954	0.7194161	0.8664641	0.9858663	0.1192480	0.0526990	0.0007576	0.9393481	0.3689719	0.6344792	0.6005799	0.4930447	0.2211934	1.0000000	0.0367435	0.7397556	0.9659448	0.4079503	0.8318856	0.6208792	1.0000000	1.0000000	0.0281550	0.6389136	0.6809723	1.0000000	0.6914080	0.6156040	1.0000000	1.0000000	0.9494462	0.5501273	0.1692057	1.0000000	0.3339376	0.9998701	0.0661287	0.2690247	0.9996391	0.8640923	0.9622673	0.4735541	0.9759295	0.5141751	0.5372615	0.4218426	0.2440702	0.5353297	0.0444254	0.5611885	0.7365444	0.9998331	0.1552138	0.9040629	0.9966049
300	1.0000000	0.9046667	0.4434624	0.5779679	0.4362908	1.0000000	0.6142236	0.0406788	0.1189697	0.1110869	1.0000000	0.6843059	1.0000000	0.9843574	0.0177652	0.8163573	0.0028060	0.3390630	1.0000000	0.9786147	1.0000000	0.3777641	0.1976620	0.8407280	0.3831729	0.2355482	0.7932969	0.2327730	1.0000000	0.7941536	0.0033177	0.2702319	0.0013558	0.9991005	0.6789728	0.7356386	1.0000000	0.2235625	0.0997430	0.0340821	0.3247156	0.6621300	0.3378671	0.6470401	0.3690527	0.6572397	0.7161502	0.8669943	0.9858664	0.1192480	0.0522415	0.0004203	0.9777206	0.3176301	0.6335300	0.6118850	0.5578829	0.2717163	1.0000000	0.0367435	0.7406416	0.9612241	0.4120592	0.8246579	0.6208923	1.0000000	1.0000000	0.0281550	0.6389136	0.6659806	1.0000000	0.6782113	0.6089088	1.0000000	1.0000000	0.9494682	0.5501273	0.1678196	1.0000000	0.3316466	0.9998560	0.0645300	0.2625313	0.9997947	0.8933829	0.9759932	0.4827736	0.9762215	0.5142002	0.5137745	0.3996259	0.2741655	0.5410293	0.0497876	0.5614319	0.7260592	0.9995339	0.1374961	0.8895876	0.9964964
350	1.0000000	0.9046667	0.4431833	0.5780135	0.4362908	1.0000000	0.6102494	0.0406758	0.1189659	0.1110869	1.0000000	0.6562798	1.0000000	0.9887955	0.0155122	0.8161576	0.0025352	0.3390670	1.0000000	0.9822188	1.0000000	0.3324944	0.2041913	0.8405344	0.3840559	0.2267015	0.7752235	0.2327725	1.0000000	0.7940717	0.0033745	0.2696290	0.0008796	0.9993993	0.6789397	0.7406623	1.0000000	0.2097222	0.0981127	0.0305570	0.3254670	0.6591881	0.3378028	0.6470293	0.3687556	0.6495471	0.7135397	0.8671618	0.9858664	0.1192480	0.0521369	0.0002777	0.9903577	0.2939035	0.6332177	0.6162907	0.5946070	0.3140178	1.0000000	0.0367435	0.7408902	0.9585236	0.4139311	0.8203610	0.6208946	1.0000000	1.0000000	0.0281550	0.6389136	0.6592951	1.0000000	0.6684206	0.6060020	1.0000000	1.0000000	0.9494737	0.5501273	0.1672296	1.0000000	0.3308443	0.9998285	0.0634550	0.2583553	0.9998706	0.9155542	0.9836595	0.4862826	0.9763908	0.5141696	0.5002665	0.3895167	0.2824067	0.5445825	0.0531977	0.5623548	0.7178717	0.9990043	0.1286936	0.8855750	0.9963951
400	1.0000000	0.9046667	0.4430869	0.5780282	0.4362908	1.0000000	0.6086861	0.0406751	0.1189654	0.1110869	1.0000000	0.6378648	1.0000000	0.9898546	0.0146221	0.8160889	0.0024373	0.3390686	1.0000000	0.9841608	1.0000000	0.3055696	0.2073836	0.8404665	0.3844292	0.2234337	0.7640599	0.2327724	1.0000000	0.7940482	0.0034023	0.2693555	0.0007168	0.9994912	0.6789338	0.7427109	1.0000000	0.2028271	0.0974970	0.0294627	0.3258639	0.6577763	0.3377884	0.6470273	0.3686678	0.6459078	0.7120531	0.8672142	0.9858664	0.1192480	0.0521130	0.0002217	0.9943692	0.2836123	0.6331149	0.6179292	0.6136808	0.3433851	1.0000000	0.0367435	0.7409600	0.9571346	0.4147434	0.8180342	0.6208949	1.0000000	1.0000000	0.0281550	0.6389136	0.6564749	1.0000000	0.6624009	0.6047034	1.0000000	1.0000000	0.9494751	0.5501273	0.1669785	1.0000000	0.3305634	0.9998075	0.0628472	0.2563714	0.9999067	0.9295371	0.9876608	0.4875124	0.9764828	0.5141446	0.4931145	0.3853058	0.2820704	0.5464577	0.0549992	0.5631553	0.7121374	0.9984798	0.1247857	0.8846553	0.9963181
