YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0000000	0.9015425	0.1869093	0.9150040	0.2981933	1.0000000	0.8329589	0.9913161	0.7748742	0.1034097	1.0000000	0.6622033	1.0000000	0.5004903	0.1912176	1.0000000	0.1618075	0.3605194	0.9481143	0.9707055	1.0000000	0.9441282	0.1033642	0.4052669	0.0071309	0.7268660	0.6186757	0.7788694	1.0000000	0.8270515	0.4774873	0.0461771	0.3411482	0.5458551	0.4765125	0.4527300	0.7622928	0.5093633	0.8823218	0.8326847	0.3691892	0.5629162	0.6914702	0.8739507	1.0000000	0.8038456	0.7520650	0.6924189	0.5753712	0.0353314	1.0000000	0.1643537	0.4729436	0.9156592	1.0000000	0.1980978	0.0697728	0.0492101	0.7697367	0.0664481	0.0064025	0.9825292	0.7303014	0.4993138	0.6109141	1.0000000	0.5615965	0.0743600	0.6232653	0.4441903	0.4214082	0.7477924	0.5177312	1.0000000	1.0000000	0.8538883	0.5385556	0.2772470	0.6498545	0.8510025	0.7787618	0.4765265	0.4159513	0.9978193	0.6519264	0.3589034	0.4239132	0.9975341	0.5860513	0.1643668	0.7205791	0.4402560	0.4197627	0.0846074	0.7392522	0.9046746	0.8370907	0.3367402	0.9999867	0.9983205
1.0000000	0.9267402	0.3165545	0.2625397	0.4362908	0.9138129	0.6724684	0.0519210	0.8666362	0.0900327	0.5092428	0.8431115	0.4537276	0.0895467	0.1331820	1.0000000	0.0193352	0.6891008	0.5798188	0.8899282	0.4954460	0.3820291	0.1191940	0.9526335	0.4733895	0.1793401	0.4833784	0.7914573	1.0000000	0.6740083	0.8160950	0.3293688	0.2399558	0.5492779	0.3582289	0.4352512	1.0000000	0.5267460	1.0000000	0.8457834	0.6395188	0.4035824	1.0000000	0.9375524	0.5056206	0.5807559	0.9981343	0.8763041	0.9999734	0.0187521	0.9944527	0.7995685	0.1822734	0.3141679	0.8668505	0.3717844	0.0929149	0.0082010	1.0000000	0.0367435	0.0019947	0.9777349	0.2090249	0.6786107	0.2789099	1.0000000	1.0000000	0.0035286	0.7325321	0.6097814	0.9322558	0.8861949	0.6176978	1.0000000	0.9459472	0.9210357	0.5199384	0.2522010	1.0000000	1.0000000	0.9993361	0.0377519	0.0148202	0.9602070	0.3255240	0.5005131	0.3499717	0.7215723	0.6430268	0.6038379	0.4543039	0.7362524	0.0608118	0.1817554	0.7329321	0.6439826	0.9946561	0.4698220	0.9989532	0.9197584
1.0000000	0.9418234	0.0439815	0.6282645	0.2684751	1.0000000	0.8456513	0.0429537	1.0000000	0.1110869	0.6654212	0.6526978	1.0000000	0.9918286	0.0449595	0.6400125	0.1963403	0.2432429	0.9095255	0.9364482	0.6831971	0.5626297	0.1652142	1.0000000	0.1488733	0.5477234	0.9091197	1.0000000	0.9463193	1.0000000	0.0270923	0.5576066	0.0003402	0.7546562	0.4241371	0.7810665	1.0000000	0.7179709	1.0000000	0.8114977	0.2140959	0.6388869	0.8844746	0.8416932	1.0000000	0.7963474	0.9142604	0.9513537	0.9973103	0.0729426	1.0000000	0.0640215	0.9699821	0.4318498	1.0000000	0.2769190	0.1152323	0.0732025	1.0000000	0.0180397	0.0004897	0.9949331	0.3281116	0.8715593	0.4030630	1.0000000	0.9573922	0.0291099	0.5909749	0.8541594	0.7499095	0.6167713	0.8472647	1.0000000	1.0000000	0.8622161	0.6184857	0.2930684	0.8823210	1.0000000	0.9996351	0.0921268	0.4198478	0.9099689	0.9446357	0.9844550	0.9999957	0.9798677	0.7513383	0.8023627	0.3956059	0.6737129	0.5166342	0.1512923	0.5253191	0.8949118	0.9996235	0.3227187	0.8551616	0.7017472
1.0000000	0.9190989	0.5837614	0.2556698	0.4362908	0.9210768	0.9972833	0.0406759	1.0000000	0.1110869	0.9438399	0.6844149	0.8617363	0.0307018	0.2918812	0.7791055	0.1952556	0.3382153	1.0000000	0.8707717	0.9064589	0.3090806	0.1013051	1.0000000	0.5000576	0.2154079	0.0377709	1.0000000	0.9219785	1.0000000	0.3996555	0.2662340	0.3428400	0.5253257	0.4809912	0.7974485	1.0000000	0.7088835	1.0000000	0.8114977	0.4017337	0.6878535	0.5765391	0.9141455	1.0000000	0.8042851	0.7945106	0.8978858	0.8056312	0.1192480	1.0000000	0.0008825	0.9913437	0.3330100	0.7004360	0.5385522	0.5015744	0.3383726	1.0000000	0.0143704	0.0003125	0.9205004	0.3281116	0.8715593	0.3669470	1.0000000	1.0000000	0.0035232	0.6721764	0.2891165	1.0000000	0.4437495	0.7578854	0.7694127	0.8959179	0.8167686	0.5547156	0.3394888	0.9259778	1.0000000	0.9996464	0.0011817	0.1485923	0.9993617	0.8564110	0.9652590	0.4192243	0.8545445	0.3830407	0.3260188	0.4503088	0.0862141	0.5358846	0.0597728	0.0161731	0.6635154	0.8498813	0.7365108	0.6502690	0.8390840
0.3699935	0.7567458	0.4675388	0.1923621	0.6233197	0.4671368	0.9926732	0.2270668	1.0000000	0.5942684	1.0000000	0.7516628	0.6658932	0.0610077	0.8090216	1.0000000	0.1878198	0.1089131	1.0000000	0.8579679	0.7676091	0.8508424	0.0818020	0.9316890	0.0077658	0.8197218	0.5974670	0.9231043	1.0000000	0.8201466	0.3578347	0.0077615	0.2746731	0.5253202	0.5152077	0.7456174	1.0000000	0.5267460	0.6886239	0.5279330	0.4298476	0.6862580	0.8336719	1.0000000	0.6057634	0.6360876	0.8768488	0.9578869	0.9999475	0.0228961	1.0000000	0.0601833	0.7614745	0.6381923	0.9654743	0.2984374	0.1366721	0.3896306	0.9382775	0.0417261	0.3636779	0.9130888	0.3620466	0.4956745	0.2921231	0.5217671	0.8358913	0.0084483	0.5146085	0.6259940	1.0000000	0.7933559	0.7396716	1.0000000	1.0000000	0.9466414	0.8332245	0.5164989	1.0000000	1.0000000	0.9256342	0.0518718	0.3424025	0.8180589	0.7077749	0.8463215	0.4755429	0.8208487	0.3000557	0.3577044	0.8996686	0.1870152	0.7159477	0.0834213	0.5930803	0.2380743	0.9953247	0.1549833	0.9995474	0.9533467
1.0000000	0.9185662	0.0211900	0.8754270	0.4362908	0.8899162	0.9933237	0.0415068	0.8735092	0.1110869	0.9022661	0.3912582	1.0000000	0.2380039	0.2461246	0.7595260	0.1952122	0.5282802	0.7161636	0.9697454	0.8249006	0.7424446	0.0787833	0.9571808	0.3093100	0.1760217	0.7532348	1.0000000	0.9210782	0.9884735	0.2011590	0.5151512	0.3404805	0.6561619	0.7080174	0.4660307	1.0000000	0.5971073	1.0000000	0.8114977	0.1162554	0.6759318	1.0000000	0.7160331	1.0000000	0.7702654	0.6993595	0.8965921	0.9256335	0.1980165	0.9683739	0.0542285	0.7432314	0.7116738	0.9064850	0.2834805	0.1322641	0.0166516	0.4689482	0.0911303	0.0118857	0.9906495	0.2687704	0.9069038	0.3166738	0.8283490	1.0000000	0.0022339	0.6145802	0.7586313	0.8157058	0.6566986	0.6282400	1.0000000	0.4656212	0.3832575	0.3399316	0.2538838	1.0000000	0.9246483	0.8927037	0.1599526	0.0257645	0.9605793	0.5549330	0.7483514	0.3531635	0.9793486	0.7173712	0.1025385	0.5913479	0.1181895	0.9408526	0.0825918	0.6003149	0.8243352	0.9977091	0.4065206	0.9186660	0.9953064
0.6772561	0.8574007	0.4448665	0.7281615	0.3807917	1.0000000	0.9497634	0.1625195	0.4938738	0.2694402	0.6076134	0.5151392	0.6116436	0.3838440	0.1579112	0.9392149	0.0021053	0.3355896	1.0000000	0.9335784	0.7616381	0.7066000	0.1042295	0.6081899	0.0003557	0.5620551	0.6845941	0.6637853	0.7836766	1.0000000	0.1867522	0.3542541	0.3339523	0.5253269	0.4718979	0.9485506	0.7583557	0.5267460	0.7533000	0.6099263	0.1695969	0.8094210	0.8403101	0.4606557	0.6830257	0.7705169	0.8908315	0.6449365	0.9999580	0.0214444	0.7782754	0.0011922	0.9906152	0.3382911	0.7179219	0.3757716	0.2835873	0.1796211	1.0000000	0.0367435	0.3607250	0.9196039	0.5971115	0.6616405	0.7180305	1.0000000	1.0000000	0.0281550	0.7105826	0.7529740	1.0000000	0.7140162	0.8775474	0.7568648	0.9981289	0.9227409	0.5379299	0.4366107	1.0000000	1.0000000	0.9995085	0.0209688	0.0260593	0.9993428	0.6453660	0.9635737	0.6018140	0.9839586	0.3610527	0.0466614	0.6824293	0.3492361	0.5234319	0.6292490	0.7378031	0.3717134	0.9999960	0.3450759	0.9284468	0.9858874
1.0000000	0.9075147	0.1266519	0.3426481	0.4362908	1.0000000	0.9066655	0.0406854	0.8297860	0.1110869	0.8678672	0.2392428	0.9297029	0.0314276	0.2704131	0.9294852	0.2005531	0.1065239	0.9942328	0.9326859	0.9162082	0.3124220	0.0891147	1.0000000	0.0813137	0.8509123	0.2689489	0.9824905	0.9573797	1.0000000	0.0102452	0.3890220	0.3405366	0.4190633	0.4748878	0.5465313	1.0000000	0.4600257	1.0000000	0.8345047	0.1924687	0.6481702	0.8815806	0.8942084	1.0000000	0.8292210	0.9817572	0.8389232	0.8542224	0.1287538	0.8080177	0.0411968	0.9952482	0.2942098	0.6571074	0.5896471	0.5852986	0.2564340	0.8421754	0.0357574	0.0018905	0.9935322	0.2046488	0.7985280	0.4958797	0.8621511	1.0000000	0.0035692	0.6427917	0.4877099	1.0000000	0.4440870	0.7672595	0.5624617	0.7822508	0.7514378	0.4560487	0.3394888	0.7688016	0.5767714	0.9973134	0.0414583	0.1453980	0.9984474	0.6181222	0.9865969	0.6388516	0.8440842	0.7892483	0.1751129	0.9309454	0.2378240	0.6291783	0.1046298	0.7526837	0.3726658	0.6395283	0.5345872	0.9997745	0.9995066
0.9290023	0.8942904	0.0270976	0.6972453	0.4434837	1.0000000	0.9906965	0.0000087	1.0000000	0.1224679	1.0000000	0.3121458	0.9301117	0.9901202	0.4115187	1.0000000	0.2408700	0.3379336	1.0000000	0.9731652	0.8651545	0.6083166	0.1886285	0.7045934	0.3419729	0.2837251	0.6255157	0.9850658	0.9650317	0.7281767	0.2267693	0.3873069	0.0007754	0.5255221	0.1594286	0.9348918	0.8694367	0.5707670	1.0000000	0.8889856	0.1180267	0.6684863	0.9976432	1.0000000	0.7347182	0.8214317	0.9804372	0.5526412	0.6248170	0.1214068	1.0000000	0.0638127	0.9904989	0.3395039	0.8106730	0.4220854	0.2472321	0.0568208	0.9565248	0.0204091	0.0551476	0.9936254	0.4131673	0.8172301	0.7591413	0.9625363	1.0000000	0.0281550	0.7325918	0.5806493	1.0000000	0.6154410	0.9480588	1.0000000	0.8105973	0.7708871	0.4679847	0.3570935	0.7158565	1.0000000	0.9996671	0.4064049	0.3434557	0.9998557	0.8533348	0.7475496	0.4429277	0.9877553	0.7436280	0.8116615	0.8143437	0.1701525	0.5173897	0.2973750	0.7783681	0.3211188	0.8944507	0.2978202	0.5732762	0.8635096
1.0000000	0.9084258	0.0428340	0.7560186	0.3856618	0.6294933	0.9470293	0.3640193	0.9540853	0.1110869	1.0000000	0.5295978	0.6868595	0.0312189	0.4956408	1.0000000	0.2060984	0.0954888	0.9527438	0.9754284	0.8181579	0.8296189	0.1195507	0.9030766	0.0040961	0.7049816	0.7905684	0.9810854	1.0000000	0.9017095	0.0182284	0.3024290	0.3402182	0.5406573	0.5537102	0.6197318	0.8869003	0.3602039	1.0000000	0.8114977	0.1245180	0.6677020	1.0000000	1.0000000	0.9793652	0.8523835	0.6817399	0.7325083	0.8530489	0.0458704	1.0000000	0.0063430	0.7601372	0.6549366	0.9418598	0.3143448	0.1095891	0.0114293	0.8181962	0.0336015	0.1202343	0.9236813	0.3777217	0.6275005	0.8116295	1.0000000	0.6864999	0.0256385	0.4342132	0.7992206	1.0000000	0.4301385	0.9441138	1.0000000	0.7184748	0.6980132	0.5218100	0.2323733	1.0000000	0.6379333	0.8471974	0.0656175	0.0904057	0.9988568	0.7060963	0.9068409	0.1977526	0.9800786	0.8832443	0.6809001	0.5535576	0.8592615	0.5399442	0.0814050	0.6900056	0.5827322	0.9999717	0.2604346	0.9989796	0.6363480
