"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	1.0000000	0.9046663	0.2076138	0.5173732	0.4362944	1.0000000	0.9837832	0.0625813	1.0000000	0.1110884	1.0000000	0.7852768	1.0000000	0.0944419	0.2182321	1.0000000	0.1938466	0.3382148	1.0000000	0.9577908	1.0000000	0.6614366	0.1009135	1.0000000	0.0286107	0.7314015	0.7363717	1.0000000	1.0000000	1.0000000	0.0060987	0.3002715	0.3402452	0.5313410	0.5382035	0.6877054	1.0000000	0.5533522	1.0000000	0.8398800	0.1579590	0.7275070	1.0000000	1.0000000	1.0000000	0.7949665	0.7264430	0.9552231	0.9858263	0.1192483	1.0000000	0.0558398	0.7213768	0.7286111	1.0000000	0.2769190	0.1152360	0.0286098	1.0000000	0.0367436	0.0328458	0.9948658	0.3281121	0.8715571	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562047	1.0000000	0.7003957	0.9229973	1.0000000	1.0000000	0.9206735	0.5501273	0.3394920	1.0000000	1.0000000	0.9995571	0.0702766	0.0512734	0.9980363	0.7743434	0.9255658	0.4087137	0.9752355	0.5107242	0.2570832	0.8979841	0.1921420	0.5322485	0.2008296	0.5746184	0.6632334	0.9946836	0.2755531	0.9989779	0.9960026
50	1.0000000	0.9046666	0.3312189	0.5370909	0.4362923	1.0000000	0.9760582	0.0575459	0.4859723	0.1110875	1.0000000	0.7849582	1.0000000	0.0987721	0.1580986	0.9364293	0.1383443	0.3382683	1.0000000	0.9574214	1.0000000	0.6590334	0.0989453	0.9461382	0.1405008	0.7271202	0.7706592	0.4246855	1.0000000	0.9196597	0.0055999	0.3001826	0.2446213	0.7555705	0.6669978	0.6204658	1.0000000	0.5472116	0.7337363	0.8227515	0.1675341	0.7273978	0.7020266	0.8130010	0.7898184	0.8096674	0.7257344	0.9000680	0.9858494	0.1192481	0.6360621	0.0183625	0.7203691	0.7409658	0.8727979	0.2879940	0.1170829	0.0661353	1.0000000	0.0367435	0.2741739	0.9945292	0.3302363	0.8714637	0.5607151	1.0000000	1.0000000	0.0281550	0.6389136	0.7593364	1.0000000	0.7004667	0.8428327	1.0000000	1.0000000	0.9352450	0.5501273	0.2952976	1.0000000	0.8203601	0.9995524	0.0701155	0.0509467	0.9980920	0.7789152	0.9247096	0.4088616	0.9751328	0.5107114	0.5021912	0.8828321	0.1795104	0.5321673	0.1386736	0.5744817	0.7296907	0.9956816	0.2738596	0.9988854	0.9960621
100	1.0000000	0.9046667	0.4227135	0.5584030	0.4362914	1.0000000	0.9090795	0.0488306	0.2048972	0.1110871	1.0000000	0.7834958	1.0000000	0.1593198	0.0993891	0.8713671	0.0731672	0.3385062	1.0000000	0.9546459	1.0000000	0.6476386	0.0988603	0.8899433	0.2628473	0.6593517	0.8081091	0.2561926	1.0000000	0.8455426	0.0041792	0.2981482	0.1300703	0.9143092	0.7125141	0.5724308	1.0000000	0.5052536	0.4256443	0.6719032	0.2222663	0.7246840	0.4651342	0.6932100	0.5668386	0.8048274	0.7212351	0.8634270	0.9858592	0.1192481	0.2956587	0.0043696	0.7085119	0.7546078	0.7425738	0.3529920	0.1390090	0.1059543	1.0000000	0.0367435	0.5252912	0.9919571	0.3433203	0.8693990	0.5972832	1.0000000	1.0000000	0.0281550	0.6389136	0.7784821	1.0000000	0.7017475	0.7559084	1.0000000	1.0000000	0.9450763	0.5501273	0.2393414	1.0000000	0.5983903	0.9995287	0.0696923	0.0500436	0.9982906	0.7934594	0.9196185	0.4105962	0.9748098	0.5110315	0.5832590	0.7886845	0.1479922	0.5310604	0.0794374	0.5736141	0.7652360	0.9979480	0.2721541	0.9977369	0.9963252
150	1.0000000	0.9046667	0.4460637	0.5697718	0.4362911	1.0000000	0.7933526	0.0439665	0.1359189	0.1110869	1.0000000	0.7789579	1.0000000	0.3931728	0.0693365	0.8384665	0.0349771	0.3387576	1.0000000	0.9528702	1.0000000	0.6251611	0.1166084	0.8609076	0.3300523	0.5213691	0.8321834	0.2352254	1.0000000	0.8124092	0.0033385	0.2911065	0.0614119	0.9720554	0.6973571	0.5964214	1.0000000	0.4302146	0.2474455	0.4112430	0.2829151	0.7136259	0.3760081	0.6579433	0.4503812	0.7704800	0.7171648	0.8590084	0.9858634	0.1192481	0.1407620	0.0020614	0.7069036	0.6807826	0.6769801	0.4479755	0.2070302	0.1301544	1.0000000	0.0367435	0.6536995	0.9862360	0.3640278	0.8623582	0.6127009	1.0000000	1.0000000	0.0281550	0.6389136	0.7775653	1.0000000	0.7053685	0.6967684	1.0000000	1.0000000	0.9482719	0.5501273	0.2034670	1.0000000	0.4606346	0.9995606	0.0694060	0.0907949	0.9985953	0.8064922	0.9174542	0.4180773	0.9747457	0.5121699	0.5948698	0.6658811	0.1382997	0.5287550	0.0498917	0.5710149	0.7666872	0.9992245	0.2528801	0.9912359	0.9965706
200	1.0000000	0.9046667	0.4477071	0.5747897	0.4362909	1.0000000	0.6995166	0.0418786	0.1220436	0.1110869	1.0000000	0.7655343	1.0000000	0.6851453	0.0499068	0.8245873	0.0164332	0.3389185	1.0000000	0.9575609	1.0000000	0.5799935	0.1448247	0.8483911	0.3612922	0.3937604	0.8403657	0.2330157	1.0000000	0.8001445	0.0031121	0.2819259	0.0273082	0.9908759	0.6853861	0.6478835	1.0000000	0.3514710	0.1617173	0.2123444	0.3110331	0.6959887	0.3484013	0.6494088	0.4000738	0.7274804	0.7184415	0.8625455	0.9858651	0.1192480	0.0822547	0.0015141	0.7621750	0.5432769	0.6495431	0.5265550	0.3146374	0.1530999	1.0000000	0.0367435	0.7080384	0.9784988	0.3834786	0.8513080	0.6181981	1.0000000	1.0000000	0.0281550	0.6389136	0.7440830	1.0000000	0.7064829	0.6553339	1.0000000	1.0000000	0.9491611	0.5501273	0.1842837	1.0000000	0.3897429	0.9996922	0.0687470	0.1938704	0.9990188	0.8198772	0.9290361	0.4358776	0.9750264	0.5133575	0.5809624	0.5633483	0.1619351	0.5281509	0.0406731	0.5662834	0.7553959	0.9997115	0.2171200	0.9671709	0.9966673
250	1.0000000	0.9046667	0.4458153	0.5768141	0.4362908	1.0000000	0.6477877	0.0410919	0.1194976	0.1110869	1.0000000	0.7392070	1.0000000	0.8636737	0.0346506	0.8191893	0.0081958	0.3390016	1.0000000	0.9659479	1.0000000	0.5119829	0.1703175	0.8434173	0.3748632	0.3090962	0.8315030	0.2327960	1.0000000	0.7959847	0.0031561	0.2753358	0.0118304	0.9968301	0.6808384	0.6906642	1.0000000	0.2892904	0.1238492	0.1070891	0.3200975	0.6799048	0.3405978	0.6475226	0.3802121	0.6922020	0.7196354	0.8652520	0.9858659	0.1192480	0.0619588	0.0009276	0.8507253	0.4219707	0.6390087	0.5747544	0.4249174	0.1874097	1.0000000	0.0367435	0.7290701	0.9707904	0.3974679	0.8397996	0.6200302	1.0000000	1.0000000	0.0281550	0.6389136	0.7074393	1.0000000	0.7010656	0.6296046	1.0000000	1.0000000	0.9493950	0.5501273	0.1748481	1.0000000	0.3563697	0.9998037	0.0673919	0.2459380	0.9993981	0.8406917	0.9486142	0.4574140	0.9754420	0.5139786	0.5540579	0.4890195	0.2094992	0.5317692	0.0418451	0.5625415	0.7425385	0.9998311	0.1809784	0.9299727	0.9966421
300	1.0000000	0.9046667	0.4443555	0.5775890	0.4362908	1.0000000	0.6241938	0.0408155	0.1190545	0.1110869	1.0000000	0.7052645	1.0000000	0.9431285	0.0245684	0.8171806	0.0047215	0.3390402	1.0000000	0.9736309	1.0000000	0.4393784	0.1881200	0.8415266	0.3805859	0.2621784	0.8124938	0.2327747	1.0000000	0.7946422	0.0032573	0.2719168	0.0051804	0.9986936	0.6794503	0.7171059	1.0000000	0.2480014	0.1079114	0.0600415	0.3233248	0.6691379	0.3385067	0.6471269	0.3727728	0.6690908	0.7181685	0.8665006	0.9858662	0.1192480	0.0552454	0.0005111	0.9210352	0.3467883	0.6351548	0.5995237	0.5104189	0.2326058	1.0000000	0.0367435	0.7367992	0.9646879	0.4060378	0.8304722	0.6206214	1.0000000	1.0000000	0.0281550	0.6389136	0.6820404	1.0000000	0.6909448	0.6158995	1.0000000	1.0000000	0.9494551	0.5501273	0.1704194	1.0000000	0.3414571	0.9998450	0.0657721	0.2590788	0.9996501	0.8674796	0.9659028	0.4730526	0.9758255	0.5141636	0.5272098	0.4407829	0.2517592	0.5373401	0.0465303	0.5614654	0.7311455	0.9997232	0.1543900	0.9035126	0.9965538
350	1.0000000	0.9046667	0.4436011	0.5778755	0.4362908	1.0000000	0.6143203	0.0407217	0.1189799	0.1110869	1.0000000	0.6735213	1.0000000	0.9737127	0.0190040	0.8164527	0.0033048	0.3390571	1.0000000	0.9790170	1.0000000	0.3789943	0.1988074	0.8408267	0.3829758	0.2391045	0.7923154	0.2327726	1.0000000	0.7942224	0.0033358	0.2703713	0.0024316	0.9992731	0.6790668	0.7312526	1.0000000	0.2235323	0.1014046	0.0408095	0.3247834	0.6629887	0.3379656	0.6470466	0.3700810	0.6559247	0.7156617	0.8669823	0.9858663	0.1192480	0.0530893	0.0003157	0.9612028	0.3079946	0.6337869	0.6108873	0.5659147	0.2786058	1.0000000	0.0367435	0.7395454	0.9606449	0.4107598	0.8240780	0.6208091	1.0000000	1.0000000	0.0281550	0.6389136	0.6677151	1.0000000	0.6800870	0.6092768	1.0000000	1.0000000	0.9494704	0.5501273	0.1684006	1.0000000	0.3350176	0.9998413	0.0643890	0.2595901	0.9997930	0.8933787	0.9774798	0.4815339	0.9761137	0.5141781	0.5085369	0.4124997	0.2735947	0.5419929	0.0508162	0.5619170	0.7218399	0.9993805	0.1382072	0.8911811	0.9964507
400	1.0000000	0.9046667	0.4432644	0.5779790	0.4362908	1.0000000	0.6103228	0.0406903	0.1189676	0.1110869	1.0000000	0.6497056	1.0000000	0.9846271	0.0162650	0.8161933	0.0027406	0.3390644	1.0000000	0.9823040	1.0000000	0.3363500	0.2045960	0.8405721	0.3839756	0.2287486	0.7762896	0.2327724	1.0000000	0.7940939	0.0033816	0.2696881	0.0013295	0.9994523	0.6789664	0.7382232	1.0000000	0.2101329	0.0988019	0.0333526	0.3255166	0.6597376	0.3378290	0.6470307	0.3691305	0.6490898	0.7135524	0.8671527	0.9858663	0.1192480	0.0524103	0.0002367	0.9808293	0.2899176	0.6333111	0.6157125	0.5979321	0.3165919	1.0000000	0.0367435	0.7404984	0.9582980	0.4131746	0.8201839	0.6208681	1.0000000	1.0000000	0.0281550	0.6389136	0.6605159	1.0000000	0.6711379	0.6062086	1.0000000	1.0000000	0.9494743	0.5501273	0.1674978	1.0000000	0.3323032	0.9998237	0.0634366	0.2578461	0.9998675	0.9136305	0.9842281	0.4854497	0.9763061	0.5141568	0.4976883	0.3972377	0.2803857	0.5449543	0.0536052	0.5627149	0.7149267	0.9988930	0.1295653	0.8865727	0.9963616
