YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631132	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.5269698	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314046	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.0000001	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995508	0.3498311	0.0341306	0.8691948	0.9749318	0.8213617	0.4087140	0.9752593	0.5107250	0.2068738	0.8980450	0.2427188	0.5322029	0.2008277	0.5702095	0.5036704	0.9946722	0.1878540	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0617769	1.0000000	0.1110869	1.0000000	0.4281112	1.0000000	0.9901761	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.9977364	1.0000000	0.7254581	0.4712831	1.0000000	0.0293105	0.7312737	0.7363909	1.0000000	1.0000000	1.0000000	0.0038123	0.3002825	0.0014942	0.0000000	0.0640812	0.6372585	1.0000000	0.0000001	1.0000000	0.8398801	0.1578512	0.7275202	1.0000000	1.0000000	1.0000000	0.7949672	0.7264360	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948652	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230379	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995531	0.8278680	0.3953628	0.9999943	0.9852445	0.9958057	0.4881009	0.9845867	0.5107207	0.0608628	0.8980439	0.5928364	0.5283474	0.1218073	0.5711970	0.4986436	0.9903281	0.0452166	0.7760721	0.9966666
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0412683	1.0000000	0.1110869	1.0000000	0.5126888	1.0000000	0.9901852	0.0821090	1.0000000	0.6438810	0.3382153	1.0000000	0.9950517	1.0000000	0.7085587	0.3083594	1.0000000	0.2688820	0.3356786	0.7363909	1.0000000	1.0000000	1.0000000	0.1895738	0.3002834	0.0000000	0.5339247	0.0640811	0.6371999	1.0000000	0.5533525	1.0000000	0.8398801	0.1578485	0.7275233	1.0000000	1.0000000	1.0000000	0.7949672	0.7264347	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948653	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230440	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	0.0000000	1.0000000	0.9995578	0.1433757	0.4292174	0.9999741	0.8101421	0.9897133	0.4881438	0.9693511	0.5107204	0.2331427	0.8676433	0.4407221	0.5283474	0.5670323	0.5711643	0.6507897	0.9999973	0.1507855	0.7650509	0.9966664
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631082	1.0000000	0.1110869	1.0000000	0.8025683	1.0000000	0.9901761	0.2993115	1.0000000	0.1938460	0.3382153	1.0000000	0.5269696	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314047	0.7363909	1.0000000	1.0000000	1.0000000	0.0038123	0.3002825	0.0014942	0.0000000	0.0640812	0.6372585	1.0000000	0.5533525	1.0000000	0.8398801	0.1578512	0.7275202	1.0000000	1.0000000	1.0000000	0.7949672	0.7264360	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948652	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230379	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995566	0.2815475	0.3953628	0.8797683	0.7953061	0.8213357	0.4881009	0.9845867	0.5107207	0.3478728	0.8980439	0.4531813	0.5283474	0.1218073	0.5765147	0.7255404	0.9903281	0.1061794	0.7794530	0.9966666
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.9999819	1.0000000	0.1110869	1.0000000	0.8024936	1.0000000	0.0944448	0.2993097	1.0000000	0.1938460	0.3382153	1.0000000	0.5271375	1.0000000	0.6945232	0.0000002	1.0000000	0.0289979	0.7313116	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.0000030	0.0159518	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995599	0.1336782	0.0341310	0.8790200	0.7742821	0.7852817	0.4087140	0.9752593	0.5107250	0.4495224	0.8980450	0.1809935	0.5322029	0.2008277	0.5753813	0.5747694	0.9887450	0.2977091	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631126	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.4757806	1.0000000	0.1938460	0.3382153	1.0000000	0.0209550	1.0000000	0.6287126	0.0000000	1.0000000	0.0281944	0.7314045	0.0000003	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994740	0.0682573	0.0341306	0.8789967	0.7742821	0.8213622	0.4087140	0.9752593	0.5107250	0.4495256	0.8980450	0.2427188	0.5322029	0.2008277	0.5743909	0.6364213	0.9946722	0.5762439	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0784986	1.0000000	0.1110869	1.0000000	0.7852631	1.0000000	0.0944448	0.3414417	1.0000000	0.1938460	0.3382153	1.0000000	0.0191378	0.0000001	0.0072238	0.1009160	1.0000000	0.0202178	0.7320783	0.0000003	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313410	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994741	0.0702783	0.0512760	0.9980397	0.7742918	0.9255931	0.4087140	0.9752591	0.5403049	0.1565355	0.8980450	0.5928370	0.5322029	0.2008277	0.5746156	0.5488144	0.9946722	0.8918623	0.9989788	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0784897	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2946611	1.0000000	0.1938460	0.3382153	1.0000000	0.5259352	0.0000002	0.0072269	0.0000000	1.0000000	0.0202181	0.7320775	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995574	0.0682573	0.0341306	0.8789989	0.7742821	0.8213630	0.4087140	0.9752593	0.5403049	0.4495253	0.8980450	0.4531819	0.5322029	0.2008277	0.5743909	0.5747683	0.9946722	0.6110064	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0619680	1.0000000	0.1110869	1.0000000	0.4954846	1.0000000	0.9901792	0.0712235	1.0000000	0.1938460	0.3382153	1.0000000	0.9948645	1.0000000	0.7085543	0.3083614	1.0000000	0.0291443	0.7312942	0.7363909	1.0000000	1.0000000	1.0000000	0.1895762	0.3002825	0.0000024	0.5339248	0.0640811	0.6372564	1.0000000	0.5533525	1.0000000	0.8398801	0.1578511	0.7275202	1.0000000	1.0000000	1.0000000	0.7949672	0.7264360	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948652	0.3281116	0.8715593	0.0000001	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230380	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995578	0.1433780	0.3953637	0.9999720	0.7914459	0.9897091	0.4881396	0.9749255	0.5107207	0.2331424	0.8980439	0.4407232	0.5283474	0.1217923	0.5753284	0.6507876	0.9903281	0.1507844	0.7785541	0.9949871
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0630951	1.0000000	0.1110869	1.0000000	0.8190282	0.0000008	0.0628887	0.2994487	1.0000000	0.1938460	0.3382153	1.0000000	0.5271447	1.0000000	0.6287231	0.0000006	1.0000000	0.0281977	0.7314014	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229678	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9469365	0.0680347	0.0361031	0.8790592	0.7742821	0.8213885	0.4087140	0.9752593	0.5107250	0.4495132	0.8980450	0.1767521	0.5322029	0.2008277	0.5743910	0.6633986	0.9946722	0.2977090	0.9989906	0.9966665
