YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0000000	0.9015425	0.1869132	0.9150011	0.2981970	1.0000000	0.8329598	0.9913275	0.7748742	0.1034098	1.0000000	0.6622102	1.0000000	0.5004906	0.1912067	1.0000000	0.1618050	0.3605183	0.9481144	0.9707088	1.0000000	0.9441163	0.1033619	0.4052676	0.0071274	0.7267870	0.6187219	0.7788694	1.0000000	0.8270515	0.4774925	0.0461765	0.3411477	0.5458561	0.4765086	0.4527262	0.7622928	0.5093745	0.8823224	0.8326911	0.3691982	0.5629343	0.6914702	0.8739507	1.0000000	0.8038455	0.7520651	0.6924586	0.5753798	0.0353305	1.0000000	0.1643317	0.4729630	0.9156591	1.0000000	0.1980978	0.0697736	0.0492120	0.7697370	0.0664465	0.0063988	0.9825357	0.7302371	0.4994260	0.6109126	1.0000000	0.5615966	0.0743588	0.6232660	0.4441934	0.4214086	0.7478390	0.5177333	1.0000000	1.0000000	0.8538883	0.5385556	0.2772482	0.6498546	0.8510041	0.7787631	0.4765138	0.4159500	0.9978177	0.6520658	0.3588995	0.4239094	0.9975319	0.5860515	0.1643783	0.7208748	0.4402314	0.4198437	0.0846137	0.7392513	0.9046741	0.8372389	0.3367408	0.9999867	0.9983207
1.0000000	0.9267402	0.3165544	0.2625397	0.4362908	0.9138129	0.6724685	0.0519346	0.8666362	0.0900328	0.5092432	0.8431123	0.4537276	0.0895460	0.1331526	1.0000000	0.0193353	0.6890974	0.5798188	0.8899468	0.4954460	0.3820431	0.1191939	0.9526335	0.4733890	0.1793446	0.4834337	0.7914573	1.0000000	0.6740083	0.8160889	0.3293711	0.2399558	0.5492779	0.3582292	0.4352502	1.0000000	0.5267460	1.0000000	0.8457834	0.6395163	0.4036021	1.0000000	0.9375524	0.5056206	0.5807590	0.9981345	0.8763040	0.9999732	0.0187521	0.9944527	0.7995687	0.1822728	0.3141688	0.8668505	0.3717842	0.0929116	0.0081948	1.0000000	0.0367435	0.0019947	0.9777389	0.2090247	0.6786110	0.2789099	1.0000000	1.0000000	0.0035286	0.7325321	0.6097836	0.9322558	0.8862074	0.6177079	1.0000000	0.9459473	0.9210358	0.5199385	0.2522013	1.0000000	1.0000000	0.9993361	0.0377541	0.0148199	0.9602068	0.3255234	0.5005023	0.3499721	0.7215756	0.6430287	0.6038499	0.4543069	0.7362269	0.0608105	0.1817553	0.7329361	0.6439798	0.9946533	0.4697531	0.9989532	0.9197589
1.0000000	0.9418232	0.0439838	0.6282641	0.2684856	1.0000000	0.8456515	0.0429519	1.0000000	0.1110869	0.6654265	0.6527115	1.0000000	0.9918127	0.0449810	0.6400136	0.1963398	0.2432377	0.9095258	0.9364346	0.6831973	0.5626339	0.1652144	1.0000000	0.1488728	0.5478295	0.9091271	1.0000000	0.9463194	1.0000000	0.0270877	0.5576126	0.0003458	0.7546562	0.4241372	0.7810651	1.0000000	0.7179694	1.0000000	0.8114978	0.2140872	0.6389283	0.8844746	0.8416932	1.0000000	0.7963474	0.9141814	0.9513515	0.9973057	0.0729429	1.0000000	0.0640216	0.9699765	0.4318498	1.0000000	0.2769190	0.1152323	0.0732024	1.0000000	0.0180397	0.0004899	0.9949355	0.3281116	0.8715593	0.4030630	1.0000000	0.9573922	0.0291098	0.5909751	0.8541610	0.7499099	0.6167867	0.8473093	1.0000000	1.0000000	0.8622161	0.6184857	0.2930705	0.8823212	1.0000000	0.9996352	0.0921257	0.4198402	0.9099694	0.9446317	0.9844427	0.9999773	0.9798634	0.7513371	0.8023628	0.3956165	0.6737090	0.5166323	0.1512857	0.5253194	0.8949125	0.9996234	0.3227081	0.8551731	0.7017491
1.0000000	0.9190989	0.5837613	0.2556699	0.4362908	0.9210768	0.9972833	0.0406759	1.0000000	0.1110869	0.9438399	0.6844123	0.8617363	0.0307038	0.2918508	0.7791056	0.1952556	0.3382153	1.0000000	0.8708017	0.9064589	0.3092690	0.1013068	1.0000000	0.5000571	0.2154498	0.0377966	1.0000000	0.9219785	1.0000000	0.3996515	0.2662371	0.3428384	0.5253257	0.4809804	0.7974484	1.0000000	0.7088835	1.0000000	0.8114977	0.4017308	0.6878767	0.5765391	0.9141455	1.0000000	0.8042851	0.7945138	0.8978870	0.8056319	0.1192480	1.0000000	0.0008826	0.9913228	0.3330128	0.7004360	0.5385517	0.5015504	0.3382265	1.0000000	0.0143704	0.0003125	0.9205021	0.3281116	0.8715593	0.3669470	1.0000000	1.0000000	0.0035232	0.6721764	0.2891193	1.0000000	0.4438139	0.7579003	0.7694127	0.8959181	0.8167687	0.5547158	0.3394888	0.9259778	1.0000000	0.9996466	0.0011820	0.1485927	0.9993619	0.8564044	0.9652471	0.4192245	0.8545461	0.3830410	0.3260176	0.4503013	0.0862284	0.5358795	0.0597683	0.0161736	0.6635148	0.8498813	0.7364813	0.6502689	0.8390844
0.3699936	0.7567467	0.4675383	0.1923626	0.6233142	0.4671368	0.9926732	0.2271926	1.0000000	0.5942609	1.0000000	0.7516631	0.6658932	0.0610075	0.8090119	1.0000000	0.1878197	0.1089142	1.0000000	0.8579664	0.7676091	0.8508470	0.0818019	0.9316890	0.0077657	0.8197154	0.5974716	0.9231043	1.0000000	0.8201466	0.3578323	0.0077612	0.2746731	0.5253202	0.5152079	0.7456159	1.0000000	0.5267460	0.6886239	0.5279357	0.4298578	0.6862117	0.8336719	1.0000000	0.6057634	0.6360884	0.8768490	0.9578869	0.9999475	0.0228961	1.0000000	0.0601836	0.7614685	0.6381924	0.9654743	0.2984374	0.1366717	0.3896297	0.9382776	0.0417261	0.3636779	0.9130842	0.3620464	0.4956749	0.2921232	0.5217671	0.8358913	0.0084483	0.5146085	0.6259941	1.0000000	0.7933590	0.7396379	1.0000000	1.0000000	0.9466414	0.8332245	0.5164946	1.0000000	1.0000000	0.9256341	0.0518719	0.3424030	0.8180587	0.7077747	0.8463257	0.4755430	0.8208761	0.3000555	0.3577058	0.8996690	0.1870147	0.7159446	0.0834242	0.5930806	0.2380726	0.9953240	0.1549810	0.9995474	0.9533464
1.0000000	0.9185662	0.0211919	0.8754254	0.4362908	0.8899162	0.9933237	0.0415076	0.8735092	0.1110869	0.9022662	0.3912585	1.0000000	0.2380039	0.2461126	0.7595260	0.1952122	0.5282785	0.7161637	0.9697463	0.8249006	0.7424731	0.0787832	0.9571808	0.3093110	0.1760349	0.7532560	1.0000000	0.9210783	0.9884735	0.2011585	0.5151512	0.3404805	0.6561620	0.7080173	0.4660309	1.0000000	0.5971082	1.0000000	0.8114977	0.1162553	0.6759312	1.0000000	0.7160331	1.0000000	0.7702654	0.6993593	0.8966339	0.9257136	0.1980149	0.9683739	0.0542305	0.7431895	0.7116746	0.9064851	0.2834804	0.1322613	0.0166441	0.4689483	0.0911291	0.0118813	0.9906495	0.2687701	0.9069045	0.3166740	0.8283490	1.0000000	0.0022339	0.6145802	0.7586327	0.8157059	0.6567188	0.6282402	1.0000000	0.4656221	0.3832609	0.3399330	0.2538842	1.0000000	0.9246484	0.8927037	0.1599532	0.0257645	0.9605791	0.5548931	0.7483424	0.3531636	0.9793479	0.7173712	0.1025405	0.5913878	0.1181843	0.9408318	0.0825907	0.6003151	0.8243371	0.9977065	0.4065123	0.9186670	0.9953064
0.6772561	0.8574007	0.4448664	0.7281615	0.3807914	1.0000000	0.9497634	0.1625762	0.4938738	0.2694398	0.6076134	0.5151392	0.6116436	0.3838440	0.1579070	0.9392149	0.0021053	0.3355898	1.0000000	0.9335793	0.7616381	0.7066140	0.1042295	0.6081899	0.0003557	0.5620463	0.6845985	0.6637853	0.7836766	1.0000000	0.1867522	0.3542531	0.3339523	0.5253269	0.4718979	0.9485505	0.7583557	0.5267460	0.7533000	0.6099266	0.1695991	0.8094151	0.8403101	0.4606557	0.6830257	0.7705169	0.8908334	0.6449365	0.9999580	0.0214444	0.7782754	0.0011922	0.9906145	0.3382912	0.7179219	0.3757716	0.2835863	0.1796147	1.0000000	0.0367435	0.3607250	0.9196033	0.5971111	0.6616416	0.7180305	1.0000000	1.0000000	0.0281550	0.7105826	0.7529742	1.0000000	0.7140207	0.8775391	0.7568648	0.9981289	0.9227409	0.5379299	0.4366104	1.0000000	1.0000000	0.9995085	0.0209688	0.0260593	0.9993428	0.6453654	0.9635743	0.6018140	0.9839598	0.3610533	0.0466618	0.6824270	0.3492350	0.5234317	0.6292496	0.7378026	0.3717135	0.9999960	0.3450726	0.9284468	0.9858874
1.0000000	0.9075147	0.1266522	0.3426478	0.4362908	1.0000000	0.9066657	0.0406854	0.8297860	0.1110869	0.8678673	0.2392435	0.9297029	0.0314278	0.2703684	0.9294852	0.2005531	0.1065239	0.9942328	0.9327116	0.9162082	0.3125072	0.0891140	1.0000000	0.0813221	0.8508317	0.2689864	0.9824905	0.9573797	1.0000000	0.0102451	0.3890223	0.3405365	0.4190636	0.4748869	0.5465313	1.0000000	0.4600286	1.0000000	0.8345047	0.1924683	0.6481718	0.8815806	0.8942084	1.0000000	0.8292210	0.9817570	0.8389242	0.8542235	0.1287538	0.8080177	0.0411968	0.9952419	0.2942108	0.6571074	0.5896469	0.5852878	0.2563448	0.8421755	0.0357573	0.0018904	0.9935324	0.2046488	0.7985279	0.4958797	0.8621511	1.0000000	0.0035692	0.6427917	0.4877111	1.0000000	0.4441216	0.7672611	0.5624617	0.7822510	0.7514381	0.4560489	0.3394888	0.7688016	0.5767717	0.9973151	0.0414586	0.1453979	0.9984467	0.6181132	0.9865900	0.6388516	0.8440838	0.7892483	0.1751202	0.9309391	0.2378304	0.6291769	0.1046292	0.7526839	0.3726672	0.6395281	0.5345297	0.9997745	0.9995066
0.9290023	0.8942905	0.0270977	0.6972453	0.4434833	1.0000000	0.9906965	0.0000087	1.0000000	0.1224677	1.0000000	0.3121462	0.9301117	0.9901200	0.4115058	1.0000000	0.2408698	0.3379337	1.0000000	0.9731661	0.8651545	0.6083733	0.1886285	0.7045934	0.3419812	0.2836861	0.6255396	0.9850658	0.9650317	0.7281767	0.2267693	0.3873069	0.0007754	0.5255221	0.1594286	0.9348918	0.8694367	0.5707670	1.0000000	0.8889856	0.1180267	0.6684863	0.9976432	1.0000000	0.7347182	0.8214319	0.9804372	0.5526432	0.6248177	0.1214068	1.0000000	0.0638127	0.9904945	0.3395044	0.8106730	0.4220854	0.2472275	0.0567965	0.9565248	0.0204091	0.0551476	0.9936254	0.4131657	0.8172343	0.7591413	0.9625363	1.0000000	0.0281550	0.7325918	0.5806504	1.0000000	0.6154684	0.9480588	1.0000000	0.8105974	0.7708873	0.4679849	0.3570933	0.7158565	1.0000000	0.9996671	0.4064056	0.3434556	0.9998557	0.8533330	0.7475475	0.4429275	0.9877559	0.7436280	0.8116676	0.8143253	0.1701467	0.5173888	0.2973749	0.7783681	0.3211201	0.8944505	0.2978027	0.5732761	0.8635096
1.0000000	0.9084258	0.0428353	0.7560180	0.3856621	0.6294933	0.9470297	0.3641862	0.9540853	0.1110869	1.0000000	0.5296068	0.6868595	0.0312188	0.4956333	1.0000000	0.2060983	0.0954888	0.9527438	0.9754210	0.8181579	0.8296326	0.1195485	0.9030767	0.0040961	0.7049678	0.7905770	0.9810854	1.0000000	0.9017095	0.0182284	0.3024288	0.3402183	0.5406579	0.5537105	0.6197318	0.8869003	0.3602105	1.0000000	0.8114977	0.1245183	0.6677010	1.0000000	1.0000000	0.9793652	0.8523835	0.6817402	0.7325088	0.8530494	0.0458703	1.0000000	0.0063441	0.7601091	0.6549372	0.9418598	0.3143448	0.1095873	0.0114252	0.8181962	0.0336014	0.1202341	0.9236812	0.3777207	0.6275025	0.8116294	1.0000000	0.6864999	0.0256384	0.4342133	0.7992213	1.0000000	0.4301481	0.9441123	1.0000000	0.7184753	0.6980141	0.5218105	0.2323737	1.0000000	0.6379339	0.8471974	0.0656172	0.0904065	0.9988560	0.7060489	0.9068192	0.1977526	0.9800766	0.8832443	0.6809062	0.5535538	0.8592496	0.5399305	0.0814042	0.6900056	0.5827358	0.9999715	0.2604454	0.9989796	0.6363481
