"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	0.5587776	0.5635316	0.1283792	0.3348013	0.2439790	0.7322577	0.5501947	0.0735387	0.6509685	0.0629660	0.6091235	0.5665509	0.6817057	0.0698296	0.1119460	0.6748014	0.1287476	0.3201516	0.6393854	0.6726677	0.7078622	0.5185662	0.1198578	0.7227477	0.0214474	0.5366011	0.5368129	0.6307258	0.8111262	0.7262175	0.0068875	0.1901168	0.2755818	0.3324585	0.2713993	0.4591494	0.7223402	0.3974311	0.7198772	0.6092042	0.0865464	0.4800944	0.6839505	0.6914019	0.6680021	0.4056965	0.4156766	0.5105991	0.6747199	0.1367538	0.7327622	0.0726226	0.6121252	0.4009786	0.5722417	0.2296731	0.0506692	0.0279135	0.6008415	0.0578279	0.0555660	0.8037921	0.2239145	0.6146945	0.3254538	0.6037087	0.7522850	0.0432715	0.4359197	0.4266723	0.5446255	0.5353647	0.5799581	0.8063117	0.6917332	0.6968236	0.3424867	0.3011939	0.7413073	0.8673407	0.7104987	0.0459405	0.0268627	0.7650881	0.5455864	0.7506839	0.4174092	0.5611141	0.3892815	0.2374655	0.6475300	0.1150410	0.4011269	0.1303844	0.3527294	0.4410930	0.6103574	0.1743551	0.5534143	0.7535639
50	0.7858133	0.5288622	0.2103779	0.3173471	0.2920722	0.8167524	0.6917973	0.0592881	0.3723728	0.0661430	0.7349540	0.5531099	0.6691195	0.0563778	0.1122865	0.6913252	0.0816154	0.2103726	0.6579649	0.7121892	0.6254543	0.4609418	0.0479824	0.7266355	0.1449806	0.4887259	0.5496227	0.3555165	0.6580995	0.7621761	0.0013508	0.2358170	0.1466404	0.4119204	0.4337210	0.3997896	0.7804379	0.4623752	0.5208029	0.5307465	0.1138411	0.4478688	0.4503844	0.5381527	0.6130362	0.6144219	0.5018358	0.5192431	0.6344868	0.1530026	0.4998354	0.0227652	0.5552899	0.4744572	0.5842724	0.2076116	0.0541125	0.0714756	0.6415412	0.0475456	0.1924018	0.5985609	0.2735363	0.5649734	0.4549521	0.6621240	0.7485654	0.0157729	0.4757408	0.5447377	0.7241704	0.4797725	0.6654748	0.7193111	0.6692045	0.6030332	0.3935230	0.1434218	0.7968481	0.5935671	0.7283173	0.1027727	0.0291912	0.6999598	0.4950176	0.5619609	0.3219034	0.5909345	0.3927395	0.3847312	0.5398017	0.0854083	0.3162855	0.1096639	0.4913322	0.4773347	0.6655506	0.3265646	0.5750075	0.7961725
100	0.7108153	0.5839774	0.2644035	0.4013944	0.3655863	0.6622829	0.4956881	0.0409289	0.1474256	0.1008016	0.6940204	0.6637891	0.7435204	0.1381522	0.0259425	0.7380997	0.0310004	0.2254558	0.6337360	0.7108782	0.7100557	0.4438161	0.0784390	0.6575251	0.1631986	0.4592566	0.5081205	0.1966425	0.7147654	0.5532234	0.0000782	0.2172570	0.0905356	0.6298811	0.4948850	0.3093900	0.6010953	0.3747787	0.2904408	0.4028410	0.2669850	0.4112761	0.2767917	0.4426257	0.3290919	0.5919514	0.3873582	0.5858527	0.7198035	0.1042638	0.2434258	0.0076049	0.6033436	0.4842423	0.4539300	0.1846867	0.1256960	0.1143333	0.7371023	0.0453213	0.4503147	0.7074299	0.2198620	0.7143578	0.4596043	0.6480691	0.5886972	0.0211501	0.4939402	0.5264823	0.7501721	0.4301809	0.5330396	0.7774128	0.7477631	0.6480574	0.3867540	0.1179023	0.6646381	0.4171393	0.6011958	0.0868389	0.0196955	0.7374047	0.6239707	0.6593945	0.3529422	0.4988928	0.4074887	0.4007853	0.5315399	0.1233938	0.2917151	0.0429234	0.4919442	0.4931837	0.7223478	0.2007874	0.5584075	0.6541741
150	0.8101290	0.5500032	0.3079212	0.3711130	0.3089768	0.6848953	0.4512199	0.0416263	0.0671614	0.0962720	0.7909288	0.4345651	0.6896192	0.3038935	0.0524205	0.5730119	0.0160216	0.2014889	0.7195546	0.6923402	0.7783965	0.3589248	0.0615050	0.4729194	0.2412026	0.3803715	0.6432865	0.2043392	0.6069397	0.6277615	0.0027229	0.1583938	0.0668621	0.7360372	0.4510601	0.4639478	0.7705334	0.3127960	0.1420659	0.2860235	0.1722690	0.4293566	0.3331215	0.4940931	0.3363396	0.4658040	0.5484712	0.5646413	0.7181025	0.0678064	0.1274331	0.0010352	0.5406545	0.5174686	0.4335328	0.2193784	0.1899508	0.0888820	0.5698086	0.0282179	0.3732085	0.6365104	0.2312055	0.6400225	0.3674053	0.7109249	0.6373989	0.0068064	0.5437357	0.5187878	0.6936676	0.4598394	0.4884953	0.7215352	0.6484032	0.6098033	0.2801415	0.1106494	0.6970214	0.2965226	0.6336740	0.0682561	0.0772185	0.6760727	0.6059879	0.5712879	0.3224962	0.5945876	0.3133167	0.3821731	0.4775160	0.1042387	0.3652641	0.0420711	0.3948969	0.4739421	0.6880969	0.1622802	0.7089969	0.5766352
200	0.5844249	0.6469400	0.3707714	0.3649153	0.2183765	0.8546283	0.4762913	0.0208038	0.0989343	0.0869642	0.6661426	0.5967101	0.5695075	0.4506338	0.0259145	0.6327897	0.0131090	0.1541086	0.7223083	0.5732127	0.6896998	0.4605922	0.0594228	0.5034536	0.2788009	0.2217227	0.6281320	0.1707631	0.6612604	0.5521818	0.0161132	0.2050872	0.0142210	0.8207062	0.4831113	0.3434143	0.7656064	0.2843454	0.0967646	0.1298986	0.2631754	0.4207316	0.2474445	0.4888227	0.3057337	0.4548602	0.5122152	0.5000131	0.5552374	0.0735800	0.0871161	0.0046597	0.5048375	0.3754494	0.6387310	0.2924045	0.2338188	0.1322143	0.5309706	0.0219730	0.4970927	0.5712677	0.2692150	0.6597502	0.4185242	0.5833572	0.7680592	0.0192310	0.4768020	0.5121797	0.6925203	0.5376796	0.4298161	0.7081872	0.7397244	0.7034888	0.3179393	0.1039218	0.5912307	0.3235279	0.6731830	0.0903646	0.0756015	0.7079044	0.5267494	0.7079810	0.2654700	0.7231368	0.3214367	0.4238721	0.4197804	0.1075352	0.3558632	0.0532062	0.4758514	0.4523222	0.7291296	0.1029181	0.8208245	0.6471026
250	0.6522529	0.5536251	0.2494632	0.4810418	0.3520815	0.6964342	0.3824220	0.0268700	0.0902468	0.0694065	0.5205093	0.5754231	0.7162518	0.5642704	0.0332336	0.5207361	0.0280739	0.1860856	0.7172705	0.7520374	0.8619960	0.2755981	0.1065298	0.6304436	0.2792677	0.2885214	0.6832627	0.0892141	0.6619156	0.5899720	0.0022505	0.1868495	0.0038046	0.5900189	0.4326619	0.4533030	0.7257477	0.2372412	0.0830238	0.0525426	0.2263713	0.5186126	0.1758151	0.4854018	0.2280510	0.4453268	0.5225220	0.5473800	0.6636936	0.0932504	0.0281292	0.0000000	0.7529655	0.3983997	0.4362470	0.3517150	0.3822646	0.0807542	0.7224530	0.0495565	0.6625946	0.6525975	0.2703364	0.6082119	0.5102782	0.5677433	0.6677717	0.0159727	0.5889102	0.5046130	0.6895078	0.4999717	0.3905030	0.6996141	0.7169251	0.7097127	0.3261772	0.0869559	0.7012372	0.2562228	0.6685968	0.0250092	0.1857255	0.7836409	0.5751376	0.6288873	0.3450710	0.6829271	0.4113336	0.3563003	0.3193563	0.0925424	0.3522664	0.0160155	0.4296053	0.4929714	0.7188103	0.1103617	0.6209917	0.8383589
300	0.6892609	0.5436480	0.3274302	0.3808390	0.2761647	0.6596156	0.4087776	0.0230613	0.0701701	0.0557913	0.5804381	0.4925866	0.6599485	0.8426198	0.0179146	0.4739736	0.0021538	0.1457934	0.8326543	0.6466431	0.6599954	0.3433021	0.1734591	0.7090351	0.2433878	0.1263551	0.5278334	0.1461099	0.6473362	0.4750277	0.0045624	0.1834739	0.0080805	0.6635376	0.5187733	0.4558742	0.7769565	0.1505142	0.0910786	0.0296975	0.2321554	0.4918306	0.2104438	0.5346676	0.3130287	0.5637477	0.4343298	0.5645984	0.6185073	0.1000352	0.0709067	0.0004350	0.6140004	0.3884166	0.4009545	0.2708810	0.2626552	0.1217288	0.5757561	0.0386603	0.4924117	0.6047272	0.2970278	0.6122235	0.4264943	0.6902050	0.6927711	0.0387402	0.4196173	0.4771895	0.6155603	0.4772560	0.4749739	0.6911236	0.7596743	0.6750877	0.2952147	0.0771171	0.6783752	0.1666894	0.6475117	0.0341241	0.1644117	0.6465794	0.6799776	0.6556071	0.2701167	0.9029684	0.3768891	0.4081522	0.3545972	0.1645799	0.3273093	0.0529083	0.3827319	0.5157878	0.7437720	0.0788608	0.5602273	0.7362085
350	0.7445019	0.6416729	0.3384357	0.3870311	0.3853119	0.7740832	0.3527177	0.0310850	0.0983650	0.0652293	0.7155746	0.4923847	0.7608643	0.6705658	0.0105201	0.4734473	0.0123831	0.1904510	0.6293535	0.7166603	0.6557272	0.2303392	0.1032678	0.5709007	0.2023225	0.1408990	0.5548832	0.1288179	0.6636385	0.5038027	0.0019438	0.1757131	0.0011038	0.8286683	0.4399564	0.3822731	0.6809955	0.1035391	0.0516269	0.0192548	0.2221006	0.4313046	0.2319844	0.5209990	0.2220548	0.4269525	0.4748440	0.5301464	0.6089108	0.0853820	0.0428000	0.0000908	0.5363898	0.2825631	0.4457216	0.4312275	0.4204947	0.1558099	0.5856079	0.0220660	0.5256039	0.6059982	0.2917919	0.5505589	0.4113807	0.7003016	0.5949837	0.0186726	0.4765823	0.4305446	0.7432505	0.5641204	0.5173747	0.6946350	0.6043484	0.8034270	0.3943164	0.0944821	0.7412927	0.2728503	0.6084192	0.0446417	0.1454447	0.7545786	0.5342260	0.5636006	0.3212091	0.6730643	0.3300074	0.3940292	0.3416205	0.2327595	0.2437000	0.0261987	0.3532383	0.5292939	0.7773012	0.1332785	0.6859283	0.7046686
400	0.6700056	0.5892650	0.2808373	0.4241555	0.2338711	0.7781542	0.4367314	0.0343593	0.0981084	0.0640165	0.6276767	0.4270592	0.6829786	0.6843321	0.0546943	0.5459091	0.0091435	0.1809221	0.6039578	0.6386089	0.7123989	0.3256912	0.1283698	0.4551142	0.2235154	0.1497584	0.5349823	0.1431215	0.7426417	0.4609658	0.0029171	0.2014565	0.0001894	0.6738065	0.4899482	0.4667336	0.6778145	0.1262279	0.0349299	0.0408585	0.1449445	0.4841536	0.1892752	0.4062460	0.1663381	0.4830776	0.5970917	0.7024411	0.6941248	0.0911605	0.0267975	0.0008077	0.6039283	0.2728281	0.3156593	0.3787276	0.4827652	0.1585284	0.6586893	0.0635792	0.5564739	0.7851887	0.2405634	0.5195003	0.4329222	0.7076138	0.5938261	0.0300435	0.3620236	0.4959675	0.7187547	0.5188719	0.4967929	0.6624673	0.6803005	0.6378702	0.3818507	0.0818404	0.7041354	0.2104200	0.5993541	0.0696903	0.1973527	0.7381342	0.6759828	0.6160494	0.3110796	0.5411291	0.3089116	0.3560432	0.2515617	0.1942149	0.3985224	0.0339457	0.3893576	0.5060592	0.7451513	0.0925235	0.6812938	0.7627550
450	0.6399168	0.5416565	0.3379395	0.4071440	0.2597241	0.6419028	0.4646134	0.0174932	0.0687719	0.0771655	0.5625127	0.4410734	0.6730338	0.7435305	0.0159097	0.6990159	0.0047552	0.2103207	0.7762993	0.5823201	0.6594679	0.3486440	0.2054281	0.5531501	0.2898681	0.1518652	0.5189313	0.1369708	0.6573472	0.5633566	0.0029662	0.2252794	0.0008777	0.6327464	0.4851937	0.5109191	1.0474092	0.1517739	0.0609705	0.0242637	0.2179885	0.4364628	0.1858246	0.5233687	0.2257515	0.3715880	0.4568838	0.6893641	0.6524354	0.0670182	0.0538449	0.0013503	0.7605848	0.2430227	0.4855721	0.5266311	0.3729940	0.1883768	0.5746679	0.0187262	0.5635527	0.5771149	0.2490423	0.6136972	0.4962894	0.6450379	0.7091383	0.0318500	0.4870611	0.3740646	0.6552884	0.4626369	0.3785793	0.6196687	0.5695757	0.6223573	0.3484653	0.1038081	0.5133689	0.2833969	0.6877355	0.0335389	0.1550998	0.7014165	0.6375493	0.6103726	0.4087971	0.6668355	0.2538305	0.2962491	0.2749262	0.1950256	0.4712965	0.0395025	0.4896756	0.5872719	0.6110426	0.0522121	0.6293127	0.6088215
500	0.7755348	0.5736580	0.2663539	0.4276140	0.2747825	0.7236879	0.4312360	0.0230250	0.0509494	0.1049693	0.5537487	0.5124083	0.7349773	0.8056000	0.0137806	0.5588922	0.0013842	0.1793273	0.7459566	0.5842505	0.7845471	0.2619637	0.1551065	0.6403082	0.1879256	0.1063129	0.4934109	0.2064427	0.6325100	0.6464964	0.0000000	0.2356318	0.0019752	0.6355823	0.4628629	0.5256052	0.6278679	0.1812726	0.0444807	0.0079365	0.1912889	0.4028387	0.2589872	0.3938994	0.2455160	0.4375901	0.4879913	0.6515783	0.6424907	0.0569872	0.0274943	0.0000932	0.6234020	0.1751824	0.3771058	0.5001727	0.4750505	0.2138420	0.7248356	0.0261108	0.4241287	0.5898798	0.2415866	0.6879619	0.4682748	0.5837986	0.6972947	0.0176481	0.3486895	0.4052106	0.5662656	0.4934674	0.5826683	0.6713741	0.6818678	0.6062284	0.4375080	0.0816372	0.7256984	0.3374927	0.7392595	0.0556943	0.1482000	0.6734610	0.5672550	0.5592923	0.2919690	0.7067762	0.2819208	0.3713929	0.2288726	0.2026117	0.3866077	0.0436478	0.5402170	0.3915349	0.7149503	0.0811282	0.5899005	0.6391333
550	0.6024496	0.5375632	0.1929474	0.3614173	0.3505788	0.6473635	0.4160588	0.0273855	0.3918192	0.0576383	0.7783327	0.4578638	0.7023347	0.6705949	0.0500020	0.6873188	0.0520317	0.1988675	0.6521735	0.7497159	0.6859894	0.1774526	0.1791376	0.5998177	0.2273860	0.1944357	0.5623474	0.6390260	0.5897700	0.5807143	0.0003340	0.2015974	0.0835976	0.4195952	0.2459895	0.5059374	0.6657540	0.1695101	0.2797145	0.0260871	0.1529637	0.3169349	0.4732213	0.6245827	0.3315195	0.4037166	0.5222920	0.5724098	0.5893716	0.0818706	0.3365927	0.0270891	0.6801604	0.2115076	0.5789862	0.3776555	0.3471923	0.2468397	0.6710827	0.0518396	0.3248914	0.7899687	0.2990182	0.5854653	0.4576125	0.7953632	0.5660268	0.0401074	0.4790735	0.3347010	0.7643354	0.4682220	0.4362737	0.8245242	0.6481218	0.5941619	0.4621192	0.1332466	0.6594912	0.4042775	0.6984824	0.1045002	0.1787980	0.7593928	0.6200482	0.7613886	0.3512028	0.5690703	0.3379221	0.1918853	0.3109434	0.1920627	0.3977358	0.0742863	0.4242044	0.4785740	0.7257473	0.0836699	0.6764713	0.6811318
600	0.7039111	0.6837356	0.1182334	0.4067861	0.2810068	0.6981318	0.4886937	0.0461728	0.5381580	0.0674455	0.6060021	0.4432506	0.7753066	0.6150713	0.0399422	0.5433540	0.1068460	0.2725155	0.7915404	0.5957693	0.7149389	0.2438235	0.1758228	0.6853899	0.0826147	0.2777294	0.4149157	0.7178424	0.7137089	0.7469047	0.0021977	0.1553425	0.1688281	0.2763827	0.1181953	0.5255220	0.6437343	0.1206424	0.5699075	0.0811870	0.1665532	0.5678863	0.6451951	0.5456147	0.6616821	0.3809369	0.5059521	0.6803284	0.5550725	0.0769310	0.4125402	0.0610458	0.6448102	0.1736884	0.6255501	0.3396223	0.3598441	0.2403456	0.8395013	0.0085037	0.1520503	0.6140683	0.3173122	0.5319072	0.4226042	0.7536860	0.5728300	0.0410422	0.4299547	0.5303688	0.7509920	0.3814472	0.5707985	0.5915647	0.6291889	0.6707728	0.3267591	0.2963932	0.6835598	0.6691578	0.6476013	0.0551481	0.1422485	0.7752147	0.6093987	0.6150933	0.2651393	0.8427492	0.3624888	0.1633536	0.3312291	0.1962819	0.3641108	0.1390947	0.4666084	0.4444014	0.6716642	0.1229705	0.7097138	0.7439005
650	0.6417561	0.6631533	0.1323095	0.3120332	0.2303915	0.7480033	0.5583935	0.0567119	0.6643095	0.1054841	0.5823688	0.4156215	0.7484414	0.3130977	0.0540687	0.6377283	0.0691516	0.2456440	0.6397798	0.7816041	0.6021015	0.2212194	0.1656679	0.6130359	0.0416380	0.4126811	0.5164526	0.6344088	0.7181637	0.8008671	0.0018562	0.1758425	0.2093372	0.3177520	0.1960823	0.5548946	0.6543877	0.2834874	0.7291095	0.2325453	0.1526010	0.4769907	0.5791264	0.7524085	0.5522355	0.4005419	0.4251701	0.7553267	0.6376905	0.0764301	0.6358569	0.0297856	0.6035725	0.2406899	0.6833780	0.1694267	0.3821455	0.2282539	0.6956863	0.0121998	0.0484520	0.7747994	0.2053196	0.6627321	0.3555177	0.6962595	0.8291727	0.0352129	0.5246864	0.4210941	0.6511740	0.3432373	0.6087771	0.7512235	0.7628337	0.6553218	0.3315849	0.1646326	0.6303858	0.6520303	0.7264271	0.0217265	0.0604355	0.7574921	0.6034174	0.6609087	0.2667414	0.6421589	0.3994111	0.1199613	0.5768815	0.1450383	0.5001339	0.2144232	0.3543706	0.4207737	0.6027272	0.0738977	0.6240047	0.7070058
700	0.6115297	0.6624064	0.1343349	0.3883768	0.2520329	0.8343959	0.7666725	0.0282551	0.6178297	0.0713730	0.7377917	0.4788491	0.7493277	0.1364989	0.0574814	0.8308963	0.0867066	0.1682882	0.7086766	0.6061326	0.6608523	0.2645763	0.1469157	0.7826329	0.0264048	0.4802306	0.4241791	0.7300263	0.7154884	0.8191001	0.0120163	0.1625474	0.2151539	0.4333605	0.3153652	0.5323890	0.6762147	0.1956550	0.4998212	0.3460757	0.1037950	0.4608047	0.6346749	0.7232824	0.6022547	0.4278289	0.4726280	0.7351644	0.6749001	0.0528762	0.6516579	0.0238263	0.6050319	0.2336768	0.9303851	0.2337128	0.2051915	0.1814520	0.8528798	0.0402753	0.0518451	0.6661253	0.2572492	0.4677657	0.3089170	0.6501314	0.7616846	0.0274665	0.3439321	0.4526231	0.7655097	0.3914689	0.6290212	0.5953042	0.6252752	0.5964217	0.4870333	0.1747223	0.5757237	0.5777730	0.7000606	0.0355183	0.0401629	0.6493031	0.5922443	0.6125374	0.3232984	0.6516076	0.3649097	0.1156430	0.5503837	0.1736982	0.2647544	0.2206232	0.4195530	0.3500436	0.7347425	0.1407295	0.6785478	0.7925543
750	0.6542803	0.5861045	0.2027010	0.3560644	0.2540873	0.7509306	0.7438861	0.0227582	0.6732911	0.0731640	0.6518713	0.3707654	0.6902750	0.1031384	0.0744594	0.6841965	0.2209283	0.2147743	0.7019823	0.7250434	0.6127885	0.3770456	0.1292000	0.6597335	0.0544008	0.4086628	0.3612982	0.6768945	0.6930018	0.7277688	0.0026489	0.1890386	0.2426089	0.3106591	0.3682560	0.4558315	0.7715493	0.3348158	0.7088476	0.3579029	0.0807799	0.5235361	0.7036700	0.7149156	0.5591679	0.4706600	0.5328638	0.5667454	0.7917834	0.1011741	0.8446139	0.0228590	0.6890430	0.4709443	0.7478384	0.2246981	0.1550564	0.1670883	0.7212232	0.0412764	0.0170192	0.6445193	0.2009279	0.6132366	0.3445976	0.6737098	0.7690034	0.0520327	0.3491849	0.4404626	0.7084177	0.3590805	0.5433088	0.6637014	0.8010762	0.5887911	0.4505517	0.2062297	0.5633952	0.6398647	0.6605041	0.0237194	0.0391835	0.6157301	0.6426589	0.6573717	0.2612275	0.6381308	0.3965970	0.1633486	0.6574604	0.1622656	0.3219744	0.1617743	0.3524573	0.5057499	0.7026351	0.1332801	0.6957133	0.6653744
