YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.5940578	0.4658053	0.1529032	0.3117390	0.3110100	0.6688924	0.7564078	0.0387190	0.6070519	0.1228334	0.6983364	0.6132734	0.6817300	0.0757782	0.2192415	0.7525115	0.1493645	0.3119269	0.6288589	0.3999710	0.6037887	0.4583622	0.0000000	0.6833145	0.0246252	0.4522996	0.4958106	0.8334744	0.7317139	0.6918037	0.0055659	0.2085931	0.3380680	0.4199638	0.3287315	0.4404825	0.8191999	0.0000000	0.7045910	0.7168648	0.1312950	0.5232694	0.6972198	0.6191816	0.6291354	0.6989514	0.4562065	0.7181374	0.7089882	0.0879121	0.8135501	0.0381439	0.6049905	0.3925194	0.6641577	0.1881739	0.1223051	0.0428951	0.7159785	0.0298734	0.0279310	0.8589175	0.2203623	0.6203375	0.3777181	0.6158101	0.6974129	0.0400376	0.4871749	0.5805411	0.6139528	0.4864956	0.7571848	0.6731471	0.6445219	0.6523967	0.3925088	0.2469798	0.6939114	0.7228871	0.6981826	0.2200627	0.0192242	0.5568503	0.6675730	0.5236383	0.3320955	0.6181661	0.3711212	0.1955180	0.6336143	0.2260322	0.3633101	0.1703406	0.3281057	0.3662016	0.5923851	0.2247840	0.6156351	0.7138470
0.6305110	0.6125868	0.1443579	0.3680926	0.3726628	0.7146977	0.7324090	0.0587487	0.6126990	0.0750455	0.6883116	0.3561580	0.6840753	0.6510864	0.1989647	0.6669778	0.2042479	0.2360091	0.7965093	0.7579383	0.7127502	0.4672328	0.3499424	0.5176839	0.0177352	0.4796293	0.6125542	0.6293276	0.8332805	0.8940598	0.0011419	0.2295148	0.0000844	0.0000000	0.1039343	0.4408262	0.7159166	0.0000000	0.6122336	0.6643303	0.0911123	0.4441115	0.7292533	0.6030881	0.5968489	0.5254291	0.5800294	0.6663091	0.6121607	0.0686240	0.5251717	0.0548058	0.5122532	0.3481830	0.7714932	0.2283985	0.1434868	0.0284151	0.8017575	0.0394739	0.0219701	0.7008882	0.1631761	0.7172955	0.4176292	0.6328024	0.6473039	0.0186533	0.4755884	0.5973746	0.5286467	0.5384624	0.6015444	0.7023019	0.7000200	0.6598531	0.4025671	0.2436189	0.6655580	0.8186080	0.7588337	0.5288746	0.2653530	0.7336758	0.7735641	0.5247595	0.4406770	0.8233344	0.3347047	0.0650180	0.7023115	0.5089676	0.3476991	0.0926416	0.4467208	0.3520154	0.5415618	0.0331479	0.4809313	0.6443089
0.8275046	0.6212040	0.1312848	0.3696040	0.2649710	0.7478374	0.7175490	0.0155284	0.7356337	0.0591269	0.6910906	0.3228490	0.7704280	0.6376438	0.0611938	0.5499395	0.4433794	0.2114385	0.6686762	0.5887151	0.7350447	0.4564050	0.2126754	0.6804443	0.1421709	0.3352994	0.4952816	0.7149996	0.6003125	0.7354789	0.1608671	0.2019257	0.0000000	0.4208186	0.0286704	0.4478970	0.7509458	0.3750473	0.5999101	0.5743608	0.1025647	0.5682226	0.7910261	0.6283641	0.6514127	0.7012568	0.4325370	0.8174960	0.7455769	0.1204396	0.7106981	0.0627043	0.5629905	0.5310680	0.6605330	0.1791404	0.1047849	0.0464263	0.5916062	0.0102443	0.0315898	0.6092258	0.2465624	0.6592542	0.2908589	0.6788074	0.7262588	0.0191798	0.4843958	0.4773145	0.5659883	0.4530014	0.5844236	0.6017111	0.7366209	0.7349891	0.3649632	0.1974956	0.0000000	0.6602538	0.6901068	0.1198230	0.2721332	0.6543684	0.5488034	0.6587540	0.2665862	0.7091593	0.3520074	0.1609087	0.6392100	0.3167329	0.2599735	0.4108089	0.3272899	0.3663159	0.8414285	0.0838128	0.5486557	0.7496425
0.7581975	0.5861687	0.1351354	0.4403615	0.2923959	0.7499404	0.8247028	0.0612073	0.5962684	0.0610868	0.8399313	0.5743796	0.6820356	0.7445696	0.2372783	0.7030481	0.1413436	0.1779419	0.7028606	0.3087340	0.6935999	0.4165746	0.0000000	0.6926412	0.0213900	0.6544983	0.4300730	0.5785279	0.8345149	0.6552265	0.0074267	0.2232730	0.0040855	0.0000000	0.0582062	0.3574849	0.6327152	0.4857289	0.7836511	0.6399371	0.1693151	0.4081068	0.6163638	0.8143960	0.5974042	0.5289258	0.4326544	0.5699490	0.6104674	0.0740937	0.6237105	0.0815230	0.3995436	0.5205265	0.7123334	0.1950459	0.1090710	0.0496964	0.6608759	0.0155361	0.0410499	0.6006427	0.1865492	0.6395271	0.3958718	0.6826097	0.6183185	0.0236457	0.5233614	0.4695199	0.6406364	0.4416371	0.6246102	0.6879299	0.7439888	0.7563415	0.4938757	0.3364978	0.8581008	0.6874698	0.8025974	0.1682884	0.2338095	0.5157545	0.6284716	0.5125436	0.3670381	0.6615925	0.3198347	0.2894945	0.6681557	0.3113884	0.3814875	0.0786564	0.5441557	0.4567736	0.7573073	0.1354033	0.6449602	0.5940245
0.9086092	0.6585668	0.1965820	0.3116363	0.2894780	0.6511504	0.7842318	0.5630888	0.6396691	0.0805064	0.6605783	0.4342140	0.8491718	0.0681941	0.2251005	0.6931874	0.1149293	0.1955335	0.5604581	0.3776783	0.5430288	0.4581299	0.0000000	0.7591259	0.0213268	0.4349316	0.4227115	0.7819399	0.8052564	0.5911585	0.0036210	0.1982487	0.3108360	0.4746004	0.4314475	0.5382373	0.7760447	0.3708957	0.7373842	0.5085646	0.1133175	0.6139072	0.8072295	0.6808594	0.8714080	0.4544983	0.4796628	0.5951244	0.9190155	0.0554841	0.7827214	0.0314135	0.5640939	0.4280870	0.6714908	0.2481169	0.0000000	0.0031692	0.5381636	0.0163136	0.0312474	0.6675479	0.2914117	0.5764421	0.3786360	0.7298550	0.7930187	0.0269457	0.4687430	0.5955901	0.6277328	0.3661576	0.5794740	0.7766440	0.8485234	0.5992083	0.4641486	0.2288883	0.7024785	0.7428254	0.6817005	0.0964878	0.0354106	0.5657695	0.4506111	0.6524607	0.2617611	0.4713689	0.4875585	0.3038020	0.6213689	0.1661534	0.3620249	0.1127818	0.3561741	0.4344299	0.6151182	0.1727220	0.6608060	0.7100415
0.6079063	0.5661252	0.1346816	0.3412119	0.3111244	0.6634705	0.7187944	0.0277283	0.7528867	0.0743952	0.7384610	0.4862853	0.8241165	0.0552029	0.2996683	0.7698241	0.1601065	0.2141272	0.6799583	0.0418375	0.5723738	0.3544023	0.0000000	0.8351368	0.0190270	0.5493659	0.0000000	0.7611069	0.7546840	0.4908340	0.0081587	0.2417632	0.2026684	0.3658330	0.5274896	0.4945570	0.7697062	0.3833932	0.7287036	0.5755062	0.0560246	0.5720221	0.6911486	0.7335589	0.8590136	0.6907862	0.5552564	0.7059406	0.7812541	0.0575121	0.6990644	0.0454516	0.5821264	0.5144669	0.6198715	0.2030867	0.0738190	0.0292381	0.6449389	0.0250752	0.0473953	0.7018952	0.2785269	0.5525449	0.3027167	0.6210144	0.7084377	0.0171060	0.4116645	0.3880120	0.7225012	0.4753127	0.6478677	0.8952555	0.7297837	0.7123081	0.3821268	0.2213770	0.5824833	0.6780722	0.6271284	0.0297189	0.0380447	0.5655419	0.6493733	0.6014625	0.3629106	0.7564970	0.3584668	0.2940148	0.4626789	0.1750911	0.3940097	0.1345970	0.4366354	0.6125382	0.6339328	0.4706872	0.7124869	0.6798082
0.5952990	0.5681869	0.2235642	0.3168280	0.2252597	0.6070308	0.6443713	0.0594218	0.6744187	0.1254143	0.8935312	0.5194781	0.6866723	0.0665166	0.2698139	0.6498577	0.1303275	0.2578607	0.6722630	0.0184869	0.0000000	0.0120962	0.0418076	0.7635882	0.0312493	0.4579949	0.0000000	0.7239293	0.6905779	0.7544755	0.0101310	0.1571722	0.3004912	0.3241881	0.4175070	0.5025903	0.6801420	0.4202571	0.7397864	0.6297430	0.1152383	0.6819770	0.8632905	0.6615695	0.6436727	0.6771589	0.4133831	0.6865261	0.6230396	0.0739882	0.6130284	0.0110708	0.5053263	0.4233440	0.8763404	0.2107567	0.1032956	0.0081718	0.7038858	0.0469401	0.0215398	0.6878811	0.1693350	0.6415978	0.3241529	0.6425377	0.5757717	0.0157872	0.4353804	0.4372188	0.7162254	0.4588728	0.5736985	0.6988067	0.6161052	0.7656063	0.4739995	0.2300470	0.6314188	0.6943640	0.7096371	0.0514379	0.0152112	0.6793046	0.5931154	0.5964424	0.3088881	0.6250952	0.3162451	0.2217864	0.5974124	0.5028923	0.2815901	0.1089096	0.3973529	0.3383127	0.6986220	0.5059981	0.7611298	0.6466598
0.6512779	0.6316565	0.1551446	0.3333021	0.2702081	0.8379833	0.8338520	0.3569990	0.6716955	0.1220090	0.8940917	0.7122377	0.8109716	0.0885642	0.1673428	0.6674016	0.1443875	0.2338539	0.7985427	0.3501412	0.0000000	0.0065533	0.0000000	0.7188142	0.0054756	0.4911034	0.3990765	0.6512684	0.6829547	0.5689370	0.0040982	0.1697106	0.4236697	0.3800621	0.3479864	0.3356526	0.5760796	0.4175320	0.7980452	0.4977379	0.1207683	0.4175687	0.6961491	0.7891480	0.5729387	0.5481097	0.5157930	0.5832740	0.7077975	0.1450663	0.6439333	0.0391759	0.3381356	0.5290070	0.7232987	0.1551326	0.0749495	0.0093286	0.7989534	0.0112131	0.0305345	0.8090264	0.2277827	0.7355642	0.3856486	0.5578301	0.5611450	0.0153078	0.3873718	0.4740502	0.8155494	0.5037029	0.6455822	0.6651712	0.6095321	0.6649956	0.4123701	0.2943915	0.7186295	0.6751165	0.6224577	0.0568579	0.0221576	0.5509862	0.4246049	0.4597421	0.2896926	0.7591319	0.4022852	0.2587809	0.4908219	0.3981668	0.3081232	0.1052993	0.4373084	0.5293840	0.5537831	0.4892147	0.7207620	0.8192675
0.6977061	0.6885083	0.1526979	0.3766626	0.3451172	0.7098496	0.7575270	0.0412564	0.6386544	0.0766843	0.6328004	0.3283542	0.7034330	0.7515759	0.0310244	0.6762472	0.1016386	0.3124143	0.6649293	0.6859459	0.6748861	0.5349046	0.2150988	0.7989650	0.0363457	0.6235621	0.4626790	0.8039839	0.7178441	0.6855495	0.0920442	0.1978796	0.0000000	0.3974306	0.0332097	0.5137115	0.6747481	0.4486046	0.7113812	0.5795910	0.2100311	0.3466677	0.5716590	0.5945710	0.7279707	0.5765512	0.4874949	0.7370723	0.7882777	0.0559770	0.7351696	0.0349342	0.5799511	0.3360578	0.6658049	0.2275883	0.0940954	0.0154885	0.7398566	0.0474373	0.0141916	0.6359184	0.2205233	0.5468519	0.0000000	0.7797299	0.6478841	0.0095829	0.4663127	0.5974733	0.6281982	0.4897726	0.6047314	0.5710950	0.6673964	0.5454331	0.3854667	0.2289044	0.7286998	0.7726706	0.6891146	0.0763542	0.3061253	0.6737202	0.4699842	0.6079148	0.2900729	0.5762358	0.3842466	0.1168664	0.5205653	0.3585936	0.3135167	0.0738023	0.3646832	0.5779128	0.7177397	0.1508874	0.5946012	0.6846113
0.6534305	0.5930899	0.1841797	0.4020800	0.3459601	0.7125064	0.5720475	0.0537728	0.6822188	0.0981021	0.7323045	0.4966548	0.0000000	0.0318388	0.1929970	0.8012783	0.1275990	0.2447809	0.7252893	0.2858201	0.7457569	0.4740984	0.0000000	0.6697320	0.0182955	0.4364616	0.5497535	0.6010906	0.6865485	0.7082050	0.0165720	0.1741035	0.1897672	0.3623707	0.3671228	0.4832700	0.6848963	0.3636815	0.6762326	0.5238128	0.1486660	0.5067264	0.6383240	0.7542163	0.5428006	0.5087703	0.4503981	0.7005032	0.6136555	0.1457151	0.7092277	0.0207507	0.5387574	0.4133511	0.6490494	0.1525852	0.0915896	0.0207967	0.6667564	0.0369267	0.0130542	0.6250765	0.2940290	0.6570134	0.3658053	0.6909617	0.6671987	0.0141670	0.3951088	0.4781944	0.7430973	0.4965363	0.6815948	0.6482945	0.8814760	0.6320206	0.3464734	0.2324399	0.8985224	0.6426933	0.4655637	0.0780439	0.0229210	0.6276554	0.5680182	0.5319834	0.2984959	0.6450464	0.2786500	0.2752964	0.6589352	0.0600426	0.3393105	0.1509096	0.5260999	0.5949239	0.7075470	0.2507162	0.5846536	0.7827970
