YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.3464487	0.4465228	0.2795569	0.2144965	0.5183480	0.6521576	0.6689412	0.1204276	0.7385347	0.3664696	0.7469636	0.4872706	0.6349172	0.0550532	0.1536194	0.7433579	0.1477993	0.2228516	0.6588408	0.6662767	0.6152718	0.4234678	0.0644664	0.6486735	0.0278430	0.5244995	0.5089215	0.6560649	0.7005445	0.6114120	0.0111515	0.1293662	0.2164017	0.3977639	0.3454099	0.5097498	0.5971501	0.4140278	0.6011821	0.7215375	0.1770785	0.5432200	0.7307698	0.8246184	0.7378570	0.6084064	0.6454043	0.7146267	0.6399162	0.0892120	0.5639240	0.0510074	0.4775031	0.5349600	0.6206285	0.1475942	0.0526585	0.0014321	0.6926198	0.0330644	0.0199069	0.6788784	0.2700530	0.5831158	0.3471199	0.5972318	0.7222472	0.0211768	0.4330715	0.4641453	0.6205821	0.3964145	0.5789423	0.8090558	0.6582550	0.6374311	0.4247086	0.3824348	0.6967396	0.5876362	0.6488634	0.0698027	0.0408756	0.8264378	0.4832142	0.4653644	0.3307723	0.6262971	0.3566878	0.1646316	0.7886401	0.1610745	0.2878930	0.2051420	0.4172614	0.5589755	0.9024562	0.2109959	0.6303175	0.6091642
0.6707188	0.2975049	0.2209553	0.3455754	0.2920553	0.6903890	0.6880452	0.0546788	0.6448095	0.1158468	0.8089543	0.5902023	0.8664228	0.0587859	0.1634788	0.7755750	0.1055575	0.2124479	0.6424514	0.5920586	0.7024551	0.3554398	0.0701077	0.5544495	0.0170495	0.5398507	0.4766718	0.7146100	0.7506932	0.6710039	0.0112762	0.2014590	0.2294207	0.3701542	0.3478289	0.5029675	0.6619540	0.3951804	0.6690226	0.4782273	0.1075342	0.5049762	0.7707031	0.8142326	0.5222928	0.5315145	0.4641078	0.6250538	0.5972273	0.1035385	0.6629518	0.0348845	0.6606699	0.5115145	0.7427453	0.2291248	0.1310373	0.0634804	0.5945937	0.0139553	0.0400077	0.6940195	0.2118913	0.6685343	0.2213840	0.7258148	0.6697510	0.0158228	0.3970057	0.3818677	0.6833317	0.5436593	0.5775443	0.8890797	0.6937939	0.6367938	0.3637872	0.2513903	0.6881914	0.7014757	0.6089393	0.0575298	0.0437396	0.6578516	0.4098413	0.6447744	0.2947113	0.6618312	0.3447662	0.2043772	0.5976910	0.1067643	0.3382180	0.1792974	0.3621784	0.4978230	0.6803666	0.1775448	0.7606391	0.5613634
0.7046503	0.6321982	0.0507775	0.4067866	0.3489422	0.6519793	0.6425202	0.0321163	0.8055893	0.0561997	0.6714192	0.6540487	0.6896989	0.0443299	0.1317687	0.7583235	0.0604421	0.2317606	0.5466187	0.6441079	0.6163095	0.3776827	0.0462382	0.7283487	0.0234459	0.5561456	0.4636955	0.6058640	0.6763406	0.7095553	0.0128729	0.2465288	0.2793686	0.3857348	0.3208125	0.4851037	0.6857578	0.4769447	0.6239274	0.5857485	0.0542683	0.4575791	0.7850311	0.6576485	0.6803596	0.6121881	0.5452938	0.7053523	0.5111315	0.0883256	0.6921552	0.0440000	0.5229918	0.4875869	0.6759094	0.2344771	0.0864624	0.0255802	0.7085764	0.0733810	0.0745495	0.5972899	0.3645769	0.6296237	0.3407895	0.6974190	0.8090726	0.0310528	0.3837548	0.4954754	0.7109140	0.5369142	0.6891152	0.7735249	0.6088482	0.6305709	0.3676401	0.1886596	0.7417495	0.5859446	0.7130336	0.0339109	0.0529834	0.6849224	0.6150216	0.6318455	0.2111692	0.6691756	0.3341300	0.1931927	0.6081580	0.0861381	0.3184275	0.1881053	0.3196405	0.4460660	0.7622752	0.1478711	0.6075327	0.5711008
0.6809490	0.6922367	0.1626177	0.1931941	0.3632037	0.6863763	0.7617691	0.0494912	0.7426589	0.0533841	0.7664875	0.4151080	0.6332866	0.0726294	0.1667432	0.8594955	0.1063959	0.2659435	0.8630300	0.6291101	0.7674408	0.4443140	0.1419896	0.6352878	0.0301404	0.5222854	0.4789283	0.7642747	0.7794161	0.6343443	0.0162903	0.2021905	0.2369738	0.3974406	0.3281232	0.4593761	0.6306615	0.3870098	0.6243804	0.5083290	0.1127746	0.4945734	0.6513114	0.5723422	0.6089062	0.5559347	0.5945016	0.6024860	0.7286772	0.0706238	0.6508976	0.0497142	0.6281515	0.6252684	0.8225280	0.1600672	0.0784451	0.0244369	0.7727486	0.0151576	0.0085579	0.6350561	0.2573024	0.7764007	0.3891523	0.6609172	0.8082047	0.0199903	0.5624844	0.6509806	0.5466617	0.4458774	0.6156140	0.6523693	0.6067905	0.7701007	0.3665756	0.2309009	0.8639285	0.6352073	0.7255338	0.0511863	0.0362016	0.6798887	0.5774341	0.5933240	0.2733688	0.6423347	0.3310663	0.1934259	0.6378373	0.2391244	0.3701525	0.1108300	0.4411986	0.4462418	0.7538076	0.1626182	0.5960969	0.5477017
0.6545311	0.6982192	0.1158672	0.2724646	0.1599966	0.7151715	0.6662343	0.0371977	0.6500202	0.0891842	0.6941692	0.6511063	0.6829557	0.0828784	0.1998731	0.6546576	0.2088694	0.2239450	0.5810510	0.6293355	0.6817416	0.4223333	0.0818201	0.7274774	0.0192294	0.3823307	0.5069923	0.5992092	0.7619816	0.7638635	0.0067578	0.2013146	0.2865342	0.3338712	0.3956584	0.4600978	0.7639194	0.3372628	0.6220411	0.6066407	0.1728593	0.4111777	0.7725835	0.6697314	0.7149258	0.5548523	0.4252617	0.6568741	0.7098969	0.0751677	0.6607895	0.0465026	0.4786137	0.4676896	0.6067066	0.1832885	0.0985751	0.0225138	0.6682878	0.0130611	0.0294412	0.7143562	0.2072047	0.6269907	0.4482897	0.6530448	0.6936455	0.0301012	0.5479496	0.4948313	0.5577921	0.5162612	0.6497521	0.6252281	0.6972810	0.4870469	0.3924365	0.2917969	0.7593553	0.6031304	0.7897139	0.0615063	0.0305346	0.6174473	0.6386277	0.6755469	0.3141476	0.6001291	0.3676632	0.1696754	0.6475844	0.0927773	0.3181511	0.1403270	0.4113931	0.5041127	0.8916637	0.2271989	0.5607833	0.7435292
0.7034042	0.6462856	0.2078763	0.3744234	0.3570482	0.3197493	0.9165049	0.0795707	0.7674832	0.0598310	0.5967116	0.4415744	0.8214683	0.0729051	0.1630981	0.7042632	0.1583852	0.2034977	0.9145335	0.6426925	0.7044271	0.4364304	0.0263971	0.7514339	0.0502841	0.5657445	0.5794187	0.7398643	0.6849481	0.6936632	0.0087268	0.3164577	0.1977593	0.3752758	0.3744492	0.4617354	0.6319699	0.3710256	0.6342549	0.5238230	0.1312456	0.4212898	0.8503990	0.8296904	0.8308043	0.5862728	0.5165266	0.6417774	0.7982637	0.0596904	0.6409664	0.0732432	0.5287938	0.5971643	0.7693329	0.1624840	0.0410136	0.0196304	0.6330146	0.0405490	0.0409687	0.6455877	0.2619406	0.5666674	0.3601096	0.7273118	0.7431517	0.0221096	0.5803828	0.5484524	0.7358918	0.5211782	0.8861355	0.6946954	0.6346429	0.6658376	0.3167944	0.2089652	0.7051880	0.7730019	0.5750655	0.0665405	0.0261682	0.6961181	0.5940163	0.7123266	0.2525495	0.7763549	0.3975752	0.1684845	0.6818186	0.1865947	0.3075500	0.1429323	0.3445367	0.4024081	0.6727531	0.2065600	0.6613731	0.7726160
0.6751886	0.6759741	0.1771856	0.2930069	0.3195142	0.6504132	0.3520273	0.4912295	0.6340799	0.0587489	0.6910703	0.5121002	0.6925271	0.0456517	0.1607959	0.7011698	0.1202740	0.2099159	0.7388055	0.6674598	0.7372739	0.4308466	0.0702564	0.5881841	0.0464073	0.4880826	0.6108274	0.8113141	0.5985512	0.6370338	0.0064979	0.1789246	0.3754913	0.4071824	0.5683220	0.4701947	0.7096040	0.4506543	0.6986648	0.5786996	0.1313417	0.5052788	0.6942841	0.5561421	0.7570233	0.4792204	0.4063045	0.8586483	0.5762802	0.1088904	0.6582922	0.0368390	0.5016025	0.5215834	0.6503510	0.1808377	0.0377800	0.0387044	0.6017784	0.0205736	0.0306426	0.6163807	0.3140891	0.6349824	0.3577641	0.6422863	0.6691996	0.0251374	0.4443136	0.5821229	0.7111668	0.6263467	0.6971999	0.7639108	0.6382413	0.5829909	0.3696192	0.1820686	0.7430182	0.8596034	0.6779283	0.0596214	0.0529190	0.7073643	0.5220934	0.6656249	0.3352540	0.7146698	0.2642071	0.1674994	0.6177834	0.1285026	0.2463906	0.1141869	0.4338773	0.4799553	0.6271118	0.2143031	0.5801186	0.6043061
0.6134497	0.6052749	0.1434922	0.4441721	0.3524629	0.5985035	0.6794927	0.0257224	0.8409892	0.0740715	0.8026083	0.5979624	0.6728536	0.0542753	0.2563947	0.6459272	0.0974006	0.2023835	0.7593582	0.7479088	0.6569910	0.4027575	0.0676373	0.7198044	0.0291806	0.5858716	0.5055040	0.7908870	0.6484604	0.5894989	0.0136013	0.2068138	0.2253944	0.4459242	0.4630250	0.4944699	0.6964753	0.3539196	0.7063390	0.4862443	0.0891509	0.5006470	0.7864372	0.6966045	0.6319828	0.5655092	0.4308287	0.6813865	0.7068727	0.0903289	0.7419693	0.0336448	0.5573747	0.4252486	0.6910608	0.2074595	0.0403783	0.0197145	0.6686056	0.0257366	0.0196130	0.6522517	0.3166430	0.6492958	0.3475021	0.8112353	0.7244204	0.0209503	0.4176463	0.5639167	0.6506145	0.4991926	0.5012194	0.7199675	0.7368581	0.7299544	0.3697204	0.1530982	0.6453864	0.7182482	0.7220424	0.0480201	0.0488673	0.7558751	0.6079012	0.6525941	0.2159231	0.6880703	0.3312727	0.1153139	0.7073261	0.0956171	0.4450931	0.1719202	0.4115206	0.4767508	0.8228316	0.1515398	0.7566394	0.7636970
0.7554622	0.6794582	0.1094714	0.2933534	0.2888380	0.5421378	0.6449703	0.0306641	0.3012108	0.1364536	0.6503023	0.5764939	0.9732272	0.0829585	0.1403261	0.6787503	0.0759788	0.2282442	0.7882635	0.6300650	0.7258797	0.4627036	0.0847234	0.6772985	0.0301268	0.5689297	0.5477932	0.7549796	0.7069763	0.8486366	0.0122361	0.2219552	0.2129000	0.4141652	0.2845420	0.5248960	0.6037097	0.3967008	0.7256863	0.5624689	0.1267256	0.6092718	0.7060759	0.7952929	0.5526160	0.5580950	0.4444237	0.5860981	0.6680826	0.0736639	0.6857119	0.0872929	0.4923552	0.4735863	0.6606859	0.1776640	0.1360228	0.0288895	0.6808778	0.0441703	0.0080915	0.8309265	0.2811962	0.5361321	0.3899088	0.7389703	0.7174380	0.0126192	0.4391896	0.4684678	0.5769570	0.4401849	0.7470411	0.6837500	0.8520855	0.5596975	0.3765180	0.2277859	0.7523541	0.6626074	0.6654916	0.0569698	0.0280154	0.6903745	0.5380254	0.5778844	0.2884284	0.7026661	0.2558340	0.2044598	0.5080524	0.1967977	0.3225249	0.1506552	0.3665798	0.4877547	0.5387887	0.0960403	0.6488236	0.7175732
0.6869283	0.5219354	0.1531756	0.3588212	0.2925066	0.6407011	0.5622447	0.1040942	0.6965305	0.0304512	0.6077198	0.6196765	0.7310619	0.0621675	0.1422550	0.6459089	0.1261521	0.2268664	0.6593239	0.6768595	0.7051608	0.4099881	0.0545920	0.5620592	0.0432163	0.5646211	0.5289620	0.7203179	0.7531779	0.6899447	0.0093980	0.2049415	0.2921965	0.3038961	0.4126271	0.4917287	0.6184257	0.3894446	0.5531805	0.5732791	0.0865527	0.4989242	0.6063131	0.7130702	0.6846531	0.5896773	0.4335146	0.6910450	0.6894774	0.0851713	0.5871421	0.0455366	0.5024267	0.5316714	0.6546180	0.2096861	0.0489092	0.0318867	0.6900711	0.0244294	0.0299149	0.6621188	0.2929213	0.5759420	0.3210981	0.6360711	0.6985108	0.0295747	0.5675870	0.4664439	0.5689877	0.5610430	0.7817037	0.5851644	0.7453011	0.6157203	0.3598585	0.2670814	0.6626113	0.6967808	0.6772713	0.0585610	0.0944581	0.6047458	0.5397907	0.5917775	0.2732786	0.6626851	0.3811493	0.1463195	0.5679870	0.1230524	0.4224130	0.1909809	0.4029519	0.5383460	0.5946379	0.2719425	0.5727059	0.7953048
