YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.0000000	0.0142213	0.3740260	0.0836767	0.7856625	0.6290183	0.7027079	0.0473050	0.7542404	0.7704149	0.6427140	0.6514278	0.7160177	0.0914880	0.1331040	0.6416542	0.1143982	0.1610033	0.6629750	0.6853020	0.6415394	0.4040219	0.0704823	0.7994472	0.0147677	0.4858117	0.5201788	0.6445410	0.7378854	0.8937302	0.0133540	0.0767187	0.2458238	0.3241245	0.2531206	0.4147155	0.6286567	0.4171671	0.7895361	0.6223618	0.1083956	0.4268053	0.7479279	0.6217810	0.7181310	0.6499523	0.4035300	0.7223768	0.7305993	0.0972150	0.6828544	0.0548886	0.6169614	0.4506770	0.6332058	0.1866881	0.0824131	0.0248297	0.6560537	0.0113679	0.0096082	0.7018846	0.2444244	0.6587135	0.3292213	0.7353818	0.6238970	0.0049700	0.4846212	0.6674250	0.5748561	0.6937398	0.7642892	0.7405899	0.6812524	0.7147840	0.3707002	0.7406994	0.7289800	0.5603773	0.6507516	0.0284830	0.0455259	0.5353492	0.3320317	0.4958729	0.3078742	0.5291876	0.4076976	0.1525003	0.4995810	0.2256261	0.3444048	0.1437849	0.6565265	0.4559921	0.6370133	0.2269908	0.6914745	0.7406209
0.8199835	0.0000000	0.0975087	0.4258276	0.2575325	0.5487542	0.7188189	0.0637485	0.6202355	0.0681155	0.6452859	0.6493182	0.7803327	0.0697664	0.0898730	0.7369402	0.1363401	0.2059276	0.6603489	0.6029763	0.5851997	0.6112546	0.0835408	0.7163827	0.0092130	0.5537625	0.6683890	0.8640327	0.6199396	0.7278530	0.0094006	0.1945962	0.2156913	0.2803269	0.3457678	0.4142547	0.6208778	0.3875038	0.6539937	0.4524408	0.1096507	0.4488720	0.7361505	0.7878355	0.7754685	0.4835605	0.5177160	0.7762370	0.6249570	0.0727795	0.8282812	0.0424361	0.4557335	0.4971857	0.6315990	0.2355711	0.0764708	0.0201772	0.7101826	0.0125235	0.0207165	0.6154142	0.2546182	0.6305301	0.3679570	0.6575422	0.7092888	0.0116429	0.4099380	0.4909162	0.7085006	0.5679723	0.6246664	0.7187785	0.7958681	0.5778615	0.3628619	0.2288684	0.6791867	0.6664062	0.6173182	0.0849674	0.0314498	0.6564847	0.5399152	0.5457113	0.2573702	0.5943881	0.2562007	0.1613904	0.6684091	0.1405389	0.3337371	0.0756927	0.3309985	0.4449289	0.7007996	0.2282926	0.7422228	0.6420273
0.6017079	0.6178810	0.0041681	0.4198683	0.3144623	0.7603956	0.8585306	0.0369612	0.7671328	0.0683389	0.7839974	0.5011859	0.6434962	0.0656238	0.1335251	0.6079480	0.1244216	0.1916483	0.7840289	0.6574258	0.6211440	0.5496658	0.0671205	0.8352240	0.0212270	0.4166154	0.5840696	0.6631695	0.6840103	0.7006209	0.0017474	0.2100927	0.2640244	0.3996114	0.3922413	0.4185445	0.6398461	0.4009760	0.8306893	0.5309543	0.1600839	0.5314078	0.6420022	0.7360778	0.6569881	0.6252217	0.4313565	0.7405821	0.8913457	0.0594672	0.6925632	0.0512275	0.4782181	0.4215670	0.8237480	0.1606846	0.1248266	0.0578585	0.6161246	0.0256085	0.0147453	0.6435684	0.2164159	0.5292250	0.3335624	0.6585142	0.7748389	0.0297279	0.3726558	0.5103065	0.5325268	0.5581016	0.7104188	0.6103686	0.7628208	0.6733564	0.4221539	0.2449713	0.6941385	0.6258787	0.6544365	0.0510148	0.0271342	0.7487961	0.4079641	0.6738776	0.2885915	0.6292025	0.3437855	0.1792746	0.4896105	0.1116072	0.3533495	0.1061205	0.3309094	0.4055998	0.6361662	0.1635922	0.6469401	0.7413341
0.6651273	0.6590962	0.2341111	0.0000000	0.2629828	0.6513172	0.8784212	0.0543892	0.7333693	0.0342471	0.7181331	0.6065199	0.6134812	0.1031024	0.1581345	0.7061001	0.1262163	0.2368748	0.7377725	0.6561208	0.7402528	0.3579531	0.0368497	0.5800278	0.0140157	0.6036660	0.3565763	0.6987623	0.7046117	0.7768169	0.0031608	0.1356761	0.1871504	0.4521170	0.3070553	0.6223643	0.7656517	0.4552517	0.6511252	0.5079542	0.1684497	0.5202770	0.6832900	0.6530000	0.7316039	0.4511810	0.5370767	0.7594713	0.5420328	0.0879628	0.7526945	0.0428263	0.5094190	0.4023235	0.6123925	0.2502326	0.1296861	0.0140574	0.7344979	0.0320572	0.0433546	0.6575861	0.2087844	0.6306820	0.3025678	0.7267295	0.7420074	0.0189092	0.4425171	0.4074506	0.8579128	0.6362021	0.6628654	0.6866860	0.6905780	0.6091600	0.3049598	0.1936434	0.7026817	0.7656874	0.7749544	0.0486082	0.0474326	0.6676894	0.4077076	0.6320944	0.3256163	0.7515162	0.3760416	0.1248961	0.6315883	0.1455059	0.3563099	0.2219703	0.4347824	0.4727079	0.6274857	0.1536238	0.6834121	0.6613608
0.7670052	0.5668093	0.1380916	0.3104557	0.0002486	0.6883037	0.6661269	0.0547230	0.6135402	0.0737302	0.6955502	0.4515638	0.6620494	0.0827272	0.1443425	0.7125317	0.1374689	0.2148876	0.6386830	0.6211165	0.6373500	0.4999237	0.0512292	0.6493866	0.0114805	0.4603112	0.5290266	0.7175256	0.6489782	0.7248322	0.0026370	0.1850302	0.2128500	0.3176154	0.2423661	0.4488873	0.7772639	0.4069021	0.7121678	0.4927238	0.0836840	0.4879342	0.8766061	0.6229609	0.6837129	0.5490742	0.4531110	0.6526233	0.6692211	0.1019429	0.8460425	0.0474158	0.5393443	0.4652283	0.8276938	0.1703337	0.0746508	0.0132829	0.7395150	0.0220636	0.0463831	0.7826164	0.2410886	0.5494013	0.3091405	0.8119021	0.5755419	0.0441274	0.3874986	0.5140822	0.6611907	0.5079999	0.5706271	0.5609505	0.6907918	0.5187801	0.2979990	0.2163752	0.7948164	0.7045198	0.7094983	0.0645567	0.0251102	0.8093163	0.5400291	0.6730645	0.3050154	0.6612335	0.2886775	0.1328699	0.6335424	0.0903396	0.4260450	0.1232182	0.4097123	0.4451086	0.7062142	0.1572266	0.6607419	0.7635252
0.5761053	0.5556425	0.1928474	0.3680900	0.2673441	0.0000000	0.6931079	0.0786393	0.5748099	0.0840548	0.6771161	0.5558189	0.7942597	0.0798895	0.1746416	0.6943007	0.1391309	0.2566141	0.7003887	0.7033820	0.6498526	0.4545583	0.0698209	0.7177665	0.0297457	0.4593663	0.4290655	0.7215656	0.7358922	0.6880451	0.0088926	0.1777535	0.2565021	0.3175021	0.4032392	0.5017982	0.6495475	0.4148508	0.6644106	0.4946182	0.1082278	0.5934795	0.7410205	0.5763300	0.7515632	0.5396114	0.5548071	0.5888757	0.6831247	0.0754012	0.7996271	0.0541830	0.4302969	0.5574607	0.7589643	0.1752789	0.0661437	0.0319301	0.8122739	0.0252278	0.0263158	0.6333547	0.2562008	0.5355412	0.4061032	0.6541454	0.7220253	0.0238965	0.3558891	0.4949336	0.6905056	0.5190847	0.6546849	0.6602633	0.6887435	0.6864156	0.4154106	0.2246210	0.8021235	0.7977933	0.8047951	0.0785801	0.0336415	0.6495593	0.5201073	0.5293314	0.3345253	0.6615470	0.3809111	0.1888651	0.6036017	0.1741419	0.4367948	0.1296265	0.3904347	0.5325989	0.7704140	0.1918573	0.7656740	0.7346935
0.7435448	0.5585853	0.1201716	0.3315753	0.2937500	0.6077776	0.0000000	0.7521639	0.7052724	0.0777969	0.7276630	0.5187874	0.7891938	0.0977985	0.1452773	0.7040756	0.1787419	0.2853336	0.6853431	0.6147284	0.6814301	0.4497624	0.0734644	0.5607066	0.0329123	0.3742742	0.5219450	0.7306138	0.6962529	0.6112504	0.0065050	0.2464331	0.1852449	0.4545011	0.3298086	0.4869526	0.6822499	0.4323326	0.7127772	0.6259230	0.0662503	0.5986287	0.7014415	0.7151947	0.6417325	0.5904096	0.4631520	0.5527145	0.5943121	0.1219173	0.6152731	0.0707437	0.4964181	0.6934525	0.7718611	0.1429991	0.0769431	0.0278536	0.8072551	0.0389728	0.0320472	0.5662975	0.2054145	0.5011720	0.4876087	0.6714439	0.6188199	0.0257899	0.4013112	0.4855456	0.6720061	0.4896013	0.5549008	0.6922361	0.5926704	0.7410843	0.4747745	0.2522373	0.6317630	0.6135527	0.6341815	0.0645873	0.0341606	0.7019527	0.4574361	0.6261588	0.2598495	0.6994083	0.3665901	0.2509342	0.5950213	0.2470515	0.3801432	0.1440421	0.3218624	0.6207506	0.6981728	0.2639663	0.6159785	0.7968001
0.6638196	0.5605647	0.1197714	0.3765216	0.3745593	0.7731942	0.6764509	0.0000000	0.7522903	0.0581340	0.8342225	0.6703571	0.6241087	0.0721969	0.1650533	0.6006622	0.1349712	0.2163782	0.7667911	0.5879020	0.5750195	0.3770836	0.0836961	0.7410811	0.0094504	0.4915445	0.5545082	0.7143622	0.7471001	0.7529838	0.0423627	0.1455961	0.2992853	0.3582121	0.5328430	0.4975090	0.6708419	0.4959564	0.7451231	0.5564655	0.2242031	0.4835262	0.6042749	0.6786564	0.8550937	0.5243430	0.5755762	0.5650843	0.5814871	0.0465476	0.7245644	0.0352748	0.6390181	0.3358631	0.6619227	0.2984981	0.1368188	0.0403756	0.7176651	0.0116525	0.0203019	0.7060372	0.2121579	0.6406835	0.3863742	0.7792858	0.6645244	0.0254197	0.4697906	0.4216740	0.7472910	0.3963815	0.4989785	0.6937952	0.6667751	0.6127045	0.3236572	0.2614359	0.7286630	0.7238081	0.6100024	0.0360759	0.0331285	0.6258987	0.4942290	0.7082914	0.1871806	0.7690274	0.4105796	0.1864895	0.5243456	0.0982036	0.3720406	0.1439307	0.3833284	0.4404743	0.7715229	0.2376671	0.5653481	0.8091810
0.7438760	0.6887281	0.0426928	0.2979444	0.3005334	0.7620702	0.6125789	0.0319351	0.0000000	0.0717810	0.6065262	0.5881756	0.7133823	0.0772558	0.1298078	0.6848490	0.1446270	0.1610255	0.6385101	0.6437763	0.6806085	0.4989150	0.1020141	0.5437469	0.0304050	0.6435929	0.4862140	0.7921002	0.7250640	0.7155803	0.0034160	0.2289969	0.2016182	0.3366660	0.3219796	0.4874700	0.7544930	0.4966562	0.7681551	0.4583654	0.1072595	0.4462681	0.7450165	0.4742281	0.6724206	0.5954164	0.7319236	0.7569131	0.6730849	0.0990615	0.6635542	0.0170830	0.5661697	0.4439585	0.6449008	0.1997659	0.0747067	0.0228184	0.7076364	0.0193974	0.0483183	0.5987615	0.2932461	0.6675019	0.3506206	0.6451718	0.5875959	0.0317735	0.4154760	0.5132062	0.8231814	0.4147589	0.6672224	0.7957046	0.6882572	0.7577847	0.3872169	0.2159194	0.7050951	0.6513175	0.7335012	0.0533297	0.0211273	0.7196752	0.5632911	0.6844505	0.3657703	0.7775130	0.3024995	0.1292454	0.5248003	0.1188328	0.3496046	0.1260155	0.3752876	0.4451648	0.6826975	0.2939247	0.6222177	0.7164190
0.6828460	0.6248534	0.1689976	0.3623995	0.3468186	0.5936010	0.6755136	0.0687687	0.6842573	0.0000000	0.5846774	0.5168033	0.6535834	0.0885252	0.1320776	0.7452046	0.0956399	0.1918179	0.7517922	0.6492164	0.7072298	0.4089479	0.0660688	0.6419564	0.0412407	0.4709199	0.3914678	0.6773598	0.6551725	0.6017233	0.0010944	0.1896532	0.2703559	0.3162059	0.3928514	0.5490496	0.6348995	0.3998282	0.6264849	0.6280944	0.1988299	0.5032588	0.6528413	0.8297426	0.7107740	0.4572684	0.4140209	0.5562102	0.7093852	0.0867011	0.6314073	0.0578021	0.4306691	0.4125290	0.6298840	0.1316211	0.0510988	0.0087920	0.5575497	0.0215065	0.0228666	0.6446761	0.2128480	0.5912381	0.4250729	0.7296750	0.7020331	0.0291204	0.5061471	0.6244119	0.5350358	0.5177789	0.7386148	0.6714527	0.8096867	0.6474708	0.4097636	0.2629604	0.6551283	0.7533778	0.7831176	0.0474681	0.0295014	0.6965154	0.5513330	0.6143755	0.2663149	0.6533001	0.2973218	0.1569791	0.6799553	0.1204906	0.3631510	0.0863425	0.4889767	0.3833383	0.7840694	0.2689022	0.8366853	0.8085607
