YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.5899581	0.7090842	0.1144880	0.6488637	0.2260601	0.5981840	0.5526691	0.6982714	0.4874902	0.1046650	0.7026861	0.5002239	0.6287212	0.3248252	0.1940377	0.7469973	0.0693890	0.2592039	0.5527181	0.6895284	0.7399360	0.6321497	0.0648004	0.2675052	0.0041475	0.5268816	0.4501348	0.6768554	0.8141949	0.6703816	0.4455636	0.0116466	0.2110143	0.5012799	0.3033705	0.3423807	0.6116940	0.3484118	0.5946628	0.4567221	0.3031127	0.3102080	0.4261018	0.5742159	0.7518029	0.6636847	0.4897799	0.5079723	0.3838533	0.0188716	0.7111043	0.0595360	0.3599183	0.5919348	0.9142055	0.1457166	0.0455201	0.0614747	0.4934478	0.0513970	0.0139756	0.6105538	0.3812376	0.3791209	0.4012837	0.7565387	0.4689833	0.0363120	0.5105125	0.3504917	0.2614505	0.5517610	0.3533197	0.5713564	0.7730020	0.5466587	0.4282005	0.2234842	0.4288528	0.5385446	0.5451622	0.4129835	0.3670899	0.7131930	0.5172055	0.2822880	0.2944679	0.6114743	0.5271710	0.1130234	0.4236092	0.3144723	0.3034062	0.0530151	0.4756263	0.5393725	0.8312341	0.3010966	0.6479070	0.7199612
0.6554050	0.6571019	0.1771144	0.1990902	0.3313809	0.6536002	0.3348213	0.0321244	0.6252674	0.0657418	0.3517954	0.5830343	0.3559773	0.0998019	0.0996424	0.6730327	0.0150567	0.4731825	0.4439467	0.4890895	0.3813680	0.1927435	0.1112703	0.6817099	0.3740935	0.1273082	0.3432116	0.4326321	0.6407530	0.5352238	0.4982679	0.2147767	0.1336740	0.2908336	0.2009171	0.2611385	0.7269612	0.3413648	0.7678001	0.6428459	0.5052765	0.2823584	0.6053011	0.7980072	0.3159832	0.2829329	0.6947669	0.6957540	0.6922649	0.0133257	0.5809831	0.6595642	0.1630213	0.3736307	0.5972084	0.2400808	0.0668989	0.0017736	0.5993877	0.0253644	0.0040300	0.6831609	0.1270428	0.5694948	0.2010870	0.8402736	0.6614009	0.0039663	0.5035672	0.5744770	0.6031381	0.6389497	0.3774065	0.6372168	0.7246659	0.5804659	0.3553658	0.1752130	0.7226500	0.6722361	0.7129067	0.0361968	0.0057394	0.6130579	0.2591683	0.3650557	0.2361449	0.5086423	0.4980326	0.4695952	0.2639911	0.4980300	0.0592510	0.1317553	0.6217728	0.5063708	0.6902985	0.2353554	0.6962489	0.6673083
0.8577214	0.5898731	0.0333177	0.4554364	0.1915942	0.7253266	0.4327464	0.0330104	0.8096811	0.0558121	0.3789320	0.5506423	0.6609196	0.7473133	0.0639509	0.4183770	0.1492163	0.2057956	0.7151227	0.6398512	0.5121306	0.4029341	0.0971501	0.7562493	0.0952379	0.4323007	0.6220684	0.7588603	0.6235127	0.5913521	0.0397022	0.3958096	0.0047185	0.6627496	0.3079909	0.4841434	0.8300179	0.6260894	0.6639552	0.6417016	0.1345405	0.4293366	0.5599076	0.6945299	0.7116571	0.5538057	0.4799360	0.6453641	0.8230641	0.0739689	0.7216297	0.0779720	0.7745071	0.3758730	0.6920604	0.1124237	0.0677754	0.0399361	0.6022192	0.0081388	0.0002402	0.6397632	0.2291062	0.6289569	0.2577775	0.7511952	0.6537590	0.0194657	0.4319022	0.5942152	0.5467941	0.5609415	0.6586826	0.8509362	0.7546067	0.4779696	0.3789802	0.2133667	0.5412636	0.6292586	0.7547331	0.0614717	0.2951870	0.6023376	0.5474039	0.6996320	0.7509971	0.5545524	0.5314161	0.5408556	0.3283114	0.4519878	0.4109399	0.1125932	0.2879287	0.6810154	0.6374838	0.2443378	0.6445437	0.5454523
0.6714483	0.5803493	0.4282124	0.1755400	0.3455723	0.9026161	0.7175488	0.0196808	0.7130831	0.0851440	0.6430185	0.4533208	0.5634029	0.0416905	0.2209826	0.4494014	0.1217201	0.1995851	0.7808459	0.5813218	0.5163520	0.2410966	0.0916018	0.6230887	0.3518303	0.1339900	0.0698820	0.7849707	0.5863180	0.6159941	0.2957460	0.1810717	0.2313230	0.4026060	0.3368186	0.6170131	0.6402667	0.4279404	0.6775062	0.5499172	0.3394301	0.5409229	0.4101687	0.5550505	0.7167911	0.5379393	0.4856194	0.6164450	0.7836048	0.1018170	0.8277321	0.0069061	0.5991739	0.2523850	0.3955108	0.3416565	0.2829191	0.1456272	0.6883905	0.0053032	0.0008063	0.5602652	0.2366324	0.5131970	0.2766704	0.7505117	0.5406317	0.0239813	0.4813025	0.2538545	0.6521878	0.3847166	0.5394828	0.4985919	0.5310302	0.7038896	0.3246179	0.2188253	0.5951710	0.7703153	0.8279434	0.0079900	0.0919551	0.7328989	0.6113905	0.6599689	0.2870889	0.6803443	0.2014928	0.1915470	0.3548038	0.0617291	0.3375245	0.0203839	0.0282247	0.5337934	0.6018850	0.3938167	0.4668906	0.5774698
0.2821851	0.4927597	0.3137853	0.1719431	0.4167156	0.3266926	0.6513157	0.2291260	0.6643489	0.4975396	0.6320983	0.5400524	0.5126174	0.0368671	0.6215583	0.6286903	0.1306513	0.0926614	0.6703689	0.6545110	0.5139764	0.5395063	0.0429048	0.6891243	0.0012889	0.7313500	0.3734429	0.6581019	0.6548244	0.6907637	0.2656748	0.0053603	0.1822378	0.3561377	0.3676702	0.4740802	0.7154101	0.3459550	0.4870131	0.4536101	0.3621430	0.5196960	0.5802334	0.5937894	0.4158184	0.4595639	0.6655612	0.7335858	0.7274905	0.0139303	0.6680827	0.0390983	0.5892393	0.4499470	0.7020357	0.2444343	0.1800351	0.2073379	0.6521429	0.0430505	0.3016957	0.7265898	0.2944189	0.3317904	0.2867795	0.3754097	0.5350312	0.0075106	0.3345074	0.4081586	0.7403923	0.5013060	0.4801980	0.7041211	0.7800397	0.6883683	0.5839766	0.3475064	0.6181241	0.7113533	0.6275636	0.0428319	0.2190007	0.6189831	0.3882108	0.5699118	0.2969759	0.5905110	0.1813365	0.2679409	0.6366574	0.1637089	0.4432837	0.0699017	0.3843933	0.1365768	0.6765187	0.0989775	0.7399938	0.6416325
0.8221601	0.6796004	0.0282257	0.7160778	0.3162454	0.6249325	0.5874098	0.0183684	0.6397283	0.1046082	0.5306654	0.3837724	0.6600888	0.0986985	0.1090846	0.2975869	0.1392080	0.3425544	0.4314822	0.6565814	0.4852350	0.4885593	0.0655427	0.6287277	0.2959412	0.0791362	0.5598354	0.5609254	0.6948286	0.6944469	0.1498389	0.3279778	0.2633468	0.5082833	0.5207216	0.3770204	0.6989928	0.4133014	0.7423445	0.6076434	0.0709841	0.4188257	0.8020368	0.4409443	0.7060322	0.5565997	0.4170060	0.5346553	0.7129576	0.1000369	0.6341923	0.0231246	0.5289485	0.4076349	0.6876144	0.3174175	0.1378146	0.0184189	0.3593222	0.0589834	0.0187403	0.6286851	0.2107532	0.6989249	0.1622327	0.5630972	0.6972140	0.0021532	0.4351702	0.5488694	0.5091257	0.5878353	0.4257140	0.8346850	0.3056170	0.2950433	0.2422782	0.1227328	0.7269027	0.6101191	0.6541525	0.1136075	0.0233257	0.4993971	0.4056145	0.5212679	0.3087993	0.8018671	0.7613879	0.0666938	0.3270404	0.1133243	0.6660058	0.0763898	0.4303373	0.5444661	0.6900310	0.3178363	0.7163695	0.7492791
0.5250250	0.4985502	0.3262268	0.5399996	0.3073120	0.6203327	0.7116318	0.0422677	0.3064558	0.1274372	0.5034095	0.3326977	0.4558961	0.2603911	0.1212787	0.4939903	0.0045779	0.2874729	0.6509147	0.6458204	0.4795540	0.4533017	0.0538075	0.4696950	0.0039887	0.4350851	0.5017361	0.4425128	0.6315137	0.6912098	0.1519269	0.2847806	0.2551209	0.4716113	0.3674556	0.6044458	0.4531723	0.3274958	0.4711702	0.3559146	0.1099452	0.5939998	0.6126701	0.3327848	0.5486282	0.6227253	0.6856124	0.3987251	0.7049619	0.0055474	0.6355919	0.0011647	0.9227640	0.2600115	0.5095832	0.2806353	0.2023428	0.1360850	0.7196004	0.0503275	0.2403161	0.6924620	0.3217447	0.4927552	0.4127714	0.8157681	0.6954808	0.0513281	0.4812065	0.3704562	0.6454338	0.4879943	0.6489369	0.4783201	0.8038698	0.6103248	0.4026621	0.3429667	0.6528401	0.6364265	0.6637491	0.0110608	0.0109404	0.6538125	0.3939366	0.6181745	0.4562624	0.7657204	0.2419179	0.0349369	0.4643082	0.1845924	0.4144478	0.3718185	0.4995590	0.2746387	0.5788693	0.2239584	0.6694797	0.5797384
0.6960794	0.5669250	0.0856959	0.1837918	0.3065194	0.6823038	0.5973103	0.0250735	0.6021863	0.0432537	0.6733679	0.2071962	0.6220455	0.0335702	0.1838916	0.6709141	0.1048480	0.0903611	0.7329689	0.6395316	0.6580999	0.1855742	0.0429089	0.7093742	0.0433655	0.6062226	0.2051209	0.5710365	0.4842158	0.7679452	0.0105379	0.1962359	0.2457170	0.2531783	0.2418991	0.4500027	0.7101156	0.4154108	0.7217780	0.5933907	0.0940465	0.4500560	0.7087661	0.5392853	0.6984364	0.6090739	0.7429436	0.5247615	0.6446675	0.0862739	0.6744236	0.0346756	0.7693678	0.2320258	0.4004427	0.3718757	0.4542322	0.1548289	0.7261301	0.0430857	0.0025440	0.6779268	0.1515799	0.4938479	0.3572748	0.6974961	0.7701646	0.0033165	0.4814786	0.3676858	0.6727946	0.3016980	0.5461155	0.3765260	0.5388846	0.4448281	0.3652702	0.2770572	0.6756633	0.3715039	0.6386645	0.0567879	0.0864909	0.8045147	0.4169288	0.7866886	0.4282054	0.6081379	0.5232471	0.1483818	0.6541718	0.1559108	0.3794818	0.0374218	0.5012790	0.2695101	0.3249711	0.4299669	0.6617330	0.7467654
0.5572084	0.6428341	0.0169829	0.5113317	0.2635646	0.7246234	0.7259674	0.0006349	0.5482635	0.0930757	0.6391160	0.1765446	0.6626941	0.6566738	0.2502171	0.7950638	0.2267210	0.2273706	0.6863618	0.7166349	0.6152008	0.3231031	0.1497845	0.6006791	0.2483771	0.2392663	0.4409010	0.5970453	0.7564868	0.5086478	0.1748499	0.2813524	0.0005491	0.3197280	0.0831020	0.5257981	0.5471409	0.3859266	0.6434610	0.6039743	0.1521028	0.4538083	0.5775947	0.6173034	0.5345860	0.5158307	0.6727756	0.3732475	0.4383250	0.0445384	0.6249328	0.0727307	0.6531686	0.2171072	0.4960766	0.3470154	0.1889644	0.0674321	0.6454095	0.0068493	0.0178641	0.7557211	0.2677416	0.5524498	0.5520140	0.5815008	0.6798557	0.0162848	0.5089469	0.3831355	0.6317819	0.3300153	0.5482347	0.6509185	0.4816557	0.5049315	0.3654310	0.2974892	0.6361591	0.7214528	0.5272714	0.2337203	0.2238949	0.7954740	0.6891844	0.5312234	0.2354466	0.7112837	0.7329639	0.5891727	0.4712200	0.1385091	0.3988096	0.2532104	0.6588317	0.2511637	0.7075721	0.1560390	0.4199834	0.4947320
0.6601884	0.5601666	0.0502061	0.5985328	0.2285823	0.3614330	0.7222372	0.2306923	0.7413568	0.1298361	0.6113743	0.3815998	0.4346658	0.0228836	0.3260014	0.7525129	0.1292803	0.0893524	0.6990898	0.6046225	0.5914415	0.4902250	0.1462258	0.5658526	0.0075243	0.4556254	0.5259831	0.6852074	0.7591493	0.7151616	0.0087807	0.2404930	0.1319233	0.2929128	0.2947747	0.3515033	0.5903641	0.3058575	0.7235835	0.6487338	0.1140175	0.5058528	0.7853095	0.6530145	0.6082628	0.5128168	0.4629194	0.5652539	0.5825430	0.0183625	0.7917199	0.0037550	0.4894654	0.5846528	0.6611488	0.1692312	0.0405068	0.0015539	0.6085799	0.0331922	0.0709236	0.5042873	0.3638734	0.4304817	0.6978082	0.8018045	0.6829027	0.0085875	0.3591516	0.6087914	0.6207268	0.2982369	0.7959512	0.6143488	0.5329009	0.5168924	0.4479891	0.1509289	0.6254142	0.4121963	0.5785056	0.0465549	0.0502167	0.6993553	0.4640395	0.7609770	0.1089976	0.6401413	0.6187858	0.4834784	0.3281964	0.6107869	0.4332815	0.0615792	0.5806931	0.4710983	0.7941750	0.1297750	0.7718195	0.3397240
