"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.5706126	0.7767968	0.7634771	0.4482311	0.1753001	0.0146451	0.0699483	0.0280641	0.5753951	0.5899357	0.6337389	0.3925884	0.6653578	0.3778666	0.5763287	0.5812513	0.4282881	0.8665684	0.0027635	0.2101690	0.8670960	0.5509704	0.1831920	0.1271549	0.6552728	0.3863631	0.6022306	0.0329923	0.7759159	0.5263646	0.0415128	0.7092083	0.6100502	0.7458380	0.2058018	0.1151316	0.7974787	0.7087426	0.6825861	0.3475843	0.5347628	0.6011896	0.5934600	0.2596838	0.2142949	0.1407937	0.0591321	0.1716061	0.0070194	0.7096212
100	0.6616720	0.4014059	0.6265945	0.4577271	0.0104606	0.0668060	0.0247720	0.0141843	0.6597966	0.6323740	0.7805948	0.4591156	0.7149638	0.3840709	0.7726657	0.7188847	0.2867978	0.4737617	0.0004993	0.1739442	0.8559765	0.3638079	0.1357142	0.0103880	0.6517056	0.7284926	0.6663998	0.0228201	0.6118316	0.4640463	0.0386371	0.6854280	0.6918141	0.2870452	0.0126193	0.0195709	0.5008121	0.6775263	0.3526203	0.3557083	0.4964611	0.5670533	0.6725376	0.3347081	0.2570968	0.1923244	0.1024638	0.1679640	0.0051330	0.4647958
200	0.4994283	0.3467943	0.7154096	0.4334490	0.0176037	0.0166056	0.0027222	0.0216743	0.5887958	0.7027483	0.6895472	0.5226909	0.6781275	0.3176068	0.7309349	0.6884276	0.2628376	0.3608638	0.0033628	0.2189469	0.7333554	0.4419500	0.1724987	0.0009751	0.6653467	0.6373483	0.6245280	0.0118355	0.7696333	0.5707468	0.0304353	0.7023201	0.6765501	0.1581445	0.0071290	0.0085551	0.4103095	0.5344860	0.2192965	0.2451340	0.5011852	0.7158761	0.6739763	0.4399966	0.2728559	0.1556147	0.1064963	0.1276238	0.0031553	0.4345131
300	0.6271383	0.4264183	0.5523028	0.4675426	0.0203524	0.0417990	0.0056040	0.0195589	0.6499519	0.7803837	0.7357811	0.3955202	0.7215917	0.3302839	0.7513358	0.7352812	0.3586491	0.2760632	0.0011613	0.2207413	0.7192267	0.3822340	0.1713313	0.0009171	0.7844616	0.7028606	0.5760364	0.0217919	0.6716934	0.6489807	0.0316826	0.6397337	0.7315666	0.1462336	0.0066308	0.0014674	0.4453370	0.6300114	0.3058433	0.3598239	0.5929736	0.6057092	0.6978674	0.2813615	0.2455063	0.1505125	0.1111706	0.1327567	0.0316318	0.3910434
400	0.6705228	0.4084118	0.6124519	0.3977986	0.0137984	0.0678820	0.0037135	0.0311559	0.5578107	0.7672177	0.6669176	0.2938597	0.7569813	0.3224046	0.6640940	0.6489454	0.2997998	0.4236305	0.0021381	0.2271810	0.7219160	0.4130110	0.1735608	0.0004751	0.7271957	0.7499126	0.8044806	0.0632742	0.8437805	0.6014969	0.0453933	0.6403694	0.7253651	0.2157169	0.0061791	0.0334489	0.4582210	0.7615730	0.2407474	0.2830438	0.5793442	0.5750099	0.6272588	0.2678330	0.2736047	0.1812635	0.1288027	0.1664657	0.0407094	0.4270253
500	0.6520300	0.4174775	0.6848754	0.4003818	0.0174461	0.0293754	0.0034684	0.0247977	0.6249479	0.7506321	0.6892558	0.4496070	0.6252220	0.2594880	0.6709314	0.7897710	0.2689397	0.4281317	0.0025014	0.1804618	0.7428692	0.3642773	0.1886812	0.0000180	0.7040322	0.7062870	0.6944246	0.0343747	0.6856989	0.5794770	0.0479199	0.6436744	0.7398804	0.2342272	0.0016626	0.0160844	0.4149206	0.6924787	0.3076225	0.4224498	0.4387768	0.5780714	0.6816084	0.2985509	0.3323757	0.1509998	0.1026539	0.1695920	0.1004094	0.3920910
600	0.5899496	0.6345170	0.6049743	0.3969643	0.2628900	0.0307372	0.0800490	0.0202534	0.6177463	0.6779883	0.7587661	0.2385514	0.8396406	0.2500746	0.5764073	0.8185271	0.2598644	0.8419535	0.0089862	0.1988877	0.7149789	0.5146858	0.1873299	0.0379827	0.8113439	0.3913837	0.7095471	0.0480068	0.7404250	0.5485906	0.0340873	0.6923932	0.7475032	0.7438915	0.1205217	0.0463804	0.6008736	0.6298499	0.7247834	0.4112612	0.6233939	0.6808859	0.5969940	0.3101760	0.2512040	0.1458385	0.1169327	0.2241219	0.0272650	0.6509787
700	0.4173502	0.7267484	0.7848863	0.2554433	0.2880763	0.0372484	0.0865720	0.0117266	0.5905725	0.7379493	0.9574724	0.3032553	0.6457338	0.3721549	0.5492295	0.7058521	0.4287410	0.7194188	0.0000984	0.2699865	0.7295192	0.5497009	0.1463262	0.0097499	0.7425625	0.4706760	0.8549562	0.0606394	0.7556422	0.5812079	0.0347902	0.5582770	0.6914251	0.8205907	0.2287287	0.0682162	0.7467502	0.6665036	0.6457049	0.3351098	0.3819949	0.6982101	0.5378453	0.3774638	0.3052082	0.1111988	0.1033547	0.1697757	0.0044316	0.7406797
800	0.4947957	0.6653709	0.6885903	0.4020563	0.2156347	0.0294244	0.1149192	0.0224620	0.5035942	0.7077662	0.7035814	0.3954448	0.7564573	0.4801426	0.6120692	0.7559924	0.3799281	0.7345203	0.0006981	0.2732707	0.6870977	0.4910007	0.1802720	0.0747043	0.6900454	0.3957746	0.7458519	0.0276060	0.6928046	0.5665247	0.0416408	0.6638197	0.6609735	0.7469527	0.2040697	0.1280789	0.7417968	0.6519137	0.6692725	0.3622708	0.3982823	0.7727986	0.4575524	0.3299736	0.2740891	0.1303011	0.1072500	0.1523215	0.0045985	0.5133652
