YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.4930566	0.7811741	0.7147659	0.4360754	0.2394702	0.0208106	0.0803624	0.0435424	0.5977209	0.6197658	0.7696742	0.3658463	0.6786340	0.4810187	0.2576270	0.7928343	0.3771266	0.7296634	0.0061510	0.2092446	0.6687177	0.6167229	0.1582489	0.0539658	0.8548097	0.3380545	0.6535124	0.0358777	0.6902018	0.5014933	0.2673693	0.0825672	0.0000000	0.7568256	0.5555926	0.5310049	0.0000000	0.7299717	0.7230796	0.4380689	0.6147455	0.2174922	0.0573048	0.2971263	0.2551702	0.1205953	0.1029336	0.1455450	0.0111081	0.7025799
0.5540696	0.6816917	0.7662993	0.4114393	0.1976544	0.0494794	0.1028398	0.0377606	0.4301225	0.6443628	0.6996985	0.4514335	0.7053529	0.4159125	0.6914574	0.5781705	0.4151220	0.6363601	0.0013608	0.3206611	0.7571553	0.4693822	0.1979975	0.0006671	0.6782653	0.5131309	0.7655410	0.0769046	0.7807356	0.0000000	0.0378863	0.6905864	0.5957429	0.7260420	0.2227730	0.2076874	0.7982814	0.6880864	0.6650133	0.0000000	0.0321996	0.7849104	0.6602794	0.6994542	0.1512028	0.4048636	0.0722140	0.1955850	0.2270601	0.6658183
0.5001377	0.7512347	0.7821607	0.3724364	0.1821930	0.0423520	0.0743117	0.0284060	0.5259459	0.8468955	0.6635135	0.3327753	0.6946397	0.4821754	0.6425279	0.7357614	0.2466885	0.7670720	0.0005047	0.3312575	0.7886512	0.5487860	0.2218204	0.7030144	0.8162711	0.5323607	0.6808606	0.0235008	0.7431322	0.0000000	0.4107355	0.7249184	0.7061220	0.6195315	0.2005106	0.1363262	0.0000000	0.7784212	0.7600278	0.0600331	0.0353743	0.6395679	0.2162100	0.7173808	0.2080711	0.3349067	0.0699501	0.2339897	0.0122040	0.7095045
0.4560878	0.7062834	0.8043770	0.4401909	0.1425834	0.0185048	0.0383561	0.0423742	0.3304483	0.7011682	0.8323743	0.3953476	0.7623903	0.3713012	0.6473330	0.7405458	0.3021251	0.6616581	0.0027345	0.4007255	0.7074427	0.5218767	0.1916320	0.0001982	0.8420361	0.3736449	0.6709774	0.0307882	0.7640523	0.0000000	0.0346842	0.6754134	0.0000000	0.8447971	0.1889990	0.1393654	0.6219983	0.7283477	0.8862739	0.0434600	0.3462231	0.8565585	0.5486435	0.5513367	0.1472426	0.3350878	0.0941556	0.2156552	0.5622556	0.7408038
0.5349089	0.6604984	0.7037199	0.3306756	0.2765750	0.0222462	0.1287882	0.0351825	0.5507888	0.5778165	0.6934880	0.2483761	0.6882755	0.4601557	0.5903793	0.7244252	0.4138543	0.7141836	0.0106813	0.3103986	0.7070220	0.4928652	0.2737956	0.8713298	0.6969284	0.3997287	0.7289486	0.0296584	0.6857202	0.0000000	0.4126564	0.7793531	0.6217614	0.0000000	0.2125717	0.1475593	0.6108483	0.7547022	0.8355849	0.0203688	0.2562523	0.7340081	0.7687439	0.8285531	0.1606267	0.4390522	0.0477030	0.1805760	0.2215890	0.6985888
0.4696332	0.7375889	0.7525678	0.5078355	0.1825901	0.0485154	0.0399982	0.0423226	0.6017325	0.6653222	0.8119337	0.4809015	0.5869477	0.4293194	0.6201832	0.7203628	0.3387893	0.7405881	0.0074165	0.1936239	0.0000000	0.7182533	0.1997709	0.3140784	0.8017833	0.4378030	0.6532358	0.0332204	0.7785058	0.0000000	0.0199640	0.8032976	0.6850351	0.7349963	0.1775205	0.2464419	0.6672204	0.7186486	0.7942762	0.0411717	0.0562705	0.7405926	0.6034629	0.8601799	0.4391273	0.7325737	0.0602642	0.0000894	0.4773727	0.6468785
0.6214715	0.7394535	0.6988540	0.4789935	0.2829888	0.0356468	0.0676855	0.0319321	0.5741745	0.7612555	0.6688141	0.3791335	0.7520782	0.3268329	0.4782210	0.8382401	0.3632996	0.6620524	0.0012687	0.2042482	0.7692034	0.5011296	0.2310389	0.1082169	0.7286902	0.4201868	0.8779507	0.0238312	0.6839655	0.6603072	0.1670227	0.3232282	0.7115319	0.7943697	0.3461907	0.4197361	0.0000000	0.6661952	0.7706513	0.0000000	0.4021919	0.2988083	0.1952155	0.3145764	0.1589577	0.2359840	0.0592887	0.1541614	0.0019785	0.5824004
0.5740742	0.7271109	0.8195543	0.4562809	0.1461232	0.0418325	0.0673030	0.0373596	0.5672863	0.7037251	0.7638024	0.3069413	0.7032008	0.4222084	0.5318524	0.7137289	0.3174462	0.7482287	0.0037019	0.3046081	0.7752229	0.5573081	0.1388703	0.4512112	0.6522923	0.5238471	0.6590424	0.0041388	0.7845093	0.7045329	0.5557295	0.8186857	0.6884426	0.0000000	0.3206965	0.1349970	0.0000000	0.5734238	0.6691352	0.3752088	0.6235951	0.6062634	0.2240250	0.3484605	0.2518349	0.1419294	0.1111073	0.1849602	0.0098651	0.6656419
0.4326080	0.7719296	0.7246947	0.3804424	0.2538125	0.0269339	0.0527604	0.0329107	0.6718035	0.6875880	0.7290464	0.3683189	0.7485775	0.4446309	0.3888312	0.7513553	0.4017393	0.6521854	0.0036052	0.2555095	0.7898308	0.6982084	0.1836675	0.0000881	0.7848925	0.4550337	0.8117941	0.0564276	0.8590254	0.6395679	0.0407718	0.4098342	0.0000000	0.5967183	0.4677982	0.5088800	0.7661973	0.7666862	0.8295849	0.0000000	0.7280286	0.7490210	0.5866645	0.3036656	0.1391614	0.1579491	0.0903556	0.1566996	0.2578364	0.7134136
0.5185655	0.7186527	0.5546118	0.4892153	0.2845083	0.0355224	0.0951316	0.0472391	0.3697850	0.7906222	0.8358706	0.3368989	0.6811717	0.5061705	0.7426475	0.8626300	0.4092244	0.8414906	0.0040023	0.3517197	0.7388460	0.6039322	0.1395652	0.1273971	0.8246902	0.4393359	0.7677583	0.0213948	0.8055442	0.6031573	0.3838229	0.7542523	0.0000000	0.0000000	0.2372510	0.1092291	0.7542441	0.6596041	0.7244521	0.3508430	0.6045450	0.6370283	0.4965665	0.2352318	0.2737351	0.1481276	0.0941446	0.1573489	0.0185340	0.6316815
