YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.2116464	0.6972323	0.6800869	0.3493378	0.2141176	0.0440552	0.0965516	0.0423342	0.4957094	0.7203894	0.6468044	0.3351184	0.5535371	0.5111037	0.5582864	0.7684681	0.4420133	0.8600831	0.0078967	0.1810982	0.7757420	0.4736186	0.1357409	0.1326526	0.6642291	0.4317406	0.6887518	0.0116513	0.7639751	0.5318689	0.0291230	0.6680085	0.6898606	0.6515823	0.2101719	0.1967256	0.8153445	0.6931058	0.4989417	0.2452705	0.5857461	0.5274501	0.4283407	0.2678199	0.2369859	0.1654837	0.1277725	0.2136265	0.0148789	0.7464921
0.6165280	0.3722946	0.7762919	0.3851719	0.1494054	0.0159998	0.0747258	0.0185341	0.5152867	0.8106830	0.7690633	0.3803965	0.6213142	0.3747060	0.5438893	0.7896481	0.5392660	0.6477969	0.0071204	0.3060779	0.8909034	0.4942957	0.1691751	0.0542886	0.8093372	0.3807900	0.7139488	0.0341893	0.6411809	0.7118131	0.0146009	0.6999167	0.8003522	0.8402988	0.2755939	0.1713322	0.8930953	0.8586686	0.7776262	0.3559147	0.5317039	0.6916977	0.4974464	0.3491737	0.2647204	0.1801075	0.0906292	0.2052858	0.0079915	0.6701051
0.3742955	0.7319066	0.3801606	0.1678605	0.6681302	0.0574725	0.2727979	0.2341720	0.0533713	0.8956758	0.5892833	0.5020987	0.6999637	0.4768050	0.5231300	0.7957619	0.4570324	0.6545724	0.0173992	0.2991975	0.7313629	0.4166837	0.4064202	0.0921675	0.7615586	0.4871654	0.7901689	0.0576460	0.7027622	0.6844073	0.0303444	0.6355158	0.6999789	0.7022448	0.2287916	0.2227926	0.7803299	0.8605930	0.7683050	0.4720950	0.4814235	0.2513826	0.5183881	0.2944134	0.2674147	0.1109361	0.1018042	0.2089587	0.0175901	0.7569055
0.5173638	0.6878120	0.7881099	0.2400941	0.2009973	0.0236387	0.0621880	0.0337438	0.7603782	0.8042253	0.6269790	0.4423063	0.8014917	0.4151669	0.5094612	0.6472913	0.3465570	0.7928431	0.0096552	0.2187232	0.7525345	0.6614419	0.1718717	0.0341622	0.6431023	0.4363124	0.8103458	0.0236877	0.8237465	0.5812785	0.0197556	0.7375781	0.7764593	0.8309400	0.2798773	0.1493203	0.7887673	0.8358219	0.6786472	0.3712627	0.4875956	0.7467301	0.4361852	0.2810207	0.2708226	0.1318273	0.0798753	0.2217318	0.0021600	0.7004828
0.4852371	0.8130923	0.7327713	0.3529871	0.1102132	0.0195185	0.0941579	0.0168539	0.5277703	0.7285528	0.6738142	0.3530827	0.6622982	0.4704389	0.7001658	0.8177638	0.4838466	0.6022960	0.0059322	0.2365337	0.6733396	0.4737274	0.1648033	0.0931795	0.6894577	0.4633472	0.7500715	0.0164987	0.7809960	0.6005555	0.0403094	0.6742135	0.6832191	0.7137816	0.1814805	0.1466832	0.6344870	0.8094008	0.6926511	0.3686247	0.5557577	0.6530783	0.4965707	0.2618942	0.2285065	0.1582616	0.0987789	0.1816541	0.0067255	0.6088311
0.7115938	0.6302829	0.8215881	0.4592583	0.2131627	0.0171985	0.0609462	0.0376313	0.4752612	0.6463791	0.7501367	0.3797137	0.8274334	0.3625629	0.5675945	0.7103665	0.3890302	0.8396773	0.0136933	0.2504719	0.7091557	0.5968257	0.1332392	0.0327212	0.7926803	0.4130054	0.7150045	0.0134483	0.6368809	0.5317769	0.0214630	0.6763031	0.7113775	0.8322766	0.2637472	0.1949238	0.6038631	0.6374459	0.6338073	0.4226969	0.5808494	0.5814557	0.5068616	0.3607873	0.3298559	0.1427703	0.0703453	0.1580688	0.0039027	0.7022191
0.4978335	0.7248882	0.7527626	0.4985999	0.1647555	0.0207712	0.0436755	0.0439968	0.6222548	0.5605275	0.6574846	0.4212371	0.7525531	0.4257219	0.5391052	0.6741209	0.3648975	0.8135460	0.0022379	0.2108867	0.8929941	0.5073564	0.1738648	0.2343908	0.6751669	0.3542283	0.7731015	0.0387476	0.7735282	0.5205608	0.0401002	0.6592743	0.7872519	0.6659370	0.2089847	0.1773123	0.6998171	0.7894243	0.7970724	0.3165721	0.5442459	0.7657289	0.5036519	0.3018706	0.2498422	0.1239856	0.1280756	0.1746062	0.0020918	0.6222617
0.5288857	0.7286588	0.6400767	0.2810261	0.2883939	0.0443602	0.1050152	0.0197075	0.6870135	0.6355447	0.7704074	0.4527470	0.6728698	0.5263995	0.6206698	0.8160416	0.4144727	0.7247863	0.0028332	0.1784190	0.7510246	0.5227302	0.1878096	0.1415950	0.6496109	0.3983459	0.8750733	0.0192083	0.6088826	0.5612121	0.0459094	0.6409683	0.6472467	0.6833236	0.2506947	0.1214503	0.7931902	0.7034671	0.7266820	0.3639159	0.4715834	0.6808397	0.5421055	0.4175690	0.2940050	0.1914621	0.1255761	0.1700644	0.0005733	0.5717035
0.5165018	0.5632419	0.7291791	0.4717787	0.2548882	0.0521914	0.0816341	0.0417933	0.3568435	0.7740765	0.8145357	0.3582029	0.7807964	0.4608143	0.6784474	0.8072837	0.3700790	0.7338776	0.0091718	0.1985805	0.7764585	0.6094963	0.1547161	0.0155279	0.7574062	0.5279710	0.7458610	0.0397642	0.6918294	0.4881881	0.0344317	0.6648911	0.7741175	0.7052820	0.2124437	0.2040457	0.5694821	0.8101865	0.5559087	0.3998960	0.4933231	0.5022513	0.4448394	0.2636768	0.2707691	0.1045249	0.0711756	0.1915344	0.0014401	0.7367979
0.5526880	0.7801951	0.5843727	0.3064499	0.2646898	0.0180731	0.0724629	0.0246493	0.5288956	0.4135237	0.7418053	0.3182537	0.8158903	0.4676263	0.5660777	0.7599671	0.3689553	0.8495800	0.0084761	0.2819830	0.8382283	0.6908073	0.1986523	0.1528740	0.5720070	0.4514950	0.6525035	0.0249577	0.7697442	0.5907359	0.0412734	0.7589368	0.5927058	0.7026937	0.2743019	0.1468383	0.7044319	0.7438732	0.6348995	0.3584609	0.5336630	0.5537006	0.5382060	0.3334925	0.2568339	0.1335616	0.0724183	0.2005207	0.0054603	0.7933051
