YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.0000000	0.6536997	0.7762019	0.3811886	0.2465038	0.0288692	0.0862129	0.0520892	0.7808346	0.6978635	0.6678291	0.3196882	0.7633143	0.4440949	0.5890739	0.7789524	0.4046518	0.7039917	0.0056822	0.2634151	0.6197523	0.5613869	0.2074859	0.0793956	0.8402197	0.3945489	0.7327058	0.0211404	0.7254059	0.7158629	0.0406940	0.5979603	0.7478834	0.8297816	0.1915457	0.1664757	0.7726303	0.8260941	0.7033726	0.4817148	0.5879328	0.6616730	0.5149308	0.3641116	0.2573030	0.1965797	0.1009956	0.1629228	0.0086166	0.8035130
0.5519657	0.0000000	0.7074575	0.4772132	0.2071619	0.0326283	0.0367176	0.0241573	0.5724665	0.6786575	0.7862953	0.2556668	0.6810927	0.5303154	0.6009248	0.6970879	0.4106131	0.6692433	0.0050613	0.2179294	0.6518127	0.5837164	0.1693340	0.1164348	0.7041872	0.3843678	0.7509498	0.0453107	0.7893985	0.6372885	0.0246842	0.7489282	0.7313159	0.6833723	0.2523078	0.2162953	0.6980858	0.7532884	0.7320458	0.3530053	0.5268542	0.6670506	0.4522102	0.2859898	0.2702224	0.1933721	0.0723400	0.1339045	0.0046052	0.7489953
0.1446750	0.7541508	0.0000000	0.0551114	0.7354051	0.4708619	0.7947396	0.3415210	0.0426757	0.2980205	0.2108068	0.6277271	0.6880454	0.3471011	0.7597240	0.6995684	0.1704420	0.7421160	0.7403979	0.5358589	0.6799294	0.1692004	0.6795194	0.0733921	0.8421961	0.4303156	0.6040017	0.0699107	0.7383055	0.6703342	0.0587818	0.7343069	0.6752916	0.7048559	0.1992881	0.1477702	0.5891214	0.8230298	0.7232559	0.3954140	0.5646098	0.2156579	0.5571260	0.2777504	0.2335471	0.0644045	0.1012366	0.1720620	0.0022091	0.6543421
0.4844696	0.7525255	0.7990465	0.0000000	0.2339174	0.0276645	0.0697700	0.0423372	0.6263634	0.6324647	0.6198616	0.2655355	0.8101366	0.3760863	0.6713517	0.6621931	0.4413736	0.7303633	0.0027998	0.2693388	0.6814025	0.6461519	0.1942685	0.0754837	0.7499272	0.4720167	0.6012264	0.0207256	0.7737746	0.4398720	0.0326364	0.5622252	0.7828549	0.6802156	0.1738382	0.1372390	0.7062583	0.7923055	0.7197911	0.2721315	0.3670913	0.7883341	0.4723050	0.2643219	0.3231573	0.2611457	0.0893772	0.1595893	0.0154492	0.5576350
0.4918126	0.6867117	0.6827246	0.4867332	0.0000000	0.0405567	0.0656965	0.0377294	0.4908162	0.8072105	0.6495218	0.3474489	0.7161397	0.4419065	0.5817594	0.7551744	0.3649774	0.6485172	0.0020085	0.2283448	0.7741088	0.5778919	0.1328870	0.1343610	0.6591547	0.4048110	0.7454433	0.0171366	0.6956832	0.6471799	0.0604213	0.7287774	0.6529873	0.7260874	0.2244670	0.1412474	0.7750029	0.6358716	0.6944934	0.3739018	0.4609849	0.6685086	0.4960690	0.3976412	0.2701901	0.0936408	0.0817551	0.2058397	0.0084294	0.7182063
0.4447957	0.7414869	0.6920174	0.4680972	0.2045792	0.0000000	0.0251390	0.0173462	0.5535627	0.7200510	0.7159369	0.3448355	0.7525249	0.5029732	0.6137862	0.7892598	0.3698335	0.7367641	0.0068004	0.2660331	0.6820043	0.5504083	0.1461360	0.0418551	0.7438334	0.4947795	0.6795642	0.0296474	0.7251903	0.6897102	0.0408142	0.7307484	0.8516879	0.6494401	0.1804758	0.1015624	0.6923697	0.7875639	0.6322982	0.3211841	0.4609239	0.5878773	0.4630329	0.2718140	0.2256823	0.0840720	0.1045700	0.2043985	0.0029705	0.6602112
0.4183472	0.7060219	0.6540455	0.4703952	0.2449432	0.0173048	0.0000000	0.0136065	0.4867424	0.6814327	0.6270271	0.2900174	0.7220315	0.5494581	0.6710477	0.6311768	0.3977897	0.8415315	0.0123514	0.2795319	0.7677376	0.6537432	0.1907449	0.0891693	0.7202860	0.4450400	1.0000000	0.0182036	0.8108923	0.6336792	0.0280153	0.6025660	0.8538166	0.6724399	0.3051639	0.1757530	0.8005162	0.6281181	0.6597312	0.3593417	0.5180873	0.6817861	0.5006849	0.3026950	0.2536396	0.4161794	0.0925737	0.1860829	0.2024960	0.6568167
0.4516488	0.7177754	0.8382877	0.4203971	0.1980114	0.0260037	0.0452773	0.0000000	0.7436452	0.7253607	0.6731598	0.3729457	0.8224614	0.4923168	0.6041158	0.8261661	0.3417111	0.7543606	0.0166027	0.2238861	0.7053540	0.5765615	0.1653369	0.0374585	0.7830722	0.4394973	0.8795889	0.0328617	0.7351462	0.5120241	0.0180113	0.6995706	0.6082222	0.7377746	0.1739796	0.1377955	0.7656297	0.6949020	0.6478477	0.3715570	0.5419619	0.5193556	0.5630995	0.3358752	0.2599713	0.0859233	0.0985148	0.1609211	0.0128013	0.7705793
0.5924316	0.6339906	0.7113309	0.4314920	0.2917380	0.0597465	0.0701517	0.0298165	0.0000000	0.5840692	0.7271298	0.4093003	0.7135084	0.4803347	0.5429687	0.6948610	0.4395476	0.8185376	0.0040511	0.2281995	0.6576602	0.6181622	0.1088741	0.1208588	0.7362421	0.3912302	0.8078362	0.0240791	0.6326233	0.6051706	0.0602914	0.6784883	0.6492413	0.6900328	0.2466054	0.1884602	0.7428532	0.8757981	0.6327873	0.4455733	0.4782216	0.2465789	0.4954771	0.2650920	0.3174788	0.1534920	0.0712283	0.1956526	0.0007721	0.6109601
0.5569576	0.7582556	0.7825887	0.3645210	0.2754680	0.0266544	0.0468763	0.0197983	0.4852774	0.0000000	0.6629561	0.3388700	0.7198413	0.4652767	0.5481862	0.7571748	0.3326096	0.7051423	0.0026702	0.2700455	0.7238503	0.5682256	0.1958586	0.1287104	0.8632887	0.4467351	0.6927084	0.0504687	0.6360665	0.6314509	0.0189938	0.6969843	0.6442527	0.7361272	0.2396614	0.1162384	0.7081652	0.6383664	0.6721945	0.3513454	0.3982270	0.4578257	0.4887743	0.2411589	0.2831700	0.1902611	0.1112058	0.1915028	0.0139156	0.6197268
