YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.5058587	0.6349416	0.6303953	0.4621157	0.2101592	0.0008808	0.0334134	0.0016164	0.4364953	0.5570255	0.5526592	0.2918936	0.8473164	0.2274554	0.4308441	0.7705662	0.4126965	0.5949513	0.0096209	0.5087630	0.5710269	0.5249745	0.1447855	0.0600091	0.7015112	0.4056893	0.3820707	0.0281167	0.6614011	0.6245157	0.0300395	0.7011175	0.6176683	0.6738717	0.3309517	0.3058006	0.6389657	0.5957355	0.7210038	0.2830067	0.5202348	0.6057012	0.5448045	0.3633333	0.0827504	0.1323877	0.0687620	0.4442724	0.0840153	0.6124423
0.5397263	0.8776265	0.5760051	0.4626359	0.2469930	0.0011669	0.1014935	0.1128080	0.0998332	0.6212571	0.6856228	0.2132354	0.9201783	0.5833075	0.3950857	0.7868513	0.5129584	0.7327861	0.0010813	0.1606023	0.7528405	0.7282004	0.0853681	0.1752208	0.8592828	0.3712190	0.5918129	0.0000121	0.6957462	0.5453862	0.0342200	0.6852877	0.7034194	0.4884616	0.3257275	0.1449756	0.6185054	0.4235984	0.8570164	0.5031071	0.3784539	0.2657313	0.6333849	0.5463252	0.1816739	0.0568268	0.2225802	0.0871657	0.2333571	0.6783227
0.2648719	0.6265720	0.3405616	0.0732386	0.5488721	0.1156139	0.3584342	0.1640001	0.0351074	0.7343117	0.5835679	0.3861750	0.6841205	0.2792000	0.6143830	0.6763972	0.2599514	0.6124986	0.0044788	0.3028731	0.6248663	0.4142523	0.3389670	0.2438555	0.5642130	0.4386629	0.6021529	0.0002455	0.6235235	0.5871998	0.0733735	0.6635488	0.7557376	0.7273197	0.2764777	0.3819753	0.5214904	0.7497057	0.7795430	0.4486809	0.5272198	0.0636120	0.4801851	0.3543562	0.3395233	0.2027728	0.3903236	0.3514517	0.0007976	0.6252578
0.4125723	0.8206401	0.7610893	0.4863730	0.2768635	0.0040909	0.0664821	0.0030152	0.6822157	0.7695663	0.7768799	0.1258253	0.7188836	0.5529274	0.2745869	0.8044025	0.1117635	0.3096858	0.0083812	0.1850117	0.4847069	0.6275653	0.0254003	0.0959076	0.6030610	0.3944275	0.6232296	0.0279356	0.3444877	0.5596896	0.0603954	0.7103811	0.6708349	0.8037771	0.2926679	0.5180242	0.6367699	0.7380362	0.6268758	0.3713534	0.2604912	0.7586308	0.3337995	0.2428738	0.3610239	0.5284813	0.0422146	0.0768017	0.0136654	0.6645564
0.4503053	0.7261292	0.6669561	0.3046516	0.3373413	0.0169074	0.0488478	0.3424803	0.0172611	0.6352906	0.7167243	0.1531689	0.8113078	0.3756202	0.3686010	0.4403151	0.3187922	0.7487383	0.0047488	0.2262517	0.5232528	0.8005353	0.0214890	0.0000257	0.5430192	0.4956096	0.7705225	0.0016299	0.6991162	0.4791572	0.0270724	0.6292077	0.3847220	0.2997881	0.1025986	0.0173572	0.7317539	0.4577517	0.6691805	0.2286331	0.4826313	0.3569376	0.5000101	0.6687228	0.1953466	0.5921809	0.3464583	0.4225738	0.4271197	0.5854035
0.4930179	0.7701582	0.7587982	0.4651595	0.1716100	0.0005418	0.1398677	0.2201257	0.0329936	0.5687534	0.5321027	0.2954522	0.5664074	0.3969506	0.4115349	0.5613146	0.3782418	0.5931397	0.0047229	0.2029434	0.8132930	0.5019281	0.1729354	0.2836230	0.6772968	0.3901424	0.6926749	0.0001945	0.7648949	0.5858421	0.0644112	0.4011562	0.0745138	0.7027901	0.2849528	0.3146278	0.6093081	0.7945564	0.8050262	0.2944489	0.5678030	0.0899469	0.6223334	0.3964384	0.2430695	0.0060541	0.0806703	0.2469602	0.5294871	0.6970236
0.5295243	0.5988051	0.5201387	0.3981378	0.3649182	0.2150497	0.1251843	0.3009242	0.0163046	0.3743955	0.7172965	0.3480481	0.4964079	0.1681414	0.7169835	0.5495625	0.5237355	0.6096677	0.0003193	0.3133342	0.6828457	0.4951471	0.2432834	0.0316348	0.7233565	0.3988426	0.8084541	0.0276433	0.6668465	0.6324580	0.0001148	0.7470261	0.7733799	0.5616071	0.1316203	0.0712061	0.6709655	0.6779027	0.7572348	0.3609032	0.5583295	0.2220168	0.4807950	0.4188842	0.0897290	0.2390832	0.1811768	0.0556809	0.0578666	0.5856326
0.4408735	0.7504832	0.5607946	0.3474004	0.1923541	0.0023841	0.0655638	0.2838181	0.0100292	0.5433228	0.5095578	0.3519604	0.6627883	0.1716136	0.5483930	0.7800297	0.5896902	0.5652006	0.0000988	0.5060367	0.5151239	0.5477437	0.1923096	0.1612509	0.7039341	0.4702694	0.4654814	0.0281501	0.6056080	0.4237066	0.0140496	0.6031729	0.8215148	0.6492619	0.3797585	0.3346953	0.7028971	0.7119252	0.5888075	0.3272051	0.5132865	0.2771427	0.6435794	0.3063955	0.3273281	0.1249852	0.4064162	0.2661362	0.2632613	0.3580759
0.2900468	0.6655015	0.7876380	0.4723406	0.2415476	0.0002710	0.0706694	0.0058677	0.7765001	0.7549345	0.7289722	0.1188598	0.8288557	0.2759992	0.5687397	0.8464686	0.2897940	0.6912962	0.0024937	0.5094430	0.7009283	0.3084465	0.2128432	0.2209516	0.6702734	0.3968428	0.7468060	0.0277586	0.7660370	0.4879538	0.0202562	0.8132957	0.6282338	0.6260714	0.2440079	0.1923232	0.6281877	0.7902661	0.6491472	0.2079265	0.7234645	0.6678222	0.8604797	0.2358867	0.1151844	0.0957132	0.3500679	0.1900081	0.0185478	0.7416601
0.5644629	0.5664108	0.7737416	0.4495081	0.2089949	0.3269949	0.0165654	0.0107721	0.6121641	0.2233597	0.5864642	0.4591064	0.7013516	0.5396146	0.5035361	0.6987207	0.1507038	0.7873215	0.0008550	0.1048614	0.7892039	0.5766130	0.1013905	0.1602228	0.2738923	0.6772434	0.7661042	0.0338902	0.7611522	0.4544139	0.0593245	0.6101017	0.4306445	0.7443089	0.1494652	0.0690121	0.4246741	0.5393228	0.4483899	0.3859208	0.1852151	0.6001775	0.5945147	0.3338055	0.4274415	0.0190349	0.0374550	0.4832406	0.0316950	0.3674218
