"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.7451249	1.0179630	0.9574143	0.6400255	0.2653000	0.0343879	0.0795920	0.0457390	0.8154526	0.9990798	1.0397027	0.5552207	0.9537594	0.6394780	0.8227453	1.0214593	0.5626442	1.0046676	0.0053081	0.3060646	0.9946464	0.7708630	0.2249757	0.1486391	0.9833681	0.5932426	0.9887584	0.0376871	1.0685624	0.8817475	0.0600678	0.9468278	0.9139487	1.0193110	0.3450359	0.2301381	0.9844176	1.0455365	1.0005329	0.3838978	0.6529495	0.8638078	0.8363947	0.4443400	0.3515088	0.1970042	0.1200615	0.2026161	0.0123823	0.9078940
100	0.7987665	0.5112545	1.0046386	0.6309671	0.0308346	0.0450821	0.0225581	0.0340743	0.9235397	0.9954094	0.9167717	0.5595393	0.9861689	0.4447954	1.0014489	1.0522461	0.4364791	0.5508816	0.0010217	0.2672649	1.0541047	0.5804834	0.1614863	0.0083516	0.9209514	0.9375990	0.9828489	0.0213663	0.9055181	0.6663747	0.0586538	0.9357734	0.9535176	0.3163631	0.0063753	0.0493587	0.5939665	0.8250379	0.4077874	0.4576734	0.7623014	0.7959996	0.8236345	0.4623491	0.4179799	0.2490960	0.1186529	0.1955099	0.0131552	0.6671758
200	0.8119612	0.4724686	1.0287134	0.5595530	0.0219372	0.0375663	0.0055768	0.0347266	0.8867850	0.9645691	0.9324923	0.6716124	0.9475737	0.3697081	1.0078653	0.9501296	0.4172264	0.5056771	0.0087167	0.2560494	1.0455308	0.6477598	0.2490669	0.0017266	0.9969667	1.0014320	0.9965386	0.0226506	1.0015463	0.7818856	0.0491792	0.9774938	0.9470359	0.2620459	0.0164935	0.0115029	0.6372089	0.8613556	0.4235095	0.3695071	0.7320227	0.9482701	0.8244041	0.5689155	0.3300426	0.2130513	0.1398706	0.2050810	0.0123880	0.5507831
300	0.8581618	0.5553981	0.9181494	0.5379602	0.0300505	0.0419446	0.0057095	0.0275012	0.9642091	1.0485836	1.0521781	0.5322833	1.0402572	0.3991186	1.0508573	0.9974370	0.4070962	0.4947193	0.0013004	0.2732684	0.9552488	0.5961941	0.2726107	0.0034990	1.0371847	1.0013017	0.9249361	0.0359987	0.9927449	0.8057293	0.0553420	0.9347995	0.9737002	0.2169113	0.0145922	0.0040768	0.5764066	0.8480803	0.4238132	0.5076120	0.7667463	0.8531662	0.9500997	0.3909600	0.3570280	0.2327472	0.1521954	0.1908080	0.0586353	0.5561307
400	0.9336095	0.5713643	0.9525138	0.5675067	0.0259044	0.0478961	0.0064952	0.0448578	0.8468075	0.9962327	0.9499814	0.4373402	0.8974059	0.3571311	0.9623394	1.0029715	0.3984671	0.4850348	0.0086726	0.3280845	0.9690716	0.5575295	0.2387160	0.0007892	1.0008468	0.9414160	1.0106712	0.0693867	1.0445933	0.8969206	0.0669336	0.9588489	0.9919148	0.2913443	0.0124237	0.0262048	0.5372729	0.9660796	0.3826910	0.3925656	0.7549829	0.8581506	0.9049707	0.4524555	0.3979377	0.2113721	0.1565130	0.2021720	0.0788006	0.6054310
500	0.8426269	0.5736848	1.0404873	0.5460506	0.0145379	0.0288043	0.0030721	0.0489243	0.8415013	0.9616748	1.0005116	0.5041807	0.9859001	0.3711817	0.9671400	1.0927350	0.3554668	0.4403891	0.0087009	0.2879306	0.9916445	0.5342570	0.2516514	0.0000738	1.0913498	0.9444462	0.9638710	0.0395144	0.9766536	0.7667110	0.0567726	0.8914940	1.0064632	0.2810199	0.0022738	0.0141028	0.6373484	0.9230040	0.3539017	0.4713336	0.6835717	0.8788982	0.8617768	0.4187802	0.3414068	0.1992499	0.1500827	0.2259750	0.1228336	0.5216182
600	0.7983540	0.9316727	1.0129573	0.6001445	0.3410036	0.0447123	0.1031927	0.0338763	0.7584630	0.9448152	1.0629594	0.4201674	1.0019000	0.5280827	0.8984136	1.0460910	0.4467607	0.9385153	0.0116616	0.2854222	0.9740493	0.7756727	0.2417935	0.0589785	1.0504403	0.5462684	0.9607493	0.0793697	1.0099210	0.7694235	0.0379966	0.9485583	0.9866781	1.0178710	0.2058801	0.0656907	0.9197678	0.9418473	0.9486321	0.5015457	0.7143399	0.8369596	0.7691560	0.4053785	0.3349873	0.1886410	0.1792189	0.2902190	0.0254003	0.8526744
700	0.6657733	1.0329715	1.0067754	0.5497389	0.3601111	0.0529776	0.0910349	0.0242833	0.8174961	0.9562274	1.0580985	0.4720312	1.0301146	0.5509864	0.8293727	0.9981385	0.5496846	0.9702264	0.0004923	0.3406598	0.9086337	0.7308396	0.2404598	0.0153695	1.0589419	0.5694512	1.0756698	0.0539391	1.0065356	0.8018285	0.0496357	0.9474713	0.9614594	1.1119877	0.2931786	0.1115957	0.9814566	0.9690324	0.9718883	0.4766326	0.6387902	0.9393148	0.7208985	0.4091991	0.3979994	0.1652084	0.1249459	0.2164220	0.0080797	0.8866846
800	0.7037332	0.9391252	1.0062151	0.5320208	0.3199147	0.0437494	0.0860898	0.0496109	0.7892804	1.0516855	0.9923458	0.4561223	1.0348812	0.6054527	0.8585258	0.9182476	0.5746928	1.0318749	0.0009199	0.3104870	0.9598857	0.7832389	0.2688643	0.0969229	0.9965343	0.6032100	1.0058798	0.0509028	1.0004728	0.7831851	0.0473149	0.9512722	1.0204412	1.1171633	0.3444067	0.2195014	1.0298852	0.9494599	1.0070389	0.4771577	0.6104176	0.9887396	0.7196659	0.4180397	0.3808916	0.1796107	0.1302010	0.2223879	0.0125303	0.8790144
