YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.7451300	1.0848236	1.0514657	0.5464780	0.3228855	0.0485228	0.1113408	0.0301271	0.8715917	0.9230476	1.0714485	0.4747611	1.0556089	0.6632620	0.3334726	1.0497784	0.5537532	0.9997949	0.0021599	0.3476919	0.9390612	0.7755891	0.2071652	0.0873962	1.0870883	0.5627461	1.0322181	0.0466883	1.0189626	0.7798383	0.4438247	0.1083047	0.0000000	1.0150078	0.7909511	0.7699469	0.0000000	0.9776918	1.0061915	0.5469313	0.9211523	0.2423434	0.0708623	0.4166038	0.3780828	0.1898652	0.1306180	0.1867614	0.0238993	0.8852697
0.7574697	0.9780044	1.1175663	0.6295215	0.3323416	0.0336477	0.1095414	0.0473363	0.6883743	0.9798230	0.9583711	0.5546030	1.0471843	0.6175148	0.8437116	0.9837403	0.5222445	1.0775044	0.0033867	0.4540771	1.0993422	0.6828806	0.2779685	0.0011370	0.9980797	0.6271380	0.9604738	0.0343640	1.0745053	0.0000000	0.0340208	1.0456079	1.0333151	1.0473681	0.2876157	0.2288430	1.0339774	1.0771813	0.9735090	0.0000000	0.0295302	1.0169941	0.8389292	1.0424439	0.1900596	0.6093342	0.0764875	0.2239952	0.2779797	0.8333757
0.7252845	1.0444218	1.0151214	0.5224125	0.3176783	0.0415270	0.1213924	0.0355447	0.8133125	1.0516636	0.9746602	0.5077202	0.9113509	0.5923227	0.8233990	0.9983040	0.5349638	0.9232179	0.0007311	0.4439440	1.0090153	0.7659566	0.2924324	0.9462163	1.0956468	0.6104115	0.9958523	0.0301936	0.9881844	0.0000000	0.4555693	0.9251390	1.1098589	0.9923042	0.2966945	0.2255304	0.0000000	1.0496553	1.1185099	0.0559578	0.0461662	1.0337722	0.2904200	0.9610660	0.2552045	0.5177619	0.1144816	0.2871607	0.0085608	0.9731858
0.6752667	1.0204439	0.9985840	0.6122480	0.3111217	0.0405623	0.0608121	0.0473751	0.5387255	1.0013590	1.0661822	0.5622840	1.0015242	0.6069547	0.9056456	1.0215537	0.4610384	0.9705730	0.0058219	0.4677260	1.1155148	0.6893636	0.2932341	0.0018541	1.0267807	0.5732743	1.0107527	0.0571371	0.9390194	0.0000000	0.0657279	0.9878579	0.0000000	1.1008779	0.2748102	0.1974020	1.0299328	1.0139916	1.0573145	0.0448938	0.3950067	1.1294534	0.8395753	0.9709016	0.2264443	0.5824518	0.1293994	0.2591537	0.7525926	0.9817647
0.6717312	0.9689321	1.0645041	0.5475119	0.3484874	0.0347299	0.1471032	0.0436385	0.8153150	0.9245060	1.0779272	0.4046869	1.0093016	0.6606232	0.9058966	0.9675348	0.5669332	0.9848745	0.0046415	0.4247751	1.0425181	0.7138600	0.3215824	1.0834298	0.9782707	0.5589111	0.9712181	0.0504181	1.0143928	0.0000000	0.4799021	0.9704725	0.9453945	0.0000000	0.2771311	0.1838859	1.0035494	1.0884295	1.0969935	0.0415467	0.3889396	1.0272728	0.9515771	1.0482195	0.2480534	0.6524749	0.0974354	0.2874827	0.3571947	0.9575251
0.6956816	0.9511369	1.0558356	0.6308122	0.2819704	0.0662497	0.0816429	0.0395814	0.9086900	0.9674283	1.0675178	0.5202844	1.0135899	0.6494181	0.8110559	1.0506604	0.5470326	1.0439023	0.0069492	0.2921321	0.0000000	1.0098213	0.3335671	0.4146300	0.9934351	0.6219797	1.0255310	0.0405043	1.0619608	0.0000000	0.0529944	1.0321715	1.0164422	1.0510886	0.2913606	0.3049910	1.0039302	0.9700418	1.1337397	0.0479755	0.0826052	1.0695295	0.8834162	1.0806154	0.5962462	0.9697303	0.0893506	0.0001564	0.6192536	0.9103806
0.7157057	0.9133388	0.9714920	0.5965475	0.3188011	0.0247399	0.0846565	0.0546833	0.7540056	0.9899061	0.9461605	0.5261452	0.9959388	0.5928036	0.5570196	1.0939759	0.5199866	1.0589983	0.0071347	0.3372988	0.9626648	0.7284550	0.3080894	0.1495358	1.0050549	0.6149533	1.0626626	0.0430820	0.9843137	0.9534340	0.1753273	0.4191078	0.9525490	1.1330266	0.4920763	0.5340330	0.0000000	1.0121196	1.0195953	0.0000000	0.5560448	0.3465675	0.2421412	0.3908866	0.2029385	0.2096957	0.1056922	0.2133801	0.0035392	1.0150706
0.7459017	0.9875357	1.1215187	0.6285830	0.2343973	0.0509945	0.1097117	0.0310411	0.9307145	1.0189234	1.0338725	0.4174304	1.0139992	0.6240075	0.8004947	0.9615812	0.5428065	1.0163186	0.0065804	0.3669717	0.9665605	0.7548982	0.2237747	0.5865095	1.1186028	0.7026563	1.0231136	0.0165643	1.0158760	0.8241417	0.9633991	1.0524428	0.9546257	0.0000000	0.4153397	0.2360953	0.0000000	0.9772999	0.9435792	0.5147750	0.9370713	0.9352419	0.3383767	0.4597336	0.3344617	0.2189374	0.1249968	0.2310003	0.0146315	0.9747321
0.6699443	0.9880321	1.0788080	0.5087630	0.3384910	0.0458213	0.1050093	0.0316694	0.8500097	0.9658073	1.0408462	0.4691553	1.0820764	0.6786494	0.5335766	1.0505290	0.5394041	0.9729326	0.0079820	0.3569612	1.0138680	0.8220275	0.2715972	0.0002907	1.0665827	0.6159123	1.0519500	0.0502623	1.1046957	1.0432181	0.0451135	0.5062388	0.0000000	0.9443175	0.5959040	0.6267324	0.9488165	0.9887909	0.9883820	0.0000000	0.9818926	0.9887691	0.7682693	0.5102010	0.1680859	0.2387722	0.0854800	0.1945185	0.2756048	0.9470109
0.7409374	1.0584856	0.9565966	0.6450455	0.3670567	0.0423754	0.0891488	0.0558667	0.5728992	1.0527140	1.0225747	0.4776889	0.9515735	0.6259062	0.8846021	1.1341037	0.5050952	1.0746700	0.0075909	0.4098788	1.0301801	0.7941828	0.2067441	0.2142459	1.0331276	0.6223441	1.0490505	0.0435551	1.0974586	0.7725652	0.4916558	0.9848814	0.0000000	0.0000000	0.3530077	0.1977233	1.0638876	0.9476614	0.9327128	0.5158486	0.8929801	0.8505304	0.8110500	0.4135662	0.3544397	0.1739682	0.1216897	0.1992007	0.0433609	0.9193021
