YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.3396695	0.9723776	0.9762902	0.6271955	0.3272013	0.0430105	0.0866620	0.0575216	0.7995424	1.0248294	0.9961271	0.5054722	0.8767322	0.6444119	0.8047341	0.9720286	0.5430698	1.0869954	0.0132487	0.3211224	1.0415003	0.7319030	0.2256884	0.1915192	1.0009634	0.5772529	1.0127240	0.0212907	1.0098220	0.7810656	0.0568959	0.9241177	1.0003676	1.0174739	0.3656029	0.2693502	1.0556411	1.0257010	0.9227249	0.3841581	0.7921591	0.8632533	0.7095987	0.3966120	0.3591447	0.2125713	0.1257979	0.2970958	0.0131540	1.0311248
0.9408203	0.5074189	0.9548405	0.5120080	0.2498670	0.0266069	0.1195950	0.0576184	0.7322706	1.0491589	0.9944712	0.5411284	1.0075278	0.5761738	0.8634690	1.0935644	0.5962877	0.9817233	0.0061519	0.3834083	1.0762384	0.7013076	0.2185053	0.1170096	1.0781212	0.6257926	0.9819366	0.0381657	0.9860607	0.8997812	0.0350382	0.9615689	1.0062841	1.0259809	0.3941292	0.2254661	1.1377343	1.1782731	1.0130278	0.4894613	0.6915552	0.9196841	0.6854444	0.4878438	0.3828973	0.1912845	0.1347634	0.2603888	0.0131229	0.9384398
0.4484931	1.0305458	0.4999557	0.2948324	0.9585677	0.1194019	0.4372031	0.2238299	0.0669218	1.0006720	0.8420469	0.6648629	0.9837380	0.6276432	0.7782705	1.0088237	0.6072607	0.9686764	0.0171325	0.4886969	0.9809982	0.5352830	0.4291293	0.1447041	1.0387327	0.6720373	1.0203110	0.0423847	0.9725324	0.7971200	0.0377185	0.9690958	0.9969857	1.0528736	0.3267895	0.3100576	1.1138707	1.1769112	1.1116172	0.6531303	0.7319135	0.4262848	0.7203596	0.4243462	0.4174342	0.1548009	0.1590563	0.2590689	0.0095560	0.9504476
0.7375686	0.9892266	1.0635025	0.3222395	0.3248587	0.0459733	0.0835629	0.0265313	0.8785928	1.0852978	0.9221840	0.6165676	1.0176523	0.6237440	0.8090497	0.9327666	0.5274882	1.0574660	0.0130231	0.3516661	1.0441800	0.7775874	0.2365219	0.0692691	0.9820380	0.6381565	1.0170841	0.0373370	1.0866424	0.8679899	0.0408350	0.9882024	1.0160038	1.0369831	0.3847705	0.2728859	1.0231479	1.0139279	1.0195443	0.5332819	0.7232269	0.9227128	0.6292384	0.4411696	0.3646995	0.2064683	0.1396597	0.2688484	0.0052561	0.9900130
0.6905095	1.0782973	1.0313520	0.5224454	0.1583427	0.0502173	0.1096497	0.0368735	0.7993984	1.0809330	0.9156908	0.5237100	1.0025911	0.5694703	0.8454532	1.0499425	0.5860480	1.0430318	0.0069119	0.3099157	1.0320366	0.7597670	0.2347991	0.1011204	0.9669333	0.5693334	1.0219712	0.0206448	1.0151113	0.7755362	0.0490802	0.9512738	1.0125161	0.9891314	0.3481769	0.2354508	1.0057454	1.0141607	1.0665723	0.4545386	0.7756243	0.9433350	0.6506483	0.3763955	0.3693875	0.2010926	0.1404612	0.2504990	0.0042743	0.9154345
0.7365095	0.9295298	1.1341330	0.6023083	0.3620858	0.0285929	0.0991072	0.0544862	0.7399036	1.0035734	1.0009328	0.4821308	1.0690496	0.6009790	0.8525046	1.0222049	0.5888926	0.9979372	0.0118444	0.3238297	0.9613821	0.8553008	0.2215234	0.0419825	1.0643817	0.6274888	0.9457546	0.0273790	0.9889834	0.8152542	0.0477629	0.9610560	0.9792785	1.0726614	0.3617132	0.2278867	0.9777103	1.0006011	0.9648606	0.5023710	0.8422121	0.7940527	0.6928084	0.4529705	0.4165430	0.1947404	0.1304665	0.2809691	0.0031282	0.9841062
0.6768505	0.9817952	1.0672626	0.6312739	0.2496831	0.0435171	0.0410191	0.0481400	0.9215814	0.9674658	1.0083979	0.5124319	1.0360721	0.5898272	0.8551535	0.9884725	0.5437347	1.0924806	0.0038945	0.3172768	1.1359349	0.8005197	0.2620976	0.1944108	1.0211906	0.5961120	0.9851613	0.0257457	1.0392465	0.7529831	0.0556308	0.9786189	1.0156101	0.9779606	0.3035921	0.2378372	1.0566660	0.9532659	0.9979525	0.4991421	0.7563681	0.9123405	0.7563078	0.4574321	0.3868138	0.2203628	0.1386217	0.2531491	0.0023010	0.9612102
0.7071188	1.0069193	0.9687975	0.5078468	0.4195576	0.0377429	0.1223661	0.0225686	1.0336558	0.9783849	1.0527782	0.5920367	1.0564292	0.6614506	0.8752424	0.9811237	0.5626279	0.9388245	0.0136613	0.3414447	0.9716735	0.7481105	0.2276515	0.1643620	0.9456283	0.6077772	1.1005189	0.0341170	1.0006105	0.8085475	0.0454802	0.9754274	1.0075303	0.8623587	0.3078661	0.1736629	1.0391555	0.9200778	0.9519649	0.4598853	0.6183368	0.8725009	0.7781842	0.4666369	0.3470633	0.2322247	0.1129888	0.2608147	0.0030072	0.8636033
0.6897623	0.9881395	1.0600181	0.5480017	0.4096325	0.0449271	0.1096965	0.0534734	0.4922592	1.0227277	1.0960522	0.5403281	1.0333183	0.5938178	0.9290464	1.0628457	0.4922156	1.0569153	0.0116358	0.3064483	1.0595494	0.7987931	0.2569091	0.0268806	1.0813874	0.6619319	1.0546299	0.0544120	1.0085679	0.7854758	0.0439928	0.9384402	0.9889412	1.1049694	0.3124401	0.2233870	0.8788791	1.0395159	0.9654437	0.5224642	0.7016596	0.7829127	0.6925507	0.4799599	0.3471855	0.1820014	0.0970371	0.2485170	0.0060425	0.9185654
0.7137522	1.0190552	0.9799567	0.4911012	0.3821491	0.0497849	0.1024019	0.0347151	0.7629321	0.5277376	0.9825578	0.5257682	1.0016860	0.5900924	0.7982311	1.0690640	0.5189772	1.0852360	0.0115547	0.3352065	1.0824529	0.8261703	0.2342943	0.1720034	1.0010888	0.5182079	0.9674861	0.0401600	1.0558198	0.7477227	0.0415027	0.9693231	0.9319925	0.9844441	0.3451313	0.1925642	0.9310033	1.0391291	0.9509590	0.5223509	0.7894320	0.8313185	0.7091302	0.4756877	0.3457664	0.2368927	0.1153924	0.2938845	0.0061051	0.9719521
