YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.0000000	1.0647322	1.1006854	0.5895963	0.3392563	0.0457445	0.1231088	0.0385721	0.9515717	1.0062443	1.0282919	0.4522422	0.9928730	0.6577558	0.8188084	1.0435334	0.5837218	1.0074134	0.0092752	0.3886823	0.9736744	0.8265889	0.2800259	0.0946276	1.0787349	0.5990095	1.0108417	0.0468122	0.9914310	0.8144853	0.0404239	0.8914257	1.0372020	1.0903447	0.3397457	0.2231619	0.9839909	0.9535261	1.0616661	0.5504184	0.6980448	0.8908976	0.7520759	0.4587336	0.3561641	0.2261131	0.1038332	0.2225351	0.0120098	0.9351930
0.9296315	0.0000000	1.0413819	0.5964132	0.2759045	0.0462494	0.0819488	0.0251681	0.8526074	0.9890993	1.0866291	0.3932333	1.0065077	0.6110531	0.8365990	0.9887917	0.5660317	0.9939726	0.0122556	0.3105452	0.9716378	0.7880826	0.2485648	0.1490461	1.1144744	0.6272140	1.0063512	0.0438694	1.0502886	0.7594723	0.0536143	0.9799908	0.9799189	1.1038573	0.3766614	0.3080140	0.9980397	1.0102963	1.0827314	0.5247699	0.6833732	0.8674127	0.7179195	0.4628773	0.3464237	0.1798611	0.0861784	0.2280533	0.0148434	1.0392640
0.2249748	0.9635772	0.0000000	0.0540123	1.0314787	0.6582448	1.1512555	0.5826336	0.0531696	0.3816736	0.3359389	0.9070771	0.9625574	0.5907136	0.8602136	0.9517509	0.2562267	0.9656503	1.1049771	0.6967267	1.0395104	0.3071941	0.8584500	0.1077671	1.0775319	0.5868195	0.9962036	0.0587770	0.9763413	0.9655382	0.0500403	1.0183258	0.9461493	1.0690550	0.3114521	0.2534019	0.9400199	1.0759388	1.0186313	0.5593823	0.7600430	0.3647661	0.7407621	0.3946607	0.3586183	0.1316667	0.1309998	0.2462164	0.0008433	0.7997111
0.7220362	0.9580312	1.0165300	0.0000000	0.3534967	0.0400825	0.0970710	0.0488083	0.7525623	1.0040879	1.0191678	0.4039957	1.0572144	0.6051183	0.8516727	1.0112015	0.5570350	1.0392236	0.0060278	0.3447847	0.9473165	0.7368189	0.2356068	0.1227238	0.9893291	0.6127917	0.9961761	0.0390841	0.9791578	0.6967211	0.0481925	1.0110894	1.0816758	0.9910589	0.2286103	0.1983007	1.0288109	1.0419142	1.0111326	0.4403689	0.7174101	0.9691578	0.7525915	0.4784229	0.3864996	0.2408713	0.1158985	0.2134815	0.0117164	0.8912731
0.7120597	1.0456471	1.0473615	0.6566038	0.0000000	0.0382188	0.1088709	0.0623441	0.5831786	1.0686664	0.9844188	0.5060054	1.1232589	0.6381734	0.8995341	1.1160656	0.5558124	0.9842493	0.0056664	0.3337157	0.9378033	0.8144914	0.2101721	0.1161740	0.9802243	0.5697652	0.9944198	0.0342808	0.9556217	0.8990238	0.0561348	0.9190892	1.0937777	1.0821441	0.3058764	0.2274279	1.0226324	0.9819165	1.0340443	0.5282698	0.6326419	0.8618852	0.6601223	0.4903925	0.3870610	0.1859753	0.1083511	0.2638394	0.0096405	0.9363114
0.6598464	0.9692763	1.0599821	0.6178023	0.2978552	0.0000000	0.0715201	0.0210076	0.8784452	0.8938321	1.0062790	0.4658512	0.9810657	0.6037465	0.8219299	1.0151507	0.5609367	0.9899640	0.0046618	0.3913323	0.8802628	0.7369734	0.2198354	0.0672708	1.0098093	0.6704965	0.9814051	0.0351057	1.0321422	0.8528831	0.0477892	0.9407252	1.0205906	0.9140096	0.2530008	0.1957166	0.9569131	1.0177937	0.9974196	0.4233488	0.6415442	0.9710925	0.6611604	0.4039643	0.4031518	0.1594596	0.1448550	0.2487347	0.0113033	0.8553617
0.7062708	0.9576627	1.0084891	0.5726294	0.3668064	0.0501418	0.0000000	0.0387969	0.7086115	0.9486559	1.0417672	0.4635123	1.0152840	0.6347673	0.8448281	1.0056551	0.5303336	1.0152943	0.0099350	0.3638984	1.0629446	0.8270590	0.2111568	0.1279582	1.0786101	0.6300929	1.0882328	0.0326085	1.0008851	0.8468421	0.0436115	0.9832602	1.0301655	1.1166169	0.3542632	0.2311131	1.0724818	1.0071053	0.9248650	0.4437577	0.6869035	0.9955999	0.7168727	0.4639410	0.3629525	0.5142584	0.1201447	0.2556969	0.2078956	0.8625805
0.6883449	1.0556904	1.0368348	0.6027653	0.3007528	0.0368728	0.0932054	0.0000000	0.9662179	0.9718282	1.0097417	0.5351939	1.0966352	0.6513607	0.8235218	1.0216787	0.4901955	1.0001897	0.0139287	0.4055929	0.9785236	0.6961610	0.2361955	0.0981946	1.0638628	0.5556240	1.0291862	0.0515588	1.1072278	0.7437667	0.0342242	0.9667669	0.9301373	0.9971218	0.2810128	0.2211368	1.0627547	0.9834863	0.9904555	0.5338404	0.7016725	0.7603939	0.7254069	0.4469751	0.3331624	0.1547181	0.1649496	0.2096860	0.0064256	1.0033000
0.6576879	0.8881381	1.0520948	0.6064730	0.3686873	0.0527393	0.0919978	0.0414981	0.0000000	0.9396819	1.0348142	0.5249504	0.9705753	0.6924831	0.7715528	1.0007325	0.7021301	1.1065026	0.0028849	0.3743259	1.0073626	0.7894543	0.2255907	0.1717230	0.9418857	0.6153541	1.0377370	0.0324352	0.9836724	0.7679548	0.0551966	0.9403650	1.0426437	0.9491607	0.3556374	0.2726096	1.0587782	1.0056202	1.0528996	0.5871638	0.7105980	0.2753655	0.7070377	0.3937441	0.3791015	0.2390507	0.1027905	0.2498771	0.0016329	0.9117760
0.6856357	0.9820742	1.0415388	0.5630870	0.3305296	0.0383262	0.0760873	0.0466569	0.6659040	0.0000000	0.9806794	0.5412606	1.0152182	0.6507739	0.8472387	1.0296738	0.5414867	0.9617266	0.0065374	0.3563039	1.0159459	0.7032433	0.2849559	0.1346305	1.0263231	0.6725553	0.9640359	0.0397270	0.9563146	0.7862574	0.0347551	0.9515194	0.9758065	1.0687208	0.3293198	0.1805847	1.0216335	0.9431451	0.9618994	0.4497757	0.6284878	0.8189076	0.7119609	0.3971415	0.3662696	0.2219225	0.1346178	0.3022870	0.0041889	0.8835700
