YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.7097294	0.8698225	0.9843630	0.5778805	0.2699958	0.0006002	0.0498322	0.0065910	0.7148628	0.7156777	0.8004150	0.4200140	1.1277961	0.3936758	0.7282224	1.0258866	0.5413417	1.0027495	0.0087986	0.7898717	0.9344221	0.7623848	0.2286131	0.0771695	0.9383118	0.4773668	0.5959167	0.0312563	1.0327051	0.8180070	0.0405881	0.9618542	0.9157380	0.8147299	0.3636254	0.3907886	0.9980905	0.8415493	0.8830340	0.4474805	0.6991333	0.9527347	0.8768897	0.4537620	0.1248549	0.1669690	0.0617240	0.6162172	0.1088085	0.8390085
0.7093397	1.0998847	0.8727952	0.6600353	0.3892502	0.0018199	0.1495726	0.1255581	0.1362465	0.8609166	1.0155826	0.2609614	0.9273671	0.8066842	0.6286604	1.0754508	0.7061995	0.9939971	0.0026049	0.2253416	0.9995224	0.9315595	0.1084935	0.2480326	1.0612061	0.5315529	0.8853816	0.0000998	1.0122961	0.6839889	0.0483641	1.0531203	1.0174705	0.6775725	0.3766273	0.2230196	0.9553099	0.6290359	0.9850850	0.7346255	0.4943923	0.3778293	0.8278541	0.6833006	0.2228942	0.0484305	0.2162852	0.1691298	0.3860142	0.9190951
0.4164224	0.8629166	0.4854027	0.1314430	0.7920552	0.1315408	0.5284323	0.2386942	0.0338169	1.0377812	0.8513790	0.5109768	0.9805758	0.4059596	0.7659348	0.9756361	0.3142487	0.8176751	0.0111151	0.3516282	0.9562448	0.5283467	0.5005537	0.2555757	0.6935559	0.5470004	0.8560845	0.0002568	0.8787052	0.8245589	0.0710979	0.9279091	1.0319643	1.0289393	0.3553327	0.4571028	0.7429919	0.9606893	0.9539825	0.6871120	0.7577171	0.0571000	0.6882310	0.4288712	0.4249724	0.2908709	0.6439692	0.4602962	0.0007984	0.8418065
0.6621454	1.0263182	1.0144723	0.6534296	0.3673740	0.0042267	0.0976312	0.0043652	0.8667429	1.0151017	0.9211557	0.1357558	1.0550550	0.7788770	0.4337680	1.0623709	0.1690932	0.4037405	0.0133543	0.2445579	0.7481654	0.9428246	0.0313820	0.1628294	0.8881517	0.5918378	0.8695202	0.0334123	0.4756867	0.8046949	0.0674063	0.9617602	0.9472157	1.0896029	0.4107488	0.6685227	0.8687649	1.0360141	0.9554066	0.3872685	0.3359736	0.9894255	0.5701141	0.3847071	0.4902684	0.7481588	0.0847362	0.0875175	0.0213974	0.9893627
0.6152897	0.9476071	1.0257253	0.4981918	0.3756923	0.0283151	0.0554788	0.5274663	0.0456429	0.8258333	0.9745907	0.2159884	1.0530411	0.5945608	0.5784041	0.6518758	0.4395366	1.0688958	0.0114061	0.3334084	0.7699608	0.9950487	0.0256155	0.0001907	0.8431299	0.6814321	1.0095127	0.0022197	1.0580104	0.6730588	0.0446995	0.9615978	0.6130562	0.4500525	0.1382505	0.0386736	1.0313754	0.6242784	0.9588653	0.3608662	0.5922609	0.4453942	0.8780956	0.9557253	0.3585501	0.8266498	0.4725035	0.6398898	0.5605034	0.8018823
0.7174793	1.0221225	1.0391777	0.6464714	0.2225390	0.0006642	0.0984880	0.3377462	0.0460548	0.8511608	0.6828402	0.4737787	0.9890127	0.5891941	0.5778473	0.8661256	0.4322212	0.9338180	0.0047513	0.2589682	1.0730991	0.6748956	0.2302412	0.3383002	0.8888848	0.5782639	1.0033700	0.0003022	1.0660322	0.8145450	0.0554413	0.6076830	0.1556392	0.9451728	0.3975761	0.3896843	0.8981220	0.9926845	0.9638905	0.4162271	0.9032239	0.1419696	0.7710533	0.4474866	0.3147208	0.0161104	0.1231849	0.3649385	0.6936881	0.9698263
0.6322450	0.9797674	0.6615017	0.5233975	0.5304325	0.2092129	0.1527276	0.3279180	0.0181075	0.5387920	1.0356216	0.4908125	0.6686805	0.2871021	0.9469294	0.9600669	0.7788439	1.0102026	0.0008528	0.4634379	1.0157977	0.7156552	0.2600996	0.0384917	1.0057180	0.5497926	1.0827780	0.0396496	0.9847963	0.8356291	0.0000374	0.9703405	0.9595908	0.7128200	0.1777718	0.0724652	0.8040229	1.0247954	1.0411970	0.5563126	0.7035832	0.2859751	0.7448731	0.4988408	0.1801517	0.2870210	0.2919879	0.0827410	0.0729619	0.8315215
0.6018040	0.9223833	0.9196912	0.5358095	0.2903921	0.0020295	0.1056039	0.4558564	0.0129203	0.8685772	0.7901696	0.4730466	1.0089619	0.2751251	0.7975097	0.9199590	0.8560533	0.9765641	0.0005121	0.6740339	0.7970801	0.7923806	0.2676758	0.2268627	1.0057425	0.5520334	0.7596139	0.0383561	0.7931744	0.6129955	0.0062828	0.8871806	1.0130876	0.9542134	0.4374806	0.4522984	0.9774147	1.0111647	0.8638925	0.4600534	0.6850809	0.3646056	0.7794056	0.4165272	0.4853783	0.2219340	0.5625480	0.3564847	0.3140347	0.5090106
0.4039383	0.9838475	1.0373241	0.6500174	0.3060135	0.0004080	0.0688099	0.0050999	1.0382368	1.0178764	0.9719223	0.1652685	1.0550367	0.3647950	0.7990711	1.1126036	0.3360088	0.9886053	0.0046702	0.6812085	1.0115968	0.4562980	0.2847536	0.3597269	0.9906707	0.5959338	1.0488400	0.0463639	1.0197212	0.6499647	0.0324954	1.0876583	1.0520021	1.0709925	0.2848659	0.2941352	0.9240107	0.9755932	0.9342450	0.2892767	0.8009613	0.9170258	1.0722215	0.3398682	0.2076015	0.0487160	0.3749385	0.2943135	0.0336614	0.9110110
0.7384026	0.9028253	0.9369800	0.6899053	0.3369913	0.4113512	0.0344248	0.0079251	0.8933399	0.2372993	0.6834934	0.6404503	1.0440488	0.8770049	0.7558615	1.0047671	0.2226725	0.9425914	0.0018822	0.1765839	0.9907652	0.7833336	0.2402246	0.1905809	0.3070538	0.7741976	0.9967973	0.0646654	1.0406781	0.7320385	0.0543561	0.9240332	0.6078037	1.0696863	0.2610085	0.1231869	0.7629681	0.7365975	0.6257025	0.5132458	0.2872179	0.8311530	0.9090967	0.4231240	0.6601914	0.0374461	0.0517177	0.7267635	0.0442244	0.5246541
