"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.6974832	1.0326255	1.0908370	0.5688609	0.2671661	0.0248953	0.0818586	0.0310096	0.7496259	1.0335725	0.9990676	0.6311557	0.9564324	0.6293662	0.8623909	1.0539690	0.5236381	1.0566372	0.0066834	0.3389951	0.9622654	0.7875896	0.2540511	0.1548260	0.9130174	0.5572782	1.0647685	0.0306925	1.0082087	0.7963262	0.0481037	0.9963263	0.9157068	0.9249685	0.3249597	0.2264167	1.0401926	1.0736437	0.9632095	0.3849792	0.6526996	0.9524007	0.7645282	0.4286559	0.3835343	0.1721924	0.1048789	0.2351811	0.0183458	1.0237156
100	0.8598025	0.6706464	1.0559613	0.5897030	0.0676900	0.0303178	0.0370118	0.0384656	0.8311760	0.9902369	0.9271485	0.5026704	0.9612602	0.4358656	1.0094705	1.0435944	0.4814157	0.7333916	0.0030501	0.2593676	0.9491434	0.5585239	0.1666615	0.0112267	0.8871818	0.9608122	1.0772548	0.0233684	1.0385682	0.7266456	0.0471543	0.9783761	1.0212846	0.3940853	0.0166752	0.0913732	0.6462075	0.8583064	0.5209789	0.5517554	0.6704539	0.7823560	0.7620002	0.5249492	0.4287160	0.2349190	0.1142183	0.2068013	0.0136497	0.8128925
200	0.8037522	0.5664376	0.9842712	0.5470676	0.0378194	0.0416681	0.0114373	0.0348658	0.9387449	1.0127098	0.9052498	0.6012013	0.9524172	0.3614088	0.9861461	1.0442936	0.3981189	0.5004407	0.0055069	0.2626227	1.0168374	0.6829011	0.1895944	0.0017605	0.9260577	1.0264617	1.0770481	0.0144530	0.9307740	0.6764499	0.0636748	0.8986919	0.8847937	0.2515995	0.0128049	0.0186432	0.5724076	0.8174198	0.4703873	0.4109129	0.7170267	0.8056444	0.8295111	0.6088891	0.3853515	0.2391780	0.1118735	0.2602168	0.0011030	0.6261870
300	0.8761180	0.5157273	1.0335333	0.6505325	0.0241683	0.0462533	0.0062408	0.0222071	0.8994076	1.0220912	1.1071693	0.6127959	1.1000972	0.3357552	1.0373382	1.0301015	0.4274709	0.5416225	0.0043963	0.2572784	0.9550217	0.5237201	0.2240873	0.0110819	1.0609759	0.9813764	0.9543696	0.0299637	1.0072360	0.8353318	0.0619637	0.9220994	1.0453647	0.2346428	0.0143669	0.0048738	0.6054571	0.8456456	0.4606173	0.4567911	0.6858339	0.8211051	0.8721808	0.4093292	0.3450446	0.2113171	0.1565965	0.2057604	0.0441902	0.5585297
400	0.9126147	0.5557109	0.8738803	0.6011518	0.0136750	0.0482686	0.0052760	0.0610659	0.8439115	0.9461506	1.0048110	0.4542022	1.0054607	0.3805181	1.0119660	1.0906242	0.4559706	0.5382556	0.0105049	0.3391364	1.0033859	0.5346673	0.2253961	0.0015874	1.0179786	0.8909504	0.9342211	0.0349382	1.0481661	0.7107470	0.0521328	0.9498004	0.9626854	0.2609068	0.0073890	0.0250403	0.6353512	0.7855427	0.3784004	0.3534751	0.7788663	0.8421310	0.9095811	0.4224099	0.4051139	0.1867215	0.1922588	0.2136155	0.0830063	0.6054611
500	0.8769486	0.5379352	1.0058469	0.6049144	0.0318818	0.0515143	0.0007849	0.0533258	0.7723931	0.9297642	0.9563947	0.4889847	1.0502796	0.4142941	0.9543735	1.1124700	0.4580444	0.4363779	0.0044370	0.2563603	1.0549596	0.6021687	0.2211476	0.0002963	1.0324584	1.0687136	1.0176621	0.0450434	0.9576478	0.7331490	0.0603982	0.9027415	0.9671486	0.3015982	0.0012722	0.0203423	0.6505708	0.8970201	0.3676711	0.4552184	0.6383279	0.8413169	0.9863806	0.3813142	0.3837144	0.2203645	0.1351602	0.2308294	0.0820957	0.5866252
600	0.7753352	0.8724837	0.9658546	0.5860943	0.2802683	0.0375117	0.0586991	0.0519030	0.7797250	0.9824580	1.0991459	0.4757849	1.0150127	0.5727118	0.8927481	1.1427552	0.4355904	0.7401822	0.0150666	0.2783350	1.0546713	0.6355131	0.2215217	0.0285928	0.8939475	0.6186908	0.9154048	0.0642576	0.9942591	0.7949898	0.0739892	1.0061407	0.9475806	0.9601092	0.1978756	0.0262512	0.9219559	0.9126842	0.8349569	0.5439913	0.7439131	0.8844041	0.8935596	0.3776761	0.3543856	0.1839231	0.1375312	0.3006575	0.0440174	0.7344035
700	0.8201844	1.0230183	0.9511239	0.5412454	0.3619916	0.0831928	0.0797817	0.0319282	0.7532946	0.8814960	1.0333603	0.3714588	1.0361402	0.5028420	0.8763759	1.0211119	0.5200477	0.9323622	0.0039806	0.2386107	0.9288466	0.7159327	0.2620210	0.0188837	1.0615293	0.5997334	1.0712895	0.0706011	1.0031768	0.8090964	0.0694926	0.8699969	0.9924296	0.9598225	0.2603599	0.1337789	1.0605460	0.8719717	0.9600415	0.4981790	0.6761033	0.9233494	0.7721564	0.3827775	0.4210704	0.1774133	0.1227230	0.2220520	0.0135704	0.9024302
800	0.7219465	1.0381900	0.9596832	0.5525852	0.3535314	0.0542836	0.0891689	0.0481638	0.8008864	1.0275342	0.9709708	0.4493282	1.0812688	0.5621860	0.8501504	0.9752170	0.5005048	1.0532260	0.0012624	0.2436315	0.9447765	0.7154502	0.2375987	0.0677740	1.0228450	0.5826133	1.0689218	0.0436735	0.9014583	0.7574442	0.0351007	0.9782848	0.9941209	1.0438585	0.3522379	0.1828935	1.0562520	1.0857218	1.0754256	0.4354186	0.5866406	0.9276456	0.7028618	0.4030144	0.3726759	0.1779893	0.1400270	0.2776681	0.0147550	0.8579744
