YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.7992446	1.0867265	1.0260435	0.6192589	0.3241632	0.0571038	0.0829083	0.0386091	0.8504745	0.8779632	1.0493061	0.5119593	1.0708235	0.6406174	0.4403342	1.0781531	0.5427403	0.9579996	0.0031577	0.3184744	0.9112065	0.7859520	0.2362426	0.0956854	1.0612837	0.5394912	1.0848555	0.0485736	1.0370244	0.8430282	0.3926191	0.1283273	0.0000000	1.0098481	0.7914109	0.7707744	0.0000000	0.9519329	0.9657829	0.5504043	0.9829722	0.2464955	0.0805772	0.4103544	0.4227786	0.1650679	0.1275682	0.1982939	0.0213545	0.9515409
0.7286370	0.9611100	1.0494691	0.5973796	0.3144615	0.0471417	0.1240351	0.0440091	0.6809167	1.0220736	0.9359496	0.5213705	1.0259988	0.5901168	0.8406767	0.9523552	0.5907488	1.1254364	0.0074074	0.4945486	1.0525249	0.8016613	0.2797344	0.0004980	1.0054551	0.6805966	1.0697767	0.0514755	1.0265829	0.0000000	0.0505116	0.9766972	1.0539933	1.0286625	0.3070142	0.2560711	1.0356326	1.0022552	0.9406403	0.0000000	0.0603087	1.1518757	0.8747808	1.0189316	0.2005589	0.6326162	0.0552793	0.2150886	0.2880650	0.8349967
0.6859638	1.0045478	0.9728989	0.5479256	0.3556661	0.0533712	0.1213964	0.0405930	0.6807343	0.9115299	0.9508135	0.5286587	0.9814321	0.5613782	0.8739254	1.0661232	0.5063690	1.0958464	0.0087878	0.4798508	1.0679872	0.7949831	0.2440521	1.0007104	1.0354624	0.6594157	1.0568967	0.0303613	0.9034760	0.0000000	0.5136850	0.9595635	1.1003031	1.0512278	0.3417056	0.2061618	0.0000000	1.0743518	1.0566380	0.0613338	0.0390140	0.9828618	0.3008750	0.8765361	0.2539249	0.5832443	0.0755848	0.2379891	0.0131985	0.9212262
0.7085483	0.9948228	1.0393076	0.5788509	0.2990071	0.0316110	0.0815081	0.0832302	0.5992072	1.1350331	1.0009556	0.5345408	0.9197677	0.5679621	0.8259292	0.9530455	0.5018969	0.9675865	0.0044210	0.5373420	1.1304722	0.7198483	0.2877284	0.0039339	1.1015981	0.6483902	0.9611458	0.0447687	0.9617264	0.0000000	0.0650586	1.0337648	0.0000000	0.9803500	0.2637895	0.3022956	0.9818714	0.9726367	1.0723821	0.0410282	0.5384647	0.9007484	0.8909124	1.0254211	0.2297658	0.5953339	0.1278843	0.2320418	0.7658871	0.9051615
0.6199750	0.9797066	1.0360924	0.5948715	0.3850239	0.0360986	0.1036483	0.0573284	0.7608931	0.9601882	1.1224498	0.4250548	1.0064959	0.5500995	0.8843780	0.9429241	0.5237307	1.0144213	0.0056149	0.4238870	1.0072327	0.6880092	0.2965915	1.1208277	0.9157229	0.6153475	0.9249811	0.0304440	0.9708401	0.0000000	0.4858241	0.9156487	0.8939559	0.0000000	0.2573604	0.1289553	1.0242967	1.0180086	1.0448417	0.0392332	0.3655928	1.0018515	0.9303714	1.0446823	0.2571382	0.5734708	0.0848767	0.2948163	0.2937286	0.8690969
0.6313329	1.0286151	1.0741773	0.5777948	0.3163786	0.0484806	0.0796571	0.0462526	0.7518760	1.0137282	1.0084129	0.5296278	0.9914180	0.5649817	0.8238146	0.9944953	0.5839406	0.9931184	0.0102442	0.2536386	0.0000000	1.0538691	0.3193156	0.4096585	1.0451459	0.6208323	1.0563981	0.0568140	0.9872515	0.0000000	0.0454610	1.1509959	0.9464489	0.9638816	0.3599471	0.3103975	1.0309033	0.8556159	1.0296996	0.0517245	0.0967295	1.0746987	0.8098443	1.1229535	0.5582657	1.0339426	0.0978101	0.0021168	0.5789818	0.8801164
0.7387192	0.9862006	1.1033274	0.5584368	0.3223938	0.0377888	0.1181295	0.0492837	0.7803360	1.0284106	1.0486913	0.6494765	1.0255447	0.6061018	0.5284791	1.1425239	0.5117553	0.9916061	0.0300777	0.3788401	0.9194484	0.7965654	0.2883000	0.1549365	0.9814722	0.5675227	1.0982245	0.0378249	1.0336002	1.0376935	0.2146796	0.4020549	0.9436804	1.0215502	0.5046675	0.5236528	0.0000000	0.9760546	1.0793859	0.0000000	0.4979518	0.4592011	0.3094263	0.4332148	0.2491655	0.2168469	0.0876170	0.2071039	0.0005316	0.9859127
0.7836834	1.0247654	1.0587389	0.6821202	0.2669370	0.0510606	0.0830277	0.0350296	0.8670633	0.9210595	1.0744525	0.4450195	1.0260908	0.6155492	0.8330982	1.0427442	0.5143127	0.9800303	0.0057617	0.3567825	0.9943481	0.7464037	0.2125426	0.5915163	1.1294530	0.5434067	1.1035157	0.0348300	1.0536380	0.7975383	0.9335105	1.0285474	0.9312321	0.0000000	0.3662979	0.1969643	0.0000000	1.0194780	1.0256103	0.4549658	0.8679884	0.8622276	0.3321703	0.4268956	0.3435426	0.2652474	0.1257383	0.3063774	0.0051944	0.9715516
0.7227249	1.0310169	0.9547441	0.5441543	0.3667225	0.0702807	0.1059501	0.0447209	0.8915166	1.0191851	1.0570417	0.5121324	1.0697543	0.6018580	0.5295065	0.9899643	0.6310189	0.9623460	0.0135220	0.3504875	1.0159282	0.7992204	0.2237844	0.0017177	1.0250841	0.5492581	1.0558874	0.0458234	1.1125488	1.0507282	0.0774154	0.4763805	0.0000000	1.0247610	0.5980511	0.5869010	1.1093945	0.9903232	1.0531729	0.0000000	0.9522206	1.0316745	0.8243592	0.4992884	0.2023391	0.2701250	0.1286190	0.1688957	0.3213790	0.9025870
0.7080336	1.0011357	0.9691659	0.6152667	0.3107022	0.0398104	0.0839839	0.0511642	0.6562901	1.0386099	1.0238610	0.4390712	0.9791665	0.5933160	0.8854067	1.0720278	0.4926241	1.1075213	0.0131579	0.3564570	0.9162200	0.6324877	0.2604995	0.2085338	1.0840932	0.6167059	0.9871113	0.0378879	1.0747097	0.8224945	0.5100816	0.9341288	0.0000000	0.0000000	0.3439492	0.2189260	1.0142874	1.0243452	0.9603027	0.5475552	0.9072534	0.9561257	0.8403777	0.4804991	0.3239304	0.1842532	0.0972580	0.2255343	0.0243606	0.9089859
