YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.3397762	1.0526383	1.0242541	0.5645534	0.3070449	0.0483170	0.0789689	0.0593139	0.7661136	1.0577827	1.0124498	0.4885486	0.9566664	0.6158432	0.8886142	0.8903062	0.5825868	1.0151752	0.0135030	0.3702230	1.2096247	0.8117348	0.2340042	0.2110644	0.9689693	0.5164366	0.9977107	0.0391977	1.0305441	0.7058928	0.0633712	1.0405272	1.0637057	1.1247288	0.3943163	0.2811366	0.9746624	1.0695016	0.9897055	0.4209826	0.7827440	0.8786526	0.6669019	0.4698899	0.3850971	0.2211739	0.1055705	0.2794628	0.0093037	1.0540064
0.9812337	0.5175779	1.0135581	0.5510278	0.2992312	0.0358407	0.1248212	0.0578979	0.6846416	1.0340103	0.9980412	0.5166024	0.9637128	0.5418319	0.9399089	1.0674054	0.6048985	1.0011983	0.0041580	0.3545892	1.1143129	0.7004179	0.2733908	0.0870600	1.0364938	0.5796561	0.9309211	0.0479917	0.9695477	0.8397199	0.0436889	0.9007046	1.0134782	0.9866441	0.3484879	0.2095902	1.0357608	1.2092043	1.0632984	0.5125248	0.6981617	0.8637214	0.6745542	0.5108248	0.4181334	0.1977429	0.1213918	0.2314410	0.0105879	0.9264404
0.3992223	1.0048952	0.4681716	0.2946899	0.9359850	0.1177519	0.4626316	0.2263914	0.0995814	0.9126194	0.7858347	0.6330510	1.0125250	0.5762402	0.8159938	1.0451033	0.6647813	0.9773024	0.0179175	0.4925373	1.0208165	0.4717840	0.4698140	0.1270406	1.0171170	0.6136092	1.1181493	0.0305969	1.0120642	0.8858882	0.0212683	1.0211872	0.9710210	0.9505103	0.3612905	0.3108467	1.0931847	1.1418529	1.0953446	0.6661171	0.7065654	0.4558631	0.7575911	0.3943284	0.3837798	0.1902573	0.1362605	0.2648921	0.0060833	0.9432297
0.7952970	0.9237660	1.0491309	0.3572339	0.2547488	0.0401067	0.0788322	0.0383930	0.8881132	1.0650057	0.9519053	0.5304001	0.9730212	0.6182978	0.8649643	0.9357082	0.5183968	1.0624530	0.0164099	0.3404856	1.0257673	0.7955984	0.2219918	0.0801760	0.9605791	0.5781775	1.0985540	0.0396366	0.9735804	0.8997584	0.0368624	0.8561609	1.0005200	1.0508515	0.3576411	0.2525397	1.0196243	1.0228344	0.8931184	0.5120624	0.7645338	0.9782352	0.6627763	0.3819651	0.3117886	0.2231094	0.1145396	0.2199119	0.0068115	0.9310180
0.6876935	1.1218635	1.0193574	0.5392122	0.1695815	0.0414398	0.0778290	0.0492573	0.7822860	1.0215459	1.0824385	0.5360351	0.9253927	0.6255837	0.8492241	1.0420850	0.5197373	1.0111203	0.0080040	0.3065246	1.0723816	0.7502582	0.2391303	0.0831205	0.9977125	0.5932069	1.0271541	0.0321622	1.0052163	0.7745104	0.0434672	0.9581227	1.0241197	1.1034378	0.3540786	0.2213095	0.9868775	0.9723940	1.0482169	0.4450846	0.7283916	0.8424065	0.6957024	0.3622618	0.4392283	0.2220877	0.1400748	0.2426353	0.0044053	1.0058906
0.8196659	0.8629998	0.9879992	0.6325818	0.3493594	0.0248155	0.1210600	0.0465596	0.7761505	1.0069132	1.0686694	0.5171399	1.0251201	0.5689314	0.8067265	1.0900220	0.5973483	1.0597277	0.0181507	0.3802792	0.9172395	0.7521633	0.1901960	0.0691723	1.0618022	0.6325357	1.0173785	0.0482398	0.8782266	0.8464466	0.0761375	0.8586768	0.9862871	1.1216711	0.3277955	0.2615149	1.0005624	1.0177396	0.9297927	0.5645690	0.8441949	0.7584021	0.6938190	0.3907825	0.4210628	0.2056301	0.1097574	0.3065354	0.0093598	0.9479628
0.7079979	0.9804964	1.1308256	0.6291893	0.3144755	0.0487140	0.0300103	0.0324897	0.9409266	0.9762879	0.9790617	0.5380054	1.0622026	0.6159933	0.8271125	0.9986460	0.6133074	1.0729099	0.0037508	0.3620403	1.1312293	0.8588349	0.2383368	0.2043460	0.9835233	0.5993042	1.0642829	0.0238697	0.9799658	0.8940177	0.0495562	0.9623419	1.0595946	0.9732450	0.2862865	0.2183422	0.9968939	0.8611513	1.0627248	0.5763007	0.6992384	1.0267763	0.7147561	0.4276869	0.3393063	0.2161942	0.1524654	0.2335134	0.0024296	0.9601178
0.6468473	0.9790577	0.8926465	0.5213675	0.3988523	0.0487568	0.1211501	0.0131479	1.0557650	1.0251437	0.9660143	0.5685280	0.9954443	0.5518994	0.8632646	1.0193408	0.6090105	1.0284843	0.0202977	0.3576650	1.0074341	0.7901306	0.2127135	0.1805835	1.0408227	0.6255614	1.1274955	0.0378782	0.9917158	0.7909672	0.0580883	0.9611496	1.0640566	0.8360242	0.3013751	0.1808253	1.0701387	0.9581687	0.8816380	0.4793126	0.6508303	0.8589940	0.6276322	0.4308578	0.3541034	0.2344022	0.1092963	0.1969687	0.0089094	0.9341306
0.7199038	0.9976118	1.0001065	0.5744545	0.3647296	0.0441792	0.1127618	0.0324734	0.4484982	1.0911209	1.1654673	0.4540264	0.9930478	0.6896346	0.9018760	1.1348655	0.4691445	1.0770115	0.0110721	0.3147893	1.0037818	0.7767979	0.2246064	0.0328229	1.0829502	0.6081280	1.0643475	0.0585712	1.0497151	0.7626397	0.0335759	0.9148675	1.0619187	1.0628250	0.2897295	0.2702146	0.9173107	0.9041090	0.9818342	0.5133253	0.6675904	0.8276767	0.7612227	0.5097790	0.3625348	0.1671854	0.1613601	0.1930882	0.0025658	0.9630701
0.7187081	0.9423715	0.8919682	0.5533175	0.4127135	0.0721997	0.1193702	0.0431900	0.7867588	0.5042666	0.9770175	0.4846496	1.0537140	0.5768329	0.8561763	0.9770015	0.5604556	1.1031657	0.0105300	0.2935974	1.0806996	0.8095593	0.2008940	0.1487121	0.9979090	0.5602844	0.8557998	0.0454910	1.0553881	0.7260062	0.0540544	1.0061640	1.0047708	1.0685890	0.2936973	0.2665264	1.0047603	1.0487795	0.9257406	0.5748184	0.7887044	0.8461342	0.7357418	0.4461762	0.3297686	0.2413882	0.1183640	0.2652710	0.0076125	0.9063978
