YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.0000000	1.0779827	0.9767776	0.5893719	0.3363479	0.0306972	0.0778684	0.0328955	0.8924524	0.9950995	1.0099361	0.4363520	0.9636280	0.5969484	0.8761209	1.0040468	0.6088210	0.9451467	0.0124021	0.4033914	0.9512077	0.7354235	0.2349532	0.0791115	1.0566078	0.5560938	1.0900121	0.0414824	0.9259475	0.8311581	0.0408873	0.9148308	1.0683712	1.0043374	0.3347262	0.1955560	0.9964272	0.9575649	1.0560499	0.4567503	0.6882304	0.8079389	0.7420606	0.4860091	0.3331034	0.2599161	0.1234317	0.2270063	0.0090450	0.9079682
1.0066425	0.0000000	1.0803784	0.6631517	0.2549420	0.0317346	0.0784818	0.0301464	0.8458079	0.9665085	1.0909491	0.4663931	1.1384992	0.5923630	0.9095938	1.1124992	0.5098314	1.0757288	0.0136391	0.3195581	0.9579410	0.7958740	0.2154010	0.1490607	1.0741420	0.5713374	1.1264796	0.0447198	0.9993879	0.8540612	0.0357654	0.9381625	0.9092629	1.0736713	0.3343655	0.3371015	0.9527522	0.9983757	1.0610894	0.4855995	0.7178606	0.9062953	0.7607642	0.4768322	0.4221868	0.2106965	0.1621726	0.2397838	0.0057701	0.9594668
0.2570974	0.9922729	0.0000000	0.0574152	1.0498455	0.5990450	1.1164478	0.5600695	0.0529498	0.4205883	0.3727763	1.0178039	0.9994135	0.6681513	0.8303669	0.9609291	0.2553865	1.0138702	1.0556366	0.6749558	1.0050587	0.3374361	0.8922078	0.0868835	1.0795253	0.5969379	0.9783537	0.0456360	0.9423457	1.0099495	0.0346762	1.0210672	1.0339276	1.0512742	0.3628270	0.2379504	0.9733872	0.9257319	1.0215107	0.5490172	0.7193548	0.3184118	0.7783530	0.4117156	0.4073227	0.1325013	0.1433388	0.2850743	0.0014001	0.7810492
0.7388667	0.9338866	1.0220681	0.0000000	0.3509986	0.0417403	0.1083313	0.0518807	0.7503761	1.0211185	1.0492057	0.5235570	1.0273829	0.5535581	0.8170003	0.9743036	0.5740990	1.0810903	0.0051915	0.4017825	0.9791046	0.6594899	0.1953627	0.1516439	1.0012599	0.6090141	0.9589517	0.0413082	0.9746951	0.6421414	0.0458563	0.9745714	1.1100266	0.9297895	0.2946389	0.2095293	1.0457138	0.9820292	1.0331680	0.4708522	0.7615403	0.8548672	0.7304499	0.4468460	0.3297537	0.2541981	0.1171263	0.1950285	0.0162963	0.8733828
0.6666445	1.0842712	1.0589252	0.6320280	0.0000000	0.0352876	0.1134854	0.0655120	0.6363682	0.9969302	0.9851577	0.5101067	1.0770577	0.6030580	0.7758121	1.0755094	0.6296508	1.0463037	0.0031170	0.3222629	0.9092327	0.7898765	0.2463511	0.1391009	1.0754564	0.6066474	0.9719981	0.0507879	0.9781607	0.8089650	0.0258333	0.9983943	1.1256515	1.0836806	0.2635934	0.2310590	1.0748638	1.0129548	1.0467309	0.4868751	0.6302642	0.8957621	0.7207399	0.4983532	0.4003313	0.1875010	0.1289609	0.2538352	0.0040979	0.9986279
0.6637203	0.9764309	1.0766844	0.6173042	0.2742116	0.0000000	0.0694876	0.0465027	1.0383441	0.9589918	1.0688958	0.4827311	0.9711402	0.6472836	0.8203725	0.9710934	0.5872994	0.9802525	0.0037307	0.3750360	1.0095996	0.7775620	0.2635291	0.0379994	1.0300020	0.7112221	1.0307522	0.0325058	0.9229758	0.7577787	0.0542179	0.9936961	1.0145925	0.9720683	0.2441238	0.2473645	0.9949765	1.0605474	1.0075923	0.4908959	0.6938131	1.0245520	0.6448757	0.4381138	0.4179780	0.1713328	0.1148692	0.2592625	0.0080184	0.8955670
0.6918221	1.0285903	1.0224596	0.6241205	0.3917122	0.0332740	0.0000000	0.0620786	0.8547084	0.9976320	1.0615780	0.5452995	0.9900841	0.6589929	0.7959857	0.9398532	0.6496825	0.9951025	0.0106783	0.3889056	0.9626538	0.9242207	0.2560806	0.1194405	1.1113224	0.5741600	1.0542516	0.0316713	0.9831222	0.8084413	0.0347567	0.9247025	1.0654672	1.0535870	0.3475732	0.1784180	1.0667472	0.9899523	0.9766793	0.4781572	0.6829268	0.9011082	0.6758528	0.4427486	0.4411272	0.5704616	0.1400654	0.2776928	0.1858588	0.9122956
0.6644879	1.0091224	1.0171796	0.5834688	0.3301024	0.0473110	0.0934039	0.0000000	0.9548582	0.9396999	1.0027510	0.5314935	1.0628742	0.5874204	0.8270025	1.0696330	0.5056366	0.9660268	0.0100879	0.3377128	0.9074844	0.7289596	0.3142622	0.0728761	0.9502592	0.6124660	0.9492715	0.0358718	1.0105556	0.8140330	0.0332058	0.9471643	1.0405253	0.9844091	0.2886911	0.2447663	0.9861655	0.9493582	0.9807930	0.5893796	0.6315463	0.7641589	0.8447827	0.3830109	0.3148058	0.1744296	0.1408647	0.2240543	0.0072692	0.9917368
0.7959964	0.9362618	1.0223071	0.5557848	0.3387709	0.0623150	0.1318826	0.0522567	0.0000000	0.9935869	0.9347568	0.4970794	0.9965431	0.6001349	0.8516417	0.9608100	0.5905478	1.0843446	0.0018535	0.3832223	1.0176457	0.7257455	0.2164181	0.1492133	0.9032478	0.6187934	1.0179931	0.0239065	0.9615865	0.8974529	0.0670635	0.9475301	1.1407930	1.0375575	0.3726846	0.2478047	1.1216000	0.9547258	0.9356358	0.4672638	0.6661020	0.2745202	0.6914914	0.5078960	0.3435560	0.1900106	0.1196006	0.3112889	0.0135810	0.9248713
0.7564008	1.0359710	0.9736907	0.5621588	0.2805326	0.0368886	0.0822452	0.0547910	0.5738987	0.0000000	0.9732862	0.4467747	1.0310722	0.6425126	0.8614084	1.0464020	0.5194579	0.9689378	0.0094808	0.4085475	1.1567713	0.7398906	0.2792605	0.1061817	1.0171589	0.6439817	1.0428251	0.0337277	0.9736027	0.7808707	0.0464988	0.9551169	1.1065173	1.0598417	0.2804018	0.2237663	0.9649269	0.8997662	0.9216984	0.4469943	0.6289378	0.7960437	0.6793492	0.4117795	0.4151822	0.1811598	0.1043740	0.3143030	0.0105874	0.8740427
