YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.7576786	0.8047788	0.9596234	0.5328392	0.2828123	0.0019884	0.0375199	0.0077753	0.7722170	0.7265394	0.8225158	0.4321641	1.1412600	0.3120255	0.7887410	1.0510621	0.5255410	0.9611081	0.0136147	0.7850745	0.8647584	0.7165048	0.2589575	0.0819911	0.9373142	0.4574371	0.5959260	0.0441507	1.0046584	0.8441113	0.0534731	0.8679959	1.0214374	0.8429383	0.3343340	0.3090411	0.9752495	0.8598154	0.8862104	0.4577360	0.7375035	0.9400438	0.8577903	0.4578260	0.1280454	0.1743109	0.0904614	0.6180148	0.1023821	0.8483999
0.6354997	0.9939148	0.8381034	0.7297912	0.2993783	0.0008038	0.1467006	0.1279163	0.1328495	0.8660287	0.9795375	0.2855973	0.9898820	0.7969336	0.6256709	0.9576639	0.7335454	1.0559929	0.0070759	0.2689854	0.9607577	0.9277952	0.1263269	0.2526593	0.9713098	0.5238962	0.8187877	0.0010754	1.0867588	0.7238748	0.0736825	0.8917765	1.0352717	0.7099330	0.3880999	0.2401574	1.0354528	0.6649954	0.9631285	0.7109244	0.4687263	0.4259402	0.8604502	0.6932956	0.2324378	0.0651586	0.1975901	0.1615635	0.3174359	0.9147049
0.4544133	0.9465631	0.4174511	0.1616576	0.7699252	0.1210084	0.5076194	0.2349001	0.0306695	0.9639304	0.7936033	0.4780328	1.0082077	0.4733204	0.6618035	0.8905413	0.3839513	0.7144664	0.0096688	0.2890551	0.9361588	0.5454176	0.4616658	0.2648352	0.6473329	0.5055764	0.8572596	0.0012850	0.9866779	0.8001030	0.0892415	0.9822281	1.0574202	0.9960754	0.4012213	0.5280544	0.7746047	0.9675071	1.0218371	0.6673671	0.7895040	0.0618524	0.7074373	0.4124080	0.4757522	0.3041305	0.5799769	0.4945680	0.0027082	0.8526063
0.6568070	1.1139656	1.0033641	0.5736543	0.3584399	0.0015827	0.0904291	0.0087227	0.8302400	1.0079019	0.9032257	0.1778438	1.0072028	0.7633690	0.4014171	1.1511200	0.1648001	0.3665912	0.0149278	0.2208107	0.7318914	0.9225220	0.0206473	0.1543411	0.8858492	0.5488798	0.9166337	0.0298251	0.5513090	0.7779102	0.0430328	0.9803921	0.8949703	1.1041749	0.4420674	0.5892544	0.8280008	0.9699640	1.0876195	0.3077954	0.3432152	1.0559611	0.5141536	0.3556014	0.5185952	0.6717187	0.0769700	0.0622612	0.0143590	0.9925626
0.5704678	1.0509070	0.9894299	0.5148963	0.3765570	0.0297482	0.0626055	0.5101904	0.0589553	0.8240239	0.9799005	0.1566825	0.9945290	0.6612243	0.5377667	0.7271943	0.4496986	0.9596534	0.0132240	0.3199416	0.7655161	0.9623338	0.0156835	0.0005442	0.7865067	0.6690657	1.0959554	0.0091442	1.0288537	0.7111776	0.0411125	0.9675114	0.6126839	0.4340701	0.1444049	0.0343100	1.0927174	0.6014713	1.0872040	0.3784163	0.5848275	0.4007037	0.8682963	0.9181786	0.3292833	0.8055069	0.5336009	0.6872955	0.5005122	0.8006417
0.6650154	0.9735888	1.0829639	0.6150748	0.2757986	0.0013229	0.0851304	0.3347111	0.0484252	0.8649203	0.6498298	0.4480797	1.0144109	0.6158433	0.6287649	0.8960357	0.4269499	0.8411591	0.0126095	0.2414090	1.0218242	0.6322674	0.2974318	0.3442299	0.9112924	0.5866952	0.9889618	0.0003828	1.0746795	0.7515864	0.0610899	0.6716483	0.1706377	0.9122584	0.4714038	0.3122346	0.9575173	0.9071511	0.9159975	0.4084356	0.9775301	0.1694652	0.7576807	0.4050604	0.2671293	0.0183664	0.1122079	0.3437083	0.6873606	1.0000746
0.6324723	0.9867426	0.7902373	0.5046082	0.5253881	0.2253511	0.1434179	0.3228966	0.0130877	0.5447398	0.9403835	0.5094164	0.7686103	0.2399320	1.0250090	0.9643649	0.6840825	1.0666779	0.0004947	0.4292769	0.9874474	0.8259103	0.2205276	0.0407435	1.0478131	0.5280619	1.0754823	0.0568329	0.9557514	0.8738274	0.0050244	1.0359845	0.8976835	0.6921826	0.2170072	0.0692143	0.8217741	1.0706223	1.0930018	0.4721493	0.6887016	0.2996842	0.7134047	0.4360832	0.2333774	0.3141828	0.3072143	0.0801442	0.0681551	0.8119392
0.6066370	0.8956550	0.9670832	0.5131978	0.3274795	0.0005907	0.0994572	0.4624223	0.0090927	0.8413923	0.8919842	0.4980825	0.9674109	0.3244064	0.8088626	1.0252594	0.7941008	1.0033806	0.0016429	0.6906557	0.7365853	0.7496945	0.2112559	0.2154916	1.0215019	0.4936414	0.7291997	0.0720152	0.7425206	0.6242024	0.0108023	0.8788947	0.9393774	0.9771434	0.4588269	0.4732079	0.9390755	1.0104583	0.9742104	0.4150466	0.6486107	0.3256604	0.7451983	0.4492996	0.3961322	0.2009256	0.5539972	0.3492572	0.3085697	0.4808995
0.3769182	1.0338503	1.0175524	0.6478186	0.3174510	0.0018550	0.0717105	0.0122472	1.0433420	0.9984380	1.0338287	0.1725242	1.0799075	0.3305520	0.6397342	0.9772241	0.3292235	1.0683688	0.0099520	0.7652549	0.9537446	0.4668340	0.2112157	0.3661662	0.9439710	0.6132529	1.0702381	0.0329498	1.0232237	0.5986500	0.0261542	1.0997483	1.0564717	1.0606395	0.3468188	0.3078912	0.8233277	1.0787209	0.9675590	0.2600559	0.8664717	0.8352629	0.9795198	0.3380861	0.2326744	0.0556581	0.3212055	0.2881088	0.0310094	1.0005885
0.7535228	0.8848621	1.0096924	0.7265217	0.3369824	0.3976622	0.0465666	0.0202597	0.8649725	0.2734554	0.6462313	0.5720672	1.0767103	0.8187308	0.7499096	1.0148254	0.2057928	0.9525426	0.0012031	0.2021086	1.0536753	0.7741105	0.2316135	0.1960097	0.3172531	0.7353221	1.0415402	0.0524617	1.0836052	0.8033007	0.0652390	0.8992537	0.5869826	1.0084253	0.2872708	0.1381745	0.7432414	0.7398440	0.7701925	0.5275847	0.2658436	0.8094585	0.8999475	0.4418371	0.6485657	0.0376235	0.0556516	0.7889651	0.0660579	0.5258103
