"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256290	0.9991589	0.9993072	0.4916405	1.0000000	0.5886407	0.8338755	1.0000000	0.5342970	1.0000000	0.0049989	0.3446651	1.0000000	0.7604794	0.2328184	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869508	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288886	1.0000000	1.0000000	1.0000000	0.4887503	0.6869594	0.8705915	0.6905994	0.4293824	0.3674519	0.1937890	0.1232766	0.2369451	0.0084708	0.9193772
100	0.7562676	0.5420659	1.0000000	0.5828749	0.0372603	0.0373389	0.0134631	0.0368929	0.8357817	0.9997566	0.9997443	0.4915250	1.0000000	0.4073734	0.9300030	1.0000000	0.4868799	0.5245919	0.0049989	0.3399004	1.0000000	0.5658038	0.2328233	0.0091524	1.0000000	0.9858574	1.0000000	0.0386883	1.0000000	0.7869654	0.0496625	0.9436323	1.0000000	0.2845005	0.0239144	0.0529565	0.6332829	0.8908428	0.4321221	0.4887457	0.7020166	0.8547511	0.8159254	0.4268539	0.3691356	0.1919031	0.1413388	0.2369074	0.0091671	0.6932252
200	0.8236275	0.5262091	1.0000000	0.5829027	0.0292281	0.0371070	0.0053814	0.0337939	0.8709209	0.9997977	0.9999590	0.4912373	1.0000000	0.3827036	0.9638732	1.0000000	0.4183648	0.4832162	0.0049989	0.3358712	1.0000000	0.5604540	0.2328231	0.0009952	1.0000000	0.9888531	1.0000000	0.0386883	1.0000000	0.7869648	0.0640842	0.9363867	1.0000000	0.2545854	0.0107160	0.0150264	0.5910315	0.8823853	0.3854791	0.4887518	0.7547633	0.8293442	0.8985159	0.4119574	0.3693359	0.1905094	0.1635742	0.2368659	0.0144524	0.5927102
300	0.8409326	0.5256600	1.0000000	0.5829030	0.0289937	0.0370812	0.0045634	0.0332301	0.8901699	0.9998021	0.9999938	0.4911249	1.0000000	0.3755941	0.9720496	1.0000000	0.3931238	0.4796152	0.0049989	0.3349678	1.0000000	0.5603072	0.2328226	0.0003705	1.0000000	0.9888763	1.0000000	0.0386883	1.0000000	0.7869631	0.0701333	0.9315979	1.0000000	0.2533347	0.0101425	0.0129962	0.5861634	0.8817300	0.3816480	0.4887517	0.7689322	0.8229215	0.9133142	0.4028659	0.3693472	0.1902757	0.1707986	0.2368585	0.0259269	0.5830342
400	0.8437955	0.5256410	1.0000000	0.5829030	0.0289868	0.0370788	0.0044806	0.0331469	0.8956605	0.9998027	0.9999990	0.4911007	1.0000000	0.3742744	0.9741300	1.0000000	0.3871866	0.4793018	0.0049989	0.3348379	1.0000000	0.5603034	0.2328226	0.0003277	1.0000000	0.9888765	1.0000000	0.0386883	1.0000000	0.7869634	0.0715966	0.9298907	1.0000000	0.2532824	0.0101578	0.0128952	0.5856026	0.8816792	0.3813334	0.4887510	0.7704734	0.8230732	0.9154512	0.4006908	0.3693475	0.1902519	0.1722877	0.2368577	0.0325815	0.5823268
500	0.8442074	0.5256404	1.0000000	0.5829030	0.0289866	0.0370786	0.0044722	0.0331351	0.8968445	0.9998028	0.9999998	0.4910964	1.0000000	0.3740629	0.9746038	1.0000000	0.3860349	0.4792746	0.0049989	0.3348231	1.0000000	0.5603032	0.2328227	0.0003254	1.0000000	0.9888765	1.0000000	0.0386883	1.0000000	0.7869635	0.0718695	0.9294930	1.0000000	0.2532802	0.0101774	0.0128905	0.5855379	0.8816753	0.3813075	0.4887511	0.7705953	0.8235161	0.9157381	0.4003152	0.3693475	0.1902500	0.1725423	0.2368576	0.0342384	0.5822788
600	0.7530737	0.9835745	1.0000000	0.5800601	0.3041967	0.0371901	0.0843184	0.0347361	0.8953138	0.9992326	0.9999370	0.4911026	1.0000000	0.5702401	0.9348434	1.0000000	0.4504348	0.9546803	0.0049989	0.3404078	1.0000000	0.7549797	0.2328227	0.0744915	1.0000000	0.6021454	1.0000000	0.0386883	1.0000000	0.7869635	0.0565696	0.9245417	1.0000000	0.9687795	0.2430667	0.0527879	0.9522476	0.9908321	0.9491833	0.4887511	0.6987053	0.8575582	0.8068650	0.4246423	0.3692712	0.1924953	0.1474488	0.2369011	0.0120009	0.8342162
700	0.7062609	0.9994312	1.0000000	0.5800324	0.3122289	0.0376051	0.0924001	0.0389363	0.8754276	0.9991880	0.9996036	0.4912423	1.0000000	0.5855260	0.8708343	1.0000000	0.5123187	0.9960557	0.0049989	0.3440159	1.0000000	0.7603276	0.2328227	0.1027571	1.0000000	0.5991497	1.0000000	0.0386883	1.0000000	0.7869635	0.0449119	0.9420463	1.0000000	0.9986947	0.3109680	0.1747507	0.9944982	0.9992897	0.9958261	0.4887511	0.6876679	0.8706093	0.7136025	0.4289003	0.3679711	0.1936157	0.1285902	0.2369375	0.0087973	0.9126082
800	0.6986793	0.9999803	1.0000000	0.5800321	0.3124633	0.0378114	0.0932181	0.0408928	0.8477079	0.9991697	0.9993898	0.4914672	1.0000000	0.5881315	0.8399753	1.0000000	0.5298014	0.9996567	0.0049989	0.3446083	1.0000000	0.7604745	0.2328227	0.1075725	1.0000000	0.5991265	1.0000000	0.0386883	1.0000000	0.7869635	0.0419303	0.9483879	1.0000000	0.9999454	0.3174585	0.2231489	0.9993661	0.9999450	0.9996572	0.4887511	0.6869787	0.8718518	0.6940927	0.4293022	0.3672087	0.1937710	0.1242150	0.2369440	0.0085050	0.9189113
900	0.6976099	0.9999993	1.0000000	0.5800321	0.3124701	0.0378614	0.0933008	0.0413987	0.8325205	0.9991618	0.9993252	0.4915889	1.0000000	0.5885612	0.8342734	1.0000000	0.5334805	0.9999701	0.0049989	0.3446641	1.0000000	0.7604785	0.2328227	0.1081446	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0413687	0.9498099	1.0000000	0.9999977	0.3170090	0.2294139	0.9999270	0.9999957	0.9999718	0.4887511	0.6869435	0.8713361	0.6910848	0.4293685	0.3672490	0.1937871	0.1234250	0.2369449	0.0084748	0.9193462
1000	0.6974639	1.0000000	1.0000000	0.5800321	0.3124703	0.0378705	0.0933092	0.0415008	0.8273475	0.9991595	0.9993107	0.4916282	1.0000000	0.5886287	0.8337916	1.0000000	0.5341593	0.9999974	0.0049989	0.3446655	1.0000000	0.7604786	0.2328227	0.1082034	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412832	0.9500749	1.0000000	0.9999999	0.3166771	0.2292848	0.9999916	0.9999997	0.9999977	0.4887511	0.6869427	0.8708909	0.6906668	0.4293799	0.3673644	0.1937885	0.1232967	0.2369451	0.0084713	0.9193752

