YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.6817930	0.8104437	0.9851422	0.5671200	0.2690670	0.0000953	0.0441314	0.0017066	0.7520571	0.7784096	0.7751662	0.4503471	1.0000000	0.3223563	0.7485827	1.0000000	0.4807185	1.0000000	0.0050421	0.7947563	1.0000000	0.7520162	0.2393049	0.0972769	1.0000000	0.4513909	0.6183291	0.0386883	1.0000000	0.8054007	0.0338887	0.9907845	0.8260450	0.8216656	0.3085905	0.3950247	0.9760149	0.8291581	0.7923227	0.4627821	0.6678676	0.8891612	0.9016722	0.4358373	0.1402076	0.1653724	0.0675654	0.6106129	0.0905356	0.8368664
0.6628615	1.0000000	0.9069443	0.6963633	0.3440086	0.0014154	0.1108869	0.1344998	0.1033534	0.8763790	0.9987685	0.2364679	0.9033565	0.7745150	0.7033329	1.0000000	0.6899962	0.9565942	0.0053147	0.2303413	1.0000000	0.9104382	0.1180211	0.2654013	1.0000000	0.5865853	0.8824871	0.0000000	1.0000000	0.6420922	0.0418189	0.9919040	0.9689456	0.7263728	0.3185109	0.2186977	1.0000000	0.6455660	1.0000000	0.6489302	0.5214130	0.3448576	0.8093447	0.7590631	0.2261239	0.0740365	0.2316709	0.1613643	0.3491201	0.9260808
0.4348005	0.9204984	0.4184391	0.1508302	0.7296534	0.1369261	0.5045553	0.2363813	0.0220343	0.8982419	0.8379562	0.5536444	1.0000000	0.4116366	0.6953328	1.0000000	0.3561830	0.8213362	0.0079902	0.3404154	0.9844010	0.5201093	0.4591830	0.2600187	0.6956710	0.4941221	0.8239689	0.0000001	0.9185559	0.7921307	0.0536730	0.9204533	1.0000000	1.0000000	0.4343157	0.3794618	0.7545527	1.0000000	1.0000000	0.6657390	0.7803036	0.0579798	0.6905224	0.4172889	0.4049340	0.2681663	0.5549330	0.4373285	0.0062815	0.8969804
0.6733573	1.0000000	1.0000000	0.6487621	0.3124703	0.0007938	0.0933102	0.0084021	0.8381367	0.9625843	0.8911150	0.1828607	1.0000000	0.7637144	0.4263871	1.0000000	0.1910953	0.4438895	0.0049989	0.2379119	0.7121488	0.9966936	0.0186244	0.1645275	0.8683052	0.5173371	0.8791700	0.0294047	0.5508527	0.7799080	0.0462612	0.9529687	1.0000000	1.0000000	0.3969932	0.6504633	0.8906780	1.0000000	1.0000000	0.4375367	0.3764453	0.9077134	0.5027721	0.3881768	0.5017844	0.6946698	0.0884671	0.0636561	0.0109190	0.9564623
0.5753628	1.0000000	1.0000000	0.5162744	0.3124703	0.0336514	0.0416835	0.4706761	0.0428401	0.8267909	0.9999529	0.1941617	1.0000000	0.6476707	0.5739734	0.6823623	0.4589560	1.0000000	0.0049989	0.3614287	0.7518616	0.9617064	0.0179534	0.0004406	0.8359062	0.6543737	1.0000000	0.0000000	1.0000000	0.7126292	0.0427820	0.9720704	0.6334866	0.4385079	0.1344027	0.0305827	0.9997876	0.6507614	1.0000000	0.3774437	0.5778396	0.3516421	0.9095353	0.9370950	0.2902978	0.9158556	0.4577059	0.6140058	0.5083526	0.8853510
0.6974412	1.0000000	1.0000000	0.6257847	0.2472760	0.0007938	0.0933102	0.3098852	0.0549923	0.7978121	0.6214771	0.4276939	1.0000000	0.6577406	0.6758831	0.9016642	0.4302781	0.8662063	0.0049989	0.2643655	1.0000000	0.7497101	0.2410785	0.2846801	0.9224549	0.5628509	1.0000000	0.0000001	1.0000000	0.7901042	0.0519195	0.5760518	0.1481792	1.0000000	0.4328540	0.4345339	0.8573183	0.9275385	0.9244973	0.4477106	0.8864926	0.0976525	0.7349501	0.4289385	0.3342341	0.0207013	0.1062447	0.2662301	0.6377966	0.9377378
0.6191781	1.0000000	0.8040040	0.5126062	0.4894976	0.2079552	0.1401559	0.3816866	0.0088795	0.5902384	0.9973128	0.4932136	0.6592118	0.2369701	0.9908516	1.0000000	0.7684492	1.0000000	0.0010134	0.4259988	1.0000000	0.7227437	0.2621131	0.0682212	1.0000000	0.5628509	1.0000000	0.0386883	1.0000000	0.8099194	0.0000026	0.9327426	1.0000000	0.6861412	0.1830780	0.0645480	0.8026241	1.0000000	1.0000000	0.4671862	0.7764389	0.2938313	0.7179047	0.4254518	0.2277737	0.2976642	0.3654682	0.0974411	0.0635082	0.8251512
0.6027422	0.9157594	1.0000000	0.5162744	0.2591882	0.0007938	0.0933102	0.5114273	0.0044942	0.8393015	0.8814724	0.4419440	1.0000000	0.2834993	0.7444436	0.9294553	0.7952000	1.0000000	0.0006176	0.6191045	0.7299973	0.7757350	0.2442308	0.3185136	1.0000000	0.4845171	0.8022076	0.0386885	0.7575593	0.5962870	0.0248475	0.9619053	1.0000000	1.0000000	0.4356078	0.5497513	1.0000000	1.0000000	0.8370851	0.4307470	0.7003731	0.3120149	0.7026455	0.4329799	0.4876393	0.2050017	0.5346811	0.3374357	0.3030494	0.4676217
0.3692187	0.9901891	1.0000000	0.6767455	0.3124703	0.0004166	0.0744043	0.0051952	0.9992557	0.9414866	0.9996745	0.2106561	1.0000000	0.3117227	0.7629785	1.0000000	0.3695789	1.0000000	0.0049989	0.7684883	1.0000000	0.4502994	0.2631493	0.2862019	1.0000000	0.5628509	1.0000000	0.0386883	1.0000000	0.6443211	0.0252921	0.9768451	1.0000000	1.0000000	0.3430777	0.2524146	0.8707083	1.0000000	0.9493782	0.2964781	0.8173751	0.8685866	0.9491234	0.3768616	0.2074006	0.0359129	0.3496449	0.3228869	0.0228961	0.9377379
0.6974412	1.0000000	1.0000000	0.7211565	0.3124703	0.3892294	0.0452217	0.0017979	0.8830414	0.2909840	0.7223702	0.6090929	1.0000000	0.7971113	0.7171445	1.0000000	0.1982825	0.9455644	0.0008068	0.1799835	1.0000000	0.7566411	0.2357539	0.2415366	0.2650773	0.6783976	1.0000000	0.0386883	1.0000000	0.7648001	0.0585010	0.9171030	0.6069012	1.0000000	0.2427790	0.1235257	0.7208433	0.7211071	0.6889874	0.4746535	0.2823596	0.8631260	0.8097433	0.4194486	0.6481328	0.0476343	0.0549306	0.6944595	0.0483073	0.5479886
0.4318814	1.0000000	0.7150114	0.3516291	0.4013585	0.0065607	0.1787379	0.0328635	0.8404964	0.8428422	0.7909362	0.6903464	1.0000000	0.5030205	0.6121612	0.9930936	0.8699506	1.0000000	0.0015671	0.2856899	0.4939865	0.7072627	0.2537378	0.5982635	1.0000000	0.5866509	1.0000000	0.0000002	0.8164878	0.4371434	0.0179076	0.9535926	1.0000000	0.8614106	0.1833998	0.4663036	0.6970524	1.0000000	0.9014429	0.3982834	0.6931049	0.9090811	0.8368350	0.4395623	0.4267446	0.6842153	0.0640347	0.0000344	0.1894920	0.9263676
