"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415225	0.8255774	0.9991589	0.9993072	0.4916433	1.0000000	0.5886407	0.8338751	1.0000000	0.5342964	1.0000000	0.0049989	0.3446667	1.0000000	0.7604738	0.2328198	0.1082086	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869524	0.0412726	0.9501272	1.0000000	1.0000000	0.3165488	0.2288889	1.0000000	1.0000000	1.0000000	0.4887608	0.6869514	0.8705821	0.6906008	0.4293816	0.3674536	0.1937870	0.1232770	0.2369451	0.0084705	0.9193772
100	0.7251783	0.6590209	1.0000000	0.5827835	0.0819568	0.0375447	0.0351463	0.0390011	0.8288178	0.9997046	0.9995830	0.4916051	1.0000000	0.4465766	0.8910041	1.0000000	0.5029169	0.6680321	0.0049989	0.3420254	1.0000000	0.5970889	0.2328217	0.0132013	1.0000000	0.9346666	1.0000000	0.0386883	1.0000000	0.7869611	0.0447366	0.9473637	1.0000000	0.3807406	0.0580844	0.1082575	0.7311823	0.9091951	0.5243661	0.4887451	0.6902245	0.8625977	0.7552500	0.4283644	0.3685529	0.1926669	0.1315431	0.2369230	0.0087564	0.7884881
200	0.7975487	0.5458874	1.0000000	0.5829014	0.0334247	0.0371685	0.0100064	0.0348317	0.8538339	0.9997929	0.9999058	0.4913835	1.0000000	0.3962792	0.9490615	1.0000000	0.4305275	0.5162510	0.0049989	0.3371310	1.0000000	0.5633396	0.2328232	0.0013200	1.0000000	0.9851093	1.0000000	0.0386883	1.0000000	0.7869651	0.0574017	0.9404014	1.0000000	0.2624020	0.0132322	0.0237102	0.6124534	0.8846594	0.3969024	0.4887506	0.7274628	0.8374496	0.8674632	0.4164754	0.3692256	0.1908611	0.1541589	0.2368747	0.0118284	0.6232293
300	0.8328942	0.5284298	1.0000000	0.5829030	0.0293033	0.0370901	0.0053039	0.0334646	0.8798586	0.9998016	0.9999841	0.4911976	1.0000000	0.3795200	0.9677999	1.0000000	0.3968408	0.4854347	0.0049989	0.3352774	1.0000000	0.5605175	0.2328228	0.0003941	1.0000000	0.9886285	1.0000000	0.0386883	1.0000000	0.7869636	0.0669421	0.9343800	1.0000000	0.2538110	0.0102732	0.0137255	0.5896824	0.8819457	0.3827467	0.4887519	0.7575586	0.8248226	0.9058926	0.4049311	0.3693326	0.1903383	0.1672345	0.2368600	0.0212595	0.5874256
400	0.8420839	0.5260160	1.0000000	0.5829030	0.0290080	0.0370798	0.0045861	0.0331883	0.8919544	0.9998026	0.9999975	0.4911237	1.0000000	0.3751601	0.9730055	1.0000000	0.3880026	0.4802302	0.0049989	0.3348900	1.0000000	0.5603176	0.2328226	0.0003292	1.0000000	0.9888603	1.0000000	0.0386883	1.0000000	0.7869633	0.0706198	0.9310697	1.0000000	0.2533082	0.0101544	0.0129456	0.5861169	0.8816977	0.3814303	0.4887511	0.7674825	0.8230594	0.9140822	0.4011643	0.3693459	0.1902594	0.1713694	0.2368579	0.0300847	0.5828098
500	0.8439013	0.5256906	1.0000000	0.5829030	0.0289880	0.0370787	0.0044863	0.0331416	0.8958171	0.9998028	0.9999996	0.4911024	1.0000000	0.3742354	0.9743336	1.0000000	0.3861880	0.4794158	0.0049989	0.3348301	1.0000000	0.5603042	0.2328227	0.0003255	1.0000000	0.9888755	1.0000000	0.0386883	1.0000000	0.7869635	0.0716338	0.9298574	1.0000000	0.2532815	0.0101731	0.0128936	0.5856085	0.8816768	0.3813158	0.4887510	0.7699159	0.8233838	0.9155158	0.4003983	0.3693473	0.1902507	0.1723480	0.2368576	0.0335380	0.5823257
600	0.7952189	0.8666261	1.0000000	0.5801516	0.2595003	0.0371242	0.0626370	0.0338006	0.8963772	0.9992817	0.9999750	0.4910985	1.0000000	0.5258181	0.9553764	1.0000000	0.4307164	0.8112611	0.0049989	0.3380036	1.0000000	0.7236946	0.2328227	0.0673508	1.0000000	0.6533362	1.0000000	0.0386883	1.0000000	0.7869635	0.0645517	0.9241728	1.0000000	0.8725396	0.1960783	0.0312743	0.8543575	0.9724800	0.8569400	0.4887511	0.7327285	0.8446251	0.8624978	0.4183838	0.3693300	0.1916647	0.1601424	0.2368835	0.0189093	0.7367303
700	0.7248820	0.9797539	1.0000000	0.5800337	0.3080322	0.0374669	0.0877752	0.0373852	0.8862261	0.9991948	0.9997146	0.4911604	1.0000000	0.5753689	0.8980638	1.0000000	0.5024947	0.9630240	0.0049989	0.3429192	1.0000000	0.7574425	0.2328227	0.1009637	1.0000000	0.6028935	1.0000000	0.0386883	1.0000000	0.7869635	0.0504046	0.9342773	1.0000000	0.9908781	0.2985815	0.1380100	0.9730774	0.9970155	0.9844029	0.4887511	0.6989025	0.8667303	0.7484281	0.4280689	0.3685589	0.1933393	0.1365953	0.2369300	0.0102314	0.8879293
800	0.7029066	0.9972106	1.0000000	0.5800321	0.3121537	0.0377505	0.0924775	0.0401831	0.8616739	0.9991731	0.9994489	0.4913464	1.0000000	0.5860868	0.8527592	1.0000000	0.5273332	0.9938377	0.0049989	0.3443952	1.0000000	0.7602641	0.2328227	0.1073296	1.0000000	0.5993743	1.0000000	0.0386883	1.0000000	0.7869635	0.0437759	0.9444897	1.0000000	0.9994691	0.3164423	0.2112207	0.9958473	0.9997292	0.9985585	0.4887511	0.6896097	0.8714047	0.7033218	0.4292032	0.3674873	0.1937275	0.1266182	0.2369426	0.0087133	0.9157049
900	0.6983805	0.9996244	1.0000000	0.5800321	0.3124490	0.0378461	0.0931954	0.0411979	0.8408773	0.9991630	0.9993429	0.4915143	1.0000000	0.5881800	0.8372724	1.0000000	0.5329834	0.9990419	0.0049989	0.3446376	1.0000000	0.7604642	0.2328227	0.1081181	1.0000000	0.5991425	1.0000000	0.0386883	1.0000000	0.7869635	0.0418290	0.9485654	1.0000000	0.9999719	0.3171291	0.2278472	0.9994127	0.9999772	0.9998749	0.4887511	0.6875139	0.8715031	0.6928903	0.4293529	0.3672442	0.1937819	0.1239737	0.2369447	0.0085022	0.9190110
1000	0.6975903	0.9999497	1.0000000	0.5800321	0.3124689	0.0378675	0.0932951	0.0414562	0.8306755	0.9991598	0.9993148	0.4915982	1.0000000	0.5885616	0.8342316	1.0000000	0.5340698	0.9998562	0.0049989	0.3446636	1.0000000	0.7604777	0.2328227	0.1082008	1.0000000	0.5991273	1.0000000	0.0386883	1.0000000	0.7869635	0.0413787	0.9497514	1.0000000	0.9999986	0.3167483	0.2293084	0.9999211	0.9999981	0.9999894	0.4887511	0.6870639	0.8710377	0.6909714	0.4293773	0.3673217	0.1937880	0.1234052	0.2369450	0.0084748	0.9193435

0	0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415225	0.8255774	0.9991589	0.9993072	0.4916433	1.0000000	0.5886407	0.8338751	1.0000000	0.5342964	1.0000000	0.0049989	0.3446667	1.0000000	0.7604738	0.2328198	0.1082086	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869524	0.0412726	0.9501272	1.0000000	1.0000000	0.3165488	0.2288889	1.0000000	1.0000000	1.0000000	0.4887608	0.6869514	0.8705821	0.6906008	0.4293816	0.3674536	0.1937870	0.1232770	0.2369451	0.0084705	0.9193772
