YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.0000005	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.9999999	0.0000003	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.2312664	1.0000000	0.0000000	0.0637577	1.0000000	0.6111924	1.0000000	0.5966343	0.0400713	0.4148208	0.3475150	0.9875325	1.0000000	0.5886407	0.8338747	1.0000000	0.2603972	1.0000000	1.0000000	0.6913526	1.0000000	0.3280033	0.8290003	0.0818152	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.9111048	0.0412725	0.9501209	1.0000000	1.0000000	0.3165501	0.2288902	1.0000000	1.0000000	1.0000000	0.6033072	0.7729492	0.3221156	0.6790758	0.4215769	0.4029270	0.1527208	0.1250471	0.2438354	0.0054980	0.7652937
0.6974412	1.0000000	1.0000000	0.0000000	0.3124703	0.0378722	0.0933102	0.0415224	0.8256338	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328226	0.1082097	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869633	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869430	0.8706138	0.6906026	0.4293821	0.3674440	0.1937887	0.1232737	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.0000001	0.0378722	0.0933102	0.0415224	0.8256339	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0000001	0.0933102	0.0415224	0.8256339	0.9995704	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0370784	0.0000000	0.0331203	0.8972056	0.9991988	1.0000000	0.4910956	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8731162	0.6906026	0.4293821	0.3693475	0.5973045	0.1297114	0.2368568	0.2036505	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0000010	0.9999588	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8759288	0.6906026	0.4293821	0.3648705	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.0000018	0.9991589	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.2830940	0.6906026	0.4293821	0.3693475	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
0.6974412	1.0000000	1.0000000	0.5800321	0.3124703	0.0378722	0.0933102	0.0415224	0.8256339	0.0000001	0.9993073	0.4916404	1.0000000	0.5886407	0.8338756	1.0000000	0.5342973	1.0000000	0.0049989	0.3446645	1.0000000	0.7604786	0.2328227	0.1082096	1.0000000	0.5991263	1.0000000	0.0386883	1.0000000	0.7869635	0.0412726	0.9501273	1.0000000	1.0000000	0.3165488	0.2288884	1.0000000	1.0000000	1.0000000	0.4887511	0.6869428	0.8706142	0.6906026	0.4293821	0.3674438	0.1937887	0.1232736	0.2369451	0.0084708	0.9193772
