YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.6817928	0.8104437	0.9851422	0.5671200	0.2690670	0.0000953	0.0441314	0.0017067	0.7520563	0.7784096	0.7751663	0.4503367	1.0000000	0.3223563	0.7485953	1.0000000	0.4807183	1.0000000	0.0050421	0.7947563	1.0000000	0.7520143	0.2393043	0.0972767	1.0000000	0.4513910	0.6183291	0.0386883	1.0000000	0.8053980	0.0338887	0.9907843	0.8260451	0.8216656	0.3085901	0.3950188	0.9760150	0.8291581	0.7923227	0.4627853	0.6678503	0.8891562	0.9016720	0.4358370	0.1402084	0.1653719	0.0675658	0.6106129	0.0905353	0.8368662
0.6628615	1.0000000	0.9069443	0.6963633	0.3440086	0.0014154	0.1108868	0.1344997	0.1033588	0.8763790	0.9987685	0.2364678	0.9033565	0.7745150	0.7033330	1.0000000	0.6899962	0.9565942	0.0053147	0.2303415	1.0000000	0.9104391	0.1180210	0.2654013	1.0000000	0.5865853	0.8824871	0.0000000	1.0000000	0.6420926	0.0418189	0.9919039	0.9689456	0.7263728	0.3185109	0.2186977	1.0000000	0.6455660	1.0000000	0.6489288	0.5214138	0.3448893	0.8093446	0.7590663	0.2261239	0.0740372	0.2316706	0.1613643	0.3491201	0.9260808
0.4348005	0.9204984	0.4184391	0.1508302	0.7296534	0.1369260	0.5045553	0.2363809	0.0220384	0.8982428	0.8379565	0.5536278	1.0000000	0.4116366	0.6953331	1.0000000	0.3561824	0.8213362	0.0079902	0.3404165	0.9844010	0.5201074	0.4591854	0.2600187	0.6956710	0.4941221	0.8239689	0.0000001	0.9185559	0.7921329	0.0536730	0.9204533	1.0000000	1.0000000	0.4343157	0.3794617	0.7545527	1.0000000	1.0000000	0.6657396	0.7803003	0.0579836	0.6905225	0.4172888	0.4049328	0.2681663	0.5549325	0.4373285	0.0062815	0.8969804
0.6733573	1.0000000	1.0000000	0.6487621	0.3124703	0.0007938	0.0933102	0.0084022	0.8381266	0.9625843	0.8911154	0.1828544	1.0000000	0.7637177	0.4264094	1.0000000	0.1910983	0.4438928	0.0049989	0.2379131	0.7121501	0.9966922	0.0186253	0.1645277	0.8683052	0.5173373	0.8791700	0.0294047	0.5508527	0.7799150	0.0462605	0.9529732	1.0000000	1.0000000	0.3969905	0.6504502	0.8906783	1.0000000	1.0000000	0.4375291	0.3764492	0.9077192	0.5027724	0.3881790	0.5017790	0.6946684	0.0884636	0.0636580	0.0109190	0.9564615
0.5753628	1.0000000	1.0000000	0.5162744	0.3124703	0.0336514	0.0416836	0.4706760	0.0428436	0.8267909	0.9999529	0.1941629	1.0000000	0.6476707	0.5739739	0.6823623	0.4589560	1.0000000	0.0049989	0.3614257	0.7518618	0.9617060	0.0179536	0.0004406	0.8359062	0.6543737	1.0000000	0.0000000	1.0000000	0.7126259	0.0427819	0.9720705	0.6334867	0.4385079	0.1344027	0.0305827	0.9997876	0.6507614	1.0000000	0.3774666	0.5778297	0.3516674	0.9095381	0.9370949	0.2902952	0.9158553	0.4577059	0.6140062	0.5083501	0.8853510
0.6974412	1.0000000	1.0000000	0.6257847	0.2472760	0.0007938	0.0933102	0.3098852	0.0549924	0.7978121	0.6214771	0.4276935	1.0000000	0.6577406	0.6759168	0.9016642	0.4302781	0.8662063	0.0049989	0.2643654	1.0000000	0.7497104	0.2410785	0.2846800	0.9224549	0.5628509	1.0000000	0.0000001	1.0000000	0.7901045	0.0519196	0.5760549	0.1481792	1.0000000	0.4328517	0.4345187	0.8573183	0.9275385	0.9244973	0.4477100	0.8864911	0.0976534	0.7349502	0.4289386	0.3342339	0.0207014	0.1062446	0.2662301	0.6377967	0.9377378
0.6191782	1.0000000	0.8040040	0.5126062	0.4894976	0.2079552	0.1401558	0.3816863	0.0088805	0.5902386	0.9973129	0.4932122	0.6592118	0.2369701	0.9908517	1.0000000	0.7684492	1.0000000	0.0010134	0.4259988	1.0000000	0.7227438	0.2621126	0.0682213	1.0000000	0.5628509	1.0000000	0.0386883	1.0000000	0.8099182	0.0000026	0.9327431	1.0000000	0.6861412	0.1830779	0.0645474	0.8026241	1.0000000	1.0000000	0.4671858	0.7764393	0.2938313	0.7179044	0.4254518	0.2277743	0.2976642	0.3654686	0.0974411	0.0635082	0.8251512
0.6027422	0.9157594	1.0000000	0.5162744	0.2591882	0.0007938	0.0933102	0.5114273	0.0044947	0.8393015	0.8814724	0.4419429	1.0000000	0.2834993	0.7444456	0.9294553	0.7952000	1.0000000	0.0006176	0.6191044	0.7299974	0.7757345	0.2442319	0.3185133	1.0000000	0.4845171	0.8022076	0.0386885	0.7575593	0.5962896	0.0248475	0.9619053	1.0000000	1.0000000	0.4356078	0.5497510	1.0000000	1.0000000	0.8370851	0.4307482	0.7003678	0.3120164	0.7026471	0.4329797	0.4876374	0.2050014	0.5346804	0.3374357	0.3030494	0.4676217
0.3692188	0.9901891	1.0000000	0.6767455	0.3124703	0.0004166	0.0744043	0.0051956	0.9992421	0.9414866	0.9996744	0.2106619	1.0000000	0.3117229	0.7629818	1.0000000	0.3695803	1.0000000	0.0049989	0.7684881	1.0000000	0.4503077	0.2631452	0.2862069	1.0000000	0.5628509	1.0000000	0.0386883	1.0000000	0.6443164	0.0252915	0.9768471	1.0000000	1.0000000	0.3430771	0.2524116	0.8707087	1.0000000	0.9493782	0.2964427	0.8173840	0.8685865	0.9491084	0.3768636	0.2074097	0.0359152	0.3496444	0.3228869	0.0228957	0.9377378
0.6974412	1.0000000	1.0000000	0.7211565	0.3124703	0.3892294	0.0452217	0.0017980	0.8830401	0.2909840	0.7223703	0.6090788	1.0000000	0.7971113	0.7171480	1.0000000	0.1982825	0.9455645	0.0008068	0.1799837	1.0000000	0.7566402	0.2357557	0.2415364	0.2650773	0.6783976	1.0000000	0.0386883	1.0000000	0.7648047	0.0585006	0.9171084	0.6069013	1.0000000	0.2427775	0.1235184	0.7208434	0.7211071	0.6889874	0.4746559	0.2823539	0.8631306	0.8097428	0.4194480	0.6481307	0.0476340	0.0549300	0.6944595	0.0483071	0.5479886
