"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.4947571	0.6634494	0.7896922	0.4819083	0.1832174	0.0194706	0.0632741	0.0521223	0.4974345	0.8719411	0.5962882	0.5015521	0.5926404	0.5116857	0.5844279	0.6829709	0.4174306	0.7304407	0.0050500	0.1864486	0.7626490	0.5889850	0.1603907	0.1148036	0.6898507	0.2792149	0.7343987	0.0140551	0.7483506	0.5370222	0.0190641	0.7947419	0.6354591	0.6289326	0.2211429	0.1764006	0.6713185	0.8230124	0.7451126	0.2809629	0.4493765	0.7645448	0.5050101	0.3308487	0.2410841	0.1324246	0.0675899	0.1744405	0.0122268	0.7947015
100	0.7023094	0.4692954	0.7397821	0.3857957	0.0660486	0.0180290	0.0268580	0.0275623	0.6331702	0.6859824	0.6455700	0.4625964	0.6611175	0.2846042	0.7085439	0.7770557	0.3026273	0.4256571	0.0030038	0.1601273	0.6360804	0.3430402	0.1458347	0.0048711	0.6785482	0.6288166	0.6690861	0.0160451	0.6332170	0.4852272	0.0381535	0.7134641	0.6169297	0.3361389	0.0066666	0.0661357	0.4748899	0.5498188	0.4187022	0.4360113	0.4403275	0.5786653	0.5103352	0.4046723	0.2992842	0.2009992	0.0871380	0.1509363	0.0105720	0.6718262
200	0.6374845	0.3198508	0.7434307	0.4475905	0.0211865	0.0209475	0.0083563	0.0389650	0.7364065	0.7723310	0.7370047	0.4425898	0.7493796	0.2288012	0.7969263	0.6970534	0.3568579	0.2793379	0.0096658	0.1572535	0.7187448	0.5139880	0.1592486	0.0009680	0.6143618	0.7185692	0.8303967	0.0340636	0.6562275	0.4413925	0.0579144	0.7788765	0.6879431	0.1572782	0.0091390	0.0098885	0.3313109	0.5127259	0.3946047	0.2611645	0.5486550	0.5159574	0.6201156	0.4996873	0.2539431	0.1329237	0.0824795	0.2323091	0.0006429	0.4256996
300	0.5835456	0.3764787	0.6752361	0.4481097	0.0160947	0.0167448	0.0045231	0.0194710	0.6190453	0.6833511	0.7772990	0.4683962	0.6738035	0.1588716	0.7738092	0.7316387	0.2316322	0.3152919	0.0032311	0.1942219	0.6080599	0.3772815	0.1839550	0.0057870	0.7781123	0.7006828	0.7562461	0.0295722	0.7585839	0.5897370	0.0409821	0.7526438	0.7410424	0.1380627	0.0120995	0.0024500	0.3997101	0.6499900	0.3607201	0.3593173	0.5590985	0.5501554	0.5932350	0.2623141	0.2530287	0.1762496	0.1151125	0.0982723	0.0169544	0.4502962
400	0.6276522	0.3948129	0.5788560	0.5161055	0.0097152	0.0341990	0.0030384	0.0411937	0.5132140	0.7626487	0.7805709	0.3054420	0.7039710	0.3173367	0.6757837	0.7305232	0.3785292	0.3414700	0.0067025	0.2496461	0.5807639	0.3278481	0.1752795	0.0008840	0.7652200	0.6486835	0.7122733	0.0362193	0.7851464	0.4937031	0.0506012	0.7971039	0.6525076	0.2120997	0.0056504	0.0320193	0.4475963	0.5902657	0.3214199	0.2374988	0.5321042	0.4986820	0.5747837	0.3243459	0.2254732	0.1045664	0.1449666	0.1201390	0.0746077	0.4290886
500	0.5967299	0.3696101	0.7440063	0.4299617	0.0107371	0.0444538	0.0041815	0.0210406	0.4870508	0.6053454	0.6857552	0.3090966	0.8125329	0.3578833	0.8125615	0.8248350	0.3272722	0.3194256	0.0030883	0.2123732	0.6867802	0.4846227	0.1680062	0.0000862	0.6997259	0.7592240	0.6783165	0.0211490	0.7278991	0.4907970	0.0261507	0.5888461	0.6728002	0.2449446	0.0005256	0.0118732	0.3981098	0.6168959	0.2922017	0.3138818	0.4798270	0.5587674	0.5395960	0.2264874	0.4027471	0.1615543	0.0687414	0.1452632	0.0597450	0.4641161
600	0.5236373	0.6453617	0.6531827	0.3516741	0.2265765	0.0168437	0.0283408	0.0520077	0.5334659	0.7753261	0.7710529	0.3666772	0.7149596	0.3542669	0.6791644	0.7624264	0.3812901	0.5166862	0.0057536	0.1792514	0.6639621	0.5131280	0.1885242	0.0212395	0.6194674	0.4337308	0.6834370	0.0657605	0.7209887	0.5901010	0.0606564	0.7589860	0.7003482	0.7126022	0.1209247	0.0136298	0.7018860	0.5953999	0.5592981	0.3812480	0.6077014	0.6994934	0.6850928	0.3266542	0.2133872	0.0947951	0.0820285	0.2044576	0.0268920	0.5525036
700	0.5523907	0.8109736	0.6540598	0.3473070	0.2385247	0.0926599	0.0818355	0.0249073	0.5071057	0.6347323	0.7397251	0.2152931	0.7155678	0.3775744	0.6483779	0.7053271	0.3751625	0.7043999	0.0032983	0.1456124	0.7362154	0.5207001	0.1633171	0.0097252	0.7071192	0.4574043	0.6775352	0.0578414	0.7351791	0.5986588	0.0801097	0.6223984	0.8744182	0.6053216	0.2061017	0.0754440	0.7356031	0.6289849	0.7360971	0.3235526	0.4793071	0.6790650	0.5748004	0.2882103	0.4003727	0.0915634	0.0934089	0.1718856	0.0035600	0.5365708
800	0.5178332	0.7479132	0.6505290	0.3855119	0.1982755	0.0541105	0.0956731	0.0373679	0.5346682	0.7427438	0.7148477	0.3206364	0.7181800	0.4169203	0.6593532	0.6464931	0.3868815	0.7534518	0.0014016	0.2532935	0.7304906	0.5258631	0.1454851	0.0904438	0.6896759	0.4964771	0.6799998	0.0197869	0.8086998	0.5272266	0.0349225	0.6461090	0.7938045	0.8327485	0.2096052	0.1275601	0.7788608	0.7354076	0.7182243	0.3079248	0.3913619	0.7353949	0.5727739	0.3771887	0.2995273	0.1096545	0.0917874	0.1706499	0.0214419	0.6149494
900	0.5160321	0.7127409	0.6783560	0.5027478	0.2199903	0.0430869	0.0871140	0.0238724	0.6598007	0.7292028	0.7804613	0.2149603	0.7193320	0.4789218	0.5695474	0.5806208	0.3515946	0.7692936	0.0132559	0.2313652	0.7705299	0.5347745	0.1730057	0.0521343	0.9077949	0.3929363	0.7523959	0.0272718	0.7662141	0.5709150	0.0151549	0.6009979	0.7550804	0.7827701	0.2851740	0.2492784	0.7839066	0.7220342	0.7121967	0.3047625	0.4729274	0.6539077	0.4934613	0.2637625	0.3293907	0.0776215	0.1376907	0.1592104	0.0036610	0.6059870
1000	0.5103436	0.6110536	0.8409234	0.4186598	0.3165570	0.0244789	0.1152256	0.0494956	0.6279972	0.7543504	0.7113107	0.2930153	0.7079434	0.4772980	0.5651621	0.5599204	0.3482399	0.7606700	0.0005308	0.2074380	0.7535107	0.6477385	0.1501426	0.0641328	0.7291081	0.4346037	0.6970211	0.0470660	0.6118667	0.6300732	0.0369554	0.7244641	0.6930341	0.6817193	0.2112945	0.2427159	0.7748986	0.6266518	0.6559718	0.3505512	0.5210915	0.6745378	0.4430474	0.2536486	0.2299987	0.1387408	0.0645366	0.2179937	0.0090489	0.5899604

0	0.4455743	0.6916133	0.7607651	0.3828052	0.1913974	0.0095802	0.0491234	0.0229115	0.4995883	0.8359525	0.7839281	0.4271406	0.6942034	0.4300422	0.5556470	0.7687249	0.4328099	0.6929143	0.0014971	0.2801763	0.7358028	0.5399358	0.2024076	0.1134257	0.6691262	0.3529323	0.7863205	0.0255244	0.6215766	0.5816269	0.0401360	0.6862600	0.5467825	0.8243411	0.2347785	0.1377123	0.7035014	0.7631823	0.7088708	0.2426171	0.4880123	0.6883064	0.5255299	0.3282627	0.3140785	0.1712028	0.0509923	0.1923309	0.0077077	0.7358374
100	0.4430341	0.4797404	0.6776271	0.6974482	0.3169897	0.0075899	0.0792107	0.0426531	0.3207925	0.7694642	0.7296629	0.2929440	0.7267359	0.4941648	0.5248431	0.6885409	0.2589704	0.5962117	0.0071329	0.2271806	0.7911504	0.1456838	0.1819211	0.3931895	0.6215996	0.4436286	0.6282202	0.0056815	0.7226814	0.4432972	0.0307991	0.5863990	0.6325885	0.7668426	0.2089768	0.0991401	0.6802013	0.7530422	0.5256494	0.4259905	0.4597501	0.5439093	0.4835050	0.0502888	0.2661716	0.1219072	0.0465249	0.1211365	0.0110326	0.6088700
200	0.4644746	0.4611039	0.7087793	0.6255555	0.2609064	0.0156430	0.0728709	0.0270377	0.1331455	0.7037475	0.7565926	0.3524633	0.7760361	0.3496783	0.5892943	0.7662627	0.3735175	0.6817310	0.0074483	0.2211979	0.7386787	0.1874594	0.1726485	0.5343307	0.6479541	0.5071613	0.7010319	0.0000000	0.7997619	0.3839020	0.0193279	0.7405709	0.7802306	0.6876692	0.1428375	0.1363962	0.6972005	0.9432248	0.2911273	0.1961731	0.5956736	0.4884194	0.5762457	0.0031859	0.2231435	0.1626582	0.0134418	0.1830318	0.0038398	0.5487469
300	0.3086521	0.4131389	0.7389236	0.7258234	0.1599442	0.0601389	0.0555727	0.0432327	0.1210308	0.7349200	0.6596427	0.4056773	0.7540611	0.4944710	0.6759890	0.6199116	0.3752574	0.7202136	0.0003175	0.2778698	0.5703527	0.0966277	0.2127196	0.5985674	0.6116480	0.4886906	0.7698536	0.0000011	0.7853192	0.4209297	0.0127860	0.8008023	0.8318377	0.7217612	0.1631135	0.1381912	0.6676733	0.6193150	0.3530801	0.2225009	0.4106278	0.4616160	0.5329336	0.0149854	0.2101965	0.1095103	0.0348373	0.1226859	0.0160676	0.5243343
400	0.2455816	0.4127584	0.7779146	0.6089311	0.2634523	0.0507569	0.0814239	0.0676722	0.0572836	0.5976935	0.7569202	0.3704981	0.6853815	0.5254544	0.5017341	0.6159463	0.3490526	0.6854076	0.0035407	0.2811276	0.6201493	0.1126685	0.1229296	0.6211345	0.5201939	0.3879686	0.8562809	0.0000458	0.5826061	0.4903094	0.0066895	0.7339036	0.6449392	0.7982483	0.2466761	0.1401392	0.6131239	0.8240098	0.3864822	0.2862129	0.3572180	0.4588040	0.6106781	0.0024337	0.2098999	0.1341641	0.0369399	0.1966620	0.0015525	0.5939318
500	0.3934658	0.3416871	0.6876601	0.5220767	0.2852096	0.0269074	0.1292234	0.0359425	0.0820799	0.6153383	0.6685761	0.3804231	0.6759188	0.5213675	0.5788387	0.7432422	0.3605923	0.8557615	0.0082227	0.2770751	0.8130276	0.0599039	0.1045208	0.5751639	0.5292808	0.4122902	0.7451608	0.0020781	0.7629227	0.4872519	0.0098840	0.5889076	0.7154215	0.8132246	0.2976010	0.1329625	0.7934510	0.6869297	0.2942244	0.2164114	0.4064979	0.4061334	0.4251075	0.0001612	0.2968811	0.1944242	0.0274053	0.1671403	0.0110631	0.5924846
