YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.6580117	0.8297592	0.7503688	0.4292865	0.2496679	0.0400103	0.0535992	0.0449787	0.5852429	0.5346294	0.7609385	0.3513232	0.8000212	0.4099866	0.3421667	0.7697908	0.3559403	0.7949211	0.0024554	0.2452238	0.7446945	0.6018411	0.1644390	0.0799578	0.7254185	0.3103676	0.8211224	0.0496924	0.6851393	0.6188279	0.2588611	0.1050814	0.0000000	0.7534594	0.6943694	0.6075841	0.0000000	0.7070247	0.6306115	0.3631826	0.7204770	0.1453881	0.0411397	0.2201867	0.3099584	0.1227847	0.1365288	0.1395952	0.0149518	0.7437625
0.5005277	0.7455141	0.6696557	0.3753071	0.2278384	0.0353465	0.1054571	0.0341360	0.5347585	0.7118632	0.6422857	0.4311602	0.7127638	0.3813048	0.5196842	0.6705011	0.3850738	0.8342364	0.0030820	0.3358939	0.8061278	0.6608497	0.2732817	0.0005291	0.7368472	0.4386825	0.7463477	0.0478357	0.7701250	0.0000000	0.0384977	0.6688408	0.8337691	0.7814216	0.1810302	0.1513144	0.6534809	0.6902907	0.8006764	0.0000000	0.0240289	0.7381735	0.5672298	0.6805149	0.1597425	0.3931197	0.0423920	0.1271143	0.2382575	0.5338049
0.4685346	0.8725387	0.6738878	0.3746735	0.2568591	0.0566610	0.0909500	0.0147504	0.4532515	0.7685541	0.7609808	0.4367758	0.6724985	0.3714422	0.6319062	0.7703753	0.3306487	0.7829715	0.0017027	0.3231077	0.6553979	0.6277947	0.1826425	0.6614590	0.7888189	0.4668449	0.7977117	0.0138643	0.6480624	0.0000000	0.4322999	0.6481211	0.7980775	0.8032117	0.2613930	0.1470556	0.0000000	0.8512229	0.7270003	0.0438382	0.0422671	0.8566281	0.2535259	0.6463532	0.2136031	0.4214875	0.0487892	0.1976146	0.0040276	0.5896412
0.4703586	0.7070782	0.6746164	0.3241440	0.2090263	0.0577749	0.0493125	0.0451638	0.5029017	0.8430133	0.7593671	0.4042344	0.5643327	0.3693094	0.5899523	0.6943490	0.3845798	0.6520151	0.0079077	0.3833248	0.8439260	0.6161196	0.1961332	0.0022293	0.7022032	0.4156381	0.7182742	0.0290300	0.8014029	0.0000000	0.0599670	0.7718138	0.0000000	0.6351098	0.2091919	0.1895043	0.6543600	0.6703432	0.7521943	0.0235209	0.3704169	0.6158642	0.7813057	0.8555458	0.1589207	0.4158609	0.0854291	0.1827967	0.4705230	0.7742386
0.3737534	0.7864117	0.7099114	0.4347894	0.2981096	0.0376626	0.0699155	0.0468608	0.4952213	0.6573794	0.6387286	0.3949883	0.6926111	0.3792380	0.6073599	0.6939815	0.4489108	0.7012530	0.0169682	0.3163659	0.7218929	0.4686605	0.2058644	0.8129683	0.7444171	0.4778523	0.6646275	0.0115245	0.5613612	0.0000000	0.3541982	0.5988721	0.6214106	0.0000000	0.1400174	0.0952935	0.7746380	0.6587164	0.7886560	0.0262673	0.2476873	0.6606995	0.5407966	0.6099176	0.1373927	0.4668664	0.0560410	0.2224359	0.2508326	0.5556069
0.4093259	0.7848453	0.7804519	0.4106079	0.2553920	0.0368191	0.0483099	0.0221688	0.4289073	0.7423214	0.7427046	0.3719499	0.6940084	0.3743752	0.5776739	0.7457660	0.5064894	0.6736079	0.0076575	0.1780735	0.0000000	0.7923421	0.2206635	0.2908848	0.6520634	0.4689132	0.8097086	0.0431458	0.6598730	0.0000000	0.0275694	0.8568211	0.6247441	0.6697077	0.2551799	0.2507328	0.6084260	0.5792507	0.7473243	0.0879562	0.0972552	0.7018220	0.6244125	0.8143926	0.4405593	0.7605934	0.0706227	0.0004695	0.3902557	0.6763904
0.5773118	0.7176306	0.7493769	0.3666865	0.1666292	0.0207710	0.0522068	0.0399478	0.6069558	0.7130936	0.7379828	0.4583429	0.6932579	0.3592851	0.3762367	0.7986523	0.3811378	0.6525312	0.0207926	0.2892428	0.6791902	0.6891257	0.1862078	0.1274945	0.6403583	0.4324402	0.7702848	0.0330282	0.7458956	0.7581505	0.1576149	0.2417637	0.6897739	0.7492205	0.3274502	0.4003691	0.0000000	0.7772438	0.7281320	0.0000000	0.3221676	0.3085550	0.2587550	0.2865707	0.1391149	0.1923297	0.0556919	0.1466286	0.0003550	0.6479561
0.5440698	0.6717686	0.7372462	0.4578937	0.1734910	0.0437291	0.0626589	0.0264568	0.6710438	0.6394726	0.7691864	0.3714130	0.7481472	0.4395324	0.5342965	0.7977275	0.3903010	0.7107736	0.0018189	0.2599025	0.6503980	0.4403319	0.1505710	0.4709230	0.8208555	0.3821683	0.8282669	0.0345767	0.7941145	0.5179150	0.6051368	0.7147821	0.6969431	0.0000000	0.2756609	0.1469835	0.0000000	0.8447110	0.6815506	0.3203858	0.7327911	0.6799638	0.2265041	0.3812281	0.2456060	0.2396914	0.0860926	0.2072134	0.0025312	0.6546414
0.6323240	0.6750819	0.6202557	0.3266788	0.2493170	0.0491969	0.0848380	0.0230685	0.6566267	0.6545330	0.8151993	0.3462832	0.8163958	0.4855082	0.3892286	0.6700861	0.4177593	0.6324453	0.0165557	0.2489427	0.6037804	0.5861463	0.2022637	0.0016970	0.6412588	0.3635396	0.8103195	0.0468337	0.8358059	0.6987329	0.0797671	0.3194472	0.0000000	0.8284031	0.3954697	0.3968196	0.7293013	0.8083986	0.8273094	0.0000000	0.7006905	0.7811247	0.6040438	0.3253899	0.1652091	0.1845476	0.0604302	0.0949650	0.2061385	0.6256092
0.4516658	0.6602642	0.6544849	0.4994901	0.2662529	0.0328320	0.0408330	0.0526246	0.4765935	0.7413730	0.7835358	0.2648009	0.6690098	0.3506799	0.6401796	0.7915459	0.3177643	0.7815230	0.0217849	0.2768007	0.7301180	0.4087742	0.2112578	0.1806931	0.7134870	0.4102293	0.7215979	0.0472341	0.8412026	0.6747443	0.3793065	0.6630308	0.0000000	0.0000000	0.2997762	0.1405497	0.7868791	0.7301879	0.6248615	0.3909331	0.6471405	0.6888542	0.5234661	0.3575792	0.2674428	0.1579984	0.0690313	0.1265909	0.0094035	0.7022514
