YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.1918059	0.7747269	0.7766751	0.4717184	0.1754238	0.0348673	0.0638294	0.0342882	0.5304380	0.7852967	0.6469390	0.3504373	0.6787018	0.3903993	0.6326050	0.6178968	0.4314014	0.7881609	0.0110783	0.3020369	0.9161342	0.5420197	0.1669066	0.1779587	0.6182405	0.3299608	0.6936317	0.0245982	0.7328392	0.4848798	0.0638944	0.8678013	0.8378378	0.8862203	0.3346569	0.2115964	0.9058935	0.7939931	0.7055157	0.2757795	0.5445436	0.7048444	0.5277604	0.3354884	0.2593151	0.1420833	0.0858293	0.2126720	0.0042510	0.6782457
0.7099751	0.4339631	0.6613782	0.4356495	0.1622725	0.0246611	0.0833380	0.0243534	0.4900839	0.7626652	0.7747355	0.3676279	0.7132582	0.4455317	0.7449330	0.7152659	0.4173090	0.8423234	0.0027116	0.2576678	0.7537129	0.4390562	0.1846579	0.0606579	0.7116780	0.3739826	0.7128530	0.0563915	0.6744775	0.5069432	0.0559043	0.5934031	0.8090966	0.6991310	0.2243365	0.1208631	0.7403575	0.8233748	0.7372298	0.4591635	0.4942406	0.6193816	0.4845790	0.2751736	0.3139882	0.1754462	0.1693737	0.1355904	0.0064904	0.7678612
0.2228375	0.7304319	0.3141958	0.1698485	0.6772952	0.0963023	0.3762493	0.1566708	0.0728430	0.6703632	0.6289621	0.4555402	0.6994069	0.3581348	0.6664133	0.7366396	0.5289847	0.5987936	0.0221527	0.4220246	0.7390278	0.3403456	0.3891449	0.0732187	0.7564026	0.3872302	0.8015774	0.0139573	0.7546827	0.7876702	0.0123837	0.7131994	0.7481136	0.8668420	0.2425525	0.2101355	0.7627916	0.8224071	0.8540702	0.5481420	0.5089743	0.2772232	0.4647123	0.3198577	0.2836621	0.1385245	0.1182065	0.1947270	0.0178313	0.7240667
0.5529301	0.8904674	0.7176023	0.2865894	0.1944080	0.0250753	0.0486303	0.0224992	0.6211154	0.8190774	0.7132530	0.4084405	0.6532629	0.4394833	0.5342666	0.6782318	0.3724620	0.6331212	0.0096077	0.2536999	0.6831741	0.5824710	0.1180147	0.0602050	0.6670630	0.3913683	0.8121839	0.0150425	0.6076719	0.6618600	0.0300452	0.6553902	0.7776838	0.6859127	0.3267966	0.1774142	0.7726469	0.6846656	0.7625142	0.3912562	0.6158915	0.6977620	0.4599371	0.3460222	0.1682140	0.1908618	0.0677046	0.1717800	0.0051913	0.6680992
0.5451908	0.8802427	0.7793436	0.4193846	0.1423354	0.0245346	0.0468127	0.0306158	0.5148006	0.6907835	0.8242208	0.3760300	0.6836355	0.3937152	0.6126717	0.7860428	0.3358903	0.6844947	0.0056123	0.2238953	0.8505068	0.5025319	0.1754427	0.0626193	0.7286497	0.4128363	0.7970655	0.0237516	0.8733847	0.5664977	0.0434064	0.6742481	0.7194141	0.7421452	0.2746573	0.1454018	0.6732475	0.7434451	0.8088243	0.3485165	0.5891919	0.5767336	0.4988517	0.2551639	0.2584281	0.1350046	0.0829088	0.1908225	0.0013265	0.7170931
0.6691166	0.6032132	0.7761875	0.4202072	0.2493953	0.0660208	0.1152496	0.0210826	0.6601862	0.6424638	0.6829612	0.3122408	0.7973771	0.3479313	0.5017845	0.7456621	0.4668374	0.7760007	0.0076575	0.3872382	0.5942697	0.4849528	0.1491865	0.0548141	0.7771111	0.3924738	0.7192062	0.0324622	0.5862235	0.6937464	0.0773397	0.6652389	0.7318538	0.8837600	0.2280334	0.1933319	0.6254291	0.6471597	0.6840494	0.4404962	0.6097351	0.4987083	0.4876516	0.3102162	0.2597790	0.1425754	0.0644974	0.1824683	0.0162883	0.5796695
0.4711207	0.7022922	0.8316499	0.4861060	0.2079981	0.0304241	0.0471141	0.0295831	0.7158641	0.6073554	0.6655559	0.3301409	0.7766559	0.3586073	0.6101752	0.7033487	0.4062162	0.7025243	0.0030386	0.2079899	0.8463882	0.6020302	0.1595079	0.1923472	0.6839052	0.4166846	0.7802366	0.0258791	0.6636539	0.6456281	0.0582738	0.6577326	0.7074006	0.6422342	0.2291667	0.1473725	0.6758934	0.6332609	0.7568581	0.4532938	0.5499845	0.7172173	0.5861379	0.3552005	0.2234297	0.1566245	0.0896566	0.1569684	0.0018199	0.5338800
0.4020056	0.7568595	0.6437510	0.3409789	0.2873002	0.0351635	0.0671995	0.0085322	0.7265736	0.7728463	0.6017867	0.3844842	0.7300890	0.3950455	0.5952973	0.7343189	0.4705702	0.6483366	0.0106985	0.2357570	0.8008459	0.5894437	0.1743338	0.1384196	0.6851551	0.4685941	0.8061949	0.0253725	0.7442023	0.6417680	0.0478153	0.6715066	0.7817441	0.6847823	0.2316771	0.1627405	0.8582911	0.7319497	0.6821951	0.3403281	0.4633434	0.6749253	0.5591479	0.2618563	0.2648021	0.2079766	0.0773553	0.0995181	0.0081529	0.6026184
0.5215526	0.5788491	0.7052503	0.3750254	0.3042289	0.0447848	0.0657209	0.0528891	0.3578377	0.7266226	0.7437612	0.2594080	0.7635070	0.4773940	0.7187510	0.8931079	0.4076955	0.7156595	0.0081192	0.2253982	0.7411632	0.5581004	0.1788885	0.0223496	0.8849120	0.4118627	0.7483484	0.0603458	0.6707003	0.5345673	0.0177661	0.7227888	0.7642852	0.7333144	0.1929193	0.1457659	0.7319644	0.6770150	0.7663365	0.3868350	0.5524546	0.5317087	0.5689766	0.3224609	0.2151513	0.1563095	0.1118114	0.1433016	0.0003860	0.7392695
0.4496506	0.7018610	0.7833815	0.5251849	0.2880269	0.0354966	0.0483574	0.0599931	0.6114717	0.3523991	0.7344740	0.3238229	0.7303806	0.4243004	0.6974794	0.7084114	0.3678821	0.8725581	0.0038620	0.2037925	0.9004664	0.5705831	0.1548401	0.0999685	0.6640883	0.3347729	0.5921073	0.0283363	0.7667433	0.4870073	0.0329871	0.7355021	0.6293160	0.7609083	0.2299728	0.1882387	0.7540195	0.7894718	0.6397369	0.4758714	0.6140909	0.5447054	0.4555687	0.3937119	0.1933353	0.1528007	0.0536631	0.1665988	0.0050913	0.7075464
0.5599592	0.7693758	0.6943430	0.4322618	0.2093626	0.0517485	0.0627853	0.0462280	0.6527336	0.7735816	0.3973326	0.6820216	0.6610548	0.4266870	0.5045416	0.5598787	0.4054638	0.7476399	0.0073043	0.2800661	0.8773339	0.6298462	0.1571133	0.1339599	0.6775348	0.4892487	0.6153885	0.0125011	0.7541780	0.4263667	0.0414112	0.6872352	0.6755667	0.8173601	0.1791496	0.0987211	0.7832363	0.6998309	0.8038781	0.3839597	0.4909070	0.4867839	0.5440383	0.4318085	0.2699964	0.0844972	0.0764861	0.1836992	0.0022318	0.6437251
0.5700978	0.8381879	0.6192719	0.4674387	0.1692189	0.0133510	0.0822504	0.0561455	0.5119749	0.7910624	0.6182387	0.1920493	0.6982944	0.3984178	0.7199933	0.6986992	0.4325439	0.8021339	0.0027684	0.1935215	0.7480464	0.5139956	0.1348379	0.1012031	0.7403653	0.5748255	0.8024413	0.0444070	0.7134945	0.4797533	0.0197342	0.5874149	0.8411423	0.8601098	0.2458375	0.1851416	0.6856508	0.6115337	0.6683995	0.3893293	0.5445715	0.5644886	0.5466055	0.2860832	0.2669965	0.1449064	0.0596880	0.1988502	0.0055907	0.6064900
0.6139510	0.6683153	0.6894482	0.4473338	0.2385758	0.0371853	0.0762824	0.0385012	0.8131436	0.8857589	0.7479460	0.2698085	0.4615651	0.3557889	0.6106131	0.6925336	0.3283360	0.7313633	0.0039454	0.2168424	0.6486708	0.6860506	0.1830488	0.0463471	0.7728106	0.3442728	0.6680294	0.0487953	0.6551594	0.6284313	0.0301746	0.7453035	0.8172068	0.7718527	0.2230273	0.1126651	0.7365037	0.7331224	0.8341082	0.4125882	0.4913021	0.5768081	0.6051302	0.3003229	0.2726388	0.1490349	0.1830862	0.1604134	0.0057755	0.6818353
0.6202069	0.6468453	0.6299973	0.3403939	0.2080285	0.0111912	0.0417297	0.0339643	0.6233612	0.7033835	0.8181530	0.4312252	0.7269945	0.2128702	0.8843152	0.7279861	0.4619331	0.7048962	0.0019513	0.3404011	0.7514114	0.7558587	0.1366924	0.1066347	0.7556755	0.4219340	0.8039300	0.0370762	0.7823160	0.4829272	0.0485186	0.6497969	0.7969195	0.7066871	0.2027349	0.1569187	0.8215654	0.7380850	0.6815629	0.3566735	0.5223555	0.6715330	0.5347126	0.3162345	0.2872338	0.1916033	0.0942061	0.1945440	0.0018300	0.7050028
0.6086645	0.7928889	0.6239246	0.3317263	0.2604277	0.0104009	0.0986384	0.0471728	0.7020014	0.7096223	0.7256755	0.4149228	0.6638999	0.4229458	0.2276837	0.7149682	0.3624159	0.6174205	0.0039851	0.2269330	0.6338075	0.5553315	0.2348254	0.1033342	0.7592199	0.4740365	0.7370817	0.0150667	0.7809159	0.5909147	0.0433685	0.6411226	0.8461153	0.7793589	0.2100561	0.2181533	0.7383922	0.7904061	0.8944123	0.2421350	0.3979941	0.6810666	0.4880727	0.3128219	0.2926644	0.1767197	0.0701756	0.1293451	0.0099816	0.7829040
