YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.0000000	0.7923934	0.6647549	0.4150349	0.1938846	0.0326796	0.0292882	0.0179974	0.6573935	0.6957218	0.8259361	0.3570390	0.8405540	0.4035762	0.8116255	0.6937320	0.4220084	0.5638927	0.0077442	0.2678335	0.6517599	0.5328019	0.1610197	0.0750607	0.7374880	0.4247414	0.7557851	0.0163375	0.6749319	0.5319558	0.0315578	0.7515715	0.7865139	0.6216816	0.3596375	0.1874192	0.6364750	0.7508860	0.7115877	0.2995986	0.5353196	0.5741263	0.5407797	0.3154742	0.2757149	0.1906747	0.1087283	0.2628855	0.0031757	0.6494120
0.7486555	0.0000000	0.8984041	0.5258220	0.1637559	0.0161310	0.0403494	0.0127423	0.5529640	0.7108078	0.8248415	0.3615089	0.9735497	0.4209510	0.5666435	0.8274629	0.4024894	0.8882613	0.0079846	0.2405149	0.7283486	0.4830238	0.2073052	0.1148247	0.7730336	0.3522802	0.8802814	0.0200727	0.6110390	0.5907902	0.0228474	0.6718868	0.6822218	0.8679472	0.2265016	0.2170226	0.6622420	0.6554933	0.7384565	0.3173603	0.4346721	0.5670437	0.5335878	0.2726061	0.2738024	0.1485064	0.0953657	0.2071452	0.0036526	0.6527000
0.1473046	0.7453802	0.0000000	0.0480797	0.8533247	0.3581371	0.9859354	0.3657654	0.0353627	0.2304557	0.3495035	0.6654847	0.7267568	0.5781450	0.6402290	0.7131288	0.1882791	0.6535347	0.7880209	0.4941391	0.6955077	0.2279240	0.5955738	0.0635404	0.7730688	0.3288027	0.6669567	0.0273613	0.7453934	0.6833617	0.0180850	0.6840241	0.6939453	0.7478179	0.2880529	0.1458767	0.7013536	0.7114726	0.7299086	0.4034366	0.5564134	0.1879611	0.5533402	0.2505150	0.2715373	0.1093857	0.0805074	0.2988746	0.0013513	0.6191326
0.5896087	0.6331910	0.7266719	0.0000000	0.2539616	0.0193323	0.0728424	0.0264836	0.5488500	0.7594975	0.7061902	0.4658190	0.6666974	0.4349209	0.5609560	0.8458205	0.4070784	0.7674489	0.0044106	0.2866258	0.7480477	0.5389059	0.1209922	0.0697557	0.7274416	0.4539577	0.6842018	0.0358952	0.7273713	0.5049710	0.0467665	0.7085463	0.7716536	0.7329119	0.2097641	0.1425510	0.7727470	0.5870107	0.7007550	0.3208064	0.4293877	0.6209863	0.5106838	0.2993813	0.2004029	0.1588506	0.0952469	0.1183406	0.0161700	0.6538789
0.5961331	0.7503094	0.8617516	0.3901227	0.0000000	0.0215813	0.0824969	0.0565213	0.4419405	0.7284753	0.7146992	0.3657364	0.7880317	0.4845195	0.6636456	0.7196580	0.4248038	0.7283847	0.0059038	0.2744231	0.6642854	0.6393193	0.1500145	0.0689165	0.7396844	0.4367766	0.6890932	0.0483727	0.6863261	0.5186792	0.0288565	0.6617073	0.8730443	0.7263675	0.1723026	0.1601014	0.8370372	0.6543313	0.7245632	0.3547110	0.4369596	0.6109822	0.4744966	0.3387115	0.2787299	0.1750254	0.0729844	0.1979147	0.0015982	0.7806526
0.5548317	0.7119169	0.8146421	0.3477498	0.1838663	0.0000000	0.0520397	0.0298609	0.7832380	0.7027516	0.7191539	0.3732107	0.7396965	0.4210141	0.5439932	0.6738714	0.3568640	0.7007051	0.0012680	0.2694249	0.7044788	0.6159350	0.1945529	0.0374358	0.8217513	0.5795652	0.6463625	0.0118390	0.5387999	0.5140830	0.0201895	0.5748910	0.6999022	0.6880211	0.1751155	0.1709992	0.7317802	0.6909310	0.7194802	0.2934963	0.4719375	0.7198697	0.5006013	0.3010542	0.3309787	0.1093605	0.0852507	0.1534897	0.0025664	0.6986522
0.4984393	0.7417389	0.7138013	0.3561036	0.2761410	0.0321470	0.0000000	0.0597414	0.5435689	0.7504838	0.7712056	0.3586931	0.6096226	0.4105295	0.4883962	0.6189870	0.5690203	0.8065070	0.0072207	0.3278336	0.7136093	0.6152468	0.1548211	0.0818604	0.9204250	0.4653900	0.8579784	0.0436075	0.6771006	0.5057724	0.0344036	0.7198881	0.7059210	0.8326496	0.2738788	0.1533931	0.6281823	0.7715753	0.7186629	0.2813567	0.5226766	0.5697908	0.5363212	0.3251201	0.3102434	0.4646353	0.0837389	0.1570203	0.1297150	0.5672177
0.4353228	0.7067362	0.7635062	0.3462769	0.2393188	0.0385006	0.0733490	0.0000000	0.7450329	0.6679680	0.6615440	0.4456358	0.6627777	0.3737909	0.5756425	0.7859785	0.3386909	0.6609361	0.0024619	0.2418330	0.6084563	0.5546533	0.2115611	0.0489140	0.6734956	0.4692816	0.6679286	0.0285721	0.6692168	0.5739459	0.0211368	0.7201791	0.7603415	0.6993089	0.2770884	0.1886712	0.7381079	0.5696527	0.6845846	0.4736649	0.4312658	0.5238088	0.5609582	0.2439830	0.2858750	0.1216714	0.0972473	0.1469937	0.0062227	0.8227844
0.5943918	0.8124526	0.5927495	0.3560818	0.2667547	0.0580187	0.0828909	0.0277610	0.0000000	0.7145271	0.6227612	0.3322032	0.6317606	0.3722622	0.6172661	0.6856406	0.3648362	0.7476724	0.0032432	0.2822686	0.6847578	0.4360975	0.1510634	0.0905038	0.6300636	0.4024207	0.7327362	0.0157810	0.6460357	0.6442576	0.0321566	0.7401109	0.8541602	0.8300761	0.2677924	0.1702379	0.7828515	0.6384610	0.7451283	0.3377334	0.4829057	0.2444332	0.5609883	0.2938806	0.2916144	0.1407222	0.0942202	0.1936030	0.0088451	0.6163822
0.7360172	0.7525601	0.7079486	0.4067829	0.1834737	0.0226837	0.0451311	0.0440662	0.4318967	0.0000000	0.6173798	0.3497464	0.8651706	0.4874255	0.5995901	0.7500833	0.3602562	0.7929698	0.0228287	0.2823092	0.8375228	0.5441872	0.1495967	0.0771763	0.6738168	0.4929451	0.7750179	0.0398821	0.5968893	0.5103103	0.0487659	0.6173391	0.6511855	0.6581893	0.2230363	0.1586657	0.6431963	0.6661121	0.6890119	0.3195696	0.4406309	0.5561721	0.4791720	0.2929689	0.3111687	0.1306660	0.0706006	0.2081077	0.0008359	0.5825432
