YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.4488592	0.6580225	0.6533128	0.4333368	0.2132046	0.0010329	0.0196431	0.0024216	0.6503537	0.5095057	0.5705078	0.3191262	0.7840260	0.1802376	0.6493335	0.7355105	0.3527981	0.6221368	0.0159220	0.5523412	0.5786314	0.4245512	0.1537557	0.0397848	0.6222800	0.3562253	0.4444835	0.0229042	0.6853409	0.5322629	0.0400348	0.6461768	0.7374619	0.5423180	0.2090703	0.2139619	0.6035763	0.6940992	0.6796981	0.3175762	0.5690086	0.7922872	0.6036840	0.2863579	0.1048296	0.1268637	0.1013700	0.3724251	0.0645119	0.5641734
0.4907621	0.6333238	0.7581915	0.4900551	0.2019614	0.0028438	0.0915737	0.1129744	0.1198119	0.5750306	0.6358952	0.1286300	0.7642909	0.5082134	0.4033951	0.6156343	0.4908753	0.8026129	0.0121501	0.2103008	0.7706107	0.6055875	0.0912600	0.1648250	0.7376034	0.3827468	0.5611430	0.0022614	0.7207715	0.5773332	0.0881536	0.6332654	0.6908247	0.5635830	0.2443030	0.1616389	0.7741127	0.5512766	0.6391521	0.4232738	0.3406723	0.2363244	0.5349905	0.4331711	0.2028878	0.0506703	0.1484947	0.0835510	0.2362553	0.5879923
0.3275460	0.7128991	0.3213263	0.1116680	0.5469134	0.0814076	0.4112954	0.2026001	0.0282388	0.6974787	0.5704028	0.2604529	0.6833138	0.3711847	0.4590003	0.6135048	0.3011763	0.4897019	0.0154259	0.2089695	0.6922929	0.3881673	0.3899282	0.1989811	0.3984853	0.3504916	0.5648772	0.0008468	0.7260036	0.6463892	0.0559643	0.6824931	0.7155912	0.7238157	0.2609569	0.3640415	0.6619779	0.6961149	0.7646112	0.5063889	0.5949344	0.0704135	0.4717849	0.3178327	0.3469539	0.2179314	0.3685895	0.3577050	0.0015516	0.7288368
0.4696662	0.6566397	0.6163556	0.3764215	0.2771207	0.0012510	0.0431241	0.0127424	0.5735393	0.6868789	0.7453550	0.1611076	0.7168668	0.5410804	0.2508878	0.7983744	0.1063810	0.2392404	0.0370877	0.2063972	0.6098961	0.6211727	0.0064386	0.1718012	0.5981067	0.3465692	0.6773294	0.0361224	0.3531805	0.5248442	0.0234231	0.7202316	0.6975798	0.8090181	0.3452608	0.4415451	0.5854115	0.6595991	0.7408574	0.2719392	0.2473339	0.6273449	0.3061025	0.2357833	0.4190978	0.4275168	0.0550170	0.0220064	0.0118102	0.7901752
0.4012474	0.6809770	0.7210528	0.3185946	0.2462734	0.0166039	0.0642401	0.4008589	0.0735611	0.5647477	0.7045567	0.1014419	0.7132030	0.5031496	0.4547613	0.4653059	0.3412584	0.6777825	0.0150240	0.1951215	0.6262089	0.6226081	0.0065336	0.0005641	0.5811322	0.5799093	0.8590782	0.0098242	0.7632899	0.4422628	0.0231959	0.5694214	0.4571794	0.3095829	0.0796757	0.0190690	0.7589498	0.3897632	0.8876952	0.2930764	0.4696996	0.2979750	0.5270745	0.5899975	0.2495296	0.6004515	0.3937353	0.4812722	0.3478374	0.5647190
0.5198347	0.7726519	0.8685738	0.4523609	0.1880310	0.0011013	0.0863647	0.2419017	0.0421973	0.5876171	0.4225976	0.3692056	0.8729832	0.4561858	0.4746554	0.7424331	0.3268517	0.5857379	0.0066167	0.1410146	0.7689159	0.4218202	0.2000011	0.2023923	0.6146998	0.4351534	0.7229460	0.0001070	0.8284842	0.4967173	0.0638924	0.4995973	0.1106868	0.7118567	0.3222396	0.2491013	0.7711346	0.7019846	0.5774316	0.2703978	0.6169603	0.1381229	0.6002086	0.2562201	0.1495305	0.0134977	0.1005226	0.2717654	0.5824834	0.7025300
0.4403132	0.6248865	0.5427115	0.3064379	0.3509744	0.1666439	0.1067476	0.2461533	0.0074496	0.4291284	0.7154521	0.2958746	0.5107742	0.1909841	0.8401704	0.6046144	0.4903049	0.8446306	0.0000676	0.3021971	0.6312463	0.5501918	0.1764187	0.0284756	0.7961857	0.4276000	0.7296208	0.0379048	0.6164593	0.6381579	0.0023263	0.8237659	0.5654846	0.5139919	0.1664907	0.0354226	0.6064842	0.7486118	0.7018709	0.3489832	0.4882958	0.2228570	0.5508449	0.3180033	0.1391754	0.1743471	0.1977320	0.0501838	0.0347431	0.6955445
0.4167499	0.5635968	0.6774545	0.4360036	0.2395325	0.0004782	0.0670268	0.3911322	0.0200811	0.7055891	0.7382431	0.3027172	0.6931732	0.2719234	0.6388182	0.7960518	0.4957191	0.7137264	0.0036026	0.5353982	0.5058289	0.5349452	0.1591341	0.1645650	0.7374153	0.3319472	0.5650694	0.0377870	0.4985800	0.6217996	0.0122656	0.6212705	0.6255694	0.6669974	0.3428107	0.3163931	0.6949574	0.7358062	0.7461149	0.3033458	0.4781700	0.2590039	0.5526085	0.3329628	0.2762330	0.1242586	0.3679622	0.2537329	0.2333088	0.3640222
0.3187101	0.7906461	0.8126486	0.5127547	0.2500539	0.0029445	0.0417934	0.0081685	0.7267148	0.7799642	0.7424990	0.0990061	0.8355167	0.2927903	0.4176897	0.7489289	0.2019834	0.7168079	0.0027048	0.6299878	0.6328302	0.2835922	0.1176986	0.2799737	0.6204914	0.3689601	0.8132153	0.0234596	0.7860766	0.3784045	0.0238798	0.8330331	0.6726340	0.7161614	0.2363128	0.2278140	0.5393196	0.7013484	0.8734859	0.1709252	0.5961415	0.5848705	0.9215853	0.2246239	0.1484635	0.0395628	0.1717385	0.2499314	0.0301617	0.6649607
0.5582472	0.6652759	0.7851850	0.5580977	0.1964406	0.3191234	0.0455126	0.0154748	0.5546231	0.1970797	0.3679311	0.4271361	0.7576671	0.5485383	0.5267222	0.7405286	0.1710744	0.7391579	0.0011597	0.2009508	0.7121176	0.4748819	0.1666695	0.1361873	0.2644332	0.5132087	0.7333885	0.0393531	0.8860808	0.6513441	0.0676549	0.6396240	0.3720433	0.6154845	0.1903002	0.1083640	0.5630595	0.4825760	0.5368219	0.3835670	0.1702952	0.6909439	0.6166028	0.3896531	0.4268698	0.0243843	0.0554598	0.5771733	0.0371319	0.3721174
