"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.4836937	0.6797533	0.7154322	0.3908092	0.2272693	0.0307643	0.0738929	0.0420007	0.6652670	0.7064794	0.8534239	0.3059110	0.6384696	0.4913629	0.7457046	0.7571456	0.5149468	0.6079516	0.0030276	0.2986690	0.7599548	0.4496950	0.1678262	0.1428936	0.6267084	0.3909250	0.7577754	0.0304340	0.7822147	0.5613439	0.0183496	0.7050984	0.7523299	0.7901169	0.2923772	0.1909667	0.7651573	0.7880553	0.7336638	0.3534517	0.4182055	0.5180267	0.6138907	0.4548692	0.2619517	0.1301701	0.1145276	0.2020695	0.0032190	0.7540436
100	0.4401685	0.7056747	0.7324693	0.3556194	0.2827813	0.0449082	0.0504157	0.0215431	0.5861280	0.6805074	0.6795112	0.3330604	0.7429463	0.3778270	0.4858242	0.8509453	0.4217928	0.6521110	0.0016641	0.1903456	0.6031507	0.6418762	0.0239066	0.1848493	0.7476376	0.6761880	0.7803015	0.0005295	0.7607786	0.4372807	0.0450210	0.7515124	0.7911681	0.5329457	0.1630912	0.1800219	0.8070255	0.3586191	0.7174492	0.5713600	0.6880729	0.3994970	0.5255156	0.1635347	0.4321953	0.5864776	0.0540464	0.1559025	0.3639080	0.4578740
200	0.3848232	0.7866671	0.6534944	0.3010273	0.2167917	0.0240067	0.0910679	0.0278627	0.5106085	0.7549404	0.7975547	0.2965439	0.7840132	0.4890303	0.5185918	0.7434873	0.4268194	0.8089092	0.0095785	0.1439748	0.5617497	0.6615541	0.0217885	0.3670944	0.8914485	0.6731284	0.8098021	0.0004204	0.7880819	0.3112696	0.0543542	0.6224797	0.5716869	0.4981680	0.1194875	0.0859394	0.8030745	0.3615305	0.6651771	0.5833959	0.6179970	0.2637847	0.6365721	0.3040572	0.2914158	0.6034092	0.0392885	0.1873375	0.3451411	0.5239257
300	0.4256230	0.8145015	0.7117709	0.4877824	0.1699376	0.0202406	0.0364908	0.0314408	0.6880022	0.6312134	0.7285288	0.3259991	0.7953892	0.4561804	0.5771612	0.7528967	0.4453384	0.6383414	0.0000000	0.1480945	0.7162136	0.7352517	0.0016999	0.3973547	0.6928596	0.8195853	0.6438957	0.0004613	0.6509962	0.4112726	0.0313100	0.6373045	0.6876575	0.4520782	0.1338685	0.0275681	0.6026524	0.3251539	0.7735410	0.5711151	0.6696244	0.3283779	0.5562853	0.2281178	0.2687477	0.6434886	0.0198497	0.1414395	0.3899824	0.3741011
400	0.5823490	0.8642639	0.6218209	0.4412476	0.1690229	0.0202295	0.0941303	0.0499022	0.5749141	0.7798826	0.6361453	0.2477826	0.7060643	0.3789357	0.5058945	0.8114080	0.4520078	0.6850062	0.0066434	0.2097691	0.6955168	0.7186518	0.0056893	0.1781298	0.5991053	0.7848270	0.5242940	0.0000044	0.6408858	0.2862934	0.0173470	0.6208095	0.7952153	0.3884980	0.1167347	0.0864812	0.7844851	0.3692689	0.7007648	0.6133394	0.6906637	0.2680866	0.5930945	0.2295764	0.3147677	0.5340034	0.0664222	0.2109452	0.3706864	0.4299416
500	0.4055293	0.9266269	0.7907757	0.3378698	0.3363238	0.0130123	0.0832465	0.0272462	0.6705701	0.5760284	0.6226338	0.3889171	0.7198102	0.3917218	0.6036646	0.6617070	0.3794688	0.7204816	0.0009656	0.2188750	0.6566721	0.7381864	0.0048557	0.2457643	0.6703459	0.6838326	0.6353231	0.0023701	0.7850069	0.2930788	0.0401475	0.6934472	0.6610898	0.4527426	0.1634745	0.0409457	0.6827161	0.3507196	0.6961454	0.6133588	0.5001054	0.3232872	0.5523394	0.2857998	0.3412042	0.6236570	0.0250839	0.1207055	0.4319411	0.3618644
600	0.4785464	0.9968368	0.6880009	0.4032767	0.2171225	0.0170815	0.0752360	0.0250048	0.6587975	0.7226987	0.6438828	0.3022515	0.7887515	0.3672102	0.5479128	0.6336944	0.3727239	0.8127197	0.0070441	0.2048293	0.6606227	0.6829714	0.1360827	0.2035130	0.7444635	0.4448687	0.5863271	0.0261028	0.7490314	0.5109323	0.0311674	0.6424510	0.6958675	0.7701030	0.1786298	0.0635360	0.7503900	0.7412788	0.5793562	0.2198400	0.5120664	0.6682436	0.5521244	0.5592194	0.2185682	0.2107849	0.0262366	0.1687298	0.0397650	0.6350690
700	0.5124951	0.6953969	0.8244463	0.3677493	0.1636359	0.0324035	0.0527005	0.0432187	0.5306627	0.8436249	0.6783098	0.3238395	0.6514184	0.4440777	0.4224888	0.7618040	0.4434077	0.6543794	0.0027790	0.2607766	0.7617211	0.6121483	0.1685172	0.0961614	0.6636635	0.4010995	0.7883257	0.0129653	0.7861842	0.5803793	0.0110193	0.5727991	0.6120635	0.7061081	0.2573788	0.1649251	0.7432060	0.6823935	0.6610887	0.3363804	0.3614137	0.6851281	0.5309424	0.3652279	0.2499144	0.1959764	0.0454270	0.1766372	0.0053464	0.7273494
800	0.4631287	0.7406294	0.7031155	0.3872841	0.2892971	0.0222710	0.0229535	0.0375704	0.5828530	0.7307612	0.6669289	0.3601677	0.6711264	0.4583908	0.5933964	0.7007879	0.3578296	0.7124072	0.0051879	0.2215612	0.6443640	0.4860599	0.1335760	0.0752231	0.7705888	0.4022374	0.6566985	0.0233356	0.8150404	0.5395147	0.0509603	0.5667881	0.6715220	0.6932223	0.2056654	0.1566544	0.8333935	0.7656689	0.6515270	0.4346232	0.5213789	0.6089790	0.5582848	0.3682224	0.2844756	0.1292737	0.1163599	0.1750490	0.0052150	0.7320197
