YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.5874046	0.6324225	0.6388071	0.3269612	0.2078305	0.0183764	0.0648052	0.0352718	0.5053374	0.6127401	0.7269358	0.3707337	0.5932850	0.3479894	0.2907928	0.5998834	0.3969150	0.6123745	0.0034373	0.2465822	0.6712520	0.6565394	0.1725561	0.2070602	0.8439980	0.5170052	0.6431396	0.0255784	0.6097442	0.5074955	0.2969124	0.0766770	0.0000000	0.7369775	0.6629705	0.4528791	0.0000000	0.7238155	0.7778699	0.3096644	0.7476078	0.1764524	0.0868073	0.3177787	0.2624593	0.1559204	0.0984995	0.1165191	0.0177121	0.5979266
0.4538059	0.8391829	0.6197959	0.2751150	0.1957951	0.0321703	0.0930700	0.0323603	0.7409747	0.6359132	0.7542686	0.3898169	0.5712160	0.4222282	0.5085800	0.7616722	0.3915676	0.7579976	0.0027854	0.3575770	0.8001529	0.4892273	0.2188236	0.0005606	0.6384466	0.5173334	0.7333666	0.0339748	0.7488055	0.0000000	0.0271715	0.6582523	0.7836368	0.6390405	0.2625759	0.1461374	0.8050034	0.7297573	0.7016128	0.0000000	0.0517399	0.8037611	0.5354551	0.6391548	0.1781973	0.3701676	0.1222786	0.1745943	0.2704389	0.7594694
0.5212846	0.6630354	0.7151418	0.3741447	0.2229482	0.0549662	0.0464917	0.0921039	0.7487074	0.6019029	0.6159727	0.3139210	0.7255439	0.4512365	0.6308810	0.8343068	0.4210204	0.7502600	0.0059160	0.3042507	0.6692458	0.4745579	0.1611132	0.6361447	0.7008772	0.3744008	0.6508149	0.0335780	0.6689924	0.0000000	0.3437012	0.8019533	0.6498378	0.7520413	0.2214548	0.1408589	0.0000000	0.7812025	0.8157682	0.0740732	0.0354195	0.6511054	0.2025524	0.7132149	0.1752194	0.4857764	0.0658670	0.1882461	0.0115541	0.6782356
0.4619657	0.7032575	0.7583179	0.5161667	0.1643102	0.0766988	0.0623243	0.0276935	0.5180344	0.6804344	0.7165240	0.3715565	0.6631620	0.4083204	0.6717067	0.6796496	0.3524494	0.8036042	0.0013424	0.1939026	0.6516380	0.5305731	0.1851761	0.0012268	0.7954300	0.4986986	0.6904462	0.0457551	0.6935225	0.0000000	0.0429063	0.6096003	0.0000000	0.6775278	0.2472831	0.1972121	0.6909156	0.8626082	0.6200349	0.0399933	0.2905961	0.6992378	0.5287235	0.8313538	0.1897158	0.5855313	0.1252976	0.1924636	0.5669279	0.6700354
0.5256686	0.6754250	0.6551629	0.4241417	0.2663131	0.0449490	0.0710526	0.0384397	0.6269530	0.6731653	0.6945519	0.4046353	0.6181182	0.4049455	0.5279539	0.8410453	0.5254740	0.6057112	0.0010987	0.3129308	0.6589635	0.5207353	0.2548180	0.7814451	0.7768320	0.4445927	0.7061995	0.0404428	0.6780723	0.0000000	0.3483881	0.6951672	0.6852435	0.0000000	0.1999708	0.2059544	0.7822878	0.8538067	0.5598510	0.0219578	0.2880818	0.6253187	0.7439917	0.7205439	0.1933077	0.4684704	0.0903923	0.1361981	0.2187459	0.6058057
0.5049361	0.7374784	0.6821921	0.4005149	0.2100645	0.0500757	0.0478457	0.0740163	0.5153768	0.6184152	0.6810171	0.3626555	0.7865444	0.4845468	0.6215136	0.7485370	0.4147953	0.6197327	0.0112744	0.1869699	0.0002198	0.6077235	0.1634668	0.2741648	0.6425726	0.4823488	0.6719121	0.0246218	0.6779610	0.0000000	0.0428695	0.6803305	0.6458157	0.6815432	0.2228710	0.1064956	0.6903787	0.8029768	0.7310585	0.0436640	0.0238990	0.6850211	0.5320570	0.6464452	0.4058427	0.7583766	0.1121461	0.0005643	0.3524186	0.6771485
0.4800736	0.6704175	0.5739182	0.3797375	0.1637473	0.0204221	0.0538554	0.0302134	0.5668768	0.6730917	0.8004248	0.3639252	0.6132113	0.4437066	0.4694172	0.7105610	0.2994575	0.7821422	0.0026486	0.3049348	0.7558516	0.5011662	0.1618771	0.1412014	0.7936871	0.3617547	0.8466566	0.0330242	0.6614555	0.7193547	0.1472574	0.2810924	0.6387699	0.7379706	0.3579308	0.3962685	0.0000000	0.5587253	0.6416683	0.0000000	0.3701989	0.3072541	0.2118353	0.3486298	0.0965693	0.1279875	0.0606370	0.1740279	0.0159475	0.5985254
0.3905412	0.7829748	0.6208098	0.4388868	0.2071387	0.0461847	0.0471927	0.0361549	0.5453806	0.7280855	0.5845925	0.3603925	0.7146478	0.4896087	0.4353067	0.6312259	0.3266936	0.6594787	0.0030859	0.2599614	0.6967040	0.5729297	0.1769671	0.3327312	0.7146163	0.4571069	0.7378339	0.0665606	0.6194612	0.6165987	0.6870823	0.7312098	0.8723541	0.0000000	0.2560008	0.1639708	0.0000000	0.9075160	0.7120771	0.3596903	0.6646398	0.6976580	0.2278352	0.3101893	0.2981835	0.1233049	0.0705147	0.1394118	0.0123391	0.6874848
0.4450114	0.7088033	0.7803607	0.4765319	0.2516556	0.0498056	0.1291428	0.0401451	0.5286767	0.6798993	0.7703142	0.3803866	0.7400773	0.4329919	0.4643936	0.7699570	0.4871800	0.8724181	0.0085939	0.3305023	0.5833535	0.4153998	0.2668115	0.0001314	0.7209736	0.4885742	0.8416847	0.0181334	0.6971133	0.7863129	0.0273966	0.3466653	0.0000000	0.7034418	0.3726102	0.3876560	0.7526454	0.6155339	0.7917506	0.0000000	0.5724217	0.6805347	0.5361177	0.3771925	0.1533826	0.1053734	0.0692680	0.1589140	0.2116014	0.7334100
0.5132911	0.7153461	0.7481691	0.4956305	0.2722062	0.0389235	0.0499601	0.0459020	0.5286817	0.7614238	0.6641619	0.3753491	0.7463966	0.3837928	0.8002572	0.7084430	0.4196313	0.6341465	0.0051890	0.2406117	0.7032637	0.5315956	0.2039946	0.0652176	0.7503732	0.4267730	0.6988491	0.0329669	0.7325644	0.5810714	0.3861722	0.7206875	0.0000000	0.0000000	0.2903134	0.2539253	0.7376823	0.7523192	0.6865143	0.2907693	0.7570750	0.6849190	0.6930089	0.2997235	0.2657472	0.1299657	0.0699328	0.1854679	0.0328590	0.6875985
0.4408772	0.7410141	0.6453737	0.4202352	0.2491471	0.0269419	0.0795470	0.0245377	0.6018660	0.6635795	0.7482463	0.3653225	0.6836485	0.4449440	0.6993272	0.7271038	0.3920419	0.7561060	0.0046493	0.2522660	0.7138377	0.4551604	0.1871919	0.0550348	0.8019341	0.4535053	0.7007118	0.0237951	0.7319671	0.6827403	0.3517558	0.6378560	0.6321446	0.0000000	0.1801258	0.1252713	0.7566202	0.6814036	0.7626845	0.0000000	0.6510344	0.7246472	0.7280702	0.3396310	0.0786704	0.1147688	0.0555454	0.1752527	0.0836178	0.6104829
0.4816640	0.7809700	0.8011143	0.3799297	0.2132967	0.0394132	0.1027706	0.0495571	0.5976214	0.6688382	0.8113410	0.3285537	0.7212384	0.5162786	0.2096710	0.6785617	0.1812994	0.6640495	0.0042504	0.4148362	0.7809096	0.4940555	0.2138576	0.2791108	0.6574191	0.0349378	0.0000000	0.0103876	0.7344351	0.0000000	0.0542120	0.7981773	0.6497896	0.7446465	0.6276419	0.5658744	0.6551933	0.6201125	0.7950413	0.0359042	0.3285077	0.7025921	0.4818715	0.7832875	0.1475281	0.4476187	0.2588912	0.6017696	0.0080642	0.6304721
0.5475647	0.6649876	0.7883006	0.3768410	0.2932640	0.0213724	0.1037391	0.0356292	0.6958060	0.8703137	0.7731434	0.3474728	0.7630215	0.4837686	0.2133131	0.6164137	0.2399649	0.7224563	0.0019901	0.1927698	0.7825655	0.7690809	0.0000000	0.2618685	0.6438835	0.0438827	0.0000000	0.0160868	0.6660765	0.5262291	0.0541223	0.8148419	0.7588783	0.6472141	0.7744592	0.5250661	0.7291231	0.7983534	0.7895896	0.4142491	0.6986414	0.5803762	0.5408467	0.7487685	0.1656302	0.6764887	0.1941500	0.6362100	0.0054126	0.6818400
0.4537688	0.8806636	0.6357816	0.4284294	0.1987868	0.0238093	0.0771615	0.0370977	0.6513454	0.6888763	0.7049648	0.3723192	0.6047853	0.4099357	0.6126245	0.6138121	0.3996817	0.7489364	0.0026438	0.1439930	0.0000000	0.7042249	0.2985279	0.0001744	0.6721434	0.3997464	0.7558521	0.0195717	0.6917507	0.7174131	0.0348398	0.7194273	0.7639439	0.8245562	0.3206842	0.0932868	0.8038894	0.8304589	0.7687563	0.0000000	0.4735200	0.7365315	0.5281539	0.2625596	0.3388609	0.5193404	0.0571442	0.0005511	0.1240972	0.5592985
0.6053011	0.7724843	0.7193428	0.3984331	0.3126292	0.0270745	0.1106812	0.0254676	0.4859503	0.7759488	0.7682171	0.3953225	0.8462811	0.4367792	0.2379909	0.6063639	0.2127945	0.8081604	0.0023267	0.2731464	0.0000000	0.7020647	0.1144526	0.3426019	0.7393750	0.0135344	0.0000000	0.0311464	0.7851744	0.5890749	0.0390488	0.7090181	0.7422081	0.7038626	0.6810012	0.5633604	0.6477265	0.8369140	0.7927367	0.3137482	0.7284821	0.6132419	0.4285641	0.3346470	0.4132469	0.6778409	0.2924330	0.4125771	0.0612123	0.8114592
0.5958936	0.7439420	0.7570871	0.4067538	0.2150443	0.0214209	0.0000000	0.0478844	0.6512975	0.8142552	0.8680354	0.3129065	0.8134110	0.4011894	0.5073260	0.8097867	0.4003419	0.7416298	0.0023616	0.2610024	0.7336327	0.4105156	0.1845176	0.0010398	0.7619616	0.4430330	0.7381907	0.0281975	0.7692692	0.6886638	0.0251859	0.7010039	0.7643009	0.6986625	0.2289702	0.1630414	0.7490831	0.8395958	0.7216581	0.0000000	0.3229275	0.7471860	0.5772707	0.2470360	0.1293593	0.4466730	0.0801830	0.1513838	0.1232079	0.5462078
0.4189094	0.7693278	0.8222323	0.3679304	0.2736934	0.0588115	0.0000000	0.0159424	0.5740387	0.6788614	0.8615132	0.3726338	0.6336047	0.3773423	0.4705933	0.8302734	0.3735264	0.6983911	0.0001150	0.3404128	0.5756741	0.5486688	0.1356859	0.3044931	0.6389449	0.3392728	0.7617033	0.0274820	0.7736719	0.0000000	0.0410695	0.6777228	0.7205933	0.6876283	0.2257126	0.2006562	0.6955878	0.7386664	0.7670256	0.0311806	0.0688251	0.7760232	0.5390876	0.6685395	0.1621327	0.3852390	0.0517029	0.1822908	0.2268660	0.5841710
