YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.2427430	0.7435219	0.6914446	0.4118476	0.3081401	0.0286738	0.0540346	0.0433903	0.4875749	0.7588060	0.6443782	0.3453717	0.7581771	0.4353178	0.6187675	0.8078391	0.3479123	0.6790409	0.0075184	0.2532072	0.7567356	0.6226465	0.1406882	0.1537721	0.7436830	0.5599757	0.6735028	0.0226567	0.7986198	0.5752977	0.0443529	0.5764043	0.7396467	0.6780797	0.2368557	0.1553173	0.6390560	0.8916393	0.7036515	0.4106967	0.4969917	0.7381602	0.4947943	0.2514836	0.2926152	0.1612706	0.0934759	0.1963004	0.0030427	0.6546931
0.5593991	0.3322198	0.8288843	0.4446879	0.1707668	0.0176283	0.0916318	0.0241245	0.4636617	0.8063595	0.8064824	0.3435743	0.6909311	0.4479522	0.5886037	0.8189224	0.4793909	0.6484132	0.0096155	0.2637952	0.7379075	0.5800232	0.1656245	0.0493480	0.6431047	0.4585339	0.6130043	0.0683644	0.7422875	0.6913788	0.0313208	0.6352260	0.8694468	0.7346643	0.2048320	0.1500890	0.6319984	0.6929012	0.7090472	0.3653931	0.4475472	0.7381776	0.5228598	0.3456118	0.2431995	0.1714732	0.0908613	0.1478384	0.0062387	0.7133167
0.3495851	0.6494364	0.4300459	0.1986073	0.6655340	0.1225672	0.4224107	0.1861234	0.0633816	0.5360984	0.7044243	0.5300439	0.6249535	0.4528893	0.5834939	0.7513846	0.3748876	0.7859009	0.0018062	0.4275247	0.6382901	0.2565074	0.3715499	0.0808211	0.7921498	0.4265354	0.6969871	0.0348103	0.7204227	0.5409046	0.0350205	0.6570730	0.6709392	0.6241649	0.2381197	0.1513820	0.7616433	0.8517773	0.6464010	0.3615308	0.4246332	0.4669611	0.5315057	0.3156239	0.2368546	0.1402472	0.0820515	0.2444250	0.0106174	0.6546618
0.4845452	0.7412136	0.6077342	0.1999590	0.2842014	0.0154066	0.0790196	0.0295068	0.6405028	0.7921671	0.7447337	0.4148055	0.7038489	0.4283128	0.5769812	0.7365529	0.5337881	0.7160714	0.0024997	0.2456675	0.5806766	0.6214602	0.1427023	0.0787244	0.6966760	0.5004505	0.6832177	0.0409251	0.6792945	0.5445862	0.0374952	0.7677758	0.7002778	0.7020405	0.2316241	0.1377878	0.7794911	0.7626280	0.6639732	0.3414573	0.5682153	0.5425519	0.4966473	0.3853547	0.2317505	0.1342105	0.1127278	0.1915675	0.0107510	0.6574936
0.4654952	0.7135506	0.7039448	0.4265527	0.0959877	0.0343880	0.0857260	0.0152377	0.7249578	0.8023085	0.6360226	0.3503669	0.7416219	0.4915240	0.6191870	0.6576601	0.3164372	0.8039116	0.0013742	0.2379153	0.7654690	0.4840706	0.1517924	0.0887627	0.7038737	0.4412910	0.7737472	0.0374122	0.5809604	0.5951367	0.0123193	0.6267140	0.6239753	0.6851401	0.2049318	0.1372101	0.6447607	0.8902348	0.6874962	0.3388911	0.5590884	0.6062792	0.4803121	0.3512994	0.2282669	0.0941972	0.0867972	0.1781840	0.0094451	0.6664233
0.6258497	0.6890976	0.7419659	0.3806625	0.2395698	0.0217545	0.0702555	0.0335918	0.5610375	0.7565759	0.7561736	0.2751911	0.7653241	0.3423502	0.5449999	0.7890175	0.4317334	0.6947078	0.0027325	0.2188410	0.6975268	0.5305734	0.1632516	0.0870730	0.9220758	0.3848610	0.6125271	0.0388162	0.8105628	0.4393087	0.0187831	0.8002675	0.7473587	0.6993878	0.2046217	0.1714584	0.8305182	0.7553079	0.7063524	0.3822037	0.4477006	0.5839902	0.4857456	0.2740837	0.3095412	0.1246733	0.0908636	0.1266989	0.0016663	0.6781649
0.5830930	0.8137031	0.7331272	0.3542194	0.2846169	0.0361339	0.0477819	0.0306080	0.6779282	0.5182856	0.6368101	0.3329911	0.7280134	0.4000419	0.5113913	0.7316612	0.4976039	0.7034852	0.0040731	0.2208702	0.7528263	0.5603162	0.1651980	0.0960151	0.7455124	0.4106830	0.8704176	0.0594687	0.7664049	0.5744978	0.0301937	0.6825849	0.7066811	0.7391165	0.1352727	0.1533109	0.5913082	0.7683372	0.6404014	0.3148080	0.4444928	0.6413888	0.4716902	0.3381394	0.2180165	0.1744205	0.0800775	0.1765704	0.0065469	0.5906048
0.4136143	0.6680280	0.6678720	0.3048689	0.2465258	0.0403877	0.0886768	0.0219800	0.5928208	0.7227927	0.6725684	0.4738585	0.8167786	0.4533640	0.6857988	0.5581576	0.5092390	0.6896667	0.0049441	0.2924687	0.8779405	0.4894173	0.1698683	0.0599704	0.6280990	0.5038606	0.8281012	0.0772668	0.7226584	0.5304258	0.0514039	0.6674366	0.6254623	0.6212981	0.1725079	0.1379890	0.7041949	0.6498647	0.8084308	0.3431782	0.4590336	0.6523087	0.4105868	0.2977334	0.3139094	0.0911470	0.1254242	0.1584705	0.0498251	0.6912278
0.4660248	0.7702170	0.7439512	0.4912703	0.1173501	0.0513064	0.0558308	0.0365421	0.3277241	0.6966455	0.8907664	0.3040489	0.7680969	0.4923970	0.5715506	0.6275990	0.3110417	0.7326491	0.0010193	0.2406924	0.7949744	0.4988216	0.1821660	0.0989933	0.5507664	0.4183956	0.7474633	0.0449454	0.6542366	0.6465087	0.0342465	0.6400310	0.6401015	0.6849685	0.1981531	0.2303082	0.7306471	0.9293824	0.7771790	0.3365045	0.4571926	0.6813728	0.4623569	0.3462755	0.2597010	0.1173529	0.1038964	0.1691492	0.0091810	0.7581108
0.4241103	0.5805402	0.6863102	0.3625382	0.2140302	0.0255089	0.0721392	0.0365841	0.8453873	0.3915630	0.8925679	0.4516803	0.8603653	0.3876722	0.5879867	0.6868557	0.4964966	0.6597212	0.0009653	0.2756589	0.7498091	0.5803215	0.1679123	0.1426343	0.6831815	0.3821341	0.7286294	0.0507169	0.7261675	0.6109584	0.0217697	0.6835901	0.6945662	0.6822744	0.2754575	0.1622026	0.7279435	0.8219783	0.7360965	0.3382611	0.4221893	0.6736393	0.5556420	0.2804225	0.3211464	0.1176613	0.0802898	0.1665359	0.0129125	0.5929717
