YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.0000000	0.6703539	0.6359537	0.3855747	0.1946776	0.0404875	0.0674807	0.0288169	0.5992638	0.6838983	0.6278494	0.2756892	0.7906238	0.4012547	0.6042451	0.8026145	0.5112564	0.6061183	0.0030638	0.3053984	0.8973065	0.6211481	0.1456617	0.2034110	0.6401224	0.4606276	0.6037710	0.0095729	0.6418486	0.5512513	0.0294153	0.7297577	0.6224889	0.5892371	0.2008327	0.1372360	0.6593924	0.6421053	0.6600485	0.3053016	0.5290171	0.7868855	0.5448425	0.3083568	0.2528053	0.2220800	0.0595504	0.2241898	0.0017657	0.6227017
0.6805416	0.0000000	0.6885097	0.5220678	0.2207568	0.0188037	0.0312872	0.0272759	0.6302095	0.8373959	0.5914544	0.3139711	0.5970154	0.4873885	0.6883368	0.7257745	0.4490637	0.7267009	0.0047235	0.2610012	0.7198543	0.5208511	0.1889689	0.0609180	0.7497027	0.3928376	0.7357174	0.0319173	0.7811956	0.4837136	0.0251416	0.6002280	0.7051609	0.6507539	0.2474897	0.1852743	0.6181787	0.7086606	0.7513028	0.3698962	0.5235085	0.6111224	0.5557522	0.3623545	0.2708603	0.1175985	0.1331276	0.1390161	0.0077143	0.5751368
0.2034755	0.7279432	0.0000000	0.0459737	0.7735046	0.4138035	0.6771267	0.4542647	0.0209762	0.3229543	0.2394745	0.6548680	0.7366119	0.4052228	0.6720150	0.7735333	0.2344477	0.8134676	0.6910187	0.4475019	0.7217349	0.2979920	0.4622094	0.1241095	0.7750624	0.4475763	0.6612600	0.0354811	0.7316913	0.6336310	0.0154895	0.7817883	0.7601078	0.7241501	0.2200239	0.2072277	0.6691946	0.7269073	0.6931498	0.4774043	0.5493310	0.1969246	0.4244432	0.4093753	0.3598560	0.1067728	0.0762473	0.0950897	0.0077537	0.5169275
0.4913211	0.7002696	0.6997517	0.0000000	0.2131294	0.0168972	0.1335368	0.0153555	0.6038158	0.7975277	0.7205598	0.3864594	0.6052030	0.3854305	0.7895447	0.7277235	0.3641925	0.7250358	0.0015950	0.2405802	0.6384450	0.5380784	0.1924941	0.1374053	0.6239848	0.5195311	0.7758205	0.0254786	0.7578820	0.5159747	0.0526825	0.8371227	0.6612527	0.6602723	0.1878119	0.1301956	0.7153579	0.7240791	0.7445861	0.4044179	0.4126321	0.5642303	0.5685176	0.3412287	0.2982962	0.1545510	0.1030703	0.1344957	0.0013543	0.5395717
0.5098109	0.6962066	0.6953745	0.4815904	0.0000000	0.0277664	0.0848347	0.0349610	0.5559107	0.6792439	0.8236379	0.4442778	0.8359059	0.3324469	0.5205664	0.6664767	0.4857125	0.8671013	0.0013411	0.3113444	0.7270643	0.6399687	0.1746351	0.1749573	0.7437479	0.3740238	0.8838588	0.0336997	0.6197783	0.8139085	0.0518076	0.8000140	0.6761652	0.7620073	0.2328133	0.2867459	0.7623323	0.7715537	0.6118401	0.4299617	0.4766846	0.5121468	0.4325391	0.2972734	0.2636742	0.1797517	0.0939687	0.2189570	0.0103845	0.6878118
0.4169276	0.6810920	0.6677923	0.4707936	0.1582457	0.0000000	0.0310346	0.0179088	0.6067173	0.8271026	0.6933532	0.3428364	0.7132300	0.5570593	0.3735890	0.6988709	0.3685620	0.7998959	0.0046614	0.2174662	0.6926388	0.4987604	0.1579281	0.0762100	0.7192914	0.4407593	0.6808661	0.0640860	0.7088933	0.6015440	0.0323197	0.6373246	0.6980479	0.7520376	0.2441114	0.1734282	0.7609556	0.7710247	0.6355120	0.2706035	0.4814543	0.6376278	0.5384448	0.3056546	0.2319806	0.1152630	0.0902899	0.1604575	0.0039269	0.5762671
0.4945866	0.6357835	0.7517554	0.4643679	0.2226096	0.0130802	0.0000000	0.0307755	0.5889806	0.6214616	0.6721685	0.4758792	1.0000000	0.4649093	0.5625890	0.7399490	0.3781056	0.7502711	0.0018629	0.2174469	0.7637436	0.6015819	0.1496190	0.0671987	0.6945137	0.3686636	0.8895727	0.0333900	0.7211235	0.5310219	0.0293234	0.6765171	0.7530304	0.5730729	0.1632465	0.1749333	0.8681975	0.5889509	0.7041511	0.4804645	0.5514015	0.5735971	0.5275825	0.4213931	0.3390206	0.3414368	0.1367158	0.1652220	0.1544809	0.6230398
0.4953359	0.6949625	0.7267130	0.4628010	0.1306710	0.0281828	0.0257916	0.0000000	0.5718955	0.7666551	0.7585468	0.3176930	0.6747124	0.4842190	0.6298263	0.6598113	0.3789131	0.7940145	0.0026415	0.3079164	0.7223688	0.5922603	0.1788726	0.0154314	0.6744970	0.3968765	0.8036929	0.0619896	0.7567546	0.5167340	0.0300278	0.7132315	0.6934262	0.7101317	0.3455476	0.1598029	0.7683973	0.7845829	0.6381098	0.3155468	0.4644180	0.7536567	0.3636766	0.2413170	0.2640849	0.1292834	0.1054576	0.2249780	0.0068548	0.6981359
0.5045360	0.7560901	0.7260812	0.3213042	0.2388831	0.0414154	0.0476917	0.0475650	0.0000000	0.7449540	0.8180244	0.3630514	0.6277375	0.4494185	0.5122048	0.7932575	0.4697588	0.6146116	0.0056148	0.3059447	0.7060119	0.5793436	0.1435002	0.0860527	0.6443491	0.4565946	0.7874721	0.0413921	0.6538821	0.6012082	0.0278106	0.6744143	0.6307753	0.7073688	0.1616301	0.1904250	0.5742781	0.6400701	0.7523521	0.3058872	0.5228020	0.1896128	0.4635894	0.3141306	0.2287504	0.1096960	0.0689730	0.1921411	0.0219186	0.6008452
0.4873319	0.6602290	0.7832580	0.4536439	0.2044957	0.0471170	0.0792825	0.0608676	0.5210902	0.0000000	0.5586589	0.3222762	0.7363623	0.5471495	0.6792849	0.6864102	0.3453557	0.7866086	0.0046501	0.2722206	0.7683317	0.4616069	0.1965286	0.0429444	0.6679651	0.4756515	0.6923182	0.0217743	0.6983627	0.5194360	0.0134502	0.6390409	0.6530293	0.7131422	0.2021482	0.1223065	0.7586440	0.6235168	0.7522027	0.3891003	0.5077645	0.6070214	0.5369635	0.3286444	0.2552914	0.1168168	0.1493702	0.1569782	0.0058023	0.6621572
