YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.4047960	0.7806482	0.6858636	0.3491227	0.0692611	0.2205871	0.0481837	0.0139730	0.7316850	0.5159838	0.7249529	0.3783896	0.6148398	0.4939592	0.5245383	0.5604509	0.0854086	0.7306914	0.0011697	0.0214330	0.6955299	0.5897735	0.1243543	0.5642918	0.5117180	0.4832830	0.7585150	0.0015861	0.8849685	0.3601100	0.0112962	0.6587501	0.6293570	0.7147923	0.2652279	0.1601897	0.4807128	0.7841327	0.4651624	0.2125835	0.5423393	0.7981248	0.6830885	0.3416982	0.1022420	0.2533774	0.3620910	0.2956620	0.0378815	0.7134587
0.4430449	0.6267815	0.6851618	0.3233532	0.3088732	0.0198516	0.0832750	0.0918664	0.2175207	0.4716089	0.5312258	0.1831068	0.7283791	0.3457922	0.4974367	0.8442852	0.1540055	0.4891215	0.0012911	0.0508519	0.8637005	0.6215259	0.1040898	0.1598034	0.6070445	0.4705588	0.4217984	0.0127512	0.8161092	0.5721722	0.0178460	0.5320336	0.7099225	0.7267746	0.2563985	0.3054290	0.7034775	0.8022278	0.7839954	0.2929918	0.4298086	0.3644606	0.5570859	0.2681478	0.1663114	0.0221649	0.2629931	0.3529215	0.0002268	0.5971728
0.5817977	0.6534524	0.7208394	0.4499348	0.2328693	0.0006572	0.0464554	0.0000694	0.8738085	0.6218953	0.6701826	0.3405172	0.6483679	0.3111853	0.4334633	0.8515598	0.5334283	0.5133638	0.0014823	0.0748542	0.7016616	0.7118024	0.1506627	0.2039397	0.3544412	0.2622382	0.6411967	0.0204897	0.7216388	0.5489894	0.0337972	0.8277312	0.8547379	0.6456806	0.3295968	0.2821903	0.6499741	0.6633926	0.4214887	0.2362816	0.3440634	0.6153471	0.6361990	0.2818156	0.4576726	0.0582228	0.4937250	0.2672345	0.0063395	0.6212766
0.2407634	0.6451183	0.6332945	0.2688218	0.1556632	0.0637836	0.0455981	0.0159062	0.7832031	0.7287801	0.2454957	0.6846589	0.4714267	0.2946213	0.5864586	0.6719828	0.5879182	0.6323695	0.0024551	0.2644334	0.6434411	0.3157875	0.1532673	0.0048685	0.6528037	0.3314176	0.5970883	0.0542102	0.6664504	0.4955418	0.0097983	0.6323617	0.7286654	0.7753821	0.2759750	0.3549901	0.4560866	0.7227825	0.6741087	0.3476189	0.6374363	0.5819058	0.7327878	0.3524337	0.2025389	0.0778680	0.1153406	0.3556463	0.0717771	0.7568997
0.5585797	0.6463137	0.7190118	0.2954698	0.3567417	0.0957346	0.1170139	0.4607582	0.0528455	0.4707664	0.4834765	0.2813042	0.6276558	0.4216877	0.6329342	0.6585160	0.5339849	0.4991758	0.0277355	0.4771820	0.7102719	0.6201101	0.1569894	0.4166608	0.6998593	0.6032529	0.7352513	0.0029320	0.6075058	0.6388178	0.0173452	0.3848113	0.4090564	0.8092444	0.2876629	0.2378584	0.6683140	0.6625389	0.7909551	0.3564982	0.5467179	0.0432886	0.4655726	0.3585280	0.5760867	0.5269071	0.0501868	0.2305201	0.0010094	0.4573350
0.5776540	0.4424866	0.5847874	0.3746415	0.3279284	0.0015166	0.0109825	0.0006123	0.7585463	0.7149154	0.5777398	0.4205181	0.4601435	0.5057393	0.6190148	0.4948399	0.3787687	0.8321165	0.0048682	0.1672399	0.7605759	0.4032423	0.1779106	0.2548097	0.5037208	0.3542922	0.6184217	0.0595710	0.6013268	0.5416704	0.0258783	0.6852315	0.5713241	0.6729410	0.1972907	0.1446830	0.7935492	0.4390799	0.7082217	0.3691844	0.3287644	0.5902496	0.5699447	0.2073545	0.5897417	0.0100192	0.0715854	0.2173208	0.0213367	0.5464524
0.3461184	0.6198038	0.3704942	0.2297892	0.1310152	0.4066637	0.1363986	0.0108860	0.6771241	0.2852985	0.5847025	0.4264317	0.7721230	0.4158896	0.3045486	0.7149929	0.2478796	0.6165455	0.0028660	0.3636186	0.6952334	0.8075073	0.0781494	0.2630167	0.5362371	0.4380484	0.6976738	0.0371387	0.6564369	0.5531183	0.0330735	0.7188191	0.7117871	0.6388984	0.2617401	0.2065163	0.6066075	0.6699968	0.6243493	0.2619055	0.3317153	0.8490904	0.8132330	0.2265660	0.1444019	0.5184976	0.0205761	0.1725553	0.0093664	0.4655257
0.2953826	0.6732258	0.5704365	0.3039478	0.2425384	0.0006881	0.0595239	0.0336272	0.4008136	0.7930203	0.6544494	0.4481547	0.5085484	0.3166601	0.5907157	0.7611216	0.4924266	0.7210593	0.0021552	0.0850129	0.7595810	0.4912770	0.1226767	0.1478679	0.8085519	0.4854655	0.7904407	0.0000019	0.6738161	0.5658878	0.0184541	0.6316876	0.5757397	0.7853068	0.1899810	0.1512684	0.7250006	0.6194249	0.7591498	0.2795374	0.4637432	0.5442740	0.6525644	0.0004504	0.3996534	0.0390249	0.1199634	0.4566031	0.1055548	0.5714846
0.3529177	0.6185172	0.3230756	0.2582990	0.7454113	0.1717784	0.2716156	0.0902665	0.2194264	0.5112145	0.2202718	0.6477432	0.6340304	0.5541814	0.4924940	0.7329677	0.2326767	0.6992249	0.0049507	0.1554325	0.8546530	0.3407284	0.2945267	0.2756736	0.5530449	0.3361518	0.7284964	0.0000265	0.6869626	0.4666861	0.0002190	0.6905869	0.7762030	0.6504514	0.2592210	0.2456138	0.6549246	0.7210315	0.5892931	0.2731124	0.1827601	0.4478289	0.6431860	0.1859217	0.3188698	0.0065639	0.0974406	0.2545521	0.1326251	0.6295437
0.3192932	0.7832512	0.6265168	0.3364745	0.1982755	0.0006069	0.0242421	0.0027491	0.8681768	0.7466452	0.4945799	0.4821100	0.3164195	0.3399467	0.5359686	0.8434973	0.3994328	0.7989178	0.0058350	0.1557370	0.5487078	0.5545087	0.2447872	0.0002160	0.6597437	0.4185828	0.5247352	0.0111309	0.8467920	0.5020737	0.0112478	0.6038845	0.7458380	0.6557889	0.2385902	0.3564936	0.6768907	0.7792167	0.7118457	0.3584333	0.4639554	0.5672663	0.6594613	0.2786811	0.1205155	0.2872042	0.3536007	0.0761944	0.0858124	0.7522667
