"Time"	YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C

0	0.6442628	0.9728256	1.0375253	0.5838659	0.3494886	0.0405931	0.1003185	0.0599723	0.8170155	0.9946169	1.0290722	0.4855939	0.9388658	0.6042278	0.8771642	1.0180796	0.6106873	0.9475688	0.0043465	0.3774471	0.9941089	0.7581047	0.2178292	0.1664932	0.9372778	0.5748654	1.0384344	0.0335446	0.9866148	0.7906879	0.0295929	1.0118664	0.9521800	1.0467930	0.3851309	0.2404212	1.1481010	0.9657595	1.0166962	0.4937645	0.6750172	0.8598007	0.7132434	0.4894449	0.3860614	0.1853277	0.1033274	0.3100454	0.0093764	0.9237309
100	0.7169328	0.9808787	0.9797315	0.4997054	0.4017159	0.0629480	0.0774942	0.0318662	0.8768283	1.0120261	0.9618233	0.4810621	1.0446284	0.5692652	0.7269097	1.0034437	0.5936316	0.9276167	0.0041973	0.2724740	0.9933693	0.9572361	0.0161908	0.2660311	0.9934669	0.9395283	1.0183715	0.0015855	0.9942445	0.5365458	0.0455268	1.0301039	1.0552285	0.6933117	0.1983831	0.1562569	1.0101005	0.5537362	1.0263673	0.8733912	0.9249286	0.5109934	0.7554453	0.2638774	0.4920262	0.8174262	0.0649649	0.2053238	0.4541530	0.6757229
200	0.5887418	1.0413332	0.9585080	0.4242185	0.4187676	0.0497951	0.1111777	0.0416896	0.7912955	0.9828722	1.0108857	0.4695274	1.0653768	0.5885861	0.7532684	1.0704174	0.6553390	1.0465230	0.0047450	0.2561062	1.0431984	1.0415690	0.0077653	0.3891152	1.1751311	0.8923942	0.9987067	0.0012500	1.0382343	0.4769504	0.0508804	0.9071466	1.0128994	0.6912361	0.1468221	0.0840611	1.0081762	0.5207708	0.9792639	0.8618716	0.8469968	0.4062420	0.8042726	0.3341552	0.4517293	0.8797849	0.0596429	0.2474421	0.4850224	0.6856156
300	0.6897898	1.1420773	1.0806317	0.5964402	0.2446870	0.0417535	0.0885815	0.0329784	0.9542456	0.8994159	1.0535419	0.4437739	0.9904423	0.5971369	0.8062815	1.0025925	0.5610506	0.9743136	0.0000000	0.2340236	1.0477910	1.0394775	0.0020997	0.4205734	0.9845310	0.9596215	0.9537220	0.0004328	0.9989193	0.4851562	0.0436867	0.8922781	1.0066585	0.6084636	0.1777027	0.0661291	0.9954037	0.4897540	1.0716710	0.9206133	0.9751241	0.4588482	0.7237508	0.3928177	0.4946815	0.8765655	0.0554888	0.2506579	0.4588246	0.5694736
400	0.7771667	1.0494070	0.9738245	0.5611979	0.2551216	0.0257048	0.1064044	0.0447502	0.8412549	1.0167752	0.9497951	0.4421004	0.9392735	0.6168674	0.7667169	1.0412052	0.6138068	0.9687493	0.0101373	0.2319932	0.9548411	0.8846435	0.0034081	0.3491710	0.8895560	1.0370582	0.9033253	0.0000046	0.9818147	0.4407094	0.0297171	0.9519493	1.0702684	0.6427750	0.1460888	0.1151703	1.0227591	0.4903168	1.0582643	0.8826046	0.8510501	0.4358276	0.8644226	0.3096068	0.4353004	0.8521758	0.0677132	0.2227903	0.5846998	0.5177142
500	0.6977205	1.0709289	0.9828838	0.5195625	0.3710092	0.0315998	0.1287564	0.0404300	0.9263551	0.9803456	0.9808385	0.5930740	1.0252072	0.6140724	0.8316926	1.0266008	0.5707836	1.0011197	0.0022661	0.2377489	0.9683746	1.0551291	0.0060649	0.4040621	0.9987737	0.9964931	0.9455676	0.0009233	1.0465835	0.4585636	0.0624113	0.9599964	1.0300973	0.6301019	0.1937497	0.0875925	1.0187158	0.4797085	0.9261439	0.8736492	0.8542197	0.4506902	0.7997036	0.3858778	0.5307990	0.8749387	0.0601059	0.1846184	0.5486314	0.5402416
600	0.6982354	1.1813271	0.9076501	0.5513771	0.3866374	0.0259134	0.1332481	0.0417162	0.8398028	0.9917973	0.9786457	0.5027235	0.9809459	0.5313053	0.7664222	0.9524613	0.5829629	0.9718194	0.0044295	0.3009807	1.0226850	0.9390862	0.2084289	0.3048755	0.9481573	0.6303985	1.0095949	0.0375780	1.0013956	0.8416717	0.0396823	0.9890182	1.0255537	1.0866127	0.2947568	0.0908023	0.9929334	1.0357348	0.9083831	0.2275836	0.6715098	0.8665613	0.7470763	0.6938444	0.3280607	0.3410466	0.0846335	0.2110547	0.0580090	0.9490553
700	0.7238824	0.9480265	0.9585149	0.5894523	0.3189691	0.0341967	0.0793617	0.0444376	0.8093810	1.0455801	0.9183089	0.4372627	0.9385153	0.5687530	0.7268338	0.9686535	0.4861774	0.8907160	0.0018772	0.3209705	0.9632319	0.8001891	0.2502846	0.1349911	0.9739779	0.5771934	1.0249280	0.0390137	1.0168160	0.8739825	0.0248017	0.9296997	0.9632127	1.0429307	0.3105079	0.2039298	0.9814639	1.0092692	0.9736754	0.5326423	0.6547570	0.9740542	0.7176962	0.4833614	0.3227172	0.2145433	0.1252745	0.2688155	0.0061952	0.9263028
800	0.7044906	1.0453744	1.0447621	0.5408611	0.3469900	0.0265718	0.0720537	0.0357899	0.8815111	1.0889556	1.0181095	0.5197754	0.8977024	0.5707749	0.9116225	0.9082277	0.5141916	0.9839592	0.0057992	0.4223565	0.9901955	0.7368852	0.2215563	0.1130702	1.1371416	0.5559112	1.0399726	0.0432965	1.0611677	0.7986315	0.0352878	0.8684504	1.0192701	0.9975630	0.3079413	0.2217096	1.0479633	1.1044651	0.9836338	0.5376252	0.7096596	0.8288016	0.7017527	0.4590509	0.3506208	0.2136707	0.1719723	0.1904250	0.0057121	0.8705570
