YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.6862114	0.9355648	1.0843901	0.5653568	0.3068086	0.0372997	0.0762798	0.0688903	0.8594985	0.9665056	0.9654576	0.4346031	0.9776516	0.5824436	0.3967533	0.9612043	0.5281155	0.9708968	0.0056544	0.3334487	0.9477712	0.7568917	0.2406799	0.2880881	1.0904861	0.6828072	0.9343840	0.0492619	0.9408615	0.7824696	0.3965840	0.1303237	0.0000000	1.0610388	0.9078576	0.7305430	0.0000000	1.0810256	1.0449299	0.4904128	1.0171922	0.2381894	0.0780551	0.4329641	0.4264932	0.2184174	0.1136063	0.2140602	0.0484092	0.9555204
0.7313390	1.1022650	1.0986144	0.4740675	0.3359446	0.0342369	0.1021058	0.0315213	1.0343421	1.0082405	0.9841933	0.5118907	0.9432475	0.6714230	0.7379928	1.0598323	0.5173437	1.0572766	0.0058103	0.4855703	1.0398388	0.6867978	0.2897415	0.0007048	1.0176274	0.6501495	1.0588493	0.0281986	1.0062000	0.0000000	0.0290397	0.9944169	0.9851301	0.9952979	0.3603514	0.2649182	1.0887372	1.0332289	1.0053669	0.0000000	0.0853744	1.0734876	0.8166081	1.0113952	0.2437653	0.6012168	0.1256012	0.2549139	0.3442941	0.9670919
0.6859375	0.9729279	0.9613146	0.5522737	0.3236678	0.0450719	0.0903893	0.0528487	0.8364019	0.9402042	1.0330392	0.4425282	1.0677686	0.5779245	0.8443470	1.0343597	0.6191148	0.9943277	0.0045947	0.4687439	0.9588967	0.7276963	0.2433717	1.0417061	0.9987979	0.5849098	1.0273232	0.0380071	1.0258524	0.0000000	0.4694647	0.9852587	0.9810237	1.0050900	0.2868344	0.2003878	0.0000000	1.0832436	1.0453423	0.0671820	0.0441857	0.9495921	0.2856556	1.0180222	0.2306743	0.6395603	0.0953871	0.2994182	0.0097674	0.9384439
0.6549124	0.9230639	1.0217479	0.6643586	0.2587981	0.0355786	0.0716449	0.0490517	0.8245804	1.0334466	0.9745253	0.6068966	1.0282613	0.5660348	0.8866764	0.9572934	0.5367166	1.0480150	0.0026706	0.3537830	0.9873189	0.7816286	0.2736429	0.0016767	1.1528877	0.6168473	1.0260618	0.0354928	0.9603599	0.0000000	0.0593571	0.9285107	0.0000000	0.9642747	0.3642577	0.2296241	1.0413732	1.0890261	0.9921516	0.0317477	0.4342838	1.0102515	0.7672103	1.0097662	0.2692819	0.6306974	0.1193540	0.2589859	0.8109069	0.9665212
0.6655474	1.0167390	1.0226751	0.5798577	0.3678977	0.0397627	0.1000041	0.0450323	0.8167711	1.0785853	1.0420505	0.5972670	0.9679428	0.5686852	0.8273495	0.9974698	0.6263342	0.9805150	0.0017261	0.4330556	0.9913108	0.7466727	0.3184795	1.0386466	0.9803755	0.5805704	1.0554397	0.0428486	1.0099953	0.0000000	0.4901062	1.0661008	1.0366089	0.0000000	0.3234864	0.2608353	1.0284715	0.9883433	0.9407237	0.0387246	0.3995690	1.0004725	1.0493162	1.0475556	0.2728844	0.5753280	0.1132524	0.1910888	0.3053700	0.9486537
0.6101351	1.0440026	0.9935575	0.5874641	0.3478733	0.0529314	0.0933901	0.0440140	0.7943873	0.9951011	1.0428077	0.5073995	1.0652836	0.6525089	0.8176203	1.0574639	0.5598377	0.9606624	0.0066889	0.3076598	0.0007780	1.0131161	0.2817652	0.4060602	0.8795881	0.6027379	1.0136596	0.0277885	0.9742776	0.0000000	0.0573499	0.9598290	1.0140478	0.9708051	0.3064519	0.1826446	1.0559109	1.0682377	1.0314439	0.0582746	0.0653489	1.0958229	0.8455318	0.9462544	0.5968576	0.9834298	0.0797875	0.0004383	0.5126649	0.8195247
0.6899941	1.0447417	0.9341098	0.6391444	0.3195387	0.0485351	0.0775145	0.0573190	0.7529779	1.0105714	1.0332714	0.4902366	1.0111388	0.6244995	0.5237442	0.9828234	0.5307323	1.0611058	0.0026622	0.3438919	1.0524132	0.7507515	0.2915163	0.2173189	1.0109283	0.6276691	1.0752327	0.0399024	1.0094947	0.9797659	0.2510639	0.4600882	0.9270740	0.9796390	0.4796718	0.5023186	0.0000000	1.0021249	1.0055874	0.0000000	0.5148301	0.3501407	0.2937105	0.4507545	0.1329581	0.1804709	0.0773914	0.2808291	0.0068342	0.9603749
0.6760485	1.0554971	0.9473133	0.6032040	0.3080531	0.0442054	0.0802053	0.0588200	0.7401969	0.9867282	0.9468066	0.4990353	1.0681435	0.6235675	0.7726562	0.9551766	0.4801055	1.0132174	0.0046837	0.3414766	1.0606294	0.7826362	0.2643439	0.3686126	1.0800601	0.5887775	1.0198526	0.0661834	1.0044959	0.8593408	0.9803350	1.0504328	1.0694062	0.0000000	0.3185548	0.2438313	0.0000000	1.0378291	1.0412767	0.5047869	0.8652624	1.0140500	0.3794295	0.4132566	0.3932341	0.1772127	0.1025618	0.2115994	0.0118747	0.8936858
0.6434343	0.9655381	1.0377279	0.6446974	0.3423797	0.0364181	0.1015993	0.0489969	0.6696055	0.9726273	0.9892267	0.5472719	1.0567903	0.5247247	0.6365007	0.9520020	0.5009064	1.1219500	0.0132728	0.4451478	0.9864014	0.6621264	0.2994507	0.0003184	0.9828983	0.6571824	1.1058497	0.0418572	1.0187636	1.0159284	0.0344915	0.5349719	0.0000000	0.9967413	0.4723221	0.5782269	1.0473318	0.9100766	1.0027649	0.0000000	1.0056370	0.9543364	0.7813626	0.4580217	0.1883051	0.1801478	0.0991278	0.2179773	0.3664013	0.9657968
0.7565723	0.9987068	1.0169780	0.6509364	0.3886504	0.0347120	0.0752429	0.0433541	0.7471882	1.0524436	1.0130928	0.5434478	1.0275435	0.5672734	0.9359621	0.9876821	0.5009673	0.9725848	0.0075235	0.3331872	1.0081051	0.7598832	0.2880090	0.1302975	1.0054654	0.6148907	1.0026810	0.0496329	0.9868940	0.8176765	0.5498122	0.9942217	0.0000000	0.0000000	0.3768712	0.3229931	1.0806134	1.0156062	0.9703470	0.4458036	1.0477869	1.0033106	0.9369140	0.4311332	0.3763106	0.2155771	0.1226352	0.2241744	0.0358003	0.9749629
