YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.3538112	1.0159437	0.9041721	0.4872915	0.4219090	0.0456543	0.0931868	0.0525291	0.6438704	1.0230253	0.9473290	0.5187454	1.0238239	0.6452835	0.8971982	1.0308082	0.5591117	0.9512154	0.0076924	0.3817820	1.0501166	0.8255735	0.2156196	0.1979765	1.0197232	0.5594718	0.9852287	0.0537191	1.0125699	0.8643465	0.0541285	0.8596770	0.9520081	0.9999245	0.4295878	0.2437517	0.9659114	1.0630961	1.0088824	0.5167252	0.7236013	0.8618248	0.7148302	0.4101089	0.3754359	0.2373115	0.1273237	0.2637892	0.0092779	0.9770356
0.8659166	0.4534193	1.0822289	0.5902961	0.3373221	0.0482941	0.0987689	0.0440834	0.6296857	1.0522188	1.0837751	0.5264491	1.0035977	0.5953031	0.9191333	1.0516588	0.5513173	0.9463059	0.0047669	0.3548258	1.0464127	0.8343662	0.2490199	0.0898473	1.0296801	0.6214430	0.9336456	0.0467175	1.0025753	0.8180073	0.0397793	0.9259460	1.0521030	1.1065156	0.2445281	0.2570661	0.9857331	0.9516035	1.0185994	0.5169925	0.6266799	0.9072643	0.6368195	0.4248590	0.3364384	0.2258006	0.1377443	0.2017303	0.0076154	0.8933842
0.5718428	0.9980876	0.5461397	0.2309686	0.8921373	0.1369729	0.4398058	0.2254465	0.0976215	0.9585809	0.8111137	0.6626420	1.1137199	0.6310898	0.8651127	1.0658222	0.5854324	0.9893760	0.0064271	0.6093643	1.0689592	0.4320821	0.4628636	0.0969299	1.0288362	0.6123653	0.9891323	0.0402242	1.0517753	0.9144836	0.0475767	0.9212330	1.0422283	0.9908120	0.3037432	0.2296555	1.0754940	1.0021754	0.9377084	0.5586679	0.7147576	0.4789525	0.7375068	0.4297315	0.3560387	0.1524339	0.1266435	0.3179733	0.0081175	0.9154329
0.6834135	0.9703992	0.9427513	0.2728158	0.3545450	0.0295427	0.0979005	0.0488046	0.8254219	0.9772579	1.0644434	0.4471857	1.0488233	0.6150729	0.8640239	1.0870050	0.5957208	1.0293308	0.0083744	0.3652104	1.0003768	0.7990404	0.2165608	0.0953225	0.9854716	0.6054574	0.9492908	0.0367258	1.0248396	0.8224051	0.0563961	0.9633823	0.9439680	1.0054202	0.3384960	0.1944738	1.0245395	1.0115319	1.0999262	0.4900512	0.7413074	0.7960057	0.6457714	0.5400544	0.3487099	0.2111045	0.1362542	0.2567571	0.0133721	0.9382034
0.7051077	1.0062696	0.9291416	0.6314263	0.1512612	0.0379367	0.0866499	0.0277909	0.8931863	1.0964077	0.9641667	0.5375156	1.0109831	0.6710470	0.8703411	1.0217101	0.4981274	1.0709417	0.0085092	0.3962726	1.0807100	0.6883593	0.2214309	0.1536678	1.0160236	0.6359063	1.1121227	0.0389848	0.9751603	0.8311814	0.0377952	0.9490904	0.9263284	1.0087777	0.3133442	0.2035464	0.9969258	1.0499894	1.0863589	0.5483892	0.7035098	0.7814222	0.7320797	0.4861359	0.3744199	0.1670033	0.1288041	0.2539743	0.0109113	0.9806205
0.7018237	1.0146893	0.9945982	0.5541539	0.2978621	0.0196285	0.1133577	0.0369807	0.8586585	1.0331126	0.9820982	0.4576047	1.0314326	0.5586982	0.9009225	0.9799652	0.5606997	1.0423534	0.0046835	0.3203888	0.9481344	0.7914783	0.2253984	0.0668113	1.0885874	0.6227837	1.0123902	0.0358226	1.1444597	0.7694777	0.0308545	0.9784206	1.0519605	1.0497339	0.3185126	0.2356071	1.0581011	0.9701189	1.0391705	0.6067975	0.7566746	0.7702342	0.6512118	0.4393730	0.4098955	0.1970898	0.1232036	0.1752545	0.0036329	0.9543659
0.7003857	1.0489488	0.9457430	0.5053328	0.3588213	0.0309364	0.0755270	0.0502381	0.9175657	0.8410969	0.8919165	0.5324476	1.0347743	0.5631881	0.8152987	1.0733868	0.5729907	0.9880526	0.0070957	0.3507814	1.0821880	0.8048121	0.2069627	0.1142330	1.0075212	0.6017687	1.0298582	0.0469113	1.1551182	0.8110760	0.0495199	0.9906150	1.0714638	1.1013620	0.2440384	0.2678542	0.9089468	1.0537449	1.0016339	0.4549977	0.6849669	0.9374025	0.6608762	0.5090602	0.3937736	0.2417819	0.1027212	0.2558356	0.0072177	0.8364601
0.6400078	1.0013935	0.9048041	0.5396709	0.3933579	0.0434349	0.1325923	0.0351896	0.9582416	1.0167392	0.9491439	0.6454019	1.0835661	0.5986495	0.8523576	0.8663632	0.6354380	0.9018154	0.0077395	0.3615994	1.1128753	0.8028090	0.2576829	0.0620920	0.9469733	0.6488009	1.0923168	0.0604507	1.0999046	0.7884835	0.0424075	0.9964896	0.9086677	0.9965219	0.2749652	0.2494463	1.0569846	0.9517857	1.1146269	0.5136393	0.6683398	0.8363057	0.6592726	0.4514068	0.3869432	0.1277562	0.1564704	0.2511176	0.0101414	0.8639872
0.7580968	1.0330439	1.0080789	0.6615915	0.2294738	0.0699784	0.0767026	0.0501412	0.4766961	1.0279095	1.0796238	0.5285394	1.0198214	0.6464258	0.7700660	0.9701021	0.4863104	0.9056013	0.0057410	0.3748686	1.0721427	0.7768407	0.2473797	0.1374787	0.9424616	0.6109369	1.0073153	0.0367049	0.9726592	0.8379629	0.0286821	0.9753763	0.9698457	1.0565305	0.3642406	0.3171440	1.0260874	1.0025793	1.0843296	0.4823918	0.6501704	0.8564425	0.7194864	0.4839680	0.3667806	0.1942536	0.1528988	0.2831762	0.0096534	0.9617809
0.6757775	0.9893426	1.0320873	0.5708217	0.3021223	0.0416678	0.1021119	0.0352466	1.0622470	0.4717014	1.0536861	0.5299499	1.0158617	0.5549901	0.8761377	0.9966491	0.6464746	0.9495865	0.0028957	0.3887572	0.9686105	0.8334095	0.2592413	0.1544948	0.9972127	0.5885256	1.0200636	0.0329443	1.0630671	0.8729198	0.0378154	0.9731125	1.0096560	0.9928557	0.3451172	0.2653638	1.0278906	1.0825743	1.0247524	0.4633172	0.7074497	1.0000901	0.7520337	0.4796553	0.3711962	0.1948624	0.1355616	0.2360543	0.0120392	0.8781100
0.6919623	1.0743509	1.0685133	0.6729337	0.2761596	0.0366067	0.0719308	0.0387716	0.8393331	1.0504559	0.4593484	1.0141097	1.0033085	0.5422882	0.7703260	1.0414305	0.5136798	0.9538229	0.0035405	0.4027760	0.9914774	0.7370763	0.2533185	0.1813605	1.0206602	0.6229403	1.0276279	0.0364680	1.1039997	0.7555974	0.0316552	0.9383338	0.9712610	1.0220257	0.3526618	0.2817617	1.0638774	1.1082577	1.0046174	0.4862631	0.7069571	0.8260923	0.6620754	0.4442254	0.3919613	0.1654450	0.1096306	0.2667192	0.0118686	0.8992247
0.7152544	1.1173422	1.0146561	0.6611184	0.2968653	0.0283183	0.0836659	0.0410249	0.7099020	1.0536149	0.9825163	0.2124668	1.0272588	0.6490592	0.7986310	0.9900576	0.5037714	0.9685544	0.0077515	0.3759614	0.9897156	0.6655640	0.2208798	0.0955376	0.9719450	0.6532116	1.0662903	0.0370426	1.1291061	0.9258365	0.0309399	0.9084758	1.0506708	1.0202653	0.2520561	0.2856526	0.9895953	1.0676747	1.0316961	0.4388920	0.5987458	0.9310860	0.7077754	0.3352712	0.3072455	0.1403506	0.1207755	0.2074744	0.0103545	0.8462187
0.7463070	1.0426370	0.9852121	0.5933027	0.3218519	0.0468340	0.1017258	0.0439168	0.8632112	0.9128864	1.0103059	0.4949519	0.4539032	0.4330105	0.9694165	1.0347710	0.5312340	1.0734354	0.0106885	0.3775276	0.9776546	0.8089258	0.2496688	0.0797804	1.0001143	0.6956912	1.0799514	0.0403612	1.0383832	0.8062968	0.0474172	0.9786025	0.9508707	1.0110383	0.3250360	0.2499077	1.0815209	0.9303088	1.0968527	0.5358611	0.7242213	0.9075892	0.7514465	0.4277728	0.3911558	0.1726414	0.3057781	0.2127510	0.0038892	0.9742790
0.6755806	0.9830219	1.0631187	0.6064753	0.3031680	0.0515331	0.0803276	0.0540452	0.7434426	1.0309360	1.0782129	0.4672435	0.9393835	0.3256591	0.9532084	0.9420895	0.5606807	1.0116249	0.0091840	0.3444389	1.0074437	0.7460713	0.2458113	0.1045691	0.9922044	0.5844968	0.9452386	0.0314871	1.0278009	0.8130126	0.0328870	0.8624124	0.9794020	1.1128631	0.3146938	0.2730307	0.9822526	0.9607017	0.8906400	0.4457880	0.7424736	0.9268733	0.7468971	0.4447005	0.3329610	0.1544034	0.1164721	0.2038022	0.0057825	0.9635155
0.7404219	0.9754802	1.0107447	0.6024876	0.2598253	0.0599987	0.1004625	0.0435060	1.0639993	1.0791989	0.8481354	0.5423553	1.0465605	0.6423206	0.4248051	1.0129586	0.5307206	1.0121766	0.0027507	0.3561399	0.9539229	0.7568157	0.2330928	0.1372190	1.0251391	0.5919405	1.0660783	0.0550478	0.9526248	0.7070019	0.0481432	0.9554466	0.9930542	1.0101378	0.2743169	0.1605942	1.0218784	1.0474072	0.9691264	0.4706562	0.6526317	0.8914596	0.6156746	0.4125527	0.3518151	0.1783984	0.1138698	0.2399283	0.0108419	0.9468831
0.7779449	1.0479616	0.9754967	0.6348635	0.3272898	0.0439956	0.1098382	0.0335852	0.7807645	1.1484030	0.8627706	0.4977356	1.0817050	0.7052262	0.6827779	0.5090790	0.5224565	1.0042958	0.0083504	0.3561742	0.9672844	0.7334631	0.2302888	0.1188575	1.0244654	0.6303707	0.9906926	0.0522119	1.0809376	0.7009012	0.0347047	0.9568353	1.0592020	1.0853352	0.3756343	0.3646689	1.0677445	0.9924035	0.9460177	0.5099565	0.7856510	0.9182785	0.7687499	0.4172233	0.2684894	0.2336102	0.1074452	0.1912202	0.0076350	0.9019863
0.7329655	0.9298675	0.9171651	0.5565498	0.3345809	0.0574115	0.1376388	0.0425102	0.7791433	0.9871637	0.9625405	0.5171401	1.0226529	0.6298459	0.7977138	0.9987074	0.2726554	1.0186918	0.0097976	0.3285571	1.0857931	0.8003975	0.2272547	0.2292498	1.0594846	0.5690262	1.1187367	0.0452151	0.9332015	0.8047314	0.0362132	0.9299363	1.0119537	0.9651215	0.3345057	0.1780418	1.0302584	1.0452407	1.0347580	0.5017477	0.7044877	0.8363494	0.6618567	0.4785425	0.3979784	0.1880256	0.1132931	0.2652509	0.0092020	0.8622252
0.6602049	0.9929963	1.0301048	0.5341928	0.3938286	0.0628814	0.1113814	0.0494105	0.8194674	1.0776923	0.9386507	0.5329682	1.0430936	0.5816658	0.8156892	1.0279748	0.4571370	0.5622154	0.0076654	0.3345257	0.9130399	0.7113045	0.2449941	0.0769306	1.0065550	0.5914038	1.0830127	0.0389118	0.9779528	0.7695738	0.0598236	0.8338460	0.9586018	1.0057304	0.3776506	0.3338419	0.9793959	0.9890369	1.0629928	0.5286884	0.7218936	0.8530386	0.7427706	0.4104433	0.3652080	0.2356430	0.1447900	0.2669663	0.0047321	0.8986504
0.6984097	0.9459785	1.0601801	0.5982296	0.3463400	0.0591912	0.0873273	0.0314436	0.8820557	0.9788865	1.0030335	0.5582890	0.9786033	0.6212046	0.8776903	1.0274869	0.5351066	1.0206793	0.0042306	0.3603086	1.0360336	0.7759784	0.2174694	0.1189953	1.0666173	0.6090824	0.9004678	0.0471626	1.0591767	0.9173166	0.0302434	0.9999301	0.9732316	0.9884255	0.3002542	0.2008334	1.0069965	0.9805722	1.0609944	0.4452644	0.6498810	1.0069772	0.6941303	0.4314609	0.3445317	0.2247895	0.1432386	0.1868105	0.0112106	0.8832397
0.7116383	0.9274586	0.9956080	0.5784034	0.2705382	0.0345358	0.0841502	0.0561801	0.7531195	1.0288768	1.0383928	0.4758815	1.0102741	0.5922346	0.7223260	1.0642525	0.5435393	1.0230552	0.0069744	0.1376572	1.0036476	0.7633795	0.2264296	0.0916897	1.0446752	0.5880707	0.9948119	0.0500638	1.0139255	0.8812037	0.0519613	0.9618065	1.0034609	0.9946517	0.3445045	0.3727605	0.9989999	1.0171993	0.9833587	0.4700027	0.7464609	0.8526354	0.7879512	0.3882429	0.3994836	0.2077158	0.1169406	0.2196160	0.0096753	0.9934218
0.6848464	0.9774359	1.0557259	0.6213103	0.2967893	0.0365628	0.0869549	0.0331169	0.9357065	0.9642889	0.9321147	0.4607859	0.9520764	0.6167701	0.9366048	1.0941710	0.5277712	0.9890873	0.0040256	0.3009741	0.4959736	0.7751493	0.2258117	0.0937400	0.9569540	0.5257639	0.9949419	0.0507332	1.0675910	0.8511835	0.0300882	0.9422417	1.0155795	1.0718893	0.3176024	0.1830537	0.9603418	0.9643965	0.9767490	0.4932477	0.6455542	0.9311955	0.6924175	0.4283442	0.4910210	0.3207935	0.1496749	0.0114281	0.0117485	0.9730048
0.7159713	0.9918930	0.9716084	0.6143136	0.3435419	0.0294790	0.1090340	0.0464661	0.7691775	1.0352150	1.0203604	0.5974507	1.0614873	0.6200245	0.8636643	1.0631177	0.5277907	1.0658553	0.0033448	0.3701668	1.0607379	0.2907519	0.2447550	0.2833391	0.9939319	0.5572884	0.9674183	0.0363458	1.1799714	0.7563971	0.0411564	1.0001554	1.0272218	0.9526600	0.3352517	0.3386248	1.0537929	1.0112307	1.0448567	0.5145245	0.6970153	0.9238632	0.7240753	0.3917258	0.3553234	0.1734389	0.1341121	0.3408715	0.0035834	0.8893608
0.7365696	1.0343993	0.9878553	0.6256671	0.3174592	0.0534520	0.0884864	0.0179002	0.9407512	1.0097746	0.9646141	0.5187580	1.0101581	0.6875469	0.8796235	1.0017725	0.5538741	1.1360625	0.0143248	0.2868183	0.9716803	0.8936553	0.1445304	0.1854843	1.0302008	0.6548124	1.0254891	0.0240811	0.9835029	0.8355715	0.0450495	0.9721555	1.0116705	1.0696885	0.3346847	0.1753844	0.9969305	1.0040317	0.9622640	0.4103183	0.5173901	0.9378944	0.6912208	0.5034721	0.3597780	0.3495268	0.1116065	0.2787335	0.0145813	0.8631534
0.6545324	0.9546371	0.8928500	0.5627801	0.3637799	0.0275803	0.1050015	0.0660625	0.8750716	1.0413210	0.9912686	0.4185380	1.0492705	0.6177173	0.8118454	1.0923776	0.5476692	1.0091863	0.0048373	0.3424105	0.9455298	0.7543012	0.2412596	0.0561812	0.9738345	0.6025873	1.0359696	0.0256353	1.0230044	0.7308474	0.0594798	1.0105606	1.1395306	1.0369519	0.3610254	0.2531710	0.9814258	0.9285604	1.0550428	0.4706404	0.7125872	0.8186395	0.6443041	0.3868544	0.3686125	0.1634995	0.1169904	0.2261968	0.0044470	0.9321033
0.6391673	1.0181732	0.9995877	0.5046935	0.3246796	0.0351904	0.1234443	0.0672338	0.4870209	1.0778340	0.9772807	0.5780983	1.0921394	0.5760635	0.9102865	1.0778321	0.5273162	1.0568657	0.0030439	0.3360362	0.9977792	0.8686647	0.2400538	0.3307738	0.4834037	0.5662382	0.9389505	0.0378838	0.9551689	0.8041274	0.0639788	0.9307351	1.0206116	1.0118240	0.2897838	0.2064955	1.0207877	1.0301057	0.9994769	0.4086031	0.7195176	0.7760971	0.7511239	0.4423396	0.4114641	0.2027152	0.1218846	0.2564602	0.0142221	0.8634862
