YDR034C	YFL044C	YEL009C	YML076C	YBR112C	YNL103W	YLR451W	YKL038W	YER028C	YIR017C	YGL181W	YNL167C	YPL038W	YGL254W	YOR140W	YDR253C	YMR019W	YOL067C	YJR147W	YCR096C	YML113W	YDR520C	YFL021W	YCR040W	YPR199C	YCR097W	YOL089C	YHR006W	YOR032C	YJL110C	YCL066W	YCL067C	YJL056C	YLR098C	YGR044C	YCR018C	YLR013W	YKL020C	YDR421W	YKR034W	YCR039C	YER189W	YCR041W	YDR084C	YER190W	YGL001C	YDR042C	YNL339C	YNL337W	YKL178C
0.0000000	1.0214586	0.9079798	0.5069350	0.3477611	0.0387187	0.1279204	0.0370748	0.7344167	0.9973638	1.0273791	0.4380069	0.9275781	0.6196298	0.8143031	1.0033276	0.5506771	0.9725271	0.0044340	0.3730869	1.1179604	0.9021510	0.2699526	0.2449767	1.0030718	0.6369031	0.9851910	0.0292064	0.9295092	0.7952857	0.0480272	1.0087929	1.0609740	0.9436397	0.2760929	0.2187069	0.9169790	1.0009153	1.0074351	0.4339929	0.6927123	1.0306144	0.6410253	0.4623545	0.3900986	0.2526425	0.0918102	0.2681411	0.0031185	0.9689914
0.9987594	0.0000000	0.9973675	0.6052727	0.3404452	0.0308741	0.0735693	0.0393231	0.9160918	1.0421183	0.8880777	0.5856955	0.9909932	0.6344428	0.9402805	0.9493396	0.5813220	1.0409450	0.0081400	0.3685915	0.9891510	0.7049727	0.2405722	0.0751003	1.0329230	0.6221694	1.0669206	0.0624352	1.0216417	0.7658071	0.0316543	0.9579720	1.0137853	0.9812039	0.3152396	0.2219009	0.9956567	0.9818690	1.0384478	0.5172200	0.7687739	0.8561358	0.7465917	0.4198484	0.3738667	0.1789006	0.1538427	0.2122973	0.0173376	0.8829394
0.2276391	1.0386275	0.0000000	0.0617292	1.0388382	0.5968514	1.0027854	0.6403443	0.0390395	0.4093830	0.3686756	1.0072563	1.0983884	0.6309541	0.8262247	1.0811988	0.3247205	1.0219314	1.0436246	0.7404645	0.9690453	0.3847019	0.7778343	0.1185902	1.0311236	0.6088754	1.0302444	0.0467089	1.0472992	0.9309223	0.0281936	0.9714240	1.0043319	0.9739892	0.3355355	0.2248591	0.9951539	1.1440162	1.0057579	0.6268063	0.7546250	0.3233884	0.6519241	0.4476618	0.4485033	0.1798658	0.0937325	0.1845461	0.0145554	0.7102927
0.6561646	1.0134591	0.9904156	0.0000000	0.3383772	0.0389751	0.1142412	0.0246842	0.9133860	1.0738638	1.0507670	0.4811323	1.0123229	0.5864406	0.9154742	1.0457891	0.5735363	1.0027549	0.0070392	0.3655676	0.9293594	0.7853095	0.2853003	0.1542874	0.9399864	0.6412762	1.0840423	0.0430057	1.0934181	0.8052606	0.0404335	1.0513202	0.9975047	1.0241048	0.2669031	0.1981270	0.9855303	1.0293431	0.9993182	0.5243544	0.6981601	0.9122730	0.6476934	0.4544006	0.3936082	0.1823319	0.1070310	0.2217188	0.0057165	0.8632226
0.6987307	1.0125968	0.9706898	0.6841967	0.0000000	0.0384699	0.1033713	0.0559818	0.8099763	1.0003373	1.0150408	0.5908926	1.0360423	0.5241744	0.7154918	1.0389924	0.5558313	1.0752185	0.0032976	0.3980408	1.0470488	0.7890775	0.2599987	0.2682673	0.9985679	0.5943369	0.9803918	0.0511773	0.9920764	0.8979846	0.0582547	1.0211025	1.0221898	1.0115113	0.3403844	0.3395868	1.0611684	1.0470182	1.0107542	0.4873827	0.6848643	0.8360433	0.6378944	0.4349203	0.3743080	0.2005335	0.1508428	0.2753406	0.0060830	0.9909956
0.6507485	1.0057979	1.0028941	0.6440887	0.3054670	0.0000000	0.0859537	0.0305653	0.6826275	1.0607095	1.0526264	0.4693303	1.0484952	0.6541767	0.7378536	0.9804289	0.5330072	1.0430314	0.0086740	0.3680548	0.9305930	0.8329220	0.2541115	0.1527693	1.0461310	0.5833993	0.9917043	0.0550683	1.0238291	0.8305327	0.0497651	0.9284577	0.9440910	1.0517448	0.3406919	0.2665164	0.9764563	1.0544839	1.0371467	0.4524948	0.6362638	0.9347174	0.6974531	0.4489938	0.3377586	0.1675383	0.1516287	0.2491678	0.0046170	0.8818932
0.7453993	0.9537880	1.0066002	0.5884624	0.2834526	0.0223074	0.0000000	0.0467934	0.8726453	0.9986399	1.0072651	0.6775868	1.0394858	0.6675288	0.8344815	0.9868848	0.5599508	0.9133227	0.0059738	0.4233442	1.0119296	0.7894014	0.2385787	0.1037846	0.9102045	0.5446018	1.0673233	0.0345235	1.0334756	0.7790194	0.0310985	0.9527656	1.0225353	1.0383024	0.2904000	0.2558300	1.0353459	0.9673833	0.9679778	0.6001395	0.7284605	0.8754467	0.6709673	0.4592975	0.4032859	0.5693091	0.1717979	0.2585384	0.2238665	0.8735904
0.6704793	0.9829384	1.0204365	0.6151982	0.2776965	0.0346368	0.0704860	0.0000000	0.9223496	0.9408577	1.0414229	0.5052947	1.0740301	0.6589902	0.8223691	0.9200162	0.5588660	1.0450497	0.0058841	0.3761265	0.9862664	0.7997772	0.2692300	0.0451433	1.0224228	0.6147741	1.0497433	0.0473209	1.0239866	0.8465918	0.0346993	0.9153726	1.0334606	1.0137583	0.3398209	0.1715759	1.0044489	1.0644983	0.9601229	0.4797855	0.7504172	0.8926997	0.6615311	0.4177172	0.3782523	0.2107197	0.1257465	0.3030474	0.0046248	0.9623279
0.6685965	0.9668646	0.8840728	0.5400754	0.3832996	0.0411460	0.0975650	0.0649394	0.0000000	1.0045495	1.0151958	0.5316603	0.9823314	0.6175968	0.8282709	1.1041975	0.5223276	0.9744039	0.0082300	0.3554963	1.0738134	0.8125146	0.2529082	0.1597109	0.9911058	0.6143177	1.0630015	0.0388782	0.9953082	0.8742893	0.0514110	1.0025931	1.0322202	1.0101343	0.2893486	0.2296288	0.9670268	1.0001930	1.0339482	0.4538550	0.7612228	0.3441455	0.6808155	0.4485154	0.3119679	0.1604579	0.0924793	0.2663504	0.0165256	0.9423749
0.6692457	0.9749116	1.0592623	0.5446228	0.3188748	0.0430290	0.0810398	0.0619997	0.7617787	0.0000000	0.9495950	0.5047180	0.8868309	0.6003872	0.9336903	0.9421144	0.5699119	0.9810760	0.0074576	0.3693302	1.0911000	0.7303749	0.2460668	0.0640547	1.0074929	0.6139812	1.0249008	0.0516633	1.0610689	0.7539259	0.0316876	0.9546111	0.9679189	0.9720714	0.3048313	0.1839084	1.0065846	0.9426410	1.0587904	0.5357428	0.6711864	0.8335094	0.6865049	0.5033649	0.3563320	0.1571161	0.1686924	0.2630083	0.0052149	0.8114837
0.6214291	1.0162544	0.9798189	0.6052657	0.3414304	0.0303464	0.0931767	0.0456292	0.7645639	1.0478061	0.0000000	0.9847313	0.9985687	0.6586454	0.8600916	1.0090174	0.5131918	1.0558420	0.0102794	0.3529080	0.9688084	0.7866950	0.2217878	0.1810574	0.9151463	0.5826930	1.0381570	0.0450745	0.9567079	0.7730078	0.0565600	0.9179309	1.1085745	1.1692885	0.3963337	0.2391177	0.9374856	0.9643291	1.0523633	0.4962114	0.7343938	0.8947563	0.7111176	0.4677033	0.4041773	0.2132737	0.1329009	0.3243084	0.0075641	0.9921343
0.6876653	0.9955020	1.0855544	0.5757574	0.3465686	0.0439995	0.0954871	0.0378775	0.8021403	1.0234927	0.9851076	0.0000000	1.0591783	0.5697938	0.8572112	1.0324223	0.5870504	0.9618348	0.0052520	0.3514275	1.0367805	0.7378417	0.2148577	0.1843958	1.0605983	0.6000558	1.0225748	0.0406387	1.0587255	0.7165559	0.0551743	0.9039318	0.9944588	1.0022350	0.2971605	0.2804742	1.0348369	0.8876100	1.1110380	0.4911704	0.7493972	0.8060351	0.7046177	0.4390493	0.3991423	0.1866047	0.1384237	0.2815108	0.0127675	0.9614444
0.7456344	1.0512845	0.9431051	0.5973436	0.3667231	0.0534749	0.0995834	0.0348194	0.9500826	1.0767308	1.0258010	0.5182304	0.0000000	0.3688337	1.0263443	0.9103461	0.5850887	1.0087071	0.0052393	0.3340349	1.0538676	0.8225532	0.2723845	0.1782288	1.0708542	0.6149009	1.0622153	0.0289346	1.0504769	0.7482515	0.0306695	0.9993277	1.0130406	1.0070349	0.2759807	0.2265072	1.1125206	0.9955678	0.9426208	0.4489045	0.6780700	0.8662634	0.6564806	0.4276699	0.3354542	0.1727366	0.4541290	0.2611356	0.0123623	1.0009822
0.7352678	1.0069167	1.0631433	0.5670058	0.3532258	0.0487737	0.0821040	0.0580915	0.9065946	1.0095981	0.9780190	0.4803847	1.0715923	0.0000000	1.0022008	1.0400002	0.4968934	1.0090070	0.0082924	0.3681158	1.0009337	0.6353533	0.2293545	0.0651010	1.0344286	0.5948757	0.9417591	0.0401326	0.9900305	0.7301578	0.0316290	0.9807684	1.0099150	1.0137473	0.2903606	0.2033775	0.9412764	0.9961667	0.9607122	0.5462873	0.7599245	0.7486054	0.7053370	0.3644521	0.4235015	0.1940941	0.1631437	0.1941337	0.0085124	0.9346250
0.6882818	1.1272947	1.0371636	0.5757293	0.2722174	0.0321797	0.1015789	0.0344034	0.9285241	0.9892403	1.0137898	0.5034812	0.9502528	0.5473680	0.0000000	1.0679545	0.5557319	0.9423657	0.0108265	0.3442008	0.9942870	0.8458352	0.2309580	0.0666716	0.9669832	0.7003053	1.0405979	0.0352546	0.9830505	0.7988079	0.0501834	1.0149666	0.9690747	1.0411241	0.3380211	0.2448942	0.9710269	0.9293466	1.0177592	0.5026627	0.6931535	0.8374405	0.7148535	0.4930912	0.4125655	0.2054517	0.1206081	0.1740443	0.0192333	0.9197472
0.6421146	1.0402851	1.0302363	0.5418116	0.4245904	0.0468415	0.0917669	0.0563221	0.6596929	0.5485468	1.0509732	0.5436950	1.0686619	0.8636250	0.6384134	0.0000000	0.5579297	0.9925847	0.0095918	0.3077321	1.0392972	0.7812911	0.2419000	0.0755837	1.0101564	0.6967828	0.9773991	0.0389586	0.9783606	0.8372494	0.0507649	0.9882441	0.9676402	1.0035925	0.3299688	0.2849924	1.0868749	0.9815976	0.9415859	0.4636221	0.6988179	0.9925398	0.6927619	0.4294425	0.1954772	0.1988687	0.1212070	0.2500779	0.0084809	0.9498584
0.6963792	0.9819418	1.0390887	0.6503294	0.3464752	0.0489545	0.0736862	0.0559317	0.7902038	0.9951719	1.0138032	0.3862167	1.0178249	0.6481122	0.9266813	1.0103277	0.0000000	1.0391566	0.0036870	0.2954028	1.0154842	0.8566000	0.2013859	0.1019580	1.0163695	0.6003889	0.9749142	0.0424179	0.9580411	0.7530861	0.0324539	0.9457952	0.9551318	1.1006596	0.3227800	0.2023832	1.0287662	1.0403350	1.0421595	0.4526087	0.8122641	0.8060639	0.7351504	0.4481214	0.4328613	0.2397498	0.1214043	0.2192978	0.0188218	0.9123642
0.6694465	1.0435785	0.9962341	0.6295772	0.3544805	0.0366980	0.0802135	0.0282618	0.8852812	1.0132829	1.0024555	0.5458863	1.1121674	0.2903195	0.8625001	1.0264693	0.3005126	0.0000000	0.0063184	0.3109663	0.9799899	0.7802973	0.2074722	0.1206405	0.9996503	0.5618532	0.9868405	0.0350042	1.0324921	0.7759673	0.0443171	0.9700929	1.0535267	0.9491301	0.2682815	0.1843604	1.0213523	0.9717439	1.0525147	0.4133083	0.6934802	0.8585846	0.6636032	0.0266032	0.3292848	0.2049628	0.2518121	0.2157709	0.0075049	0.9967305
